ORF	number of metabolites (lysine-related) in stationary growth phase	number of metabolites (arginine) in stationary growth phase	number of metabolites (biotin) in stationary growth phase	number of metabolites (N-acetyl ornithine) in stationary growth phase	number of metabolites (leucine + isoleucine + citrulline) in stationary growth phase	number of metabolites (glutamine + valine) in stationary growth phase	number of metabolites (methionine + proline) in stationary growth phase	number of metabolites (threonine) in stationary growth phase	number of metabolites (alanine) in stationary growth phase	number of metabolites (serine) in stationary growth phase	number of metabolites (asparagine + tyrosine) in stationary growth phase	number of metabolites (glycine) in stationary growth phase	number of metabolites (lysine) in stationary growth phase	number of metabolites (ornithine) in stationary growth phase	number of metabolites (glutamate) in stationary growth phase	number of metabolites (aspartic acid) in stationary growth phase
YMR304C-A	NaN	0.722	1.918	0.956	0.856	1.099	0.928	0.245	1.365	0.771	0.914	0.850	0.513	0.203	0.208	3.846
YMR306C-A	0.000	0.540	1.605	0.898	0.935	1.025	0.711	0.556	1.171	0.847	0.998	0.594	0.484	0.385	0.200	1.439
YMR316C-A	NaN	0.981	2.936	0.776	0.913	1.014	0.732	0.719	1.037	0.786	0.975	1.066	0.676	1.245	2.194	3.359
YNR032C-A	NaN	0.833	0.365	1.691	1.158	0.462	1.679	0.563	1.173	7.090	0.958	0.987	0.878	0.902	2.704	1.226
YOL013W-A	0.733	2.161	1.586	0.449	1.267	1.335	1.444	5.294	1.483	7.572	1.988	1.605	0.523	0.855	1.452	0.767
YOL053C-A	0.494	0.775	0.115	1.480	0.904	0.986	0.351	1.013	0.850	0.816	0.902	0.840	0.827	0.912	1.287	1.015
YOR008C-A	NaN	1.368	3.462	0.438	0.884	1.256	0.334	7.770	0.361	0.140	0.752	0.705	3.181	0.625	3.292	3.274
YOR298C-A	1.000	1.175	2.710	NaN	0.967	1.043	1.170	0.727	0.989	0.720	0.882	1.101	0.630	1.250	1.319	1.461
YOR304C-A	NaN	0.108	1.815	2.719	0.972	1.164	0.908	1.276	1.430	1.485	1.180	0.906	0.869	0.893	0.937	0.594
YPL183W-A	NaN	2.590	NaN	4.062	1.398	1.197	2.655	7.960	1.502	1.151	2.021	2.962	0.843	1.756	3.092	3.937
YPR133W-A	NaN	0.187	1.586	0.507	0.845	0.692	0.864	0.000	1.688	1.398	3.245	1.160	1.215	NaN	5.487	0.387
YMR056C	1.556	1.039	5.749	2.445	1.247	1.093	1.050	NaN	1.210	1.108	1.084	1.172	1.353	NaN	9.380	14.362
YBR085W	NaN	0.610	4.639	NaN	1.048	1.122	0.772	0.000	1.109	0.774	1.047	0.638	0.147	0.157	0.862	NaN
YCR107W	1.530	0.145	0.508	NaN	1.224	0.845	0.672	13.436	0.590	0.830	0.937	0.945	1.712	0.000	7.445	0.554
YDL243C	NaN	0.654	4.623	12.996	1.084	0.230	0.437	0.108	0.613	0.703	0.809	0.578	0.313	0.291	1.200	NaN
YFL056C	NaN	0.545	1.228	0.229	0.823	1.200	0.287	0.656	0.959	0.316	0.855	0.611	0.366	0.685	0.974	0.809
YNL141W	0.500	0.419	NaN	NaN	0.891	0.810	0.709	0.387	0.758	0.464	0.859	0.472	0.525	0.579	1.016	0.730
YHR047C	0.624	1.426	2.915	1.864	0.958	1.250	1.787	NaN	1.402	1.496	1.033	1.429	0.656	0.885	1.415	2.231
YKL106W	0.176	0.526	1.226	1.477	0.894	0.829	0.490	2.481	0.643	1.431	1.019	0.552	0.292	0.490	1.619	0.624
YMR072W	NaN	1.525	NaN	NaN	0.938	1.380	0.934	1.074	1.288	NaN	1.431	1.934	1.468	1.367	2.000	2.404
YJR108W	NaN	0.737	NaN	0.388	0.850	1.106	0.989	0.887	0.999	9.180	0.935	1.083	0.516	1.036	1.917	1.975
YCR088W	1.776	0.560	1.038	0.000	1.018	0.966	0.996	0.568	0.904	0.465	0.908	0.765	0.350	0.455	0.901	0.304
YOR239W	NaN	1.304	NaN	0.699	0.978	1.116	1.290	0.455	1.042	0.873	0.856	1.007	0.666	1.163	3.403	6.918
YNR033W	1.000	1.354	NaN	NaN	0.961	1.091	1.337	2.768	1.127	0.620	1.432	1.314	0.635	1.117	1.255	0.000
YGR037C	4.248	2.052	4.756	0.494	1.353	1.438	0.839	NaN	1.368	0.936	1.173	0.790	4.135	NaN	0.000	7.540
YLR131C	NaN	0.438	4.315	1.197	0.646	0.639	0.459	0.000	0.532	0.088	0.490	0.518	NaN	NaN	0.891	0.940
YJR083C	NaN	1.291	NaN	0.407	0.812	1.101	1.236	0.941	1.359	0.555	0.772	1.323	0.472	1.412	2.409	2.732
YBL015W	NaN	1.038	1.113	1.254	0.943	1.022	1.245	1.153	0.937	0.361	0.968	1.017	0.871	1.041	1.149	0.433
YPL267W	0.370	1.057	0.359	0.000	0.967	1.110	1.034	1.014	1.125	0.488	0.882	1.028	0.639	0.947	1.511	1.255
YDR511W	NaN	1.089	NaN	1.966	0.936	1.060	1.436	4.715	1.123	1.217	1.024	1.337	0.488	0.920	1.526	2.097
YLR304C	0.000	0.170	1.037	2.365	3.250	0.314	0.203	0.684	1.528	1.177	1.299	2.665	3.525	0.524	0.337	2.496
YJL200C	NaN	1.324	NaN	NaN	1.230	1.195	1.046	0.788	1.408	NaN	2.027	1.509	0.263	0.903	1.612	1.464
YAL054C	NaN	0.967	0.627	0.493	0.896	1.298	0.641	0.517	1.100	0.484	0.694	0.760	0.817	0.912	4.082	4.284
YDR448W	NaN	1.099	NaN	NaN	1.024	0.618	0.659	NaN	0.695	0.832	1.666	0.582	1.723	NaN	1.099	1.106
YMR184W	NaN	0.736	NaN	0.435	0.964	0.970	0.623	0.632	1.044	1.015	1.001	0.900	0.529	0.637	1.489	5.366
YKL206C	NaN	0.584	NaN	0.939	0.856	0.888	0.778	0.466	0.847	0.390	0.678	0.748	0.801	0.564	1.031	0.302
