ORF	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [2 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [4 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [6 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [8 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [10 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [14 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [2 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [4 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [6 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [8 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [10 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [14 d] | Piggott N~Nislow C, 2011
YBL063W	-1.058	-0.448	-1.207	-0.226	-0.571	0.296	1.711	0.780	0.735	0.158	0.085	0.240
YBL064C	-0.994	-0.093	0.083	-0.027	-0.435	0.525	-1.023	-0.376	-0.103	-0.174	-0.500	-0.160
YBL065W	-0.966	-1.114	-0.810	-0.571	-1.124	1.378	2.175	2.587	0.040	2.166	-0.555	-0.211
YBL066C	-0.417	-0.405	-0.149	-0.730	0.056	0.491	0.750	0.684	-0.327	-0.154	0.207	0.263
YBL067C	-0.986	1.455	-0.812	-3.652	-0.105	1.524	NaN	NaN	NaN	NaN	NaN	NaN
YBL068W	-0.718	-0.329	-0.223	-0.274	0.330	0.789	-0.403	-0.043	0.823	0.228	-0.096	0.173
YBL069W	-0.145	-1.267	-0.800	-0.527	-0.018	0.331	NaN	NaN	NaN	NaN	NaN	NaN
YBL070C	-0.777	-0.155	-0.031	-0.617	-0.223	0.325	0.891	-0.469	-0.760	-0.251	-1.027	-0.750
YBL071C	NaN	NaN	NaN	NaN	NaN	NaN	-0.103	-0.180	-0.341	1.007	0.129	-0.372
YBL072C	NaN	NaN	NaN	NaN	NaN	NaN	1.693	-2.559	3.121	2.219	-0.202	0.872
YBL073W	NaN	NaN	NaN	NaN	NaN	NaN	-0.278	-0.353	0.519	-0.334	-1.223	-0.373
YBL074C	NaN	NaN	NaN	NaN	NaN	NaN	-0.001	-0.106	-0.704	-0.375	0.341	0.330
YBL075C	-0.491	-1.032	-0.573	-1.355	-0.711	-0.168	NaN	NaN	NaN	NaN	NaN	NaN
YBL076C	NaN	NaN	NaN	NaN	NaN	NaN	-0.272	-1.034	0.180	1.790	-0.426	-0.773
YBL077W	NaN	NaN	NaN	NaN	NaN	NaN	-0.934	0.118	-0.046	0.958	-0.389	-1.630
YBL078C	-1.003	-1.229	-2.727	-4.490	-3.730	-4.615	-0.680	-0.480	-0.081	-0.686	-0.160	-0.545
YBL079W	NaN	NaN	NaN	NaN	NaN	NaN	-0.098	0.771	-0.391	1.174	-0.836	-0.642
YBL080C	-0.197	1.355	NaN	-4.095	0.734	0.319	0.077	-0.099	0.369	-0.988	0.294	0.319
YBL081W	-0.938	-0.820	0.566	0.062	0.275	0.662	1.341	-0.875	0.100	-0.137	0.526	-0.772
YBL082C	0.709	0.185	-0.789	2.143	-0.485	0.109	1.065	0.665	1.277	1.235	0.111	0.439
YBL083C	0.912	-0.239	-0.969	-1.282	-1.392	-0.665	-2.009	-2.942	-4.425	-1.696	-2.260	-2.089
YBL084C	NaN	NaN	NaN	NaN	NaN	NaN	-0.710	-1.082	-1.037	-0.905	-0.626	-0.465
YBL085W	0.001	0.800	0.477	-0.672	0.300	0.306	-0.292	-0.869	-0.466	-0.534	0.216	0.028
YBL086C	-0.571	-0.634	-0.669	-0.532	-0.148	0.718	NaN	NaN	NaN	NaN	NaN	NaN
YBL087C	NaN	2.683	-0.779	-2.644	-2.105	-1.050	-0.661	0.274	-4.836	-2.101	-2.622	-3.769
YBL088C	-0.528	-0.551	-0.398	-0.888	0.020	0.862	-0.896	-1.781	0.298	1.483	-0.596	-0.008
YBL089W	-1.553	-0.307	-0.631	-1.690	-0.277	0.743	-0.094	-0.104	0.207	0.608	-0.019	-0.191
YBL090W	NaN	NaN	NaN	NaN	NaN	NaN	-0.481	-0.999	-1.599	-0.303	0.280	-0.479
YBL091C	-0.338	-1.084	-0.795	-1.277	-0.050	0.481	1.829	-0.073	-0.866	-9.183	-4.505	-2.332
YBL091C-A	0.254	0.679	0.461	0.026	0.272	0.132	-0.693	-0.252	-1.056	-0.775	-0.508	0.877
YBL092W	NaN	NaN	NaN	NaN	NaN	NaN	0.953	-1.827	-0.214	-1.486	-0.278	-0.942
YBL093C	NaN	NaN	NaN	NaN	NaN	NaN	2.495	0.373	-1.197	1.472	-0.161	0.777
YBL094C	-0.249	-0.525	-0.628	-0.460	-0.766	0.238	0.051	0.156	-0.226	0.088	0.062	-0.241
YBL095W	-0.403	-0.101	-0.370	-1.295	0.064	0.133	0.819	-0.068	0.757	0.309	0.074	-0.120
YBL096C	-0.924	-1.582	-0.623	-1.249	-0.526	0.652	-0.955	-0.529	0.092	-1.410	0.780	-0.879
YBL097W	NaN	NaN	NaN	NaN	NaN	NaN	-1.240	-0.452	0.379	-0.039	0.909	-0.446
