ORF	hap a | cell death (frequency of dead cells) | pH [3.0], acetic acid [400 mM], time [100-350 min] | Sousa M~Sousa MJ, 2013
YCL027W	1.000
YGL121C	1.000
YGR032W	1.000
YDL223C	1.000
YER180C	1.000
YJL038C	1.000
YGL089C	1.000
YNR049C	1.000
YIR019C	1.000
YOR255W	1.000
YDL053C	1.000
YHR185C	1.000
YJL108C	1.000
YIL037C	1.000
YPL192C	1.000
YPL156C	1.000
YGL053W	1.000
YDR379W	1.000
YEL072W	1.000
YFR032C	1.000
YGR152C	1.000
YBR214W	1.000
YPL130W	1.000
YER046W	1.000
YDR218C	1.000
YGR059W	1.000
YHR139C	1.000
YNL204C	1.000
YDR522C	1.000
YLR362W	1.000
YDL039C	1.000
YEL023C	1.000
YFL012W	1.000
YPR109W	1.000
YMR056C	1.000
YDR511W	1.000
YLR304C	1.000
YMR083W	1.000
YER170W	1.000
YMR282C	0.000
YEL052W	1.000
YAL046C	1.000
YIL087C	1.000
YAL049C	1.000
YIR003W	1.000
YJL131C	1.000
YOL053W	1.000
YOR215C	1.000
YBR262C	1.000
YER080W	1.000
YOR374W	1.000
YER073W	1.000
YJL071W	1.000
YER069W	1.000
YLR393W	1.000
YML081C-A	1.000
YOL077W-A	1.000
YDR350C	1.000
YNR020C	1.000
YIL124W	1.000
YDR375C	1.000
YKR036C	1.000
YIL043C	1.000
YKL011C	1.000
YKR066C	1.000
YER061C	1.000
YMR012W	1.000
YPL189C-A	1.000
YLR218C	1.000
YOL008W	1.000
YPL172C	1.000
YDR231C	1.000
YMR256C	1.000
YOR037W	1.000
YEL039C	1.000
YDR430C	1.000
YDR263C	1.000
YDL178W	1.000
YEL071W	1.000
YGR146C	1.000
YDR125C	1.000
YKR016W	1.000
YJL161W	1.000
YER182W	1.000
YBR269C	1.000
YBR047W	1.000
YLR077W	1.000
YLR454W	1.000
YPL103C	1.000
YFL046W	1.000
YGL080W	1.000
YDL222C	1.000
YGR052W	1.000
YER038W-A	1.000
YER004W	1.000
YDR019C	1.000
YOR355W	1.000
YHR100C	1.000
YLR091W	1.000
YNL274C	1.000
YGR021W	1.000
YMR207C	1.000
YMR110C	1.000
YKL084W	1.000
YJL082W	1.000
YGR031W	1.000
YPL135W	1.000
YJR091C	1.000
YIL125W	1.000
YJR070C	1.000
YIL094C	1.000
YKL029C	1.000
YIL070C	1.000
YKL093W	1.000
YKL150W	1.000
YBR227C	1.000
YKL085W	1.000
YPL270W	1.000
YML104C	1.000
YAL010C	1.000
YOR147W	1.000
YJL112W	1.000
YDR219C	1.000
YOR211C	1.000
YDR031W	1.000
YOR330C	1.000
YOR350C	1.000
YHR162W	1.000
YJL066C	1.000
YDR033W	1.000
YDL045W-A	1.000
YGR084C	1.000
YDR405W	1.000
YHL004W	1.000
YDR116C	1.000
YOR150W	1.000
YMR193W	1.000
YGR076C	1.000
YDR462W	1.000
YCR003W	1.000
YBR122C	1.000
YBR268W	1.000
YML009C	1.000
YMR225C	1.000
YDR337W	1.000
YGR165W	1.000
YPR047W	1.000
YGR171C	1.000
YPR134W	1.000
YMR228W	1.000
YDL044C	1.000
YHR168W	1.000
YGL236C	1.000
YDR493W	1.000
YJL116C	1.000
YDL085W	1.000
YKL040C	1.000
YBR212W	1.000
YKR087C	1.000
YDR316W	1.000
YGR101W	1.000
YGR193C	1.000
YDR079W	1.000
YMR257C	1.000
YOR158W	1.000
YJL023C	1.000
YJR034W	1.000
YPL159C	1.000
YGR222W	1.000
YGR132C	1.000
YOR266W	1.000
YIL114C	1.000
YPL188W	1.000
YMR267W	1.000
YOR090C	1.000
YHR076W	1.000
YKL198C	1.000
YGL063W	1.000
YLR165C	1.000
YGR169C	1.000
YDL036C	1.000
YLR142W	1.000
YHR037W	1.000
YOR286W	1.000
YFL036W	1.000
YER050C	1.000
YGL129C	1.000
YDR175C	1.000
YIL093C	1.000
YGL252C	1.000
YGR049W	1.000
YBR024W	1.000
YDR077W	1.000
YDR393W	1.000
YGR112W	1.000
YCR024C	1.000
YHR008C	1.000
YGR008C	1.000
YNL081C	1.000
YDR058C	1.000
YGR181W	1.000
YGR033C	1.000
YJR135W-A	1.000
YOR045W	1.000
YNL121C	1.000
YHR117W	1.000
YHR106W	1.000
YOR251C	1.000
YLR168C	1.000
YDR185C	1.000
YER024W	1.000
YBR056W	1.000
YDL027C	1.000
YDL083C	1.000
YDL086W	1.000
YDL157C	1.000
YER140W	1.000
YER181C	1.000
YGR012W	1.000
YGR266W	1.000
YHR080C	1.000
YIR024C	1.000
YJL147C	1.000
YJR039W	1.000
YJR079W	1.000
YJR098C	1.000
YKL027W	1.000
YKL070W	1.000
YKR070W	1.000
YPR125W	1.000
YLR164W	1.000
YLR283W	1.000
YLR290C	1.000
YMR302C	1.000
YNL195C	1.000
YNL208W	1.000
YNL211C	1.000
YOR228C	1.000
YPL107W	1.000
YPL168W	1.000
YPR097W	1.000
YPR098C	1.000
YER033C	1.000
YOR017W	1.000
YLL041C	1.000
YOR187W	1.000
YOR180C	1.000
YIR004W	1.000
YLR284C	1.000
YKR009C	1.000
YMR204C	1.000
YOR084W	1.000
YGL067W	1.000
YLR151C	1.000
YMR026C	1.000
YGL153W	1.000
YPL112C	1.000
YOR193W	1.000
YDR479C	1.000
YLR324W	1.000
YGR004W	1.000
YBR168W	1.000
YDR244W	1.000
YDR142C	1.000
YGR077C	1.000
YGL205W	1.000
YPL147W	1.000
YNL202W	1.000
YMR018W	1.000
YNL077W	1.000
YNL159C	1.000
YGL017W	1.000
YOR349W	1.000
YPL241C	1.000
YOR061W	1.000
YGL019W	1.000
YOR039W	1.000
YDR155C	1.000
YHR057C	1.000
YLR216C	1.000
YOR042W	1.000
YGR003W	1.000
YKL054C	1.000
YBR201W	1.000
YNL001W	1.000
YKL191W	1.000
YLR172C	1.000
YKL204W	1.000
YHL030W	1.000
YNL230C	1.000
YGL231C	1.000
YPL236C	1.000
YFR041C	1.000
YHR176W	1.000
YOR320C	1.000
YIR038C	1.000
YMR161W	1.000
YDL227C	1.000
YOL013C	1.000
YDR533C	1.000
YPL240C	1.000
YPR106W	1.000
YJL073W	1.000
YGL203C	1.000
YOR099W	1.000
YKR061W	1.000
YBR199W	1.000
YIL085C	1.000
YOL025W	1.000
YKL073W	1.000
YDR144C	1.000
YJR131W	1.000
YGL257C	1.000
YIL014W	1.000
YDR140W	1.000
YIL007C	1.000
YJR062C	1.000
YNL056W	1.000
YBR025C	1.000
YGL226C-A	1.000
YFL044C	1.000
YGR078C	1.000
YLR199C	1.000
YDR459C	1.000
YDR313C	1.000
YDL095W	1.000
YOR321W	1.000
YDL093W	1.000
YPL096W	1.000
YDR435C	1.000
YEL060C	1.000
YJR059W	1.000
YDL230W	1.000
YBR275C	1.000
YFR022W	1.000
YHR200W	1.000
YGL004C	1.000
YDL216C	1.000
YDR139C	1.000
YBR280C	1.000
YDR143C	1.000
YDR363W-A	1.000
YDR422C	1.000
YDR409W	1.000
YMR322C	1.000
YLL024C	1.000
YDL229W	1.000
YPL106C	1.000
YOR027W	1.000
YLR178C	1.000
YGL179C	1.000
YPR066W	1.000
YKR098C	1.000
YJL197W	1.000
YFR010W	1.000
YIL156W	1.000
YGR184C	1.000
YLR024C	1.000
YBR165W	1.000
YDR330W	1.000
YPL186C	1.000
YBR173C	1.000
YDL122W	1.000
YMR304W	1.000
YML029W	1.000
YOR054C	1.000
YGL227W	1.000
YLR090W	1.000
YDR131C	1.000
YLR200W	1.000
YLR118C	1.000
YJR099W	1.000
YJL122W	1.000
YOL058W	1.000
YDR101C	1.000
YKL090W	1.000
YPL170W	1.000
YGL078C	1.000
YDR206W	1.000
YGR007W	1.000
YHL039W	1.000
YOR133W	1.000
YDR385W	1.000
YMR020W	1.000
YFR009W	1.000
YKR026C	1.000
YDR221W	1.000
YGR102C	1.000
YKR084C	1.000
YPL116W	1.000
YLR021W	1.000
YNL227C	1.000
YLL019C	1.000
YFL018C	1.000
YHR121W	1.000
YOL064C	1.000
YGL143C	1.000
YGR220C	1.000
YJL123C	1.000
YKL098W	1.000
YGL226W	1.000
YBR255W	1.000
YHR151C	1.000
YPR149W	1.000
YGL211W	1.000
YPL226W	1.000
YPL043W	1.000
YDL213C	1.000
YDL167C	1.000
YGR159C	1.000
YPL144W	1.000
YGR135W	1.000
YDR496C	1.000
YGR173W	1.000
YPL208W	1.000
YDR465C	1.000
YPR065W	1.000
YGR085C	1.000
YDR418W	1.000
YDL082W	1.000
YKL006W	1.000
YBR084C-A	1.000
YPL220W	1.000
YOR312C	1.000
YFL034C-A	1.000
YGR148C	1.000
YDR471W	1.000
YIL018W	1.000
YDL075W	1.000
YOR234C	1.000
YER056C-A	1.000
YIL052C	1.000
YDL191W	1.000
YLR185W	1.000
YDR500C	1.000
YLR325C	1.000
YNL162W	1.000
YPR043W	1.000
YJR094W-A	1.000
YBR031W	1.000
YLR448W	1.000
YGL076C	1.000
YPL198W	1.000
YHL033C	1.000
YGL147C	1.000
YNL067W	1.000
YGL031C	1.000
YDL081C	1.000
YGR214W	1.000
YOR293W	1.000
YDR025W	1.000
YBR048W	1.000
YOR369C	1.000
YCR031C	1.000
YMR143W	1.000
YDR447C	1.000
YDR450W	1.000
YML026C	1.000
YLR441C	1.000
YML063W	1.000
YKR057W	1.000
YJL190C	1.000
YGR118W	1.000
YER074W	1.000
YIL069C	1.000
YGR027C	1.000
YER131W	1.000
YLR264W	1.000
YLR388W	1.000
YDL061C	1.000
YOR182C	1.000
YJR145C	1.000
YBR181C	1.000
YOR096W	1.000
YBR189W	1.000
YBR246W	1.000
YOL048C	1.000
YPL193W	1.000
YDR494W	1.000
YDR159W	1.000
YNR034W	1.000
YKL184W	1.000
YHR066W	1.000
YBR261C	1.000
YGR162W	1.000
YKR059W	1.000
YJL138C	1.000
YGL049C	1.000
YKL056C	1.000
YER049W	1.000
YKR060W	1.000
YOR230W	1.000
YDL133C-A	0.000
YDR161W	1.000
YGR054W	1.000
YGR283C	1.000
YHR029C	1.000
YPL201C	1.000
YIL096C	1.000
YGR034W	1.000
YAL059W	1.000
YDL243C	1.000
YFL056C	1.000
YBR132C	1.000
YDR214W	1.000
YLR109W	1.000
YPR200C	1.000
YGR097W	1.000
YPR093C	1.000
YDR184C	1.000
YDR423C	1.000
YGR217W	1.000
YOR356W	1.000
YFR014C	1.000
YGR088W	1.000
YML070W	1.000
YFL053W	1.000
YDR411C	1.000
YIL010W	1.000
YDR070C	1.000
YPL222W	1.000
YNL168C	1.000
YEL047C	1.000
YOL152W	1.000
YOR324C	1.000
YOL151W	1.000
YHR104W	1.000
YDR513W	1.000
YDR098C	1.000
YER174C	1.000
YDL010W	1.000
YFR015C	1.000
YJR055W	1.000
YDR528W	1.000
YLL026W	1.000
YDR171W	1.000
YJL057C	1.000
YIR036C	1.000
YDR017C	1.000
YIL027C	1.000
YNL239W	1.000
