ORF	hap a | protein aggregates (synphilin-1) | standard [standard] | Zhao L~Liu B, 2016
YGR260W	0.027
YGR018C	0.048
YCL001W	0.002
YOR079C	0.005
YLR169W	0.023
YAL066W	0.035
YBL056W	0.036
YER054C	0.039
YMR266W	0.033
YLR384C	0.037
YIL156W	0.040
YMR297W	0.046
YPL207W	0.021
YAL049C	0.043
YER135C	0.008
YER131W	0.010
YOL024W	0.014
YIL162W	0.032
YOR365C	0.050
YGR196C	0.046
YPR046W	0.021
YMR292W	0.040
YOR011W	0.046
YPL164C	0.005
YHR134W	0.034
YMR209C	0.034
YMR172C-A	0.023
YCL009C	0.042
YLR003C	0.026
YBL032W	0.051
YBL029W	0.143
YBL027W	0.101
YBL021C	0.238
YBL019W	0.894
YBL017C	0.312
YBL052C	0.481
YBL049W	0.491
YBL048W	0.093
YBL046W	0.742
YBL043W	0.107
YBL042C	0.112
YBL037W	0.407
YBL036C	0.345
YBL064C	0.392
YBL062W	0.527
YBL061C	0.240
YBL060W	0.181
YBL059W	0.050
YBL057C	0.123
YBL055C	0.074
YBL054W	0.725
YBL053W	0.151
YBL078C	0.194
YBL075C	0.152
YBL072C	0.062
YBL071C	0.394
YBL070C	0.197
YBL069W	0.649
YBL068W	0.677
YBL094C	0.747
YBL091C-A	0.072
YBL091C	0.102
YBL089W	0.702
YBL088C	0.374
YBL087C	0.531
YBL086C	0.258
YBL085W	0.735
YBL081W	0.056
YBL106C	0.415
YBL102W	0.136
YBL101C	0.868
YBL100C	0.343
YBL098W	0.407
YBL096C	0.238
YBL095W	0.228
YBR016W	0.104
YBR015C	0.890
YBR014C	0.073
YBR013C	0.806
YBR012C	0.193
YBR006W	0.188
YBR005W	0.066
YAL017W	0.734
YAL015C	0.080
YAL014C	0.157
YAL011W	0.267
YAL008W	0.096
YAL007C	0.396
YAL005C	0.119
YAL004W	0.120
YAL031C	0.094
YAL030W	0.468
YAL029C	0.660
YAL028W	0.206
YAL026C	0.234
YAL023C	0.191
YAL022C	0.076
YAL020C	0.059
YAL019W	0.110
YAL018C	0.107
YAL054C	0.591
YAL053W	0.109
YAL051W	0.064
YAL045C	0.058
YAL040C	0.079
YAL037W	0.471
YAL036C	0.175
YAL034C	0.059
YAL064C-A	0.112
YAL062W	0.681
YAL061W	0.306
YAL060W	0.053
YAL059W	0.137
YAR027W	0.560
YAR023C	0.163
YAR020C	0.954
YAR018C	0.436
YAR014C	0.280
YAR002C-A	0.084
YAL068C	0.411
YAL067C	0.146
YAR044W	0.071
YAR035W	0.212
YAR031W	0.145
YAR030C	0.204
YAR029W	0.604
YBL015W	0.113
YBL013W	0.082
YBL011W	0.282
YBL010C	0.066
YBL008W	0.161
YBL005W	0.662
YBL003C	0.874
YBL001C	0.719
YAR050W	0.095
YBR138C	0.610
YBR130C	0.053
YBR129C	0.145
YBR128C	0.956
YBR122C	0.614
YBR156C	0.221
YBR151W	0.286
YBR148W	0.280
YBR146W	0.151
YBR144C	0.797
YBR141C	0.521
YBR139W	0.422
YBR168W	0.058
YBR166C	0.509
YBR165W	0.240
YBR164C	0.276
YBR162W-A	0.057
YBR162C	0.615
YBR159W	0.121
YBR158W	0.076
YBR157C	0.088
YBR182C	0.109
YBR178W	0.109
YBR176W	0.143
YBR172C	0.968
YBR170C	0.204
YBR199W	0.245
YBR197C	0.332
YBR188C	0.811
YBR185C	0.234
YBR183W	0.981
YBR210W	0.607
YBR209W	0.060
YBR208C	0.619
YBR206W	0.203
YBR205W	0.919
YBR203W	0.888
YBR223C	0.146
YBR222C	0.058
YBR218C	0.226
YBR217W	0.625
YBR214W	0.099
YBR030W	0.065
YBR027C	0.222
YBR025C	0.115
YBR024W	0.099
YBR023C	0.123
YBR022W	0.193
YBR020W	0.470
YBR045C	0.167
YBR043C	0.182
YBR042C	0.341
YBR040W	0.774
YBR032W	0.058
YBR031W	0.222
YBR054W	0.268
YBR052C	0.179
YBR051W	0.110
YBR050C	0.273
YBR047W	0.389
YBR046C	0.307
YBR071W	0.103
YBR065C	0.608
YBR064W	0.224
YBR063C	0.088
YBR062C	0.474
YBR061C	0.126
YBR059C	0.114
YBR084W	0.804
YBR083W	0.720
YBR075W	0.364
YBR073W	0.139
YBR072W	0.054
YBR101C	0.287
YBR100W	0.057
YBR098W	0.056
YBR094W	0.065
YBR092C	0.481
YBR090C-A	0.699
YBR121C	0.734
YBR119W	0.179
YBR113W	0.840
YBR107C	0.180
YCL035C	0.463
YCL034W	0.977
YCL028W	0.401
YCL027W	0.858
YCL026C-A	0.430
YCL026C	0.138
YCL049C	0.401
YCL048W	0.142
YCL047C	0.094
YCL045C	0.316
YCL042W	0.110
YCL040W	0.089
YCL039W	0.805
YCL038C	0.112
YCL069W	0.536
YCL064C	0.856
YCL063W	0.687
YCL062W	0.119
YCL057W	0.356
YCL056C	0.088
YCL055W	0.069
YCL051W	0.739
YCL050C	0.185
YCR011C	0.280
YCR010C	0.157
YCR008W	0.484
YCR007C	0.073
YCR005C	0.193
YCR001W	0.951
YCL076W	0.133
YCL075W	0.667
YCL074W	0.729
YCR024C-A	0.238
YCR023C	0.800
YCR022C	0.172
YCR021C	0.254
YCR020C-A	0.166
YCR020C	0.350
YCR017C	0.377
YCR016W	0.380
YCR015C	0.178
YCR014C	0.473
YCR037C	0.330
YCR036W	0.924
YCR032W	0.192
YCR031C	0.262
YCR030C	0.054
YCR028C-A	0.260
