ORF	hom | growth (relative abundance in pooled culture) | arsenic [1-5 mM] | Haugen AC~Van Houten B, 2004
YDL130W-A	0.172
YHR139C	0.172
YDL125C	0.172
YNL022C	0.172
YIR001C	0.173
YMR039C	0.173
YBL062W	0.173
YJL030W	0.173
YDR063W	0.174
YCL074W	0.174
YOR072W	0.174
YNR007C	0.174
YGL108C	0.175
YKR019C	0.175
YGR227W	0.175
YFL042C	0.175
YGR071C	0.175
YKL094W	0.176
YDR294C	0.176
YNL327W	0.176
YCL047C	0.176
YNR025C	0.177
YGL051W	0.177
YGR204W	0.177
YML103C	0.177
YIR017C	0.178
YLR210W	0.178
YDL134C-A	0.178
YDR305C	0.178
YIR020W-B	0.178
YLR019W	0.179
YOL138C	0.179
YER106W	0.179
YDR508C	0.179
YGR042W	0.180
YOL043C	0.180
YAL027W	0.180
YDR009W	0.180
YIR037W	0.181
YOR239W	0.181
YDL019C	0.181
YBR045C	0.181
YGR056W	0.181
YKL101W	0.182
YIL024C	0.182
YAL054C	0.182
YML087C	0.182
YOL019W	0.183
YGR031W	0.183
YHR075C	0.183
YCR034W	0.183
YBR258C	0.184
YOR164C	0.184
YCL013W	0.184
YBR028C	0.184
YOR285W	0.185
YLR136C	0.185
YOR029W	0.185
YIL159W	0.185
YOL092W	0.186
YGR058W	0.186
YJR098C	0.186
YKL037W	0.186
YGL004C	0.187
YPR073C	0.187
YDR153C	0.187
YGL049C	0.187
YKL158W	0.188
YNL214W	0.188
YLR247C	0.188
YDL137W	0.188
YBR095C	0.188
YKL218C	0.189
YDR036C	0.189
YHL021C	0.189
YDR203W	0.189
YGR070W	0.190
YOR351C	0.190
YML102C-A	0.190
YPL052W	0.190
YLR231C	0.191
YOL093W	0.191
YER051W	0.191
YOR255W	0.191
YER085C	0.191
YIL084C	0.192
YOL048C	0.192
YHL024W	0.192
YOR267C	0.192
YLR360W	0.193
YHR082C	0.193
YBL024W	0.193
YER089C	0.193
YOL159C	0.194
YKR043C	0.194
YDR539W	0.194
YPL039W	0.194
YJL139C	0.194
YLR328W	0.195
YGL003C	0.195
YNL328C	0.195
YFL020C	0.195
YAR002C-A	0.196
YDR214W	0.196
YGR242W	0.196
YNL336W	0.196
YPL046C	0.197
YBR259W	0.197
YNL321W	0.197
YDR097C	0.197
YCL028W	0.197
YLR046C	0.198
YML079W	0.198
YOR106W	0.198
YBR041W	0.198
YML060W	0.199
YBR113W	0.199
YNR044W	0.199
YGR146C	0.199
YBR290W	0.200
YBR285W	0.200
YLR183C	0.200
YDR018C	0.200
YLR319C	0.201
YBR223C	0.201
YGL063W	0.201
YGR241C	0.201
YML020W	0.201
YGR008C	0.202
YER063W	0.202
YKL147C	0.202
YHL002W	0.202
YCL014W	0.203
YKL046C	0.203
YPR123C	0.203
YEL007W	0.203
YBR056W	0.204
YGR055W	0.204
YPL071C	0.204
YDL134C	0.204
YLR217W	0.204
YHR139C-A	0.205
YNL254C	0.205
YBL048W	0.205
YER181C	0.205
YKL202W	0.206
YGL083W	0.206
YCL075W	0.206
YML118W	0.206
YPL004C	0.207
YHL039W	0.207
YMR253C	0.207
YGR038W	0.207
YLR236C	0.207
YMR160W	0.208
YKL106W	0.208
YFR046C	0.208
YPL247C	0.208
YEL066W	0.209
YER072W	0.209
YPL221W	0.209
YOR216C	0.209
YBL003C	0.210
YGR080W	0.210
YDR250C	0.210
YDR204W	0.210
YJL210W	0.210
YGL101W	0.211
YOL024W	0.211
YPR038W	0.211
YER163C	0.211
YEL014C	0.212
YFR049W	0.212
YDL036C	0.212
YIR031C	0.212
YHR112C	0.213
YOL131W	0.213
YDR056C	0.213
YDL018C	0.213
YOL136C	0.214
YGL039W	0.214
YHR206W	0.214
YGL087C	0.214
YCR091W	0.214
YIL012W	0.215
YGR174C	0.215
YJL159W	0.215
YDL156W	0.215
YKR009C	0.216
YOR115C	0.216
YOL111C	0.216
YAR027W	0.216
YDR371W	0.217
YLL009C	0.217
YDR495C	0.217
YLL018C-A	0.217
YDR178W	0.217
YLR311C	0.218
YCL040W	0.218
YJL218W	0.218
YKR035C	0.218
YCL044C	0.219
YDL172C	0.219
YMR140W	0.219
YCR005C	0.219
YEL060C	0.220
YFR020W	0.220
YDR216W	0.220
YGR232W	0.220
YPR046W	0.220
YKL142W	0.221
YNL316C	0.221
YOR385W	0.221
YBR098W	0.221
YNR014W	0.222
YNL168C	0.222
YDL095W	0.222
YGL019W	0.222
YMR053C	0.223
YOL110W	0.223
YOR112W	0.223
YJL211C	0.223
YKR072C	0.223
YAL051W	0.224
YPR054W	0.224
YDR169C	0.224
YBR255W	0.224
YGR170W	0.225
YBR216C	0.225
YGL032C	0.225
YGL017W	0.225
YGR051C	0.226
YOR071C	0.226
YJL165C	0.226
YDL114W	0.226
YGL010W	0.227
YDL074C	0.227
YBL044W	0.227
YOR252W	0.227
YLR461W	0.227
YGR069W	0.228
YDR293C	0.228
YIL053W	0.228
YOR220W	0.228
YPR007C	0.229
YBR032W	0.229
YIL141W	0.229
YHL016C	0.229
YDL110C	0.230
YJL077C	0.230
YLR345W	0.230
YDL186W	0.230
YLR354C	0.230
YGL053W	0.231
YFL055W	0.231
YOR131C	0.231
YOR013W	0.231
YHR193C	0.232
YKL220C	0.232
YER088C	0.232
YOR155C	0.232
YDL001W	0.233
YNR027W	0.233
YDR019C	0.233
YAL008W	0.233
YKL127W	0.233
YGR084C	0.234
YGR033C	0.234
YDR436W	0.234
YPR022C	0.234
YNL274C	0.235
YJL131C	0.235
YKL213C	0.235
YBR173C	0.235
YJR147W	0.236
YLR171W	0.236
YOR179C	0.236
YEL064C	0.236
YOL158C	0.236
YGL067W	0.237
YMR107W	0.237
YKL137W	0.237
YLR263W	0.237
YOR344C	0.238
YDR057W	0.238
YDR466W	0.238
YLR013W	0.238
YPR153W	0.239
YBL017C	0.239
YLR420W	0.239
YGL170C	0.239
YGR093W	0.239
YMR132C	0.240
YPR200C	0.240
YLL026W	0.240
YJL079C	0.240
YGL005C	0.241
YLR353W	0.241
YBR068C	0.241
YHR012W	0.241
YGL133W	0.242
YDR014W	0.242
YDR119W	0.242
YLR012C	0.242
YPR150W	0.243
YHL017W	0.243
YPR174C	0.243
YBR133C	0.243
YNR021W	0.243
YPR002W	0.244
YLR054C	0.244
YNL333W	0.244
YBR245C	0.244
YEL005C	0.245
YPL022W	0.245
YGL241W	0.245
YDR105C	0.245
YJL206C-A	0.246
YDR046C	0.246
YIR028W	0.246
YER139C	0.246
YDR043C	0.246
YER150W	0.247
YMR256C	0.247
YGL249W	0.247
YOR223W	0.247
YEL059W	0.248
YMR250W	0.248
YNL098C	0.248
YFR007W	0.248
YFR045W	0.249
YOL112W	0.249
YGL050W	0.249
YDR283C	0.249
YIL158W	0.249
YKL151C	0.250
YNL237W	0.250
YFL034C-A	0.250
YJL064W	0.250
YKL164C	0.251
YJR019C	0.251
YIL152W	0.251
YNL050C	0.251
YNL134C	0.252
YLR343W	0.252
YJR107W	0.252
YDR066C	0.252
YHL006C	0.252
YBR201W	0.253
YGR021W	0.253
YDL039C	0.253
YPR058W	0.253
YAL060W	0.254
YFR024C	0.254
YJL216C	0.254
YJR153W	0.254
YMR233W	0.255
YOR008C-A	0.255
YOL109W	0.255
YGR236C	0.255
YML067C	0.256
YDR502C	0.256
YOR092W	0.256
YPR064W	0.256
YGR049W	0.256
YOL126C	0.257
YKL124W	0.257
YCL038C	0.257
YJR095W	0.257
YPL019C	0.258
YOR023C	0.258
YCR083W	0.258
YML052W	0.258
YMR173W	0.259
YDL124W	0.259
YDR523C	0.259
YAR002W	0.259
YOR053W	0.259
YMR289W	0.260
YNL183C	0.260
YDR011W	0.260
YNL043C	0.260
YPL042C	0.261
YJL070C	0.261
YKR010C	0.261
YHL035C	0.261
YGR249W	0.262
YOR171C	0.262
YML068W	0.262
YLR315W	0.262
YKL205W	0.262
YFL054C	0.263
YDR504C	0.263
YDR005C	0.263
YCR033W	0.263
YLR040C	0.264
YJR133W	0.264
YNL083W	0.264
YJL067W	0.264
YCL050C	0.265
YKL071W	0.265
YBL094C	0.265
YMR299C	0.265
YMR244C-A	0.265
YOR227W	0.266
YKL064W	0.266
YJR137C	0.266
YPL096W	0.266
YML113W	0.267
YER067C-A	0.267
YIL073C	0.267
YLR248W	0.267
YHR108W	0.268
YCR020C	0.268
YGR235C	0.268
YPL249C	0.268
YBR260C	0.269
YDR102C	0.269
YIR021W	0.269
YLR286C	0.269
YER001W	0.269
YER075C	0.270
YDR199W	0.270
YJR066W	0.270
YKR011C	0.270
YBL096C	0.271
YCL016C	0.271
YNL276C	0.271
YIL079C	0.271
YDR198C	0.272
YNL045W	0.272
YGL006W	0.272
YDR230W	0.272
YNL173C	0.272
YCR010C	0.273
YHR137W	0.273
YDR034C	0.273
YER091C-A	0.274
YOR081C	0.274
YCR090C	0.274
YKL131W	0.274
YDR099W	0.275
YGL054C	0.275
YJL158C	0.275
YNR042W	0.275
YGR061C	0.275
YCR016W	0.276
YOL150C	0.276
YOR033C	0.276
YJL157C	0.276
YOR090C	0.277
YFL007W	0.277
YKR017C	0.277
YPR127W	0.277
YPL038W	0.278
YHR092C	0.278
YJL068C	0.278
YGL262W	0.278
YCR021C	0.278
YPR027C	0.279
YLL058W	0.279
YIR023W	0.279
YOL099C	0.279
YHR198C	0.280
YNR028W	0.280
YPR126C	0.280
YKR029C	0.280
YPR078C	0.281
YIL025C	0.281
YHR049C-A	0.281
YOR215C	0.281
YLR294C	0.282
YNL179C	0.282
YOR233W	0.282
YGL222C	0.282
YPR155C	0.282
YOR368W	0.283
YOL042W	0.283
YNL299W	0.283
YAR031W	0.283
YAL056W	0.284
YCR062W	0.284
YFR021W	0.284
YPL021W	0.284
YLR273C	0.285
YMR181C	0.285
YMR184W	0.285
YNL116W	0.285
YGL159W	0.285
YNR012W	0.286
YLR283W	0.286
YKL214C	0.286
YOL103W	0.286
YML123C	0.287
YHL043W	0.287
