ORF	hom | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013
YBL007C	-2.914	1.234	2.373	1.259	-2.286	-4.867	-0.112	0.405	-0.121	-0.305	0.010	-0.362	0.018	0.002	0.236	-0.041	0.065	0.330	-0.049	-0.023	0.214	0.027
YBL008W	-0.050	-0.339	-0.045	-2.035	0.193	-2.085	-1.320	-0.777	-0.302	-1.175	-2.144	0.016	-0.300	-1.350	-0.066	-0.087	-0.153	-0.163	0.111	-0.331	-0.469	-0.123
YBL008W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL009W	-0.238	0.479	-0.749	-0.008	0.098	-0.355	-0.689	0.057	-0.055	-0.004	0.003	0.408	-0.902	0.683	0.085	0.051	0.317	1.366	-0.037	1.566	0.769	0.288
YBL010C	-0.015	-0.046	-0.639	0.032	1.166	0.427	0.000	0.004	0.004	-0.053	-0.240	1.375	-0.308	1.626	-0.001	0.730	0.886	0.211	1.002	0.039	0.084	1.163
YBL011W	-1.418	-0.036	-0.026	0.004	-1.497	-2.514	-1.997	-0.107	0.019	-0.057	-0.446	3.338	0.587	-0.005	0.006	0.014	-2.450	0.281	0.767	10.007	1.461	0.575
YBL012C	-0.345	-0.099	0.070	-0.011	-0.710	-0.202	-1.516	-0.011	0.031	0.230	-0.655	-1.040	-0.142	-0.298	-0.553	-2.542	-1.623	-0.102	-0.286	0.162	-0.275	-1.780
YBL013W	-0.153	-1.188	0.883	-0.010	-0.068	0.004	0.003	-0.001	0.012	0.499	-0.535	3.771	2.779	3.994	2.204	3.844	5.027	4.305	0.231	2.734	2.215	5.591
YBL014C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL015W	0.043	-0.058	-0.032	0.152	-0.032	0.026	0.020	0.027	-0.595	-0.233	-0.376	2.139	1.479	0.385	1.171	1.449	0.894	1.622	1.877	0.803	0.778	2.167
YBL016W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.027	-0.010	0.101	0.038	0.682	0.342	0.075	1.006	0.082	0.023	-0.047
YBL017C	-0.043	-0.087	-0.894	0.085	-0.189	-0.050	-0.029	0.714	0.059	-0.103	-0.230	1.486	0.520	0.134	0.431	0.793	-0.150	0.940	0.177	0.251	0.011	0.171
YBL018C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.108	-1.537	-0.257	0.862	-0.025	-0.001	-0.008	0.378	0.008	-0.862	0.116
YBL019W	-0.101	0.027	0.309	-0.050	0.119	1.270	0.760	0.003	0.116	0.233	-0.005	-0.327	-0.356	0.195	0.012	-0.135	-0.068	0.091	-0.083	0.001	-1.493	-0.103
YBL020W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.763	0.024	-0.214	0.008	-0.896	-0.726	-1.110	0.014	-0.246	-1.225	-0.953
YBL021C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL022C	-0.237	-5.735	-8.548	-9.037	0.219	-3.228	-4.502	-1.067	-0.002	-2.346	-1.929	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL023C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.733	-0.062	0.099	0.872	3.998	6.040	4.195	2.890	0.634	0.278	3.387
YBL024W	0.009	0.374	0.189	1.582	2.140	2.246	3.675	0.008	-0.052	0.208	0.898	0.227	0.558	0.130	0.443	0.703	0.679	1.474	0.152	0.041	0.022	0.437
YBL025W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.094	-0.177	0.123	-0.149	0.024	-0.044	-0.877	0.829	-0.331	-0.040	0.050
YBL026W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.760	0.106	0.508	2.616	0.699	4.043	2.279	0.435	1.800	2.170	0.351
YBL027W	3.080	2.519	5.951	1.899	0.820	1.762	2.309	-1.866	0.134	2.660	3.083	-3.130	0.034	0.378	-0.043	-1.268	-5.457	-1.322	-2.971	0.137	-0.204	-4.231
YBL028C	-0.026	-0.249	-0.015	-0.278	-0.015	0.055	-0.830	-0.110	-0.236	-0.138	-1.161	0.032	0.003	0.178	0.119	0.012	-0.039	0.080	0.013	-0.124	-0.094	-0.015
YBL029C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL029W	-0.010	-0.855	-0.006	0.149	-0.151	-0.163	0.331	0.021	-0.024	0.279	-0.144	0.758	-0.029	-0.066	0.020	-0.005	-0.016	0.449	-0.003	-0.016	-0.589	0.015
YBL030C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.047	-0.367	0.183	-0.056	-0.038	-0.022	0.377	0.315	0.307	-0.037	-0.115
YBL031W	-3.622	-0.797	-1.131	-0.049	-0.398	-0.118	-2.252	-0.118	-0.486	-1.885	-2.146	-0.436	-0.139	-0.011	-0.004	-0.130	-0.024	-0.040	0.206	-0.220	-1.406	-0.689
YBL032W	0.049	-0.044	2.431	0.023	0.029	0.770	0.274	-0.602	0.002	-0.025	1.927	0.608	-1.005	0.105	-0.032	0.057	1.451	0.047	-0.029	1.510	1.474	1.410
YBL033C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.629	0.222	-0.452	-1.085	0.050	0.059	0.074	0.027	0.056	0.073	-0.429
YBL034C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.122	-0.024	-1.405	-0.213	-1.965	-0.207	-0.594	-0.358	-0.622	-0.436	-0.739
YBL035C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.977	0.005	-0.444	-0.164	-1.349	-1.428	-0.207	-1.969	-0.177	-1.112	-1.240
YBL036C	0.007	-0.064	-0.060	0.377	-0.087	0.435	0.187	-0.007	-0.108	-0.055	-0.105	-0.046	0.021	-0.783	0.468	-0.307	-0.010	0.018	-0.044	-0.796	-0.826	-0.216
YBL037W	-0.067	-0.346	-0.353	-0.689	-0.000	0.028	-0.339	-0.293	-0.098	-0.000	-0.413	-0.006	-0.059	-1.793	0.992	1.160	0.058	-0.014	0.005	-0.408	-0.435	-0.031
YBL038W	4.267	1.800	5.016	2.097	0.540	0.079	6.567	0.057	-0.053	0.270	4.822	-2.606	-0.008	-0.604	-1.501	-0.772	-0.007	-0.362	0.292	0.056	-0.183	0.019
YBL039C	-0.029	3.052	3.094	3.403	0.208	0.074	1.386	-3.165	0.015	2.286	2.960	0.068	0.175	-1.406	-0.035	0.014	-0.001	0.123	-0.046	-0.172	-0.116	0.010
YBL039C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL039W-B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL040C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.217	0.207	0.442	0.000	-0.416	-0.298	-0.087	-0.163	0.019	-0.688	-0.755
YBL041W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.940	-0.471	0.244	-0.478	0.025	-0.042	-0.553	0.749	0.023	0.112	-0.304
YBL042C	-1.441	0.054	-1.257	-3.217	-0.739	-2.257	-1.270	-0.920	0.001	-0.169	0.228	-2.859	0.076	-0.123	-0.191	-1.820	-0.630	-0.472	0.097	0.088	0.208	-1.717
YBL043W	-0.017	0.050	0.368	0.987	-0.015	0.336	-0.189	0.009	-1.209	-0.101	0.991	0.024	-0.006	0.123	0.125	-1.586	-1.235	-0.127	0.235	-0.075	-0.045	-0.588
YBL044W	0.048	0.048	0.028	-0.060	-1.077	0.404	0.381	0.083	-0.407	0.002	-0.099	-8.274	-5.729	-5.823	-5.437	-6.039	-5.265	-7.805	-6.950	-4.597	-5.138	-2.301
YBL045C	0.010	0.226	0.045	1.911	0.621	0.711	2.784	0.019	-0.732	0.019	0.341	0.038	1.201	0.359	1.666	1.267	0.129	0.604	0.307	0.020	1.607	0.118
YBL046W	-1.019	-6.993	-9.760	-5.148	0.149	-0.079	-0.152	0.521	-0.003	0.055	-1.625	0.297	-0.487	-10.495	-1.040	0.901	1.468	0.553	0.954	0.365	1.497	1.032
YBL047C	0.561	0.041	-0.306	-0.013	-1.376	0.041	1.284	0.081	0.647	1.574	0.063	2.930	0.818	NaN	1.005	-0.315	-0.085	-0.019	3.568	-0.026	1.176	-0.042
YBL048W	-0.017	-0.218	0.252	0.025	-0.019	0.151	0.017	0.652	0.013	-0.160	-0.050	0.307	1.072	0.938	0.203	0.984	-0.110	0.339	-0.646	0.011	0.015	0.021
YBL049W	-0.235	-0.262	0.016	-2.094	-0.035	-0.108	-0.034	-0.149	-0.875	-0.107	-0.358	-0.360	0.018	0.171	-0.124	0.005	0.060	-0.064	-0.172	-0.640	-0.251	-0.102
YBL050W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.358	-0.033	-3.442	-0.053	-2.431	-3.332	-3.634	0.008	-1.582	-0.589	-2.896
YBL051C	-1.937	-4.536	-3.388	-4.685	-0.848	-5.833	-3.017	-3.868	-0.194	-2.376	-1.904	-1.381	-0.009	-0.356	-1.315	-0.948	-1.504	-2.484	-0.913	-1.230	-0.606	-2.092
YBL052C	-0.774	-1.119	0.025	-0.508	0.077	0.259	0.092	0.074	-1.205	-0.152	-0.781	-0.338	-0.325	-0.103	-0.865	0.089	-0.245	-0.084	0.158	-0.087	-0.672	-1.513
YBL053W	0.058	-1.013	-0.057	-0.069	-0.003	-0.175	0.051	-0.043	-0.885	-0.911	-0.056	-0.041	-0.898	-0.277	0.022	-0.001	0.017	-0.011	-0.006	-0.125	0.013	-1.428
YBL054W	-0.134	0.047	2.761	0.283	0.297	0.036	0.087	-0.045	0.012	0.016	0.168	0.039	-0.056	0.191	0.117	-0.149	0.065	-1.671	-1.375	0.001	0.935	0.115
YBL055C	-0.113	0.035	-0.003	-0.039	0.047	0.027	-0.103	-0.963	0.124	0.377	0.796	0.157	-1.607	0.424	-0.501	0.130	-0.054	-0.894	0.040	0.078	-0.103	-0.112
YBL056W	-0.210	0.033	0.000	-0.435	-0.006	-0.019	-0.002	-1.255	0.097	-0.514	-1.337	-1.017	0.227	0.002	-0.061	-0.244	-1.229	-0.318	0.067	-0.280	-0.652	-0.925
YBL057C	0.047	-0.062	0.066	0.053	0.325	1.321	1.355	0.003	-0.151	-0.072	0.764	0.032	-0.252	-0.020	0.712	0.414	-0.033	0.792	-0.021	-0.128	0.002	-0.001
YBL058W	-0.039	-0.190	NaN	-0.027	1.240	1.375	0.553	-3.279	0.335	0.070	0.814	0.253	-0.016	0.448	0.192	0.085	0.701	0.120	-0.063	0.064	0.003	-0.033
YBL059C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL059W	-0.255	-1.190	0.060	0.046	0.040	0.000	0.010	-0.329	-1.450	0.000	0.006	-0.009	-0.002	0.045	-0.071	-0.080	-0.074	-0.405	-0.060	-1.373	-0.066	-0.092
YBL060W	0.089	-0.442	0.199	0.076	-0.521	0.189	-0.166	0.050	-2.041	0.011	-0.021	0.084	-0.204	0.592	-0.372	0.464	0.001	0.509	-0.090	0.102	0.002	0.066
YBL061C	1.343	0.768	0.569	1.785	-0.141	0.169	-0.486	-0.033	-0.691	-0.092	0.176	-0.918	-0.756	0.039	-0.234	-0.866	-0.776	-0.123	-0.030	-0.264	-0.132	-0.041
YBL062W	0.550	-0.002	0.132	-0.336	-0.112	-0.005	-0.083	0.396	-1.048	-0.121	-0.166	0.596	-0.220	-0.189	-0.027	0.027	0.606	0.128	0.074	0.095	-0.012	0.134
YBL063W	-0.082	0.016	0.003	0.292	-1.117	0.006	-0.426	0.008	-0.556	0.012	-0.260	0.010	-0.078	-0.108	0.003	0.023	-0.242	0.024	0.357	-0.451	-0.122	-0.089
YBL064C	-0.062	-0.142	-0.383	-0.005	0.212	0.009	-0.002	0.661	-0.030	0.045	-0.125	-0.070	-0.060	0.557	0.071	-0.018	-0.037	-2.710	-0.958	-2.131	-1.194	-0.032
YBL065W	-1.826	0.161	0.055	-1.226	-0.488	-0.244	-0.003	-0.441	0.098	0.178	-0.111	-10.778	-2.774	-3.810	-7.538	-9.393	-11.348	-10.789	-6.640	-1.811	-1.974	-12.523
YBL066C	-0.028	-0.064	-0.009	0.266	0.010	0.165	0.871	0.096	0.838	0.331	0.000	0.019	0.655	0.107	1.283	0.010	-0.041	0.035	0.012	0.514	0.027	0.056
YBL067C	-4.520	-0.491	-1.915	-3.728	-3.495	-8.400	-7.969	-0.174	-1.477	-1.176	-3.073	-17.586	-6.848	-14.248	-26.554	-26.252	-34.648	-31.898	-18.968	-25.838	-28.211	-17.414
YBL068W	-0.104	-0.349	-0.240	-0.007	-0.006	-0.001	-0.394	0.011	-0.225	-0.448	-0.048	1.617	-0.127	2.114	0.196	1.413	1.142	1.732	0.420	0.499	0.080	0.819
YBL068W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL069W	-0.106	-0.772	-0.281	-0.097	-0.001	-0.164	-0.062	0.016	-0.001	-0.332	-1.014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL070C	-0.251	-0.079	-0.544	-0.196	-0.127	0.045	-0.825	-0.066	-0.089	-0.020	-1.090	1.382	0.070	0.457	1.015	0.218	0.582	0.858	1.243	-0.022	-0.039	0.202
YBL071C	2.799	0.773	3.795	1.081	4.307	0.893	4.539	0.012	-0.042	1.920	2.354	-0.022	0.134	-0.035	0.087	0.070	0.009	0.997	0.051	-0.024	-0.300	0.483
YBL071C-B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL071W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL072C	-1.873	-2.750	-3.349	-0.861	-2.756	-5.065	-5.300	-0.077	-1.817	-2.052	-1.541	0.073	-0.226	0.202	1.641	-0.110	-0.165	-0.028	0.446	-0.082	-0.007	0.014
YBL073W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.330	0.007	0.002	0.068	-0.373	-0.035	-0.065	-0.674	-0.421	-0.135	0.011
YBL074C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.315	-0.020	0.883	0.013	-0.880	-0.870	-0.644	-0.087	-0.096	0.027	-0.736
YBL075C	-0.005	-0.031	-1.317	0.069	-0.028	0.366	0.612	0.147	-0.053	-0.036	-0.163	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL076C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.292	-0.725	1.183	-0.409	0.085	0.158	-0.035	0.081	0.060	0.055	0.022
YBL077W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.020	1.068	0.487	0.071	0.005	1.154	0.474	-0.200	1.536	0.239	0.183
YBL078C	0.213	0.493	1.150	0.394	-0.219	0.009	-0.001	0.014	-0.060	-0.156	-0.244	-0.211	-0.022	0.333	-0.065	0.121	-0.056	0.164	-0.056	0.008	-0.541	-0.086
YBL079W	2.973	1.200	0.463	0.212	0.640	-0.065	2.003	0.313	0.751	0.072	3.239	0.165	-0.125	-0.113	0.867	0.239	0.051	-0.563	0.142	-1.572	1.284	-0.012
YBL080C	-0.063	-0.103	4.191	0.824	0.668	-0.006	1.089	-0.150	0.121	1.983	0.570	0.407	-0.253	0.342	-0.108	-0.015	-0.069	1.461	-0.042	0.046	-0.672	0.667
YBL081W	1.425	0.029	0.014	0.968	0.195	1.195	1.221	-0.049	-0.260	0.891	0.871	1.719	0.119	0.309	0.032	1.777	0.069	2.546	0.425	0.115	0.316	0.911
YBL082C	-0.045	-1.058	-0.870	-0.945	-0.451	-0.525	-1.188	-0.464	-0.278	-0.001	-1.093	0.010	-0.208	0.023	0.115	-0.203	-0.337	-0.012	0.476	-1.800	0.016	0.035
YBL083C	-4.081	-0.046	-0.280	-2.589	-0.279	-1.384	-5.426	0.673	-0.353	-0.054	-4.013	-1.136	-1.811	0.013	-0.138	0.601	-0.143	-1.438	0.024	0.005	-0.923	-0.007
YBL084C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.313	-0.760	-0.136	-0.534	-0.173	-1.002	-1.155	-2.726	-0.267	-0.131	-1.191
YBL085W	-0.019	0.075	0.026	0.438	0.031	0.001	0.057	-0.144	-0.328	0.097	-0.646	-0.038	0.031	-0.013	0.088	0.041	0.031	0.204	0.181	-0.763	-0.497	0.602
YBL086C	-1.554	-0.579	-1.939	-0.387	-0.163	-2.061	-1.647	0.063	-0.023	-1.065	-1.764	1.084	-0.012	-1.928	0.134	0.364	0.416	0.040	-0.100	0.118	0.086	-0.522
YBL087C	-2.081	-0.227	-0.546	-0.258	-3.464	-4.339	-5.216	-2.432	-0.147	-1.203	-3.349	0.113	0.044	1.331	0.838	-0.259	-1.913	-0.868	0.118	-1.185	-1.930	0.192
YBL088C	-1.574	-0.396	0.055	-0.017	-0.789	-0.267	-0.050	-0.035	-0.482	0.237	-0.056	0.245	0.069	0.104	0.061	-0.029	-0.021	0.634	0.073	0.065	-0.135	0.025
YBL089W	0.188	1.080	0.394	0.587	0.417	0.579	1.718	0.203	0.618	0.843	1.741	0.041	0.030	0.219	-0.003	-0.012	0.243	0.302	0.772	0.170	-0.047	-0.019
YBL090W	NaN	NaN	NaN	NaN	-3.264	0.668	NaN	-2.056	-5.062	0.062	NaN	0.079	-1.044	0.025	-0.007	-0.021	-0.518	0.159	-1.667	-0.039	0.047	-0.037
YBL091C	-0.042	-0.714	-0.797	-0.097	0.079	-0.080	0.049	0.003	0.053	-0.031	0.200	0.403	NaN	NaN	0.340	1.178	2.238	3.337	0.299	0.049	0.109	5.989
YBL091C-A	-0.047	0.159	-0.082	0.161	-0.074	-0.053	0.263	-0.217	0.214	0.142	1.202	0.665	-0.007	-0.006	-0.017	2.567	0.522	-0.005	0.440	0.020	0.555	0.062
YBL092W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.111	0.296	1.729	0.399	0.265	1.143	0.515	-0.309	0.034	0.567	2.075
YBL093C	4.473	-0.001	0.310	-0.051	2.155	-0.614	-0.002	10.408	-3.330	-0.155	0.387	NaN	NaN	NaN	NaN	-0.029	0.957	NaN	0.371	0.433	-1.198	NaN
YBL094C	-0.881	0.395	-0.547	0.009	-0.038	0.093	-0.073	-1.555	-1.743	1.307	-0.985	0.017	-0.181	-0.766	-0.487	-0.068	0.030	-0.026	1.747	0.181	-0.013	-0.020
YBL095W	0.102	-0.527	0.498	-1.093	-0.141	0.030	-0.047	-0.097	-0.064	0.014	0.484	-0.371	-2.470	-0.021	-0.174	-0.621	-1.619	-0.775	-0.014	0.448	0.018	-0.031
YBL096C	0.831	0.016	0.051	0.075	0.006	-0.005	0.127	0.149	-0.126	-0.698	-0.029	-0.661	0.832	0.424	-1.424	-2.346	-0.124	0.009	-0.393	-1.334	-0.679	-1.780
YBL097W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.174	0.206	-0.377	0.521	-1.243	-1.443	-1.611	-0.024	-0.068	-0.210	-1.030
YBL098W	0.264	-0.012	-0.014	0.018	-0.225	-0.038	-0.195	0.022	-0.242	-0.242	-0.477	0.328	-0.487	0.221	0.087	0.017	0.081	0.003	0.169	0.092	0.146	-0.043
YBL099W	-0.124	2.835	1.259	4.097	0.553	0.303	0.145	-0.260	0.032	-0.159	2.750	-0.946	-1.129	-2.063	-0.089	-0.021	-0.028	-0.078	1.227	-0.102	-0.148	0.132
YBL100C	2.100	-0.224	1.180	3.719	0.146	2.222	1.537	4.072	-0.058	-0.431	0.152	0.103	0.242	-0.334	0.079	0.150	0.102	-0.031	0.197	-0.435	-0.205	0.077
YBL100W-C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL101C	-0.027	-0.043	NaN	0.100	-0.247	0.078	0.014	-0.045	-0.023	-0.202	-1.111	0.143	0.231	0.401	0.748	-0.041	-0.612	1.448	0.085	-0.138	0.033	1.185
YBL102W	0.101	0.261	0.474	0.719	-0.045	-0.027	-0.019	-0.187	-0.022	2.068	0.416	-0.041	-0.054	-1.100	0.066	-0.061	0.034	-0.371	0.097	-1.417	-0.029	-0.145
YBL103C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.075	-0.014	0.769	-0.469	-0.031	0.054	0.301	0.063	-0.012	1.050	0.081
YBL104C	0.465	-0.112	-0.009	-0.111	0.490	0.055	0.627	0.752	0.031	2.120	2.102	0.511	0.088	-0.003	0.217	0.043	0.999	0.045	-0.033	0.020	0.511	0.700
YBL105C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.378	0.636	0.734	0.061	0.384	1.501	1.060	1.533	0.063	0.187	0.372
YBL106C	-0.008	0.219	-0.098	0.713	-0.079	0.131	0.308	0.138	-0.035	0.349	-0.039	0.031	-2.515	0.030	0.148	-0.025	-0.755	-0.261	-0.840	-0.442	0.062	0.189
YBL107C	0.142	0.910	0.255	0.713	0.005	-0.071	0.022	-1.017	0.002	0.942	0.036	0.093	-0.360	0.167	-0.018	0.165	0.188	-0.014	0.018	0.075	0.794	0.535
YBL107W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL108C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL108W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL109W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL111C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL112C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL113C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL113W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBR001C	0.016	0.070	-0.001	0.588	-0.174	-0.055	-0.214	-0.044	-0.062	0.052	0.052	0.033	-0.108	0.035	0.012	-0.006	0.028	-0.079	0.436	-0.056	0.048	-0.005
YBR002C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.029	1.244	-0.343	-0.166	-2.965	-2.841	-2.129	-1.440	-1.721	-0.281	-0.514
YBR003W	NaN	NaN	-2.652	0.647	-0.840	0.338	0.093	-1.233	-10.605	0.028	NaN	-0.215	-0.483	-0.105	-0.065	0.024	-0.012	-0.785	0.433	0.036	-0.530	-0.358
YBR004C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.419	0.001	-0.034	0.087	-0.086	0.056	-0.462	-0.077	0.288	0.434	0.063
YBR005W	0.282	0.039	-0.047	-0.788	0.132	-0.570	-0.476	0.010	0.019	0.087	0.055	0.165	0.047	-0.071	-0.527	-0.071	0.507	-0.774	-0.005	0.114	0.100	-0.118
YBR006W	4.233	1.956	0.617	3.447	3.019	3.531	4.336	0.585	1.100	2.140	3.550	0.024	-1.817	-1.478	0.551	-1.794	-1.022	-1.471	-0.124	-0.591	-0.274	-0.369
