ORF	hom | growth (relative abundance in pooled culture) | UVB [6,400 J/m2] | Birrell GW~Brown JM, 2001	hom | growth (relative abundance in pooled culture) | UVC [200 J/m2] | Birrell GW~Brown JM, 2001
YER135C	0.004	-0.020
YHR018C	0.017	-0.042
YJL138C	0.086	0.101
YMR241W	0.058	0.085
YOR064C	0.072	0.046
YJR040W	-0.030	0.055
YMR156C	0.039	0.041
YOL008W	0.051	0.053
YAL014C	-0.065	-0.035
YER167W	-0.005	0.018
YJL179W	-0.081	-0.024
YML020W	0.183	0.204
YMR316W	-0.089	-0.128
YOR031W	0.034	-0.043
YCL005W	0.034	-0.046
YML071C	0.002	-0.028
YNL318C	-0.095	-0.002
YDL117W	-0.057	-0.168
YDR474C	0.010	0.042
YMR209C	-0.049	-0.045
YPR061C	-0.130	-0.275
YJL169W	-0.112	-0.053
YJL218W	-0.044	-0.039
YER137C	0.064	0.064
YHL042W	0.027	-0.029
YMR030W	-0.053	-0.032
YMR292W	0.163	0.126
YNL128W	-0.049	-0.049
YAR031W	0.312	0.302
YER032W	-0.084	-0.033
YER095W	-0.849	-0.791
YJR048W	0.002	-0.009
YMR313C	-0.065	-0.086
YNL303W	0.012	0.005
YBL051C	0.142	0.115
YDL021W	-0.020	-0.020
YHL046C	-0.076	-0.047
YIL001W	-0.020	-0.023
YIL160C	-0.088	-0.039
YMR215W	-0.015	-0.011
YNL098C	-0.064	-0.102
YOR342C	-0.055	-0.082
YJR103W	0.313	0.358
YPL049C	0.002	-0.031
YPL152W	-0.009	0.013
YER109C	-0.009	-0.063
YHL040C	-0.037	-0.045
YLR286C	0.037	0.047
YPL130W	0.187	0.172
YIL015W	-0.007	-0.026
YJL147C	0.085	0.055
YMR159C	-0.056	-0.012
YMR175W	0.083	0.086
YNL270C	0.133	0.162
YBR221C	-0.039	0.115
YER081W	0.042	0.057
YKL190W	-0.031	-0.050
YML117W	-0.040	-0.098
YPL149W	-0.076	-0.079
YER024W	-0.001	-0.006
YIL097W	-0.188	-0.331
YNL224C	0.005	0.058
YNL279W	0.294	0.314
YGR051C	0.003	-0.030
YMR150C	0.047	0.134
YAL030W	-0.009	0.019
YBR290W	-0.121	-0.108
YDR334W	-0.029	-0.106
YML048W-A	-0.046	0.058
YMR225C	-0.049	-0.022
YNL332W	0.051	0.075
YNR007C	-0.020	-0.046
YER061C	-0.071	0.347
YIL070C	-0.020	0.045
YJL157C	0.198	0.233
YLL010C	-0.015	-0.058
YLR064W	0.129	0.109
YOR092W	-0.012	-0.071
YNL324W	0.009	-0.041
YPL120W	0.051	0.040
YER007W	-0.012	0.069
YER071C	0.019	0.076
YMR250W	NaN	NaN
YNL154C	-0.072	-0.131
YOR055W	-0.030	-0.085
YJL126W	-0.005	-0.041
YJL152W	0.254	0.262
YJL207C	-0.055	-0.085
YLR096W	-0.035	-0.009
YLR120C	-0.028	-0.075
YBL039C	NaN	NaN
YHL038C	-0.001	0.074
YNL122C	-0.027	-0.033
YOR238W	0.386	0.406
YPL246C	-0.041	0.042
YHR017W	0.009	0.009
YMR163C	0.012	0.017
YAL008W	-0.034	-0.028
YIL044C	0.163	0.115
YJR117W	0.181	0.177
YML089C	-0.045	0.009
YNL316C	-0.069	-0.020
YOR050C	-0.055	-0.038
YOR094W	-0.030	-0.023
YER031C	-0.073	0.197
YHR044C	0.214	0.253
YNL148C	-0.186	-0.310
YNL325C	-0.019	-0.018
YPL140C	-0.015	-0.007
YAL031C	-0.010	-0.031
YBR056W	-0.031	-0.089
YKR006C	0.225	0.200
YLR089C	-0.003	-0.023
YMR180C	0.233	0.239
YOL016C	0.001	-0.037
YER098W	-0.031	-0.011
YHR022C	-0.055	-0.047
YHR193C	0.010	-0.034
YNL117W	-0.017	-0.021
YOR150W	0.107	0.101
YPL194W	-0.406	-0.727
YAL028W	-0.033	-0.065
YCR094W	-0.274	-0.304
YER142C	-0.004	-0.034
YHR045W	0.261	0.307
YLL040C	0.050	0.030
YML037C	-0.010	0.030
YMR262W	-0.072	-0.153
YOL115W	0.348	0.516
YOR138C	NaN	NaN
YPL065W	0.185	0.249
YEL031W	-0.027	0.063
YER069W	0.008	-0.008
