orf	hap a | clathrin-mediated endocytosis (Snc1) | standard [standard] | Burston HE~Conibear E, 2009	hap alpha | clathrin-mediated endocytosis (Snc1) | standard [standard] | Burston HE~Conibear E, 2009
YEL071W	0.648186231	1.075646714
YER001W	0.765492268	0.979492562
YER002W	0.884369723	1.084650495
YER005W	0.751499355	1.011732117
YER007C-A	0.746427724	1.188572669
YER007W	0.723571541	1.096650475
YER010C	0.632881944	1.109804537
YER011W	0.778512412	1.144874623
YER030W	1.090328952	0.910512138
YER032W	1.060489143	0.870809411
YER035W	0.986611811	1.012371348
YER039C-A	1.196624401	0.617626282
YER040W	0.843062496	1.02648014
YER044C	0.923408443	
YER044C-A	1.087754211	0.836173202
YER045C	0.96069684	1.021663989
YER046W	1.00459726	0.959085708
YER046W-A	0.900886124	1.057671456
YER047C	0.957772786	0.995642226
YER049W	0.986514967	1.005846296
YER051W	0.918228459	1.050874582
YER055C	0.864994126	0.913240661
YER056C-A	0.229100266	0.238887666
YER057C	0.943326256	1.039871626
YER059W	0.751915727	0.939279487
YER062C	0.985296904	1.017415677
YER063W	0.95503344	1.032080809
YER068W	0.581815479	0.982485358
YER069W	0.367894077	1.123359912
YER070W	0.534868283	1.35022204
YER071C	0.920284614	0.971894037
YER073W	0.963187181	0.998960512
YER074W	0.387331052	0.331316001
YER075C	1.141582346	0.718430452
YER079W	0.995084572	0.946932633
YER080W	1.020315184	0.676437886
YER081W	0.990011688	0.827966185
YER085C	0.979748435	0.698983765
YER086W	1.0192234	0.914444065
YER087C-B	1.095415213	0.764621256
YER087W	0.733727599	
YER088C	0.914559757	0.934197769
YER089C	1.041204187	0.939626373
YER090W	0.982759916	1.012488049
YER091C-A	1.070281242	0.930905917
YER092W	0.355307547	0.598125383
YER096W	0.957619085	1.006872967
YER097W	0.770808124	0.995044018
YER110C	0.643542585	1.202902363
YER111C	0.817274518	0.906165756
YER117W	1.038742028	0.426686204
YER119C-A	0.816884011	0.861051889
YER120W	0.49470421	0.636246012
YER122C	0.522333538	1.0465775
YER123W	0.805871285	0.978270636
YER130C	0.600985929	0.574252753
YER132C	1.02089991	0.985180652
YER135C	1.024639577	0.974067036
YER141W	0.880542946	1.087436979
YER144C	0.85398448	0.876870344
YER154W	0.752811179	0.685789844
YER155C	0.948442529	0.480252196
YER156C	0.882293153	0.906556267
YER161C	0.721943216	0.832592835
YER164W	1.140832496	0.815749574
YER167W	1.061089825	0.615490163
YER169W	1.168037007	0.797785713
YER170W	1.193502208	0.767352572
YER175C	0.563523618	0.940260016
YER176W	0.715597198	0.888472154
YER177W	0.843651677	0.826535771
YER179W	0.794055279	0.878682298
YER180C	1.027809344	0.778378969
YER181C	1.079555	0.812380445
YER182W	0.982262782	0.738256272
YER183C	1.060499947	0.920328469
YER184C	0.892848389	0.709344428
YER185W	0.893830196	1.025403755
YER187W	0.523938775	0.958620266
YER188W	1.088007743	0.876425626
YFL003C	0.973552421	0.543554936
YFL004W	0.886071505	0.678643662
YFL010C	1.081818856	0.829839372
YFL012W-A	0.565862956	0.781691966
YFL013C	0.792450426	0.593652337
YFL015C	0.800514471	1.019083647
YFL016C	0.735750057	
YFL025C	0.346668848	0.512212281
YFL030W	0.864611784	1.035411565
YFL031W	0.753828534	0.725887543
YFL032W	0.796607766	0.750229949
YFL034W	0.698150815	0.6633077
YFL044C	0.944015234	0.971659832
YFL047W	0.931295812	0.914243862
YFL049W	0.83571626	0.856225343
YFL052W	0.807372928	1.026284671
YFL053W	0.92638089	0.967295482
YFL063W	0.880831878	1.047001119
YFR001W	0.619958006	
YFR006W	0.929888744	0.969540556
YFR009W	0.923062464	0.892422776
YFR010W	0.99233566	0.71788927
YFR011C	0.969805767	0.652944876
YFR012W	0.699300829	1.133540143
YFR013W	0.912798208	0.866556253
YFR014C	0.867964841	0.956328593
YFR015C	0.964547157	0.978651956
YFR019W	0.951194639	0.68947947
YFR024C-A	0.729121582	0.72043656
YFR026C	1.087355476	0.766297921
YFR030W	0.950806138	1.026046601
YFR031C-A	0.272470732	0.79623748
YFR032C	0.86944975	0.859574563
YFR032C-A	0.93755667	0.8556614
YFR034C	0.895949534	0.719280558
YFR035C	1.021224619	0.85083447
YFR036W	1.100020625	0.81798292
YFR038W	1.173671085	0.592682115
YFR040W	0.884518035	0.853755321
YFR043C	0.704584827	0.92312256
YFR044C	0.886468979	0.860685184
YFR046C	1.016705232	0.990293013
YFR055W	0.982511938	0.896652193
YFR056C	1.022040871	0.923724245
YGL004C	1.11585416	0.869247698
YGL007W		0.959259376
YGL012W		0.716845912
YGL014W	0.646761766	0.658382091
YGL015C	0.485575478	1.065017312
YGL016W	0.50067952	0.832838869
YGL017W	0.876518801	0.815709995
YGL021W	0.954212351	0.850548078
YGL024W	0.922888441	0.633417803
YGL025C	0.94704369	0.81102134
YGL027C	0.323367879	0.604661459
YGL028C	0.856938972	1.051769715
YGL033W	0.821370473	1.078582362
YGL036W	0.973676473	0.937215959
YGL045W	0.553585629	0.826351162
YGL050W	1.058019277	0.936100509
YGL053W	0.863495683	0.903105502
YGL058W	0.245420275	0.457936739
YGL059W	0.950645798	0.797005615
YGL063W	0.963088471	1.029492346
YGL066W	0.427108402	0.538458556
YGL071W	0.892443114	0.937119872
YGL072C	0.338113001	0.967168099
YGL076C	0.520005464	0.623782517
YGL077C	0.967270652	0.965868765
YGL079W	0.885191493	0.828697209
YGL084C	0.380480566	0.507807105
YGL085W	0.979762232	1.00203388
YGL086W	0.924014775	0.938118667
YGL089C	1.063041489	0.881776967
YGL090W	1.086557367	0.824567631
YGL094C	0.910039162	0.967403328
YGL096W	0.903026278	1.027732297
YGL105W	1.074397825	0.54593221
YGL107C	0.929195804	0.739592146
YGL108C	0.97103244	0.688931154
YGL109W	0.571168415	0.909231307
YGL110C		0.951288469
YGL114W	0.939321096	1.041553069
YGL118C	1.126214064	0.873306209
YGL121C	1.1002331	0.750658672
YGL125W	0.994864511	
YGL126W	0.865020396	0.807744586
YGL127C	0.406128594	0.881103555
YGL129C	0.961079326	0.688430303
YGL131C	0.662911221	1.143774732
YGL132W	0.902762135	1.091713506
YGL133W	0.805074128	0.91193259
YGL140C	0.885035674	0.923384014
YGL141W	0.882450955	0.756912748
YGL144C	0.817402798	0.904691551
YGL146C	0.679450938	0.961491111
YGL149W	0.520452755	0.864516944
YGL152C	0.878328114	0.931028305
YGL157W	0.922696843	0.886062005
YGL158W	0.954898344	0.927155252
YGL159W	0.963270662	1.027903131
YGL160W	0.780167692	0.79709802
YGL161C	0.866906772	0.742332392
YGL165C	0.937427232	1.016291489
YGL167C	0.559582462	0.730815652
YGL168W	0.357290733	0.509121136
YGL170C	0.901557796	0.915525668
