ORF	hom | growth (relative abundance in pooled culture) | formaldehyde [0.15mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.3mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.6 mM], time [5 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.15mM], time [15 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.3mM], time [15 generations] | North M~Vulpe CD, 2016	hom | growth (relative abundance in pooled culture) | formaldehyde [0.6 mM], time [15 generations] | North M~Vulpe CD, 2016
YLR124W	1.200	1.400	0.000	0.000	0.000	0.000
YML099W-A	1.200	0.000	0.000	1.500	0.000	0.000
YGR205W	1.400	1.500	0.000	0.000	0.000	0.000
YOR064C	1.400	1.400	0.000	0.000	0.000	0.000
YBR269C	1.500	0.000	1.800	0.000	0.000	0.000
YDR401W	1.600	1.900	0.000	0.000	0.000	0.000
YGR034W	1.800	1.800	0.000	0.000	0.000	0.000
YBR170C	1.800	2.100	0.000	0.000	0.000	0.000
YPR044C	1.800	2.200	0.000	0.000	0.000	0.000
YBL062W	1.800	2.000	0.000	0.000	0.000	0.000
YKR078W	2.000	2.100	0.000	0.000	0.000	0.000
YGL200C	2.000	2.500	0.000	0.000	0.000	0.000
YLR421C	2.100	1.900	0.000	0.000	0.000	0.000
YLR023C	2.300	2.300	0.000	0.000	0.000	0.000
YMR280C	2.500	2.700	0.000	0.000	0.000	0.000
YGR097W	2.600	2.500	0.000	0.000	0.000	0.000
YDR153C	2.600	3.100	0.000	0.000	0.000	0.000
YLR133W	2.600	2.700	0.000	0.000	0.000	0.000
YMR289W	2.700	2.500	0.000	0.000	0.000	0.000
YKR035C	2.800	3.000	0.000	0.000	0.000	0.000
YEL012W	3.700	4.300	0.000	0.000	0.000	0.000
YFR034C	0.000	0.000	0.000	-2.400	0.000	2.000
YGR220C	0.000	0.000	0.000	-1.900	0.000	-1.700
YLR261C	0.000	0.000	0.000	-1.800	0.000	2.600
YGL043W	0.000	0.000	0.000	-1.100	-1.200	0.000
