213	YPR133W-A	TOM5	1.28E-04	3.88E-07
214	YER070W	RNR1	1.29E-04	5.14E-07
215	YDR386W	MUS81	1.30E-04	1.50E-07
216	YGL087C	MMS2	1.30E-04	1.53E-06
217	YFR001W	LOC1	1.30E-04	8.61E-07
218	YKR077W		1.33E-04	1.65E-07
219	YPR148C		1.34E-04	1.24E-07
220	YNL225C	CNM67	1.36E-04	3.11E-07
221	YIL047C	SYG1	1.37E-04	1.64E-07
222	YDL116W	NUP84	1.38E-04	1.65E-07
223	YGL217C		1.38E-04	2.32E-07
224	YGR130C		1.39E-04	1.71E-07
225	YJL047C	RTT101	1.40E-04	2.19E-07
226	YHR167W	THP2	1.40E-04	1.70E-07
227	YEL051W	VMA8	1.40E-04	1.55E-06
228	YJL188C	BUD19	1.41E-04	1.19E-06
229	YEL007W		1.41E-04	1.39E-07
230	YOR163W	DDP1	1.43E-04	2.50E-07
231	YER016W	BIM1	1.44E-04	1.57E-07
232	YML035C	AMD1	1.44E-04	2.00E-07
233	YJL189W	RPL39	1.44E-04	1.16E-06
234	YBR094W		1.45E-04	1.55E-07
235	YAL035W	FUN12	1.49E-04	3.65E-07
236	YAL058C-A		1.50E-04	2.02E-07
237	YLL049W		1.52E-04	1.88E-07
238	YIR023W	DAL81	1.57E-04	1.83E-07
239	YKL113C	RAD27	1.59E-04	2.73E-06
240	YOL076W	MDM20	1.62E-04	1.20E-06
241	YEL027W	CUP5	1.65E-04	3.32E-06
242	YDR369C	XRS2	1.68E-04	NaN
243	YOR178C	GAC1	1.69E-04	2.10E-07
244	YDR092W	UBC13	1.70E-04	1.39E-06
245	YMR062C	ECM40	1.70E-04	6.02E-07
246	YKL143W	LTV1	1.71E-04	8.48E-07
247	YIL132C	CSM2	1.79E-04	1.21E-06
248	YPL059W	GRX5	1.83E-04	2.93E-06
249	YLR369W	SSQ1	1.85E-04	2.15E-06
250	YER142C	MAG1	1.90E-04	2.59E-07
251	YDR207C	UME6	1.92E-04	3.10E-07
252	YKL016C	ATP7	1.92E-04	1.44E-06
253	YPL271W	ATP15	1.98E-04	2.28E-06
254	YJL189W	RPL39	1.98E-04	7.40E-07
255	YPL024W		2.00E-04	3.21E-07
256	YJL006C	CTK2	2.14E-04	1.94E-07
257	YGL095C	VPS45	2.14E-04	1.29E-06
258	YDL059C	RAD59	2.16E-04	2.01E-07
259	YJL129C	TRK1	2.17E-04	7.67E-07
260	YDL144C		2.26E-04	1.79E-07
261	YER095W	RAD51	2.32E-04	2.28E-06
262	YDR470C	UGO1	2.39E-04	1.27E-06
263	YDR532C		2.47E-04	1.17E-06
264	YGL246C	RAI1	2.63E-04	4.83E-07
265	YCR028C	FEN2	2.89E-04	3.56E-07
266	YGL163C	RAD54	3.16E-04	2.33E-06
267	YGR262C	BUD32	3.47E-04	1.69E-06
268	YML032C	RAD52	7.18E-04	NaN
