orf	hap a | actin aggregate (Sac6) | standard | SD[low-fluor] + Met + Leu + Ura + NAT + G418 | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | actin bright patches (Sac6) | standard | SD[low-fluor] + Met + Leu + Ura + NAT + G418 | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | actin decreased patch number (Sac6) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | actin depolarized patches (Sac6) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat aggregate (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat decreased patch number (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat depolarized patches (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | coat increased patch number (Sla1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | late endosome fragmented (Snf7) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | late endosome membrane (Snf7) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | late endosome condensed (Snf7) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole class E (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole enlarged (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole vATPase defect (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole fragmented (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole class G (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020	hap a | vacuole multilobed (Vph1) | standard | None | Mattiazzi Usaj M~Andrews BJ, 2020
YOR053W	0.041666666666667	0.055555555555556	0.083333333333333	0.041666666666667	0.053333333333333	0.066666666666667	0.0	0.0	0.068	0.02	0.356	0.040404040404041	0.080808080808081	0.02020202020202	0.03030303030303	0.0	0.060606060606061
YOR054C	0.032608695652174	0.032608695652174	0.032608695652174	0.043478260869565	0.074468085106383	0.031914893617021	0.010638297872341	0.021276595744681	0.068493150684932	0.047945205479452	0.082191780821918	0.057971014492754	0.020289855072464	0.0	0.031884057971015	0.002898550724638	0.031884057971015
YOR055W	0.016233766233766	0.045454545454546	0.048701298701299	0.162337662337662	0.018018018018018	0.03003003003003	0.063063063063063	0.084084084084084	0.054669703872437	0.029612756264237	0.309794988610478	0.05668016194332	0.060728744939271	0.008097165991903	0.052631578947369	0.004048582995951	0.02834008097166
YOR058C	0.02	0.026666666666667	0.066666666666667	0.113333333333333	0.032467532467533	0.038961038961039	0.038961038961039	0.071428571428572									
YOR059C	0.03	0.03	0.025	0.155	0.059907834101383	0.018433179723502	0.036866359447005	0.073732718894009	0.049586776859504	0.008264462809917	0.297520661157025	0.038216560509554	0.031847133757962	0.006369426751592	0.02547770700637	0.0	0.063694267515924
YOR061W	0.045454545454546	0.02209595959596	0.113636363636364	0.171085858585859	0.040664314925233	0.112384103892861	0.0392657571879	0.021977335872382	0.212389380530973	0.141592920353982	0.097345132743363	0.0316640970295	0.018702847157982	0.013795868023436	0.184582176996609	0.085770377222737	0.091059718367767
YOR062C	0.008072973829906	0.031194361113144	0.057340064876466	0.088892140842093	0.035830212234706	0.077777777777778	0.116687473990845	0.022347066167291	0.084337752778894	0.026583634659167	0.175204231953931	0.01281263539328	0.028697467407145	0.002048131080389	0.032269880656978	0.001536098310292	0.039970065776517
YOR064C	0.018678057891735	0.018310984541944	0.067130032746358	0.063034177089842	0.048514888663587	0.070281501508267	0.049053108532662	0.035071908677857	0.102087442846881	0.018407295075425	0.255142355449643	0.017753012048193	0.006909638554217	0.007319277108434	0.042006024096386	0.011659638554217	0.06446686746988
YOR065W	0.010160218835483	0.049332309226395	0.066984678821199	0.10247806928892	0.043637591012103	0.094250767475127	0.084494591510359	0.008968609865471	0.082372322899506	0.00329489291598	0.063083470620538	0.005541346973572	0.008525149190111	0.001875532821824	0.023358908780904	0.005711849957374	0.040409207161126
YOR066W	0.028776978417266	0.043165467625899	0.028776978417266	0.107913669064748	0.042857142857143	0.035714285714286	0.042857142857143	0.028571428571429	0.081395348837209	0.034883720930233	0.069767441860465	0.067961165048544	0.038834951456311	0.004854368932039	0.009708737864078	0.0	0.092233009708738
YOR067C	0.025906735751295	0.015544041450777	0.05699481865285	0.067357512953368	0.047619047619048	0.061904761904762	0.004761904761905	0.00952380952381	0.127118644067797	0.025423728813559	0.059322033898305	0.02676399026764	0.009732360097324	0.002433090024331	0.036496350364964	0.0	0.072992700729927
YOR068C	0.018564995940061	0.06769026352698	0.072217711178366	0.124517113260008	0.052933762778323	0.073659151379359	0.053050459786211	0.015485692946833	0.337397252749877	0.098663032005082	0.039383659784213	0.00275846849829	0.00317775571003	0.004104601125455	0.829835595277502	0.008959505682445	0.027827430210747
YOR069W	0.031699185658851	0.055440782641963	0.067803465048916	0.090812701535771	0.050610944705939	0.061583498040495	0.030323097717193	0.011553273427471	0.539539611978359	0.028159137117062	0.011358075743479	0.001067919692439	0.00733961505124	0.006281545103537	0.796224852046466	0.013038469992494	0.007495137336547
YOR070C	0.06015037593985	0.052631578947369	0.075187969924812	0.142857142857143	0.065789473684211	0.085526315789474	0.026315789473684	0.039473684210526	0.14422158548233	0.124164278892073	0.058261700095511	0.008704061895551	0.007736943907157	0.016441005802708	0.203094777562863	0.011605415860735	0.078336557059961
YOR071C	0.014164305949009	0.050991501416431	0.031161473087819	0.104815864022663	0.024	0.050666666666667	0.042666666666667	0.042666666666667	0.068441064638783	0.034220532319392	0.11787072243346	0.015209125475285	0.049429657794677	0.007604562737643	0.041825095057034	0.0	0.068441064638783
YOR072W	0.024752475247525	0.024752475247525	0.03960396039604	0.108910891089109	0.028301886792453	0.028301886792453	0.028301886792453	0.05188679245283	0.033519553072626	0.022346368715084	0.083798882681564	0.032	0.018666666666667	0.005333333333333	0.018666666666667	0.008	0.029333333333333
YOR073W	0.010974034290551	0.027891003045945	0.03062929119126	0.130307434445354	0.041575340082803	0.071608739519187	0.123003861809832	0.015621194725672	0.065083639330886	0.032231742146063	0.253773969808242	0.009648929565618	0.003427259193987	0.002229654403567	0.019312545477607	0.012774451097805	0.025918731099674
YOR076C	0.040404040404041	0.060606060606061	0.03030303030303	0.131313131313131	0.028301886792453	0.047169811320755	0.018867924528302	0.047169811320755	0.031746031746032	0.031746031746032	0.063492063492064	0.0125	0.0125	0.00625	0.04375	0.0125	0.03125
YOR078W	0.025990783410138	0.152135176651305	0.019047619047619	0.092534562211981	0.049390243902439	0.07484756097561	0.015853658536586	0.057621951219512	0.043456375838926	0.451821320883183	0.049513665985799	0.033694029850747	0.079888059701493	0.016231343283582	0.019962686567164	0.0	0.02
YOR079C	0.034090909090909	0.015151515151515	0.026515151515152	0.071969696969697	0.02054794520548	0.041095890410959	0.013698630136986	0.027397260273973	0.071724137931035	0.122758620689655	0.037241379310345	0.041379310344828	0.006896551724138	0.006896551724138	0.048275862068966	0.020689655172414	0.048275862068966
