ORF	hap a | chronological lifespan | glucose [2%], time [9 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [2%], time [21 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [9 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [21 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [33 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010
YPL064C	0.378	-0.471	0.250	-0.042	-1.816
YCR017C	-4.408	-6.087	-0.443	-3.238	-6.296
YKL096W-A	0.919	-0.233	0.732	0.540	-2.332
YNL111C	0.428	0.888	0.369	-0.664	-3.094
YJR048W	-2.420	-5.087	-4.000	-3.830	-5.141
YEL039C	-1.077	-1.226	-0.106	-0.492	-3.355
YDR430C	1.157	0.723	0.839	2.064	-0.359
YAL012W	0.397	1.315	-0.056	1.535	0.311
YOR065W	-4.042	-3.400	-3.391	-2.150	-2.991
YKL087C	-4.351	-5.144	-5.012	-4.041	-5.095
YFL053W	0.025	-0.145	0.405	-0.289	-3.651
YIR027C	0.630	-0.247	0.524	0.214	-2.421
YIR032C	0.157	-0.294	0.059	0.057	-2.351
YIR031C	0.064	0.337	0.200	0.052	-2.584
YIR023W	1.475	2.031	0.420	2.906	1.094
YNL314W	0.391	-0.271	0.143	0.186	-1.807
YJR150C	0.419	-0.118	0.246	0.009	-1.914
YLR037C	0.513	-0.472	0.637	0.284	-2.890
YBR301W	-0.279	-0.366	-0.068	-0.669	-2.349
YHR028C	0.130	-0.535	-0.274	-0.642	-2.070
YML113W	-0.432	-1.572	0.141	-0.220	-2.279
YIR030C	0.242	-0.446	-0.092	-0.939	-3.899
YMR135C	-5.185	-5.077	-1.839	-4.489	-5.799
YLR361C	-0.205	-0.472	-0.076	-0.835	-3.897
YKL046C	-0.182	2.656	-0.019	1.160	0.254
YPL194W	1.027	-0.814	0.048	-0.501	-2.945
YER143W	0.404	-0.487	0.312	-0.491	-3.285
YOL053C-A	0.321	1.804	-0.020	1.053	-0.809
YMR173W	0.675	0.659	0.689	0.363	-2.123
YMR238W	0.132	0.040	0.336	0.358	-1.694
YOR245C	-0.073	0.087	0.400	0.142	-2.028
YMR316W	-1.114	-3.339	-0.392	-1.652	-4.273
YHR011W	-1.143	-0.509	-1.132	-1.180	-1.909
YKR035W-A	-1.487	-3.106	-1.730	-3.571	-5.175
YDR480W	0.556	-1.471	0.398	0.207	-1.896
YPL265W	0.703	-0.058	0.830	0.385	-2.151
YDR403W	0.287	-0.320	0.257	0.285	-1.666
YDR402C	0.513	0.226	0.109	-0.030	-2.207
YIR004W	0.364	0.562	-0.117	0.156	-1.927
YDL174C	0.196	-0.238	0.252	-0.103	-3.182
YDL178W	0.658	-0.176	0.540	0.102	-2.868
YEL071W	0.307	-0.034	0.229	0.464	-1.972
YER179W	0.374	-0.044	0.391	-0.269	-3.249
YER166W	-0.328	-1.887	0.379	-1.769	-4.097
YDR093W	0.346	-0.548	0.373	1.124	-1.427
YMR162C	0.403	-0.581	0.077	-0.643	-1.932
YOR005C	0.091	-0.085	0.131	-0.205	-2.403
YLL001W	0.873	-2.141	0.847	0.004	-3.331
YKL213C	-3.124	-4.206	-1.839	-3.415	-4.733
YHR044C	0.496	0.069	0.708	-0.096	-2.689
YHR043C	-0.349	-1.075	0.150	-0.433	-3.806
YDR068W	0.128	-0.140	-0.121	-1.069	-3.135
