orf	hom | growth (relative abundance in pooled culture) | toxaphene [160 uM] | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | toxaphene [320 uM] | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | toxaphene [640 uM] | Gaytan BD~Vulpe CD, 2013
YLR203C	3.9	4.4	5.0
YLR205C	0.0	0.0	1.3
YLR206W	0.0	1.1	1.4
YLR207W	0.0	0.0	1.1
YLR213C	0.0	1.2	1.4
YLR216C	0.9	1.2	1.8
YLR217W	0.0	0.0	1.5
YLR218C	0.0	0.0	1.2
YLR220W	2.8	2.5	3.5
YLR221C	0.0	0.0	1.1
YLR224W	0.0	0.9	1.2
YLR225C	0.0	0.0	1.2
YLR228C	0.0	0.0	1.4
YLR231C	0.0	0.0	1.5
YLR233C	0.0	1.6	1.8
YLR238W	0.0	0.0	1.6
YLR241W	0.0	0.0	1.4
YLR247C	0.0	1.0	1.6
YLR248W	1.4	1.6	1.7000000000000002
YLR253W	0.0	0.0	1.15
YLR255C	0.0	0.0	1.3
YLR257W	0.0	0.0	1.2
YLR262C-A	0.0	0.0	1.5
YLR264W	0.0	0.0	1.2
YLR265C	0.0	0.0	1.15
YLR266C	0.0	0.0	1.3
YLR270W	-1.35	-1.15	0.0
YLR284C	0.0	0.0	1.2
YLR285W	0.0	0.0	1.6
YLR286C	2.9	3.1	3.4
YLR287C-A	1.35	1.5	1.7000000000000002
YLR299W	0.0	0.0	1.2
YLR300W	0.0	0.0	1.1
YLR312C	0.0	0.0	1.2
YLR324W	0.0	0.0	1.3
YLR325C	0.0	1.4	1.55
YLR330W	-1.1	0.0	0.0
YLR334C	1.3	2.0	2.6
YLR341W	1.9	2.1	2.8
YLR344W	0.0	1.3	1.55
YLR345W	0.0	0.0	1.0
YLR349W	2.6	2.9	3.4
YLR351C	1.6	1.6	2.3
YLR356W	0.0	0.0	1.0
YLR357W	0.0	1.2	0.0
YLR358C	0.0	0.0	2.0
YLR360W	2.8	2.9	3.3
YLR364W	0.0	1.1	1.7000000000000002
YLR369W	1.6	0.0	1.5
YLR370C	0.0	0.0	1.3
YLR371W	2.6	0.0	0.0
YLR381W	0.0	0.0	1.3
YLR382C	0.0	1.65	2.2
YLR384C	0.0	0.0	1.85
YLR386W	2.15	2.3	2.8
YLR389C	0.0	0.0	1.8
YLR390W	0.0	0.0	1.0
YLR390W-A	0.0	0.9	1.1
YLR398C	0.0	0.0	1.0
YLR408C	1.8	2.0	2.7
YLR412W	0.0	1.3	1.8
YLR413W	1.3	1.2	2.2
YLR417W	0.0	0.0	1.0
YLR418C	0.0	-1.3	0.0
YLR420W	-1.0	0.0	0.0
YLR422W	0.0	0.0	1.1
YLR426W	0.0	0.0	1.6
YLR427W	0.0	0.0	1.4
YLR429W	0.0	0.0	1.3
YLR434C	0.0	0.0	1.1
YLR437C	1.3	1.5	2.0
YLR443W	0.0	0.0	1.3
YLR448W	1.7000000000000002	1.9	1.85
YLR450W	0.0	0.0	1.6
YLR461W	0.0	0.0	1.1
YML009C	5.0	5.2	5.0
YML009C-A	-1.0	0.0	0.0
YML012C-A	0.0	1.9	0.0
YML027W	1.7000000000000002	1.9	1.8
YML048W	-1.1	-1.1	-1.4
YML062C	-1.0	-1.3	-1.7000000000000002
YML068W	1.2	1.3	0.0
YML071C	0.0	0.0	-1.3
YML075C	2.5	2.4	2.2
YML094C-A	0.0	0.0	1.3
YML097C	0.0	1.2	1.6
YML116W-A	0.0	1.3	1.3
YML119W	4.8	5.6	5.7
YMR015C	0.0	-1.0	0.0
YMR022W	0.0	-0.7	0.0
YMR052C-A	1.2	1.5	0.0
YMR063W	0.0	1.1	0.0
YMR070W	-0.8	0.0	0.0
YMR101C	1.3	1.5	1.3
YMR105C	1.2	1.1	0.0
YMR114C	4.1	3.8	3.7
YMR115W	2.7	2.8	2.6
YMR119W-A	4.1	4.1	4.0
YMR132C	1.6	1.8	1.5
YMR135W-A	2.0	1.8	1.7000000000000002
YMR151W	0.0	-1.2	0.0
YMR158W	1.6	1.2	0.0
YMR193W	0.0	1.5	1.7000000000000002
YMR204C	3.8	3.8	3.8
YMR238W	-1.25	0.0	0.0
YMR245W	1.2	1.2	0.0
YMR255W	1.1	0.0	0.0
YMR264W	-1.2	-1.0	-1.15
YMR284W	3.9	4.3	4.2
YMR286W	0.0	-0.9	0.0
YMR294W-A	1.3	1.3	1.5
YMR299C	3.8	3.7	3.7
YMR311C	1.5	1.4	0.0
YMR312W	0.0	1.2	0.0
YMR320W	1.2	0.0	0.0
YNL010W	-1.1	-1.0	-0.8
YNL016W	1.8	2.0	2.05
YNL025C	0.0	1.4	0.0
YNL032W	-1.3	-1.3	-1.3
YNL047C	4.5	4.7	4.5
YNL054W	1.2	1.15	0.0
YNL091W	0.0	1.75	1.8
YNL096C	0.0	1.1	0.0
YNL098C	1.5	1.1	0.0
YNL099C	0.0	-1.0	0.0
YNL100W	1.1	0.0	0.0
YNL104C	1.3	1.5	1.2
YNL105W	3.4	3.4	3.0
YNL108C	3.6	3.6	3.3
YNL109W	1.1	1.1	0.0
YNL115C	1.1	1.0	0.0
YNL121C	1.7000000000000002	1.5	0.0
YNL135C	1.9	2.1	0.0
YNL136W	0.0	2.1	1.65
YNL140C	3.9	4.1	3.6
YNL144C	1.7000000000000002	1.8	1.6
