orf	hap a | growth (relative abundance in pooled culture) | standard [standard] | Breslow DK~Weissman JS, 2008
YER052C	0.973
YER053C	1.003
YER054C	1.001
YER056C	1.001
YER056C-A	0.935
YER057C	1.001
YER059W	0.978
YER060W	1.004
YER060W-A	1.043
YER061C	0.83
YER062C	1.005
YER063W	1.003
YER064C	1.006
YER065C	1.004
YER066C-A	1.001
YER066W	1.007
YER067C-A	1.004
YER067W	0.999
YER071C	1.004
YER072W	0.937
YER073W	0.999
YER074W	0.799
YER075C	0.962
YER077C	0.952
YER078C	0.95
YER079W	0.998
YER080W	1.006
YER081W	1.0
YER083C	0.773
YER084W	0.976
YER085C	0.976
YER087C-B	0.999
YER088C	1.045
YER089C	1.016
YER090W	0.949
YER091C	0.956
YER091C-A	1.001
YER092W	0.931
YER093C-A	0.987
YER095W	0.789
YER096W	1.001
YER097W	1.002
YER098W	1.021
YER101C	1.002
YER106W	1.001
YER110C	0.889
YER111C	0.927
YER113C	0.934
YER114C	0.991
YER115C	1.004
YER116C	0.93
YER117W	0.989
YER118C	1.004
YER119C	0.974
YER120W	0.989
YER121W	0.942
YER123W	0.96
YER124C	0.996
YER128W	1.004
YER129W	1.014
YER130C	1.009
YER131W	0.893
YER132C	0.98
YER134C	1.001
YER135C	0.979
YER137C	0.993
YER139C	0.867
YER140W	0.988
YER142C	1.002
YER143W	1.005
YER144C	0.997
YER145C	0.853
YER149C	0.84
YER150W	1.005
YER151C	0.728
YER152C	1.001
YER153C	0.949
YER155C	0.81
YER156C	0.903
YER158C	1.008
YER161C	0.945
YER162C	0.957
YER163C	1.004
YER164W	0.985
YER166W	1.009
YER167W	0.986
YER169W	0.997
YER170W	0.948
YER173W	1.002
YER174C	1.011
YER175C	1.005
YER176W	0.97
YER177W	0.968
YER178W	0.945
YER179W	0.958
YER180C	0.999
YER181C	0.981
YER182W	0.997
YER183C	0.961
YER184C	0.983
YER185W	1.003
YER186C	1.002
YER187W	0.967
YER188W	1.002
YFL001W	0.686
YFL003C	1.0
YFL004W	0.983
YFL007W	0.944
YFL010C	0.932
YFL010W-A	0.961
YFL011W	1.003
YFL012W	0.908
YFL012W-A	0.945
YFL013C	0.995
YFL014W	1.0
YFL015C	1.003
YFL018C	0.938
YFL019C	1.001
YFL020C	0.958
YFL021W	1.01
YFL023W	0.708
YFL025C	0.935
YFL027C	0.998
YFL028C	0.989
YFL030W	0.942
YFL031W	0.995
YFL032W	1.0
YFL033C	1.007
YFL034C-A	1.0070000000000001
YFL034W	0.961
YFL036W	0.65
YFL040W	1.001
YFL041W	1.002
YFL042C	0.959
YFL044C	1.007
YFL046W	0.991
YFL047W	1.012
YFL048C	1.001
YFL049W	0.877
YFL050C	1.002
YFL051C	1.004
YFL052W	1.03
YFL053W	1.003
YFL054C	0.876
YFL055W	1.002
YFL063W	0.971
YFR006W	0.951
YFR007W	0.968
YFR008W	0.997
YFR009W	0.947
YFR010W	0.964
YFR011C	0.97
YFR012W	0.996
YFR013W	0.983
YFR014C	1.022
YFR015C	0.998
YFR016C	0.948
YFR017C	1.001
YFR018C	0.974
YFR020W	0.996
YFR021W	0.933
YFR022W	0.997
YFR023W	0.995
YFR024C-A	1.0025
YFR026C	0.992
YFR030W	1.036
YFR031C-A	0.922
YFR032C	1.002
YFR032C-A	0.864
YFR033C	0.968
YFR034C	1.003
YFR035C	0.994
YFR038W	0.995
YFR039C	0.944
YFR040W	0.837
YFR041C	0.99
YFR043C	1.005
YFR044C	0.973
YFR045W	0.941
YFR046C	0.99
YFR047C	0.994
YFR048W	0.991
YFR049W	0.999
YFR053C	0.998
YFR054C	1.0
YFR055W	0.997
YFR056C	1.011
YFR057W	1.001
YGL002W	1.005
YGL004C	1.004
YGL005C	0.952
YGL006W	1.001
YGL007W	0.718
YGL009C	0.997
YGL010W	0.988
YGL013C	0.984
YGL014W	0.959
YGL015C	1.008
YGL016W	0.879
YGL017W	1.001
YGL019W	0.735
YGL020C	0.93
YGL021W	0.991
YGL023C	0.976
YGL024W	0.668
YGL027C	0.993
YGL028C	0.99
YGL029W	0.945
YGL031C	0.89
YGL034C	1.004
YGL035C	0.921
YGL036W	1.002
YGL037C	0.993
YGL039W	0.998
YGL041C	1.004
YGL042C	0.964
YGL043W	0.864
YGL045W	0.889
YGL050W	0.998
