orf	hap alpha | growth (pooled culture) | gamma-valerolactone [2.3%] | YPGal [2%] | Bottoms S~Piotrowski JS, 2018
YBR259W	0.11762809163568323
YBR260C	0.017992827724358184
YBR261C	0.05202963547726017
YBR262C	0.41356685864796394
YBR263W	0.5073174425085614
YBR264C	0.4234895682526675
YBR266C	0.3961340420668382
YBR267W	1.738741406233489
YBR269C	-0.05580690408590675
YBR270C	0.05057726374846557
YBR271W	-0.017487732555682586
YBR273C	0.027578071967606883
YBR274W	3.1436285061535094
YBR275C	0.15575730341107083
YBR276C	-0.0326700414619187
YBR277C	0.06106513298179688
YBR278W	0.39016034295003194
YBR279W	1.5785628791921784
YBR280C	-0.006681198144099039
YBR281C	0.0010846617396397316
YBR282W	2.622088710470432
YBR283C	-0.1352614968342291
YBR284W	-0.013253310754126259
YBR285W	0.07157366741748634
YBR286W	0.08519539701705364
YBR287W	-0.012162365932358853
YBR288C	0.01350703120873076
YBR289W	-0.17836822571746086
YBR290W	-0.07788741590964166
YBR291C	0.08779186574528908
YBR292C	0.02684889766614915
YBR293W	-0.1305438933282051
YBR295W	0.021536471349733615
YBR296C	0.33205903153759675
YBR296C-A	2.622049897146969
YBR297W	-0.14544206639244855
YBR298C	0.051484728628225805
YBR299W	0.38493153513212197
YBR301W	0.04199486952202801
YCL001W	-0.10623636912036402
YCL001W-A	5.698391451154612
YCL001W-B	2.033872302820037
YCL002C	2.6222096263131434
YCL009C	0.007078467985684053
YCL010C	0.03602088930654772
YCL011C	-0.0010188124441648427
YCL014W	-0.028292334441015966
YCL016C	0.01179487003907475
YCL022C	0.05807573692988548
YCL023C	0.08490466175962981
YCL024W	-0.10411199421909609
YCL025C	-0.058917722175206855
YCL026C-A	0.27573299000922785
YCL026C-B	1.0098427978896074
YCL027W	-0.056928834664125384
YCL028W	-0.013431016126231913
YCL029C	-0.0864968605110955
YCL030C	0.01179487003907475
YCL033C	1.5030836027751469
YCL035C	0.10260001256364916
YCL036W	0.09690353925394296
YCL038C	0.009166786501139425
YCL039W	-0.12209361265667303
YCL046W	-0.0004945100193970173
YCL048W	0.002687013611641699
YCL049C	0.03954437739727644
YCL050C	0.5798494753020876
YCL051W	0.16272371237128871
YCL055W	0.1121823841738085
YCL056C	0.01179487003907475
YCL057C-A	0.01179487003907475
YCL057W	0.02692078165167207
YCL061C	-0.07477863301815368
YCL063W	0.05324380701160935
YCL064C	-0.0852255145917927
YCL069W	0.006689576978488097
YCL076W	0.07381212561863972
YCR001W	-0.07662327110887748
YCR003W	0.01179487003907475
YCR005C	-0.1441701315768505
YCR006C	-0.17051112619665162
YCR007C	-0.0409627243247123
YCR008W	0.007726561056898438
YCR009C	0.3288840956005001
YCR010C	0.1837235341567715
YCR011C	0.0019582493452380517
YCR014C	0.01198410002268219
YCR015C	-0.00130291051691482
YCR016W	0.06343760275083242
YCR017C	-0.03350321793143702
YCR019W	0.26608164633532994
YCR020C	0.019056110917158947
YCR020W-B	0.0675810310665895
YCR021C	-0.05840103958661626
YCR022C	-0.05386378291197432
YCR023C	-0.06208183288298505
YCR024C	3.1689229196171627
YCR024C-A	-0.03594622957549291
YCR025C	-0.12718144916401192
YCR027C	0.04944305925170084
YCR028C-A	0.03719530415462535
YCR030C	0.2632624578096595
YCR031C	0.18199088490948157
YCR032W	0.014585506319671095
YCR033W	-0.057492672152194856
YCR034W	0.9149982839176188
YCR036W	0.0002087886607304183
YCR037C	0.021534882219701325
YCR043C	-0.06737838765195746
YCR044C	0.022655557730327156
YCR045C	-0.06914816732076538
YCR048W	0.0663843848949704
YCR049C	-0.0782027183229082
YCR050C	-0.03918473939646569
YCR051W	-0.03514843007954824
YCR053W	0.09765354394392946
YCR059C	-0.038683592990490984
YCR060W	-0.12799692054130052
YCR061W	0.021138060648334536
YCR063W	-0.007276645232317705
YCR065W	-0.07143277628049756
YCR067C	-0.11051423119467574
YCR068W	-0.17101902765338506
YCR069W	0.02474882879199437
YCR071C	-0.0036690207269166253
YCR073C	0.11801030768896265
YCR073W-A	0.05861986777292806
YCR075C	0.047361557216289686
YCR076C	0.02754103184496789
YCR077C	-0.17124674384408375
YCR079W	-0.10431307462818948
YCR081W	0.9344809102323888
YCR082W	-0.1472455878870999
YCR083W	2.622057025548862
YCR085W	0.197973285731041
YCR086W	-0.13234823098580156
YCR087C-A	-0.026232979942205675
YCR087W	-0.000697177604941189
YCR088W	0.15808970652556734
YCR090C	-0.09229165562500279
YCR091W	-0.010276273058895433
YCR092C	0.0376963689443055
YCR095C	-0.10015566908786755
YCR095W-A	1.0568238186284313
YCR098C	-0.008277615469579645
YCR099C	0.043908082882377686
YCR100C	0.22302537867976338
YCR101C	-0.11360914604509924
YCR102C	0.27602930990501684
YCR102W-A	0.08463456261790603
YCR105W	0.44629046868764616
YCR106W	-0.046152708617122284
YCR107W	0.03541529726950796
YDL001W	0.03015112615309497
YDL010W	-0.015244765488386524
YDL012C	-0.06446122505959603
YDL013W	-0.15459211323459493
YDL018C	0.373264542050997
YDL019C	-0.05827573947285041
YDL020C	-0.14712297850627767
YDL023C	-0.006774761240787806
YDL024C	-0.09167144341801427
YDL025C	-0.07667430603831497
YDL027C	-0.13043779171120692
YDL033C	-0.1207662295539245
YDL035C	0.0490468566400782
YDL036C	1.5222384975569059
YDL037C	-0.09887678516574665
YDL039C	-0.07758316132545426
YDL044C	1.578598608461619
YDL046W	0.01179487003907475
YDL048C	0.04584615686992699
YDL049C	0.01179487003907475
YDL050C	-0.07470243812941516
YDL051W	-0.07303189367270013
YDL052C	-0.12181799204238655
YDL054C	0.007241519759890531
YDL056W	0.14048643756931717
YDL059C	0.21782019139891856
YDL063C	0.03942154726174276
YDL066W	-0.14793346608005017
YDL067C	0.01179487003907475
YDL070W	-0.05698405004094601
YDL071C	-0.04298437035893996
YDL072C	0.01179487003907475
YDL074C	-0.14285320013522132
YDL075W	0.01179487003907475
YDL076C	-0.0021686455930706827
YDL077C	-0.10993746989660864
YDL078C	-0.04896891836510757
YDL079C	0.20383870563865086
YDL080C	-0.10696172395289019
YDL081C	0.2577731948137199
YDL082W	0.2107350530878371
YDL083C	0.22311127375193082
YDL085C-A	8.651740147141364
YDL085W	-0.09771289274185224
YDL086W	-0.029793280454794308
YDL088C	0.1973518534038624
YDL089W	-0.018168263762674247
YDL090C	1.9959660706684261
YDL091C	-0.17256499807746498
YDL093W	0.2563803246195956
YDL094C	0.05948091924592768
YDL095W	-0.08064895142288667
YDL096C	-0.08440586949612397
YDL099W	-0.08937617636871574
YDL100C	6.218612325347689
YDL101C	-0.1278737315979614
YDL104C	-0.060070014449114154
YDL106C	-0.0315894727627853
YDL107W	1.0566377111192828
YDL109C	-0.024612784707815468
YDL110C	0.026773568431087504
YDL112W	-0.05789851482034857
YDL114W	-0.07666983472435035
YDL118W	0.9035761236572564
YDL119C	0.2802761792768097
YDL121C	-0.0498631058366155
YDL122W	0.19955921948690414
YDL123W	-0.04797556253740754
YDL124W	6.27176203716708
YDL125C	1.0792456105071313
YDL127W	-0.12113845325480581
YDL128W	0.01179487003907475
YDL129W	1.5787534278433104
YDL130W	0.06324564708687865
YDL130W-A	-0.03718603535532269
YDL131W	-0.06538309109111044
YDL133C-A	-0.0031795300394699875
YDL133W	2.621851426288654
YDL134C	-0.09837979489591843
YDL136W	0.3144839779421412
YDL137W	0.01179487003907475
YDL138W	-0.036306473480378854
YDL142C	-0.09622098291085142
YDL144C	0.12685587626183784
YDL149W	-0.02843257598035792
YDL154W	0.02023538258595402
YDL155W	-0.11030222939664028
YDL156W	-0.020564610856212206
YDL159W	0.01179487003907475
YDL159W-A	7.835246289163552
YDL160C	5.229230846521972
YDL160C-A	4.52746966977926
YDL161W	-0.05559908989838667
YDL162C	-0.12415122065360654
YDL167C	0.01179487003907475
YDL168W	-0.07069061760801514
YDL169C	-0.03344783150770129
YDL170W	-0.04209196998039144
YDL171C	-0.01449462252824153
YDL172C	-0.12599112716989463
YDL173W	-0.1376841182967916
YDL174C	0.17862104188088726
YDL176W	-0.06136846045122962
YDL177C	0.0645567735695605
YDL178W	-0.06898060233912395
YDL179W	0.04765788818237387
YDL180W	0.005150848264029458
YDL182W	0.11605356918359383
YDL183C	2.100419207827814
YDL184C	-0.01672497944390586
YDL186W	-0.005693092892324575
YDL187C	0.27379262837772145
YDL188C	0.04197412248631071
YDL189W	0.026607971140163555
YDL190C	-0.06781004234150985
YDL191W	-0.16491096054860185
YDL192W	0.053994146849358396
YDL194W	-0.056070562269366915
YDL197C	0.01179487003907475
YDL199C	-0.006944824419061071
YDL200C	0.5456444526760926
YDL201W	0.04810853407198847
YDL202W	-0.16668407411280195
YDL203C	0.017188088455669027
YDL204W	0.12019280815231866
YDL210W	-0.03878942023781825
YDL211C	0.10818519793155706
YDL215C	-0.05559266891006741
YDL216C	0.31307490778181424
YDL218W	-0.03160568488460632
YDL219W	-0.12743977819415658
YDL222C	0.0810724454915706
YDL223C	-0.17584006288166654
YDL224C	0.025447912294400604
YDL226C	-0.05111312624300718
YDL227C	0.13747291782456755
YDL229W	0.04497752137641128
YDL230W	0.06238066956622243
YDL231C	0.05634160556541749
YDL233W	0.162458032665087
YDL234C	-0.13629901098442457
YDL236W	0.1388570231666806
YDL238C	-0.08173301898651818
YDL239C	0.35433888529993895
YDL240W	-0.10023326295803732
YDL241W	0.08379547764961995
YDL242W	0.10625221910167039
YDL243C	-0.027347226216056994
YDR003W	0.01179487003907475
YDR003W-A	-0.1226743075996582
YDR011W	0.1987418509648973
YDR014W	4.1864321107173765
YDR018C	-0.0833589089110323
YDR019C	-0.05022961205558854
YDR020C	-0.19745861193511985
YDR024W	0.24325134254492942
YDR025W	7.232104373285125
YDR026C	-0.013161068495608025
YDR029W	-0.0874382808082784
YDR030C	0.01179487003907475
YDR031W	0.534748825396462
YDR032C	8.356358458876295
YDR033W	0.06604944638267625
YDR034C	0.01179487003907475
YDR034W-B	3.143713656259925
YDR035W	-0.1366764492285057
YDR036C	-0.06608638825178557
YDR046C	-0.030118448888854142
YDR048C	0.07243348748293602
YDR049W	-0.1079406662561531
YDR051C	0.0019054805036713394
YDR055W	-0.08205356785148266
YDR056C	0.0027696570559053316
YDR057W	-0.14069909432803032
YDR058C	0.05539720366870947
YDR059C	0.055195997145075865
YDR061W	-0.12325722333069966
YDR063W	-0.02172847419344845
YDR066C	-0.05888385901024476
YDR067C	-0.12751612784996422
YDR068W	0.16159010024385304
YDR070C	-0.07193492053249852
YDR071C	0.06261266540283245
YDR072C	-0.024980308959823797
YDR073W	-0.03846196046970282
YDR074W	-0.1293845245308471
YDR076W	-0.09239125789335642
YDR079W	0.01179487003907475
YDR083W	0.8792264070811204
YDR085C	0.06270612973512227
YDR089W	0.23300828377470537
YDR090C	0.0315439679117549
YDR092W	2.6218459519191124
YDR093W	-0.1378016642113847
YDR094W	-0.1907459093970467
YDR095C	0.0032446243842206403
YDR096W	0.4125179707461728
YDR097C	0.32249295323142374
YDR098C	0.3437869422829276
YDR099W	-0.01672222120386757
YDR100W	-0.1376731274471734
YDR101C	0.30860733449164796
YDR102C	0.31793340532340714
YDR103W	0.01179487003907475
YDR104C	0.06819378970889439
YDR107C	-0.027911054587412738
YDR108W	-0.18661435798865839
YDR109C	-0.05198686275493002
YDR110W	-0.010894759168080812
YDR111C	-0.04395350937308274
YDR112W	-0.005223844131240634
YDR116C	-0.007339979476861014
YDR117C	0.08443094537467968
YDR119W	-0.01510615106538416
YDR120C	0.029357645808821175
YDR121W	0.10078785906052987
YDR122W	0.49622436283778004
YDR123C	0.03558719659734322
YDR124W	-0.006279147594735663
YDR126W	0.4522512238074458
YDR127W	-0.19959380772441396
YDR128W	0.10012946301745607
YDR130C	-0.008415243333915598
YDR131C	0.22540570900963205
YDR132C	-0.040291284217845266
YDR133C	0.09128915305189714
YDR135C	0.5493288264532541
YDR139C	-0.10566178736807678
YDR142C	-0.008451681319317922
YDR143C	0.017672712988619842
YDR144C	-0.013924416147359956
YDR146C	0.10612858973423134
YDR147W	0.8330356031201126
YDR148C	-0.046263615827589255
YDR149C	-0.062448518831457696
YDR150W	-0.08853600651149351
YDR151C	0.6709183100892665
YDR152W	-0.0028322062544832516
YDR153C	-0.0041812224506996235
YDR154C	-0.07734628468248707
YDR155C	-0.0035659504172399843
YDR156W	-0.031930652968028314
YDR157W	0.0889975596041102
YDR158W	-0.14106880507188613
YDR159W	0.08265588105080189
YDR161W	0.10330565076617625
YDR162C	-0.11149648850870947
YDR163W	0.08351306747130119
YDR165W	1.558328690314694
YDR169C	0.025898215221926518
YDR171W	0.0379917715250396
YDR173C	-0.13261886931602423
YDR174W	-0.13985703991583742
YDR175C	0.5346914788792702
YDR178W	1.0566403844870573
YDR179C	1.056665429619178
YDR179W-A	0.25214108376656447
YDR181C	0.008031340177723322
YDR182W-A	1.5028454321014888
YDR184C	0.16150228089389074
YDR185C	-0.020644783888114488
YDR186C	-0.054482772828126635
YDR191W	-0.06271525737884194
YDR192C	0.07896636392763381
YDR194W-A	0.01179487003907475
YDR197W	5.018292988516853
YDR198C	0.10477509744862884
YDR200C	0.01179487003907475
YDR202C	0.10285374525061208
YDR203W	0.008386109496003
YDR204W	4.707801996903926
YDR205W	-0.04381347599870474
YDR206W	0.1391632620470284
YDR207C	-0.01372743912771204
YDR209C	0.02074928175501123
YDR210W	0.025903351621865585
YDR213W	-0.025714371773432516
YDR214W	-0.08305579945121114
YDR215C	0.08535896692449155
YDR216W	-0.10553965292462797
YDR217C	-0.15652764040303907
YDR218C	0.04406823315390125
YDR219C	0.017272288470272998
YDR220C	0.22024931372957787
YDR222W	-0.10475447161170572
YDR223W	0.11696992177393627
YDR226W	2.4881243953838497
YDR229W	0.09518611622100151
YDR233C	0.014005273941376404
YDR234W	0.01179487003907475
YDR237W	1.5787171999764533
YDR239C	-0.048382037731843734
YDR241W	0.11306230898078537
YDR242W	0.023609967173956217
YDR244W	0.0002589082286946054
YDR245W	0.020919171281594057
YDR247W	0.636443657181112
YDR248C	-0.029559765600022034
YDR249C	0.014875905126944691
YDR250C	0.019755102384169193
YDR251W	0.012539653239793804
YDR252W	-0.08042810945141932
YDR253C	0.031844923656485176
YDR254W	-0.08840823490004326
YDR255C	-0.059318396317858735
YDR256C	-0.02199334902406488
YDR257C	-0.07725504200651202
YDR258C	0.032673046861811196
YDR259C	0.08206908984815864
YDR261C	0.12653405105694854
YDR262W	-0.06638424561622887
YDR263C	0.06608814118886065
YDR265W	-0.08972826276837788
YDR266C	0.5486933928073386
YDR269C	-0.012989998137530111
YDR270W	0.01179487003907475
YDR271C	-0.02738339656079143
YDR272W	0.021692130988541974
YDR273W	0.07104555919885751
YDR275W	-0.07365390295762027
YDR276C	-0.08476063013181913
YDR277C	-0.002912566613146615
YDR278C	-0.048561053088889285
YDR281C	-0.0007322146553307578
YDR285W	-0.11191510868531157
YDR287W	-0.029635770123094905
YDR289C	-0.1134607524271488
YDR290W	0.05325813284194278
YDR291W	0.18164461670970822
YDR293C	-0.1822933799361232
YDR294C	-0.04301095708394269
YDR297W	0.0288951356015854
YDR304C	0.0320248617552009
YDR305C	-0.04173015995432218
YDR306C	-0.03365084444304485
YDR307W	-2.316615066771246e-05
YDR309C	-0.1556791860577944
YDR310C	-0.01868018916320481
