orf	hap a | cytosolic pH | standard [standard] | Orij R~Smits GJ, 2012
YDL011C	7.028867034755185
YDL012C	7.031406398217915
YDL013W	7.012878651551735
YDL018C	7.116172580945765
YDL019C	7.056148405887295
YDL020C	7.056546393668185
YDL023C	7.0751198266787
YDL024C	6.995038173037275
YDL025C	7.005731107007685
YDL026W	7.060128673096891
YDL027C	7.056388441460105
YDL033C	7.046069155427389
YDL034W	7.0568683164371055
YDL035C	5.988644089225965
YDL036C	7.075632533854275
YDL037C	7.06441726912314
YDL039C	7.0695432247414445
YDL040C	7.032384216177846
YDL041W	158.9779874093903
YDL042C	6.64568548635728
YDL046W	7.120120248071185
YDL048C	7.085230325303074
YDL050C	7.073876339821695
YDL051W	7.0819223097786
YDL052C	6.01403679551938
YDL053C	7.08645821195754
YDL054C	7.106342222537965
YDL056W	7.052717951244135
YDL059C	7.0671191497926
YDL061C	7.058966087592955
YDL062W	7.079193478121195
YDL065C	7.035014381968615
YDL066W	7.08549296744025
YDL070W	7.067063644126611
YDL071C	7.53451346762122
YDL074C	6.995143161196025
YDL076C	7.082375829142736
YDL077C	7.086379357038361
YDL078C	7.05322290762787
YDL079C	7.038482517729895
YDL080C	6.995701087741464
YDL081C	7.015900829090786
YDL082W	7.040174078519615
YDL083C	7.068982541366035
YDL085W	7.07631239458205
YDL086W	7.0282551772026896
YDL088C	7.038455889809085
YDL089W	7.021293265963376
YDL090C	6.5689672808598605
YDL091C	7.074230159862995
YDL093W	7.091532108377245
YDL094C	7.075416498900115
YDL095W	7.07487100249931
YDL096C	7.06050545114595
YDL099W	7.053861107449141
YDL100C	7.048825722958215
YDL104C	7.093662895263475
YDL106C	7.07122481501894
YDL109C	7.108094139062205
YDL110C	7.010680503478745
YDL112W	7.03566980404129
YDL113C	6.983012865796685
YDL114W	7.35683255089314
YDL117W	7.079369500948134
YDL118W	7.081785458513395
YDL119C	7.0793547867363795
YDL121C	7.082388477764461
YDL122W	7.0192514158740895
YDL123W	7.083290873179186
YDL124W	7.09369334000116
YDL125C	7.10684272967408
YDL127W	7.020576847585315
YDL128W	7.030387063301484
YDL129W	7.019591662735275
YDL130W	7.09480738295936
YDL130W-A	6.971185113653245
YDL131W	7.013972074020595
YDL133C-A	7.069614670157088
