ORF	hom | growth (spot assay) | cumene hydroperoxide [0.0350.11 mM] | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | diamide (1,1'-azobis(N,N-dimethylformamide) [0.81.2 mM]) | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | hydrogen peroxide [0.751.6 mM] | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | linoleic acid hydroperoxide [0.0450.08 mM] | Thorpe GW~Dawes IW, 2004	hom | growth (spot assay) | menadione [0.51.2 mM] | Thorpe GW~Dawes IW, 2004
YML097C	0.000	-3.000	0.000	0.000	0.000
YNL107W	-1.000	0.000	0.000	0.000	-1.000
YJL141C	0.000	0.000	-1.000	0.000	0.000
YAL011W	0.000	0.000	0.000	0.000	-1.000
YML007W	-4.000	-3.000	-3.000	-4.000	0.000
YHL009C	0.000	-1.000	0.000	0.000	0.000
YPL239W	0.000	-4.000	0.000	-1.000	0.000
YBL100C	0.000	0.000	-1.000	0.000	0.000
YBL104C	0.000	0.000	0.000	-1.000	0.000
YBR216C	-6.000	-4.000	-1.000	0.000	0.000
YBR027C	0.000	-4.000	0.000	-1.000	0.000
YBR064W	0.000	0.000	-1.000	0.000	0.000
YBR077C	0.000	0.000	-1.000	-7.000	0.000
YBR134W	0.000	0.000	0.000	-1.000	0.000
YBR137W	0.000	-1.000	0.000	0.000	0.000
YBR147W	0.000	-1.000	0.000	0.000	0.000
YBR159W	0.000	-4.000	0.000	0.000	0.000
YBR161W	0.000	-4.000	0.000	0.000	0.000
YBR168W	-1.000	0.000	0.000	0.000	0.000
YBR174C	0.000	0.000	-1.000	0.000	0.000
YBR194W	0.000	-4.000	-1.000	0.000	0.000
YBR266C	0.000	-3.000	0.000	0.000	0.000
YBR284W	-1.000	0.000	-1.000	-1.000	0.000
YBR285W	-1.000	0.000	0.000	-1.000	0.000
YER123W	-1.000	0.000	0.000	-1.000	0.000
YCL002C	0.000	-3.000	0.000	0.000	0.000
YCL044C	0.000	-4.000	0.000	0.000	0.000
YCL045C	0.000	-1.000	0.000	0.000	0.000
YCL046W	0.000	-1.000	0.000	0.000	0.000
YCR030C	-1.000	0.000	0.000	0.000	0.000
YCR050C	-1.000	0.000	0.000	-1.000	0.000
YCR061W	-1.000	0.000	0.000	-1.000	0.000
YCR079W	-1.000	-4.000	0.000	-7.000	0.000
YCR087C-A	-1.000	0.000	-1.000	-1.000	0.000
YCR095C	-1.000	-3.000	0.000	-1.000	0.000
YNL064C	0.000	-3.000	0.000	0.000	0.000
YDL001W	0.000	-3.000	0.000	0.000	0.000
YDL023C	-6.000	-3.000	-1.000	-7.000	0.000
YDL032W	0.000	0.000	-7.000	0.000	0.000
YDL033C	0.000	-4.000	-7.000	0.000	0.000
YDL057W	0.000	-4.000	0.000	0.000	0.000
YDL068W	0.000	0.000	-7.000	0.000	0.000
YDL172C	0.000	0.000	0.000	-5.000	0.000
YDL173W	0.000	0.000	0.000	-4.000	0.000
YDL187C	-1.000	-4.000	-1.000	-1.000	0.000
YDR048C	-1.000	-1.000	0.000	0.000	0.000
YDR071C	0.000	-4.000	-1.000	-7.000	0.000
YDR203W	0.000	-3.000	0.000	0.000	0.000
YDR209C	0.000	0.000	-7.000	0.000	0.000
YDR230W	0.000	1.000	0.000	0.000	0.000
YDR255C	0.000	-4.000	0.000	0.000	0.000
YDR330W	0.000	-1.000	0.000	0.000	0.000
YDR332W	0.000	0.000	-6.000	0.000	0.000
YDR493W	0.000	-4.000	0.000	0.000	0.000
YDR509W	0.000	-3.000	0.000	0.000	0.000
YDR512C	0.000	1.000	0.000	0.000	0.000
YDR533C	0.000	0.000	-5.000	-7.000	0.000
YEL033W	0.000	-3.000	0.000	0.000	0.000
YEL047C	0.000	-4.000	0.000	0.000	0.000
YER010C	0.000	0.000	-1.000	0.000	0.000
YER077C	0.000	0.000	-1.000	0.000	0.000
YER087W	0.000	0.000	-1.000	0.000	0.000
YER137C	-1.000	0.000	0.000	-1.000	0.000
YER139C	-1.000	0.000	0.000	-1.000	0.000
YFR007W	0.000	-4.000	0.000	-1.000	0.000
YFR032C	0.000	0.000	-1.000	0.000	0.000
YFR039C	0.000	-2.000	-1.000	0.000	0.000
YFR048W	0.000	-4.000	0.000	0.000	0.000
YGL010W	0.000	0.000	0.000	0.000	-1.000
YGL045W	0.000	-3.000	-0.500	0.000	0.000
YGL072C	0.000	-3.000	0.000	0.000	0.000
YGL080W	0.000	-2.000	0.000	-6.000	0.000
YGL107C	0.000	1.000	-1.000	0.000	0.000
YGL114W	0.000	1.000	0.000	0.000	0.000
YGL211W	0.000	-3.000	0.000	-1.000	0.000
YGL218W	0.000	0.000	-1.000	0.000	0.000
YGL232W	0.000	0.000	0.000	-1.000	0.000
YGL250W	0.000	-4.000	-1.000	0.000	0.000
YGR054W	0.000	-3.000	-7.000	0.000	0.000
YGR064W	-7.000	-3.000	0.000	-5.000	0.000
YGR102C	0.000	0.000	-7.000	0.000	0.000
YGR122W	0.000	-3.000	0.000	0.000	0.000
YGR150C	0.000	1.000	-7.000	0.000	0.000
YGR160W	0.000	1.000	0.000	0.000	0.000
YGR165W	0.000	0.000	-7.000	0.000	0.000
YGR219W	0.000	0.000	-6.000	0.000	0.000
YGR257C	-1.000	0.000	-1.000	0.000	0.000
YHL023C	-5.000	NaN	NaN	-5.000	-6.000
YDL198C	-1.000	1.000	-6.000	0.000	-1.000
YHR034C	0.000	-3.000	0.000	-1.000	0.000
YHR155W	0.000	0.000	0.000	-6.000	0.000
YHR189W	0.000	0.000	-1.000	0.000	0.000
YIL029C	-7.000	-4.000	0.000	0.000	0.000
YIL041W	-7.000	-4.000	0.000	0.000	0.000
YIL077C	-1.000	-1.000	0.000	-7.000	0.000
YIL086C	0.000	0.000	0.000	0.000	-1.000
YIL088C	0.000	0.000	0.000	0.000	-1.000
YIL090W	0.000	0.000	0.000	-7.000	0.000
YIL110W	-1.000	-3.000	-1.000	-1.000	0.000
YJL046W	-1.000	-1.000	-1.000	-1.000	-1.000
YJL120W	0.000	-4.000	-2.000	-3.000	-2.000
YJL175W	-7.000	-1.000	-1.000	-6.000	0.000
YJL178C	0.000	0.000	0.000	0.000	-1.000
YJL215C	0.000	0.000	0.000	0.000	-1.000
YJL216C	0.000	0.000	0.000	0.000	-1.000
YJR083C	0.000	-4.000	0.000	0.000	0.000
YJR111C	-1.000	0.000	0.000	0.000	0.000
YJR129C	-1.000	-4.000	0.000	-7.000	0.000
YKL027W	0.000	-4.000	0.000	0.000	0.000
YKL051W	0.000	-4.000	0.000	0.000	0.000
YKL056C	0.000	-3.000	0.000	0.000	0.000
YKL075C	0.000	-3.000	0.000	0.000	0.000
YKL076C	0.000	-3.000	0.000	0.000	0.000
YKL077W	0.000	-4.000	0.000	0.000	0.000
YKL206C	0.000	0.000	1.000	0.000	0.000
YKR088C	0.000	-3.000	-7.000	0.000	-7.000
YKR104W	0.000	0.000	0.000	-1.000	0.000
YLL033W	0.000	0.000	-1.000	0.000	0.000
YLR089C	0.000	0.000	0.000	-1.000	0.000
YLR091W	0.000	0.000	-1.000	0.000	0.000
YLR149C	0.000	1.000	-6.000	0.000	0.000
YLR193C	0.000	-4.000	-1.000	0.000	0.000
YLR201C	0.000	1.000	-7.000	0.000	0.000
YLR202C	0.000	0.000	-6.000	0.000	0.000
YLR279W	0.000	-1.000	0.000	0.000	0.000
YLR290C	0.000	-1.000	0.000	0.000	0.000
YLR315W	0.000	-4.000	0.000	0.000	0.000
YLR358C	0.000	-3.000	-1.000	0.000	0.000
YLR427W	0.000	0.000	0.000	-1.000	0.000
YLR456W	0.000	-3.000	0.000	-5.000	-7.000
YPR058W	0.000	-3.000	0.000	0.000	0.000
YPR024W	0.000	-1.000	0.000	0.000	0.000
YML013W	0.000	0.000	-1.000	0.000	0.000
YML036W	-7.000	-4.000	-7.000	-1.000	0.000
YML047W-A	0.000	-4.000	0.000	0.000	0.000
YML090W	0.000	-4.000	0.000	0.000	0.000
YMR099C	0.000	-4.000	-1.000	0.000	-1.000
YMR147W	0.000	0.000	0.000	-1.000	0.000
YMR158C-A	0.000	-4.000	0.000	-5.000	0.000
YMR158W	0.000	0.000	-7.000	0.000	0.000
YMR158W-B	0.000	0.000	0.000	-6.000	0.000
YMR173W-A	-1.000	-4.000	0.000	-1.000	0.000
YMR326C	0.000	0.000	-1.000	0.000	0.000
YNL056W	0.000	-3.000	0.000	0.000	0.000
YNL080C	-5.000	-3.000	-4.000	-6.000	-5.000
YNL170W	0.000	-3.000	0.000	0.000	0.000
YNL177C	0.000	1.000	-6.000	0.000	0.000
YNL226W	-1.000	-3.000	-1.000	0.000	0.000
YNL296W	0.000	-1.000	-1.000	0.000	0.000
YNR036C	0.000	0.000	-7.000	0.000	0.000
YNR040W	0.000	-4.000	-1.000	-1.000	0.000
YNR042W	0.000	-4.000	-1.000	0.000	0.000
YOL003C	0.000	-3.000	0.000	-7.000	0.000
YOL024W	-1.000	-3.000	0.000	0.000	-1.000
YOL031C	0.000	1.000	0.000	0.000	0.000
YOL037C	0.000	0.000	-1.000	0.000	-1.000
YOL050C	0.000	-4.000	0.000	0.000	0.000
YOL053W	0.000	-1.000	0.000	0.000	0.000
YOL063C	0.000	-1.000	0.000	0.000	0.000
YOL070C	0.000	0.000	0.000	0.000	-1.000
YOR086C	0.000	-4.000	0.000	0.000	0.000
YOR111W	0.000	-4.000	0.000	0.000	-1.000
YOR112W	0.000	-3.000	0.000	0.000	-1.000
YOR135C	0.000	0.000	0.000	-4.000	-7.000
YOR170W	0.000	-4.000	0.000	0.000	-1.000
YOR199W	0.000	0.000	0.000	-1.000	0.000
YOR302W	-1.000	0.000	0.000	0.000	0.000
YOR305W	0.000	0.000	-7.000	0.000	0.000
YOR309C	0.000	-4.000	0.000	0.000	0.000
YOR322C	0.000	-3.000	0.000	-1.000	0.000
YOR331C	-6.000	-3.000	0.000	-7.000	-7.000
YPL005W	0.000	0.000	-6.000	0.000	0.000
YPL013C	0.000	1.000	-6.000	0.000	0.000
YPL102C	0.000	-2.000	0.000	0.000	0.000
YPL105C	0.000	0.000	0.000	0.000	-1.000
YPL107W	0.000	0.000	-1.000	0.000	-1.000
YPL157W	0.000	0.000	0.000	-1.000	0.000
YPL162C	0.000	0.000	0.000	-1.000	0.000
YPL183W-A	0.000	0.000	-5.000	0.000	0.000
YPL205C	0.000	0.000	0.000	-1.000	0.000
YPR015C	-1.000	0.000	0.000	0.000	0.000
YPR027C	-1.000	0.000	0.000	0.000	0.000
YPR059C	0.000	-3.000	0.000	0.000	0.000
YPR078C	0.000	0.000	0.000	0.000	-1.000
YPR099C	0.000	0.000	-6.000	-1.000	0.000
YPR100W	0.000	0.000	-6.000	0.000	0.000
YPR116W	0.000	0.000	-7.000	0.000	0.000
YPR123C	0.000	0.000	-1.000	-4.000	-7.000
YPR126C	0.000	0.000	-7.000	0.000	0.000
YPR139C	-1.000	-4.000	0.000	0.000	-1.000
YPR146C	0.000	-4.000	0.000	-4.000	0.000
YOR162C	0.000	-3.000	0.000	0.000	-1.000
YBR148W	0.000	-4.000	0.000	0.000	0.000
YIR026C	0.000	-3.000	0.000	0.000	0.000
YGR285C	0.000	-4.000	0.000	0.000	0.000
