ORF	hom | growth (relative abundance in pooled culture) | time [14 generations] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | time [21 generations] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | time [14 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | time [21 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [14 generations] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [21 generations] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [14 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	hom | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [21 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | time [21 generations] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | time [21 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [14 generations] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [21 generations] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [14 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015	het | growth (relative abundance in pooled culture) | sodium chloride [0.5 M], time [21 generations], microgravity [unknown] | Nislow C~Hammond TG, 2015
YEL062W	-0.121	-0.615	0.940	1.382	-0.559	0.166	-0.664	0.170	NaN	-0.409	NaN	NaN	-0.014	0.723
YEL063C	-0.509	-0.051	0.128	0.304	-1.167	-1.254	NaN	NaN	-0.000	-0.505	-0.576	-0.208	1.112	-0.309
YEL064C	-0.742	-0.882	-0.147	0.073	1.903	0.531	-0.449	-0.343	-0.000	-0.248	0.028	-0.025	-0.395	-0.113
YEL065W	-0.563	-0.398	0.777	0.667	0.415	-0.066	-0.173	-0.131	-0.020	-0.753	0.079	0.226	0.942	0.858
YEL066W	0.418	0.162	-0.197	0.081	-1.042	0.348	0.314	0.210	-0.000	0.147	-0.452	-0.208	-0.383	0.105
YEL067C	0.197	-0.331	0.404	0.339	-0.380	-0.098	-0.546	-0.340	-0.000	-0.991	-0.328	-0.346	0.460	-1.961
YEL068C	-0.512	-0.021	-0.330	-0.161	-0.125	0.050	0.167	-0.215	-0.000	0.236	0.176	0.433	0.181	0.048
YEL071W	-0.090	0.545	-0.135	-0.037	0.125	-0.102	-0.100	-0.020	-0.000	0.467	0.239	-0.031	0.133	-0.365
YEL072W	0.214	-1.309	-0.100	0.014	0.583	0.633	0.237	-0.037	-0.000	0.268	-0.381	-0.274	-0.016	-0.337
YER001W	0.208	-0.640	-0.467	-0.210	-0.251	0.242	-0.057	-0.237	-0.000	0.744	-0.245	-0.237	0.208	0.029
YER002W	0.061	-0.350	-0.331	-0.530	0.446	-0.147	-0.674	-0.793	NaN	NaN	NaN	NaN	NaN	NaN
YER003C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	0.183	-0.259	-0.333	-0.367	0.264
YER004W	0.173	-0.143	-0.265	-0.141	1.380	1.674	-0.153	-0.463	NaN	0.613	NaN	NaN	0.164	0.202
YER005W	0.299	-0.246	-0.210	-0.163	-0.355	0.386	0.150	-0.631	-0.063	0.529	-0.124	-0.171	-0.412	-0.188
YER006W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.078	-0.593	NaN	NaN	0.408	0.709
YER007C-A	-0.595	0.262	-0.145	-0.134	0.811	-0.512	0.417	0.355	0.144	0.048	0.175	0.393	-0.085	-0.251
YER007W	0.318	0.313	-0.329	-0.208	0.607	0.632	0.092	-0.238	NaN	0.285	NaN	NaN	0.079	0.273
YER009W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.215	NaN	NaN	-0.348	-0.824
YER010C	1.355	1.178	0.071	-0.020	0.135	0.125	-0.394	0.040	0.220	0.505	0.467	0.442	-0.315	0.000
YER011W	0.514	-0.149	-0.059	0.129	0.860	0.097	-0.161	-0.034	NaN	0.535	NaN	NaN	0.559	-0.124
YER012W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.852	NaN	NaN	NaN	NaN
YER013W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	-0.611	-0.179	0.021	0.223	0.141
YER014W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.492	-0.621	0.543	0.402	-0.058	0.166
YER016W	-0.092	-0.667	-0.676	-0.896	-1.219	-0.734	-0.557	-1.089	NaN	0.240	NaN	NaN	0.123	-0.091
YER017C	-1.172	-0.489	0.383	-0.811	-1.147	-3.382	-0.779	-1.409	NaN	-0.458	NaN	NaN	-0.018	0.091
YER018C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.043	NaN	NaN	-0.580	-0.002
YER019C-A	-0.212	0.402	0.343	0.158	-1.193	-0.965	-0.095	0.298	-0.000	-0.623	-0.479	-0.296	0.126	0.100
YER019W	0.366	-1.391	-0.067	-0.248	-0.249	-0.008	-0.189	-0.780	-0.000	0.671	-0.031	-0.330	0.088	0.068
YER020W	-0.571	-1.951	-0.412	-1.098	-0.335	0.203	-0.570	-1.073	-0.246	0.247	-0.092	-0.094	-0.478	-0.723
YER021W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.175	-0.202	-0.279	-0.096	0.387	0.340
YER022W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	0.297	-0.112	0.309	-0.058	0.188
YER023W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	0.306	-0.155	0.318	0.296	-0.017
YER024W	-0.693	-0.553	-0.406	-0.290	-0.191	-0.110	-0.792	-0.750	0.033	-0.846	-0.322	-0.286	1.642	1.510
YER025W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.048	-0.241	-0.261	-0.261	NaN	NaN
YER027C	0.623	-0.235	-0.392	0.211	0.438	0.791	0.130	0.139	-0.000	0.068	0.141	0.134	-0.369	-0.770
YER028C	-0.421	-0.312	1.193	0.070	-0.912	-1.302	0.101	-0.293	-0.000	0.066	-0.258	0.203	0.045	-1.017
YER030W	-0.125	0.893	0.192	-0.654	1.914	-0.397	0.337	0.252	NaN	-0.796	NaN	NaN	0.438	-0.839
YER031C	0.414	-0.261	0.093	-0.017	-0.054	-1.273	NaN	NaN	-0.000	-0.097	-0.279	-0.005	-0.294	-0.317
YER032W	0.341	0.016	0.173	0.156	0.211	0.807	0.079	-0.264	NaN	-0.064	NaN	NaN	-0.239	-0.752
YER033C	-0.664	-0.454	0.710	0.555	-1.220	-1.506	-1.340	-1.054	NaN	-0.431	-0.461	-0.482	0.334	0.858
YER034W	0.026	-0.081	0.128	-0.191	-0.492	0.470	-0.226	-0.224	-0.000	0.058	-0.041	-0.359	0.248	-0.051
YER035W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	0.114	0.894	0.572	-0.193	-0.298
YER036C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	0.341	-0.039	-0.041	-0.366	-0.864
YER037W	-0.126	0.323	-0.121	-0.060	0.290	-0.099	0.267	0.203	-0.000	-0.599	-0.165	-0.114	0.430	0.508
YER038C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.331	-0.068	-0.063	0.217	-0.127	0.298
YER038W-A	0.280	-0.110	-0.355	-0.016	0.675	0.429	0.394	0.116	-0.197	0.221	-0.053	0.031	-0.047	-0.043
YER039C-A	-0.605	-0.442	0.130	0.061	-0.453	0.110	-0.157	0.066	NaN	0.362	NaN	NaN	0.255	-0.905
YER040W	0.085	-0.650	-0.325	-0.852	-0.622	0.008	-0.454	-0.627	NaN	0.649	NaN	NaN	0.095	-0.316
YER041W	-0.684	-1.265	0.366	-0.014	-0.900	-0.387	-0.467	-0.102	NaN	-0.112	NaN	NaN	1.067	1.699
YER042W	-0.646	-0.878	0.183	0.055	-0.862	-0.314	-0.454	-0.338	-0.000	-0.796	-0.011	-0.134	0.315	-0.502
YER043C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.597	NaN	NaN	-1.532	-0.308
YER044C	NaN	NaN	NaN	NaN	-0.781	-0.781	NaN	NaN	NaN	-0.836	NaN	NaN	0.456	-0.587
YER044C-A	0.153	0.159	-0.164	0.067	-0.445	0.209	0.192	-0.095	-0.000	0.039	0.017	0.241	-0.369	0.014
YER045C	0.188	-0.226	0.087	0.043	0.621	0.974	0.486	0.218	NaN	-0.021	NaN	NaN	0.018	-0.051
YER046W	-0.168	-1.287	0.450	0.588	-0.795	0.248	-0.152	0.004	NaN	-0.290	NaN	NaN	0.253	-0.261
YER046W-A	-0.566	-0.521	0.430	0.439	NaN	NaN	NaN	NaN	NaN	-0.168	NaN	NaN	0.222	-1.172
YER047C	-0.064	-0.380	-0.356	-0.481	1.158	0.137	0.726	0.141	-0.000	0.389	-0.265	0.039	-0.375	-0.027
YER048C	0.171	-0.398	0.105	0.514	-0.197	1.223	-0.101	0.752	-0.000	-0.129	0.452	0.187	0.227	-0.365
YER048W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.754	NaN	NaN	-0.473	0.459
YER049W	0.906	0.782	-0.345	-0.119	-0.103	0.126	-0.401	-0.185	-0.000	0.102	0.245	-0.375	-0.593	-0.376
YER050C	0.316	1.409	-0.248	-0.221	-0.188	-1.682	0.465	0.259	NaN	0.800	NaN	NaN	-0.943	0.787
YER051W	-0.355	-0.066	0.032	-0.106	-0.406	-0.124	-0.876	-0.274	-0.000	-0.490	0.246	0.617	-0.086	0.742
YER052C	NaN	NaN	-0.341	0.130	-0.355	-1.115	-0.090	-0.853	-0.000	0.105	-0.021	-0.129	-1.117	-0.102
YER053C	-0.697	-0.846	-0.316	-0.388	1.633	1.743	-0.358	-0.746	NaN	NaN	NaN	NaN	NaN	NaN
YER054C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.744	NaN	NaN	-0.625	0.313
YER055C	0.763	-0.127	-0.489	-0.580	0.852	1.274	-0.010	-0.592	NaN	-0.370	NaN	NaN	-0.860	0.355
YER056C	0.092	-0.842	0.061	-0.141	0.135	0.091	NaN	NaN	-0.119	0.048	0.007	-0.166	0.374	0.682
YER056C-A	-0.003	-0.426	-0.257	0.090	-0.465	0.377	-1.673	-0.474	-0.000	0.107	-0.566	-0.177	-0.058	0.050
YER057C	0.185	0.115	-0.152	0.068	0.893	0.809	0.125	-0.028	0.016	0.577	-0.426	-0.229	-0.298	-0.675
YER058W	-0.499	0.539	-0.356	-0.356	0.134	-1.652	0.137	-0.529	NaN	0.832	NaN	NaN	0.450	0.237
YER059W	0.493	-0.192	-0.585	-0.528	0.700	0.353	-0.290	-1.108	NaN	0.666	NaN	NaN	-0.391	-0.452
YER060W	0.130	-0.145	-0.231	-0.229	0.445	0.852	0.447	0.277	NaN	0.377	NaN	NaN	-0.526	0.287
YER060W-A	-0.317	-0.841	0.541	0.591	0.025	0.140	-0.419	-1.002	NaN	NaN	NaN	NaN	NaN	NaN
YER061C	-0.647	0.462	0.085	0.175	-0.563	-2.150	0.100	0.092	NaN	-1.251	NaN	NaN	0.468	-0.009
YER062C	-0.096	-0.058	0.013	-0.141	-1.733	-0.147	0.526	-0.497	NaN	0.365	NaN	NaN	-0.224	-0.338
YER063W	1.846	1.240	-0.052	0.032	0.267	0.099	0.149	0.002	0.052	0.569	0.553	0.710	-0.361	-0.071
YER064C	-0.423	-0.539	0.426	-0.090	0.175	0.384	-0.855	-0.173	NaN	0.832	NaN	NaN	0.219	0.935
YER065C	-0.238	0.076	0.777	0.558	0.868	1.022	-0.343	0.394	NaN	-0.031	NaN	NaN	-0.004	-0.480
YER066W	NaN	NaN	1.163	0.613	NaN	NaN	NaN	NaN	NaN	-0.666	NaN	NaN	1.057	0.787
YER067C-A	-0.214	-0.777	-0.576	0.053	-0.803	0.405	0.036	-0.827	NaN	0.456	NaN	NaN	0.325	-0.188
YER067W	-0.648	-0.725	NaN	NaN	-0.550	-0.503	NaN	NaN	NaN	-0.458	NaN	NaN	0.012	0.121
YER068C-A	0.145	0.657	0.214	0.149	-0.463	-0.340	-0.406	-0.438	NaN	-0.806	NaN	NaN	-0.366	-1.480
YER068W	-0.560	-0.884	0.216	-0.126	-0.462	-0.874	NaN	NaN	-0.000	-0.332	0.007	0.213	0.089	-0.133
YER069W	0.296	-1.297	-0.033	-0.097	0.426	0.109	0.287	-0.475	NaN	-1.168	NaN	NaN	-0.188	-0.557
YER070W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.168	NaN	NaN	-0.251	-0.490
YER071C	0.264	-0.480	-0.267	0.144	-0.415	0.852	-0.555	0.081	0.413	0.002	0.658	0.177	-0.188	-0.117
YER072W	0.221	1.244	NaN	NaN	-0.653	-1.404	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER073W	0.279	0.228	0.047	0.020	1.204	1.260	-0.278	-0.071	0.097	0.102	0.104	-0.137	0.425	0.274
YER074W	-0.077	-2.963	-0.414	-1.042	-0.876	0.134	-0.643	-1.813	-0.439	-2.010	-0.759	-1.121	-0.515	-0.794
YER075C	0.037	-0.858	0.014	-0.333	-0.213	1.731	-0.600	0.146	-0.000	0.239	0.081	0.108	0.456	-0.671
YER077C	-0.271	0.535	0.424	-0.094	-0.704	-2.024	-0.588	-0.529	NaN	0.397	NaN	NaN	-0.033	1.220
YER078C	0.529	-0.322	0.035	0.099	0.342	1.422	0.207	-0.082	NaN	0.238	NaN	NaN	-0.172	-0.399
YER079W	0.057	-0.998	0.095	-0.400	-0.443	-0.124	-0.211	0.242	-0.000	-0.869	0.068	0.035	-0.326	-0.314
YER080W	0.386	-0.325	-0.127	-0.148	0.459	0.210	-0.350	0.003	0.071	-0.053	0.187	0.346	0.219	-0.743
YER081W	0.165	-1.188	-0.125	0.108	-0.001	1.433	-0.487	-0.174	0.058	-0.431	-0.314	-0.390	-0.510	-0.431
YER082C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.155	0.346	-0.536	-0.708	0.126	-0.450
YER083C	-0.148	0.618	0.916	-0.016	-0.609	-1.667	-0.150	1.186	0.007	-0.520	-0.389	0.014	0.420	0.150
YER084W	0.125	0.879	0.060	0.070	-0.303	-0.322	-0.368	-0.402	-0.000	-0.168	-0.047	-0.311	0.228	0.264
YER085C	0.172	-0.213	0.075	-0.126	-0.100	1.015	-0.788	-0.664	-0.000	-0.168	0.562	0.341	0.259	0.220
YER086W	NaN	NaN	0.430	0.124	0.160	-0.497	NaN	NaN	-0.000	-0.666	-0.750	-0.200	1.264	0.787
YER087C-A	-0.613	-1.279	0.899	0.732	-0.830	-0.233	-0.680	0.362	NaN	0.437	NaN	NaN	0.609	0.718
YER087W	-0.183	0.058	0.698	-0.002	0.062	-1.765	-0.612	-0.652	-0.000	0.297	0.437	0.642	0.035	-0.184
YER088C	0.669	1.148	0.153	-0.083	-0.181	0.422	-0.436	1.052	NaN	-0.769	0.450	0.886	0.292	-0.102
YER089C	0.127	-0.280	0.617	0.249	0.300	0.264	-0.494	0.140	-0.273	-1.221	-0.324	0.210	-0.091	0.176
YER090W	NaN	NaN	-0.751	-0.252	-0.436	-3.145	0.250	0.138	-0.000	-0.113	-0.025	-0.122	0.164	-0.287
YER091C	NaN	NaN	-0.297	-0.111	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YER091C-A	0.164	-0.848	-0.435	-0.271	0.375	0.233	-0.030	0.023	-0.000	0.504	-0.249	-0.412	-0.656	-0.435
YER092W	-0.311	-0.311	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.361	NaN	NaN	1.029	1.372
YER093C-A	-0.135	0.207	0.682	0.302	-1.254	-1.218	-0.160	0.041	-0.000	-1.441	-0.049	-0.225	0.363	-0.002
YER094C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.516	NaN	NaN	NaN	NaN
YER095W	-0.383	-0.407	-0.819	-1.249	0.285	-0.706	-0.336	-1.370	NaN	0.184	NaN	NaN	0.243	0.076
YER096W	-0.733	-1.482	-0.149	-0.113	-0.516	0.020	0.356	0.323	-0.000	-1.391	-0.016	0.229	0.527	-0.628
YER097W	-0.143	-0.079	0.609	0.269	-0.102	0.212	-0.443	-0.009	-0.282	-0.361	0.174	0.406	0.816	0.086
YER098W	0.203	-0.111	0.121	0.237	-0.045	0.978	0.357	0.068	NaN	0.204	NaN	NaN	0.112	1.050
YER101C	0.430	0.288	0.291	-0.064	0.154	0.218	-0.219	0.382	NaN	0.185	NaN	NaN	0.346	-0.645
YER103W	-0.358	-0.976	0.720	0.723	-0.799	-0.132	-0.634	0.216	NaN	-0.846	NaN	NaN	0.304	0.413
YER106W	-0.026	0.214	-0.237	-0.483	0.326	-0.063	-0.251	-0.584	-0.000	0.469	0.173	0.257	-0.058	-0.571
YER107C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.075	NaN	NaN	-0.566	-0.557
YER109C	-0.387	-1.015	-0.348	0.028	-0.111	0.989	0.157	0.023	NaN	0.023	NaN	NaN	-0.285	-0.294
YER110C	0.216	-2.407	0.173	-0.429	-0.285	0.507	0.214	-0.512	-0.066	0.832	-0.074	0.213	-0.511	0.105
YER111C	-0.288	-0.601	-0.034	-0.219	-0.021	0.633	-0.138	-0.248	NaN	0.539	NaN	NaN	-0.232	-0.502
YER112W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	-0.302	0.551	0.445	-0.228	-0.075
YER113C	0.400	0.941	0.248	0.010	-0.188	-0.144	0.268	0.195	NaN	0.080	NaN	NaN	0.081	-0.117
YER114C	-0.194	-0.336	0.748	0.651	0.458	0.563	-0.481	-0.527	-0.000	-1.322	-0.061	0.051	-0.210	-0.464
YER115C	-0.660	-0.194	0.084	-0.005	0.033	-0.247	-0.292	0.219	-0.000	-0.338	-0.032	0.092	0.411	0.345
YER116C	-0.607	-0.607	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	-1.246	-0.266	-0.409	-0.055	0.067
YER117W	-0.945	-0.325	-0.267	-0.591	0.030	-0.711	-0.795	-0.635	-0.000	-0.437	0.028	-0.072	-0.463	0.748
YER118C	-0.084	0.260	0.157	0.285	-0.145	-0.290	-3.284	-0.571	NaN	-0.458	NaN	NaN	0.775	0.220
YER119C	0.249	-0.335	-0.239	0.002	-0.289	-0.270	0.582	0.235	-0.000	-0.040	-1.021	-0.671	-0.597	-0.413
YER119C-A	0.093	-1.154	0.030	0.058	-0.063	0.744	-0.698	-0.171	-0.000	0.739	-0.405	-0.109	0.289	-0.193
YER120W	0.039	-0.271	0.118	-0.157	-0.282	0.924	-0.219	0.109	-0.000	0.076	0.145	0.454	-0.031	0.087
YER121W	0.121	0.079	0.065	-0.334	0.869	0.663	0.280	-0.032	-0.159	0.453	-0.363	-0.529	-0.625	0.483
YER122C	-0.016	2.290	-0.337	-0.807	-0.384	-3.015	-0.104	-0.430	-0.000	0.340	0.125	-0.213	-0.351	0.433
YER123W	-0.100	-0.771	-0.565	-0.282	-0.298	1.336	-0.068	-0.645	NaN	-0.145	NaN	NaN	-0.257	-0.149
YER124C	0.309	0.215	0.217	-0.116	1.304	0.978	0.828	0.529	-0.000	0.417	0.034	-0.050	0.391	0.407
YER125W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	0.143	0.028	-0.425	0.206	0.624
YER126C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.045	0.832	0.189	-0.668	-0.306	0.684
YER127W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	0.147	NaN	NaN	0.098	-0.035
YER128W	0.117	-0.108	0.053	-0.115	-0.596	-0.040	-0.306	-0.327	-0.000	-0.431	-0.271	-0.681	-0.326	0.528
YER129W	-0.338	-0.841	-0.370	0.024	0.273	1.507	0.117	-0.565	NaN	0.618	NaN	NaN	-0.660	-0.950
YER130C	-0.536	0.104	1.017	0.401	-0.380	0.267	-0.395	0.586	-0.118	-0.107	-0.432	-0.406	-0.344	-0.605
YER131W	-0.077	-0.134	0.164	-0.411	0.135	-0.204	0.010	-0.047	NaN	NaN	NaN	NaN	-0.888	-0.950
YER132C	0.288	-0.099	-0.778	-0.692	0.577	0.318	0.012	0.058	NaN	-0.694	NaN	NaN	-0.631	-0.638
YER133W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	0.346	-0.079	-0.533	-0.621	-0.003
YER134C	-0.007	-0.538	-0.061	0.289	-0.561	-0.451	-0.680	0.202	NaN	-0.563	NaN	NaN	1.729	1.137
YER135C	0.327	0.029	-0.123	-0.230	-0.579	0.292	-1.080	-0.406	NaN	-0.563	NaN	NaN	0.684	1.394
YER136W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.239	NaN	NaN	-0.111	-1.172
YER137C	-0.029	-0.038	-0.233	-0.725	0.633	0.053	-0.092	0.055	NaN	0.147	NaN	NaN	0.046	0.536
YER139C	-0.678	-0.442	0.113	-0.174	0.315	-0.521	-0.047	0.057	NaN	NaN	NaN	NaN	NaN	NaN
YER140W	-0.398	-0.027	0.886	0.643	-0.549	-0.595	-1.201	-0.293	NaN	-0.168	NaN	NaN	1.012	0.121
YER141W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.469	NaN	NaN	0.642	0.220
YER142C	0.246	-1.096	-0.121	0.437	-0.141	0.393	NaN	NaN	-0.241	-0.389	0.054	0.199	0.112	-0.502
YER143W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.959	NaN	NaN	NaN	NaN
YER144C	0.176	0.267	-0.306	-0.173	-1.121	-0.271	-1.471	-0.830	0.010	-0.338	-0.358	-0.198	0.024	-0.452
YER145C	-0.432	-0.386	0.499	0.905	-0.626	0.040	-0.755	-0.595	NaN	-2.281	NaN	NaN	-0.111	0.943
YER146W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	-0.725	0.036	-0.027	0.155	-0.961
YER149C	0.329	1.337	0.043	-0.318	0.680	0.138	0.453	-0.227	NaN	0.464	NaN	NaN	-1.321	0.109
YER150W	-0.182	-0.946	0.736	0.769	-1.438	-0.469	-1.114	-0.173	NaN	-0.609	NaN	NaN	-0.239	-0.130
YER151C	-0.727	-0.983	1.490	0.735	-1.083	-1.423	-2.194	0.053	NaN	-0.869	NaN	NaN	0.697	-0.365
YER152C	0.400	-0.107	0.089	-0.005	0.007	0.336	0.351	-0.185	NaN	NaN	NaN	NaN	NaN	NaN
YER153C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.179	-0.172
YER154W	-0.113	1.006	1.310	0.962	0.197	-1.032	-0.281	0.463	NaN	-0.458	NaN	NaN	0.012	-0.102
YER155C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.339	NaN	NaN	-0.313	0.548
YER156C	0.430	-1.643	-1.119	-1.335	-2.278	-0.442	-2.123	-2.131	-0.000	-0.315	0.039	-0.204	-0.071	0.047
YER157W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.239	-0.452
YER158C	-0.265	-0.252	-0.236	0.277	-0.684	0.179	-0.065	-0.130	-0.000	0.334	-0.586	-0.939	-0.445	-0.009
YER159C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.154	NaN	NaN	-0.947	-0.365
YER161C	0.033	-1.194	-0.113	0.603	0.700	0.820	NaN	NaN	NaN	-0.242	NaN	NaN	-0.473	-0.365
YER162C	0.252	0.132	-0.167	-0.249	-0.116	0.202	-0.273	-0.137	-1.471	-1.331	0.493	-0.313	NaN	NaN
YER163C	0.591	-1.656	-0.068	-0.154	0.791	0.571	0.180	-0.422	NaN	0.106	NaN	NaN	-0.035	-0.512
YER164W	-0.594	-0.115	-0.239	0.216	0.340	0.069	0.246	-0.008	-0.000	0.504	-0.304	-0.090	0.740	0.360
YER165W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.075	NaN	NaN	0.790	-1.272
YER166W	0.084	0.305	-0.974	-0.133	0.516	0.471	0.886	0.408	NaN	0.346	NaN	NaN	-0.532	-0.201
YER167W	0.090	-1.574	0.806	0.476	-0.711	0.211	-0.327	-0.065	NaN	0.066	NaN	NaN	-0.014	0.957
YER168C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.309	-1.309
YER169W	0.144	0.290	0.233	0.076	-0.562	0.291	0.105	-0.197	-0.000	-0.168	0.181	-0.227	0.077	-0.587
YER170W	-0.163	0.010	0.179	0.381	0.845	1.876	0.592	0.411	NaN	0.538	NaN	NaN	-0.618	-0.950
YER171W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.532	NaN	NaN	1.016	0.979
YER172C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	0.176	0.103	0.094	0.336	-0.027
YER173W	-0.490	0.185	0.682	0.785	0.274	0.217	-0.070	-0.423	NaN	0.301	NaN	NaN	-0.236	-0.172
YER174C	0.456	0.755	-0.226	-0.173	0.573	0.943	0.210	0.176	NaN	0.054	NaN	NaN	-0.407	-1.195
YER175C	0.270	0.149	0.453	0.160	0.619	0.537	-1.152	-0.773	NaN	NaN	NaN	NaN	NaN	NaN
YER176W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	-0.959	0.174	-0.103	-0.134	-0.046
YER177W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.544	NaN	NaN	NaN	NaN
YER178W	-0.198	1.897	0.039	-0.305	0.581	-1.045	0.911	0.953	0.288	-0.391	0.702	0.499	-0.519	-0.250
YER179W	-0.308	-0.185	0.194	-0.002	0.266	0.096	-0.437	-0.081	0.404	-0.094	-0.122	-0.022	0.024	-0.452
YER180C	0.665	0.603	-0.216	0.001	0.101	0.762	0.005	-0.362	NaN	0.329	NaN	NaN	0.414	0.220
YER181C	-0.165	0.560	-0.024	-0.255	0.880	0.480	-0.362	-0.075	NaN	0.154	NaN	NaN	-0.014	0.336
YER182W	-0.153	-0.607	0.294	0.237	-0.429	0.135	-0.632	-0.140	NaN	-0.431	NaN	NaN	0.385	-0.043
YER183C	-0.265	-0.865	0.282	0.263	0.144	-0.167	-0.988	-0.304	NaN	NaN	NaN	NaN	-0.267	0.394
YER184C	-0.183	-0.109	0.370	0.106	-0.336	-0.304	-0.735	-0.529	-0.000	-1.104	-0.433	-0.176	0.812	0.220
YER185W	-0.120	0.174	-0.349	0.193	0.789	-0.199	-0.252	-0.608	-0.000	1.098	-0.899	-0.384	-0.393	0.261
YER186C	0.283	-0.091	-0.470	-0.190	-0.704	0.071	-0.321	-0.288	-0.089	-0.472	0.386	-0.463	0.515	-0.092
YER187W	0.114	-0.061	0.823	0.729	-1.034	-0.712	-0.629	-0.486	-0.052	-0.479	-0.463	0.077	-0.174	0.842
YER188W	-0.073	-0.210	0.292	-0.003	-0.584	-0.057	-0.507	-0.391	-0.000	-0.240	-0.393	-1.267	-0.255	-0.298
YFL001W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.729	0.722
YFL002C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	-0.275	-0.473	-0.117	0.221	-0.024
