ORF	hom | growth (relative abundance in pooled culture) | Nannocystin A [75 uM] | Krastel P~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | Nannocystin A [75 uM] | Krastel P~Hoepfner D, 2015
YDR036C	-0.160	0.301
YDR037W	NaN	-0.051
YDR041W	NaN	-0.936
YDR042C	-0.408	-0.186
YDR043C	0.274	0.043
YDR044W	NaN	-0.028
YDR045C	NaN	5.478
YDR046C	0.131	1.126
YDR047W	NaN	-0.078
YDR048C	-11.359	-4.273
YDR049W	-17.243	-1.762
YDR050C	NaN	1.003
YDR051C	0.003	0.526
YDR052C	NaN	-13.179
YDR053W	NaN	-0.438
YDR054C	NaN	-4.002
YDR055W	-0.255	-0.032
YDR056C	-0.018	0.557
YDR057W	-2.510	-0.496
YDR058C	0.483	0.070
YDR059C	-0.440	0.308
YDR060W	NaN	1.804
YDR061W	-0.165	0.180
YDR062W	NaN	-0.667
YDR063W	-0.079	-0.238
YDR064W	NaN	2.075
YDR065W	5.259	-0.032
YDR066C	-0.581	-0.063
YDR067C	-1.949	-2.341
YDR068W	-0.007	0.204
YDR069C	-1.814	1.125
YDR070C	0.099	0.190
YDR071C	0.003	-0.086
YDR072C	0.720	2.766
YDR073W	0.719	0.185
YDR074W	1.203	-0.661
YDR075W	0.581	2.167
YDR076W	1.529	0.369
YDR077W	0.275	-15.210
YDR078C	0.644	0.302
YDR079W	1.184	0.095
YDR080W	-11.217	-0.581
YDR081C	NaN	-0.109
YDR082W	NaN	1.253
YDR083W	2.553	0.487
YDR084C	0.019	-0.072
YDR085C	-0.052	-0.075
YDR086C	NaN	-0.033
YDR087C	NaN	0.383
YDR088C	NaN	0.366
YDR089W	0.351	0.380
YDR090C	0.013	NaN
YDR091C	NaN	0.378
YDR093W	-2.424	-0.016
YDR094W	-0.117	-0.696
YDR095C	-1.176	-0.743
YDR096W	1.060	1.343
YDR097C	0.444	0.325
YDR098C	0.019	-0.089
YDR099W	-0.245	-1.247
YDR100W	-0.040	0.006
YDR101C	1.561	0.618
YDR102C	0.100	-0.711
YDR103W	NaN	0.592
YDR104C	0.206	-0.186
YDR105C	-2.255	-0.064
YDR107C	0.216	0.237
YDR108W	-0.069	0.009
YDR109C	-0.125	-0.012
YDR110W	0.908	-0.404
YDR111C	0.237	0.634
YDR112W	-0.323	-0.175
YDR113C	NaN	0.012
YDR114C	4.421	-0.390
YDR115W	4.953	-1.113
YDR116C	1.111	0.008
YDR117C	0.601	-0.186
YDR118W	NaN	0.002
YDR119W	-0.001	-0.185
YDR120C	-0.993	0.162
YDR121W	0.667	-0.760
YDR122W	0.640	0.170
YDR123C	0.469	0.264
YDR124W	0.464	0.263
YDR125C	-0.950	-1.264
YDR126W	-8.956	-0.163
YDR127W	0.137	-0.029
YDR128W	-0.031	-0.795
YDR129C	-15.535	-0.121
YDR130C	0.011	0.085
YDR131C	0.347	-0.777
YDR132C	-0.027	0.222
YDR133C	-0.020	0.019
YDR135C	-0.109	-2.097
YDR136C	-4.237	1.053
YDR137W	NaN	-0.003
YDR138W	NaN	0.005
YDR139C	-0.340	0.505
YDR140W	5.117	0.662
YDR141C	NaN	-0.015
YDR142C	-0.150	0.234
YDR143C	0.064	-0.107
YDR144C	0.488	0.067
YDR145W	NaN	-9.556
YDR146C	0.378	1.258
YDR147W	0.068	NaN
YDR148C	-0.676	0.074
YDR149C	-1.233	0.219
YDR150W	1.801	-0.095
YDR151C	0.026	-0.876
YDR152W	-0.559	0.131
YDR153C	-3.067	-0.872
YDR154C	-0.037	-0.848
YDR155C	-0.236	0.265
YDR156W	2.159	0.646
YDR157W	0.211	0.125
YDR158W	NaN	0.109
YDR159W	2.240	-0.871
YDR160W	NaN	-0.019
YDR161W	-2.691	-0.358
YDR162C	-10.353	-2.303
YDR163W	-0.071	-0.827
YDR164C	NaN	-0.696
YDR165W	-1.214	-0.107
YDR166C	NaN	0.416
YDR167W	NaN	-3.332
YDR168W	NaN	0.097
YDR169C	0.350	0.470
YDR170C	NaN	0.506
YDR171W	0.046	0.037
YDR172W	1.424	-0.612
YDR173C	1.438	-0.007
YDR174W	-0.109	0.392
YDR175C	1.674	0.984
YDR176W	0.276	-3.814
YDR177W	NaN	0.021
YDR178W	1.109	0.390
YDR179C	-0.557	0.155
YDR179W-A	-0.639	0.002
YDR180W	NaN	-0.121
YDR181C	0.769	0.560
YDR182W	NaN	-1.027
YDR183W	0.009	0.369
YDR184C	0.478	-8.505
YDR185C	0.001	0.104
YDR186C	0.475	0.552
YDR187C	NaN	2.442
YDR188W	NaN	3.919
YDR189W	NaN	0.496
YDR190C	NaN	-2.642
YDR191W	-0.053	0.578
YDR192C	0.001	-0.041
YDR193W	-1.731	-0.048
YDR194C	3.133	0.008
YDR195W	-9.675	0.184
YDR196C	NaN	-0.159
YDR197W	3.653	0.981
YDR198C	-0.154	0.093
YDR199W	-0.423	0.079
YDR200C	-5.832	0.249
YDR201W	NaN	-0.120
YDR202C	-13.449	-0.929
YDR203W	-10.902	-0.418
YDR204W	3.138	1.333
YDR205W	-0.450	-0.592
YDR206W	-0.022	0.460
YDR207C	0.548	-0.288
YDR208W	NaN	-0.769
YDR209C	-0.077	-0.885
YDR210W	0.012	0.005
YDR211W	NaN	0.202
YDR212W	NaN	2.678
YDR213W	-0.053	0.312
YDR214W	0.057	-0.040
YDR215C	0.186	-0.084
YDR216W	0.083	0.003
YDR217C	-0.081	0.079
YDR218C	0.199	-1.152
YDR219C	1.350	-0.170
YDR220C	0.349	-0.696
YDR221W	-0.702	0.480
YDR222W	-0.423	-1.042
YDR223W	-0.039	0.007
YDR224C	NaN	-5.449
YDR225W	-0.332	-0.441
YDR226W	NaN	1.614
YDR227W	NaN	-0.189
YDR228C	NaN	-1.813
YDR229W	-0.073	-1.206
YDR230W	1.541	-0.407
YDR231C	2.598	0.615
YDR232W	NaN	-2.626
YDR233C	-4.094	-0.830
YDR234W	2.659	0.092
YDR235W	NaN	0.391
YDR236C	NaN	-0.054
YDR237W	1.402	0.194
YDR238C	NaN	-5.853
YDR239C	0.028	-0.040
YDR240C	NaN	0.783
YDR241W	2.221	0.043
YDR242W	0.333	0.021
YDR243C	NaN	-0.096
YDR244W	1.147	0.010
YDR245W	-8.507	-1.242
YDR246W	NaN	1.057
YDR247W	0.185	0.986
YDR248C	0.048	0.080
YDR249C	-0.058	-0.896
YDR250C	-0.464	0.164
YDR251W	0.175	-0.020
YDR252W	-0.054	0.282
YDR253C	-0.255	0.233
YDR254W	-0.142	-0.167
YDR255C	2.922	0.262
YDR256C	0.057	0.145
YDR257C	-0.030	-6.402
YDR258C	0.152	0.008
YDR259C	-0.081	0.982
YDR260C	0.246	-0.120
YDR261C	0.285	-0.107
YDR262W	-0.031	0.481
YDR263C	0.364	0.536
YDR264C	NaN	-5.532
YDR265W	0.750	-0.036
YDR266C	0.791	1.932
YDR267C	NaN	0.764
YDR268W	8.572	-0.049
YDR269C	-1.140	-0.589
YDR270W	0.093	-0.052
YDR271C	-0.032	0.243
YDR272W	0.011	-0.065
YDR273W	0.080	-0.005
YDR274C	0.172	-0.128
YDR275W	0.171	0.971
YDR276C	-14.178	0.541
YDR277C	0.131	0.811
YDR278C	0.808	0.324
YDR279W	-0.064	-0.398
YDR280W	NaN	7.857
YDR281C	NaN	-0.094
YDR282C	0.530	0.084
YDR283C	-0.078	-1.526
YDR284C	-0.045	-0.104
YDR285W	0.185	0.023
YDR286C	-0.013	-0.463
YDR287W	-0.690	-0.193
YDR288W	NaN	1.971
YDR289C	0.945	0.421
YDR290W	0.208	0.393
YDR291W	0.058	1.075
YDR292C	NaN	1.473
YDR293C	NaN	-2.871
YDR294C	-0.030	-0.059
YDR295C	-0.020	-1.190
YDR296W	2.306	-0.105
YDR297W	-6.500	1.901
YDR298C	8.155	0.290
YDR299W	NaN	0.618
YDR300C	NaN	-11.905
YDR301W	NaN	2.279
YDR302W	NaN	1.499
YDR303C	NaN	4.678
YDR304C	0.256	-0.010
YDR305C	0.356	-0.220
YDR306C	0.069	0.184
YDR307W	0.025	-0.788
YDR308C	NaN	0.635
YDR309C	0.385	-0.555
YDR310C	-5.040	-0.726
YDR311W	NaN	1.441
YDR312W	0.027	1.737
YDR313C	0.067	-0.104
YDR314C	0.675	0.344
YDR315C	0.752	NaN
YDR316W	2.131	-0.258
YDR317W	-1.337	-0.393
YDR318W	-1.243	-0.300
YDR319C	0.214	0.169
YDR320C	-12.771	0.864
YDR321W	-0.168	-0.164
YDR322W	0.145	-8.906
YDR323C	-15.314	-0.173
YDR324C	NaN	2.495
YDR325W	NaN	-0.046
YDR326C	-1.405	0.054
YDR327W	NaN	-1.938
YDR328C	NaN	-1.138
YDR329C	0.654	1.712
YDR330W	0.064	-0.055
YDR331W	NaN	1.485
YDR332W	0.636	-0.497
YDR333C	-3.250	-5.202
YDR334W	-4.855	-2.470
YDR335W	-0.227	-0.907
YDR336W	1.149	-0.026
YDR337W	2.321	0.830
YDR338C	0.100	-0.008
YDR339C	NaN	0.089
YDR340W	-0.309	0.132
YDR341C	NaN	0.053
YDR344C	-0.265	-1.440
YDR345C	-1.376	-0.210
YDR346C	-2.687	-2.518
YDR347W	4.448	-0.095
YDR348C	-2.689	-1.755
YDR349C	0.695	1.138
YDR350C	5.727	0.064
YDR351W	-0.071	0.992
YDR352W	0.167	0.722
YDR353W	NaN	-0.112
YDR354W	0.472	0.078
YDR355C	NaN	-1.877
YDR356W	NaN	0.730
YDR357C	-2.098	-0.981
YDR358W	-0.108	-0.104
YDR359C	0.997	0.588
YDR360W	-3.853	-5.010
YDR361C	NaN	-0.023
YDR362C	NaN	-0.210
YDR363W	-2.138	0.034
YDR363W-A	-0.032	0.735
YDR364C	NaN	0.085
YDR365C	NaN	-0.088
YDR367W	NaN	-4.885
YDR368W	-0.249	0.395
YDR369C	0.002	0.118
YDR370C	-0.091	-0.421
YDR371W	0.005	0.188
YDR372C	-3.399	1.579
YDR373W	NaN	0.089
YDR374C	-0.212	-0.002
YDR375C	2.347	0.552
YDR376W	NaN	-0.031
YDR377W	3.831	0.177
YDR378C	3.598	0.439
YDR379W	-0.034	-0.037
YDR380W	0.075	0.607
YDR381W	NaN	-0.039
YDR382W	NaN	0.029
YDR383C	0.210	0.005
YDR384C	0.026	0.618
YDR385W	1.978	-0.499
YDR386W	0.213	0.647
YDR387C	0.016	0.594
YDR388W	-17.034	0.139
YDR389W	-13.728	-1.276
YDR390C	NaN	-0.022
YDR391C	1.127	0.789
YDR392W	3.482	0.143
YDR393W	1.821	0.213
YDR394W	NaN	-2.854
YDR395W	1.492	1.129
YDR396W	NaN	0.362
YDR397C	NaN	1.012
YDR398W	NaN	1.889
YDR399W	0.113	-0.027
YDR400W	-0.072	-0.270
YDR401W	-0.026	0.488
YDR402C	-0.012	0.917
YDR403W	0.413	-0.199
YDR404C	NaN	-7.093
YDR405W	1.209	1.586
YDR406W	0.061	0.524
YDR407C	NaN	-0.103
YDR408C	NaN	-0.430
YDR409W	0.046	0.755
YDR410C	NaN	0.079
YDR411C	0.005	0.235
YDR412W	NaN	-0.035
YDR413C	NaN	-0.297
YDR414C	-10.106	0.099
YDR415C	-10.412	0.004
YDR416W	NaN	0.107
YDR417C	-1.131	0.067
YDR418W	-0.574	NaN
YDR419W	0.824	0.058
YDR420W	0.196	0.054
YDR421W	0.522	0.024
YDR422C	-0.008	0.671
YDR423C	-0.410	-0.013
YDR424C	0.037	0.287
YDR425W	0.433	-0.052
YDR426C	0.546	0.062
YDR427W	NaN	-0.125
YDR428C	0.282	-0.117
YDR429C	NaN	16.216
YDR430C	0.952	0.164
YDR431W	-0.493	-1.193
YDR432W	-11.372	-0.008
YDR433W	-11.728	NaN
YDR434W	NaN	-0.000
YDR435C	1.516	1.390
YDR436W	-0.229	-3.244
YDR437W	NaN	-3.695
YDR438W	0.050	-0.577
YDR439W	2.222	0.036
YDR440W	-0.052	-2.805
YDR441C	0.286	0.084
YDR442W	-5.099	0.019
YDR443C	-4.619	-0.576
YDR444W	-2.185	0.403
YDR445C	-0.516	-0.412
YDR446W	0.198	-0.004
YDR447C	2.580	3.128
YDR448W	0.223	NaN
YDR449C	NaN	4.943
YDR450W	1.639	2.758
YDR451C	1.388	0.259
YDR452W	0.720	-0.227
YDR453C	0.073	-0.021
YDR454C	NaN	-0.004
YDR455C	-13.067	2.370
YDR456W	-15.268	-0.852
YDR457W	-0.815	0.100
YDR458C	0.404	-5.969
YDR459C	-0.320	0.146
YDR460W	NaN	-1.642
YDR461W	0.050	0.090
YDR462W	2.277	0.025
YDR463W	2.974	0.718
YDR464W	NaN	-1.083
YDR465C	0.614	-0.086
YDR466W	-4.591	-1.359
YDR467C	-3.593	-3.904
YDR468C	NaN	0.290
YDR469W	0.383	0.130
YDR470C	NaN	-0.162
YDR471W	0.797	-0.013
YDR472W	NaN	0.185
YDR473C	NaN	0.078
YDR475C	-0.523	-0.219
YDR476C	0.080	0.160
YDR477W	0.234	0.308
YDR478W	NaN	0.038
YDR479C	0.062	-0.080
YDR480W	-0.029	-1.426
YDR481C	-0.030	-1.739
YDR482C	-0.043	0.292
YDR483W	-0.895	-0.068
YDR484W	-13.364	0.023
YDR485C	1.464	NaN
YDR486C	-9.157	0.464
YDR487C	NaN	-0.739
YDR488C	0.019	-0.011
YDR489W	NaN	0.055
YDR490C	-0.745	0.140
YDR491C	0.014	-0.486
YDR492W	-0.452	0.137
YDR493W	0.482	0.045
YDR494W	1.431	-0.008
YDR495C	-19.735	-0.223
YDR496C	2.198	0.219
YDR497C	-0.080	-1.001
YDR498C	NaN	0.430
YDR499W	NaN	-0.377
YDR500C	-2.337	0.874
YDR501W	0.732	NaN
YDR502C	-0.223	-0.083
YDR503C	0.002	0.003
YDR504C	0.017	-0.031
YDR505C	-0.057	-1.159
YDR506C	0.392	-0.054
YDR507C	0.629	NaN
YDR508C	0.082	-1.339
YDR509W	-0.226	-3.657
YDR510W	NaN	-0.123
YDR511W	0.739	-0.468
YDR512C	1.390	-0.062
YDR513W	0.226	-0.206
YDR514C	-0.384	-1.148
YDR515W	-0.053	-0.373
YDR516C	-3.410	-13.918
YDR517W	0.554	0.395
YDR518W	0.996	NaN
YDR519W	0.994	-0.040
YDR520C	-1.322	-0.614
YDR521W	-0.083	-2.262
YDR522C	0.010	-0.065
YDR523C	0.073	-2.186
YDR524C	-2.140	-2.361
YDR525W	-6.796	-0.352
YDR525W-A	-0.699	0.286
YDR526C	NaN	-2.102
YDR527W	NaN	-1.261
YDR528W	-0.133	0.021
YDR529C	2.832	0.044
YDR530C	0.046	0.013
YDR531W	NaN	0.035
YDR532C	NaN	-0.717
YDR533C	3.006	-0.014
YDR534C	-0.421	0.445
YDR535C	0.038	0.024
YDR536W	0.326	-1.795
YDR537C	0.036	0.720
YDR538W	0.035	-0.500
YDR539W	-0.135	0.422
YDR540C	0.070	0.166
YDR541C	-0.246	0.598
YEL001C	-0.065	0.013
YEL002C	NaN	0.236
YEL003W	-4.138	-0.611
YEL004W	0.038	-0.192
YEL005C	-2.628	0.082
YEL006W	-0.347	0.085
YEL007W	-0.129	0.680
YEL008W	-0.277	-1.720
YEL009C	-0.024	0.331
YEL010W	0.009	-0.354
YEL011W	0.003	0.059
YEL012W	1.642	0.807
YEL013W	0.910	0.269
YEL014C	0.208	0.271
YEL015W	-0.483	0.572
YEL016C	-0.009	0.330
YEL017C-A	-2.119	-1.427
YEL017W	0.004	1.191
YEL018W	0.509	-0.079
YEL019C	NaN	-0.075
YEL020C	-0.075	0.391
YEL023C	0.120	0.233
YEL024W	2.648	1.362
YEL025C	0.070	-0.027
YEL026W	NaN	0.063
YEL027W	-5.223	-6.866
YEL028W	0.238	-0.493
YEL029C	-10.085	-0.282
YEL030W	-0.070	0.133
YEL031W	0.239	-0.193
YEL032W	NaN	0.010
YEL033W	0.925	-1.301
YEL034W	NaN	-2.743
YEL035C	NaN	-2.375
YEL036C	-12.676	-1.096
YEL037C	0.238	0.196
YEL038W	0.262	-0.609
YEL039C	0.006	0.075
YEL040W	-0.278	-1.135
YEL041W	-0.212	NaN
YEL042W	-2.926	1.097
YEL043W	-2.218	-0.051
YEL044W	-0.264	-0.139
YEL045C	-1.803	0.098
YEL046C	1.928	-1.427
YEL047C	-0.143	0.203
YEL048C	-1.259	-0.142
YEL049W	-0.050	-0.078
YEL050C	8.233	-0.125
YEL051W	-7.832	-1.028
YEL052W	0.152	0.677
YEL053C	-5.828	-0.471
YEL054C	-2.839	2.993
YEL055C	-0.001	-0.185
YEL056W	0.021	-0.057
YEL057C	0.152	0.080
YEL058W	NaN	-0.551
YEL059W	-0.205	-2.858
YEL060C	-0.007	-0.084
YEL061C	-0.180	0.306
YEL062W	-1.757	-0.415
YEL063C	1.051	0.133
YEL064C	0.137	0.090
YEL065W	-0.246	0.178
YEL066W	0.186	0.102
YEL067C	-0.167	-0.400
YEL068C	0.005	-0.014
YEL071W	0.322	-0.081
YEL072W	NaN	-0.252
YER001W	-0.492	-0.213
YER002W	1.368	-0.012
YER003C	NaN	-1.054
YER004W	0.619	0.267
YER005W	0.063	-0.055
YER006W	NaN	0.688
YER007C-A	-0.959	-0.023
YER007W	0.105	-1.125
YER008C	NaN	0.043
YER009W	NaN	-0.696
YER010C	NaN	0.041
YER011W	-0.090	0.025
YER012W	NaN	-1.892
YER013W	NaN	0.009
YER014C-A	NaN	-0.425
YER014W	NaN	-0.260
YER017C	2.274	-0.369
YER018C	NaN	-0.450
YER019C-A	-0.020	-0.347
YER019W	-6.620	-0.234
YER020W	-2.301	-0.834
YER021W	NaN	-1.737
YER022W	NaN	0.036
YER023W	NaN	-0.024
YER024W	-0.043	-0.005
YER025W	NaN	3.541
YER027C	-0.984	-0.138
YER028C	-0.173	-0.775
YER030W	-0.378	-0.231
YER031C	0.890	2.474
YER032W	-0.357	0.007
YER033C	-0.258	-0.229
YER034W	-0.163	-0.131
YER035W	NaN	0.520
YER036C	NaN	-0.027
YER037W	0.064	-0.550
YER038C	NaN	0.011
YER038W-A	0.094	-0.153
YER039C	0.131	-0.020
YER039C-A	-0.003	0.194
YER040W	-0.061	-1.009
YER041W	-0.068	0.093
YER042W	-0.290	-0.118
YER043C	NaN	1.285
YER044C	NaN	-1.888
YER044C-A	-0.068	-0.046
YER045C	-0.478	-0.462
YER046W	-0.123	-0.110
YER046W-A	0.244	-0.002
YER047C	0.077	0.220
YER048C	0.119	-0.105
YER048W-A	NaN	-0.367
YER049W	-1.426	-2.731
YER050C	6.044	-0.575
YER051W	0.128	-0.823
YER052C	NaN	-0.472
YER053C	-0.024	-0.390
YER054C	NaN	-0.159
YER055C	-1.656	-1.277
YER056C	-0.035	-0.033
YER056C-A	-0.473	-2.818
YER057C	0.124	2.491
YER058W	2.121	0.002
YER059W	0.236	1.140
YER060W	-0.035	-0.211
YER060W-A	-0.053	0.579
YER061C	NaN	-0.003
YER062C	-0.222	0.585
YER063W	-0.027	1.012
YER064C	-0.133	-0.060
YER065C	0.010	0.022
YER066C-A	-0.011	0.118
YER066W	0.087	0.036
YER067C-A	0.264	0.180
YER067W	-0.130	0.037
YER068C-A	NaN	0.411
YER068W	-5.495	-1.085
YER069W	NaN	0.106
YER070W	NaN	0.194
YER071C	-0.079	0.013
YER072W	-0.061	-1.624
YER073W	0.543	0.177
YER074W	0.211	2.187
YER075C	0.054	0.168
YER077C	1.852	0.034
YER078C	2.329	-0.133
YER079W	-0.032	-0.188
YER080W	0.005	-0.069
YER081W	0.501	0.348
YER082C	NaN	0.188
YER083C	-9.875	-0.274
YER084W	-0.445	-0.147
YER085C	0.296	0.239
YER086W	0.151	-0.123
YER087C-B	0.503	-0.559
YER087W	6.602	-0.022
YER088C	0.951	0.347
YER089C	0.286	0.037
YER090W	0.269	0.492
YER091C	NaN	-0.725
YER091C-A	-0.211	-0.356
YER092W	1.663	0.124
YER093C	NaN	-3.516
YER093C-A	-0.439	-0.247
YER094C	NaN	-4.054
YER095W	0.301	-4.819
YER096W	-0.348	-0.029
YER097W	-0.002	0.314
YER098W	-0.164	-0.441
YER101C	-0.000	0.022
YER103W	-0.266	-0.145
YER104W	NaN	-0.677
YER106W	-0.043	-0.048
YER107C	NaN	-0.048
YER108C	-0.005	-0.570
YER109C	0.849	-14.106
YER110C	-1.016	0.102
YER111C	0.651	-0.012
YER112W	NaN	-0.177
YER113C	-2.254	-0.509
YER114C	-0.058	0.030
YER115C	0.073	0.013
YER116C	-1.471	-2.171
YER117W	0.373	-0.100
YER118C	-0.710	1.682
YER119C	0.157	-0.457
YER119C-A	-7.290	0.235
YER120W	-7.042	-0.547
YER121W	-0.016	0.361
YER122C	6.534	0.030
YER123W	-0.831	0.795
YER124C	0.188	0.215
YER125W	NaN	-2.656
YER126C	NaN	0.100
YER127W	NaN	0.709
YER128W	-0.047	-0.158
YER129W	0.032	0.385
YER130C	-1.093	-1.114
YER131W	1.973	0.706
YER132C	-0.076	0.086
YER133W	NaN	-7.822
YER134C	0.403	-0.149
YER135C	-0.099	0.022
YER136W	NaN	0.612
YER137C	0.059	-0.007
YER139C	-1.573	0.014
YER140W	0.373	-0.053
YER141W	2.280	-0.054
YER142C	0.040	0.537
YER143W	0.097	-0.772
YER144C	-0.113	0.083
YER145C	-0.026	1.068
YER146W	NaN	0.047
YER147C	NaN	0.151
YER148W	NaN	-7.144
YER149C	-0.486	1.650
YER150W	-0.412	-0.183
YER151C	-0.769	0.992
YER152C	0.170	0.178
YER153C	0.869	0.073
YER154W	2.153	0.037
YER155C	NaN	-0.296
YER156C	-1.670	0.404
YER157W	NaN	-15.360
YER158C	0.103	-0.186
YER159C	NaN	1.386
YER161C	-1.089	-1.398
YER162C	0.178	NaN
YER163C	-0.044	0.010
YER164W	0.054	-0.087
YER165W	NaN	0.633
YER166W	-2.426	-0.035
YER167W	-0.545	0.290
YER168C	NaN	-0.650
YER169W	0.785	0.641
YER170W	0.259	-0.033
YER171W	NaN	-0.267
YER172C	NaN	0.139
YER173W	0.338	0.428
YER174C	-0.478	-0.297
YER175C	-0.075	0.085
YER176W	0.251	0.140
YER177W	-4.060	-4.096
YER178W	NaN	0.984
YER179W	0.292	0.345
YER180C	0.199	0.189
YER181C	0.007	0.247
YER182W	0.282	0.268
YER183C	0.353	0.002
YER184C	0.272	0.855
YER185W	-0.194	-0.198
YER186C	0.371	NaN
YER187W	0.217	-0.054
YER188W	0.168	-4.597
YFL001W	1.851	0.930
YFL002C	NaN	-0.917
YFL003C	0.055	0.435
YFL004W	0.064	-0.020
YFL005W	NaN	-9.363
YFL007W	0.692	0.065
YFL008W	2.426	-7.963
YFL009W	NaN	-1.886
YFL010C	-0.051	-0.058
YFL010W-A	0.123	NaN
YFL011W	0.010	0.350
YFL012W	0.089	-0.006
YFL012W-A	0.597	0.775
YFL013C	1.703	0.779
YFL014W	-0.170	0.341
YFL015C	0.115	-0.585
YFL016C	3.328	1.272
YFL017C	NaN	-0.189
YFL018C	2.479	0.207
YFL019C	-0.517	0.166
YFL020C	0.037	0.080
YFL021W	0.357	0.135
YFL022C	NaN	0.481
YFL023W	-1.117	-0.678
YFL024C	1.341	0.042
YFL025C	-20.305	0.028
YFL026W	NaN	0.085
YFL027C	-0.321	-0.265
YFL028C	0.271	0.094
YFL029C	NaN	-0.598
YFL030W	-0.375	0.333
YFL031W	0.430	-0.609
YFL032W	-0.415	0.844
YFL033C	-0.143	-0.722
YFL034C-A	-0.073	1.006
YFL034C-B	NaN	0.737
YFL034W	-0.278	0.943
YFL036W	3.281	0.964
YFL037W	NaN	-0.113
YFL038C	NaN	1.708
YFL039C	NaN	4.395
YFL040W	0.010	0.041
YFL041W	-0.551	-0.107
YFL042C	-0.193	-0.102
YFL044C	-0.123	0.214
YFL045C	NaN	0.134
YFL046W	0.175	0.476
YFL047W	0.051	0.194
YFL048C	-0.097	0.007
YFL049W	0.562	-0.097
YFL050C	0.827	0.131
YFL051C	0.358	-0.044
YFL052W	0.251	-0.179
YFL053W	0.160	-0.224
YFL054C	0.828	0.649
YFL055W	0.270	0.035
YFL056C	1.342	0.350
YFL060C	NaN	0.785
YFL063W	0.902	2.120
YFR001W	3.032	1.358
YFR002W	NaN	-2.223
YFR003C	NaN	-0.588
YFR004W	NaN	-1.810
YFR005C	NaN	0.104
YFR006W	0.200	-0.073
YFR007W	-0.156	-0.585
YFR008W	-0.397	-0.312
YFR009W	-0.593	-0.357
YFR010W	-0.431	0.199
YFR011C	0.120	0.007
YFR012W	-0.137	-0.126
YFR013W	1.764	1.089
YFR014C	-0.166	0.152
YFR015C	0.099	-0.007
YFR016C	-0.072	-0.763
YFR017C	-0.479	0.068
YFR018C	-0.812	-0.148
YFR019W	-0.284	-0.218
YFR020W	0.184	0.196
YFR021W	-2.596	-0.095
YFR022W	-0.394	-0.859
YFR023W	-0.038	-0.610
YFR024C-A	-0.061	-1.829
YFR025C	-0.125	-0.079
YFR026C	-0.068	0.316
YFR027W	NaN	-0.016
YFR028C	NaN	0.141
YFR029W	NaN	-0.901
YFR030W	0.098	-0.121
YFR031C	NaN	0.081
YFR031C-A	1.168	-0.017
YFR032C	0.027	-0.974
YFR032C-A	1.288	1.767
YFR033C	0.953	-0.330
YFR034C	6.204	0.799
YFR035C	0.571	1.357
YFR036W	-1.485	0.214
YFR037C	NaN	-12.865
YFR038W	-0.112	NaN
YFR039C	0.030	-0.347
YFR040W	1.196	0.973
YFR041C	0.319	0.279
YFR042W	NaN	-0.034
YFR043C	-0.953	-0.296
YFR044C	0.686	-0.083
YFR045W	-0.256	-0.286
YFR046C	-0.711	0.087
YFR047C	0.117	0.700
YFR048W	-2.237	-0.040
YFR049W	-0.015	-0.011
YFR050C	NaN	-1.456
YFR051C	NaN	-0.406
YFR052W	NaN	0.002
YFR053C	-0.109	0.362
YFR054C	-0.356	-0.263
YFR055W	0.234	-7.378
YFR056C	0.007	0.303
YFR057W	0.011	0.710
YGL001C	NaN	-5.032
YGL002W	0.184	0.594
YGL003C	-0.740	0.510
YGL004C	-0.059	0.161
YGL005C	1.585	1.292
YGL006W	-0.069	NaN
YGL007W	-1.370	0.567
YGL008C	NaN	0.853
YGL009C	NaN	0.690
YGL010W	-0.097	-0.024
YGL011C	NaN	-1.210
YGL012W	-18.203	-0.528
YGL013C	-1.816	-0.070
YGL014W	0.568	-0.777
YGL015C	-0.049	0.289
YGL016W	-1.552	-1.096
YGL017W	0.003	0.635
YGL018C	NaN	0.143
YGL019W	0.768	0.932
YGL020C	-1.816	0.438
YGL021W	-0.050	-0.001
YGL022W	NaN	0.233
YGL023C	2.689	0.373
YGL024W	NaN	1.432
YGL025C	-1.722	1.040
YGL026C	NaN	0.041
YGL027C	-4.641	-0.122
YGL028C	0.077	0.626
YGL029W	NaN	-0.726
YGL031C	0.198	0.497
YGL032C	-0.438	NaN
YGL033W	0.298	-0.315
YGL034C	-0.029	0.430
YGL035C	0.128	-1.213
YGL036W	NaN	-0.937
YGL037C	0.092	0.613
YGL038C	NaN	0.163
YGL039W	0.135	0.147
YGL040C	NaN	-2.672
YGL041C	-0.089	-0.166
YGL042C	-0.495	-0.102
YGL043W	-1.171	-0.011
YGL045W	-5.452	-3.079
YGL047W	NaN	0.101
YGL048C	NaN	-3.712
YGL049C	0.068	0.699
YGL050W	-0.218	0.161
YGL051W	-0.125	-0.868
YGL053W	-0.023	0.995
YGL054C	-11.046	2.350
YGL055W	NaN	-0.744
YGL056C	-0.713	-1.439
YGL057C	0.209	0.116
YGL058W	NaN	1.521
YGL059W	0.125	-0.293
YGL060W	-2.647	0.002
YGL061C	NaN	-0.191
YGL062W	-0.756	-0.592
YGL063W	0.600	-0.020
YGL064C	5.261	-0.253
YGL065C	NaN	-0.091
YGL066W	-0.952	-1.556
YGL067W	-0.489	0.344
YGL068W	NaN	0.284
