ORF	hap a | growth (culture turbidity) | standard | SC | Kuroda K~Avalos J, 2019	hap a | growth (culture turbidity) | isobutanol [1.4%] | SC | Kuroda K~Avalos J, 2019
YDR191W	5.573	0.090
YBR044C	7.863	0.090
YDR161W	5.096	0.090
YML097C	2.891	0.090
YBL038W	5.653	0.089
YJL144W	4.374	0.089
YPL077C	5.553	0.089
YGR050C	6.672	0.089
YDR285W	5.979	0.089
YBR028C	4.833	0.089
YLR087C	6.114	0.089
YMR116C	6.232	0.089
YNL316C	7.188	0.089
YOL087C	6.327	0.089
YDR291W	7.307	0.088
YGL042C	5.336	0.088
YPL058C	5.988	0.087
YMR077C	6.161	0.087
YDR024W	5.439	0.087
YHR167W	6.445	0.087
YDR058C	5.084	0.087
YBL007C	6.393	0.087
YHR130C	2.798	0.086
YGL148W	5.476	0.086
YJL095W	7.456	0.086
YBR283C	5.511	0.086
YOL064C	6.511	0.085
YDR186C	4.021	0.085
YLR142W	5.967	0.085
YLR190W	4.206	0.085
YDR151C	5.773	0.085
YNL177C	6.661	0.085
YOR271C	5.193	0.084
YOR243C	6.517	0.084
YPR049C	5.260	0.084
YKL079W	3.891	0.083
YML063W	6.490	0.083
YHR030C	4.438	0.083
YMR074C	2.271	0.083
YOR196C	2.032	0.082
YCR060W	7.418	0.082
YDR008C	4.565	0.082
YKL074C	5.805	0.082
YJR082C	5.677	0.081
YBL061C	3.949	0.081
YLR152C	4.729	0.081
YJL036W	5.152	0.081
YBL053W	4.605	0.081
YDL027C	5.794	0.081
YDR148C	6.218	0.081
YDR179W-A	6.095	0.080
YJL053W	5.044	0.080
YJL187C	6.087	0.080
YJL118W	6.825	0.080
YOL076W	6.859	0.079
YDR116C	5.869	0.079
YLR373C	4.109	0.079
YPL061W	5.700	0.078
YGL043W	4.229	0.078
YBR248C	4.418	0.078
YJL190C	5.753	0.078
YDR181C	5.602	0.078
YOR008C	6.586	0.077
YDL070W	6.602	0.077
YDR318W	7.223	0.076
YLR189C	5.502	0.075
YLL028W	7.887	0.075
YHR124W	6.588	0.075
YGR271W	5.654	0.075
YDL146W	4.719	0.075
YKL211C	4.348	0.074
YMR322C	6.064	0.074
YIL049W	4.763	0.073
YNL213C	5.984	0.073
YOL155C	6.772	0.073
YNL169C	5.720	0.072
YEL024W	2.263	0.072
YPL041C	4.296	0.072
YHR176W	3.930	0.071
YGL072C	5.112	0.071
YOR125C	4.430	0.071
YDR076W	5.720	0.071
YDR319C	8.034	0.071
YHR117W	5.589	0.071
YHR132W-A	6.435	0.070
YPR047W	5.000	0.070
YDR162C	4.863	0.070
YLR180W	6.451	0.070
YDR417C	6.189	0.059
YIL123W	3.823	0.070
YLR067C	2.759	0.070
YDR204W	5.095	0.069
YLR239C	4.800	0.069
YDR225W	6.184	0.069
YPL071C	5.241	0.069
YDR210W	5.599	0.069
YHR095W	7.501	0.068
YKL065C	6.380	0.068
YPR022C	8.022	0.067
YDR127W	5.708	0.067
YBR023C	5.240	0.067
YNL171C	7.660	0.067
YOR080W	4.697	0.067
YLR143W	5.062	0.065
YLR224W	4.917	0.065
YOR198C	5.709	0.065
YLR151C	6.092	0.065
YGR252W	6.117	0.064
YOR123C	5.184	0.064
YLR169W	4.319	0.064
YDR354W	3.469	0.064
YMR037C	6.514	0.064
YBR171W	4.340	0.063
YBR045C	4.273	0.063
YKL113C	4.780	0.062
YLR396C	5.788	0.062
YDR007W	4.034	0.062
YGL232W	6.248	0.062
YDR307W	6.788	0.061
YNL064C	4.153	0.061
YHR110W	6.901	0.061
YER090W	6.186	0.061
YOL153C	2.537	0.060
YGL058W	3.533	0.060
YBR150C	7.179	0.060
YHL033C	7.266	0.060
YKL115C	3.756	0.060
YKL048C	6.058	0.060
YHR178W	5.145	0.059
YPL025C	4.928	0.059
YPL079W	8.199	0.059
YOL115W	6.485	0.059
YCR081W	5.906	0.058
YOR297C	6.106	0.058
YLR184W	2.427	0.058
YPL106C	2.400	0.058
YKL212W	4.837	0.058
YDR028C	2.212	0.058
YDR114C	3.984	0.058
YOR265W	7.039	0.058
YPL046C	5.394	0.057
YGR150C	4.621	0.057
YNL111C	3.911	0.057
YGL211W	6.845	0.057
YLR181C	6.346	0.056
YLR447C	4.787	0.056
YCL028W	6.332	0.056
YNL201C	5.919	0.056
YPL039W	5.474	0.056
YJL166W	4.670	0.056
YOR312C	7.281	0.056
YPR031W	6.115	0.056
YPR057W	6.372	0.055
YGL076C	5.614	0.055
YEL051W	5.900	0.055
YDR129C	6.480	0.055
YLL056C	6.929	0.055
YOL023W	5.721	0.055
YPL026C	4.220	0.054
YDR279W	7.350	0.054
YPL029W	3.899	0.054
YNL069C	4.190	0.172
YHR075C	6.790	0.054
YPL023C	5.835	0.054
YER061C	3.712	0.053
YDR262W	5.568	0.053
YJL063C	6.855	0.053
YDR209C	4.501	0.053
YDR226W	3.101	0.053
YPL055C	4.910	0.053
YOR293W	6.248	0.052
YBR301W	7.131	0.052
YDR316W	5.446	0.052
YJL056C	5.256	0.052
YPR060C	5.762	0.052
YKL038W	5.680	0.051
YBR068C	4.397	0.051
YBR037C	3.775	0.051
YKL119C	1.977	0.051
YGL027C	5.492	0.050
YJL151C	4.992	0.351
YLR068W	3.015	0.050
YBR231C	5.959	0.049
YOR221C	5.068	0.049
YOR342C	5.145	0.049
YKL091C	7.158	0.049
YDR242W	7.036	0.047
YGR250C	6.832	0.047
YPL129W	0.708	0.047
YDR178W	4.780	0.047
YNL284C	4.979	0.047
YJL160C	6.767	0.047
YHR123W	6.477	0.047
YBR232C	6.817	0.047
YCL039W	5.142	0.047
YKL204W	6.407	0.046
YDL232W	4.438	0.046
YKL087C	3.570	0.046
YGL024W	6.007	0.046
YJR120W	6.898	0.046
YLR025W	6.309	0.045
YLR165C	6.346	0.045
YLR185W	1.411	0.045
YDL185W	6.499	0.044
YJL176C	1.386	0.044
YLR154C	5.839	0.044
YLL043W	5.269	0.044
YKL092C	6.491	0.044
YOR043W	6.346	0.043
YNL170W	1.057	0.043
YHR135C	6.433	0.043
YNL203C	6.064	0.043
YLR138W	4.424	0.042
YPL047W	5.624	0.042
YJL209W	4.377	0.042
YLR188W	5.702	0.041
YJL127C	7.785	0.041
YLR177W	5.687	0.041
YLR110C	7.237	0.041
YPR133W-A	4.113	0.041
YLR233C	2.432	0.041
YHR132C	6.089	0.041
YGL222C	4.356	0.041
YLR144C	6.276	0.040
YGR154C	5.897	0.040
YJR073C	7.693	0.040
YJL169W	6.396	0.040
YER122C	5.263	0.040
YDR320C	4.188	0.040
YDR463W	6.690	0.040
YPR026W	6.905	0.039
YPR064W	6.545	0.039
YCR053W	5.229	0.039
YDR315C	7.205	0.039
YLR240W	1.459	0.038
YDR231C	6.039	0.038
YOR150W	4.360	0.038
YJR118C	6.553	0.038
YGR064W	5.813	0.038
YNL250W	5.791	0.038
YBL055C	5.408	0.038
YDR515W	5.563	0.038
YOR140W	8.174	0.037
YNL236W	6.286	0.037
YIL110W	8.881	0.037
YDR195W	4.519	0.037
YLR320W	4.593	0.037
YJL073W	6.663	0.037
YKR102W	6.820	0.036
YNL107W	6.138	0.036
YDR184C	5.735	0.036
YDR414C	5.634	0.036
YDR219C	6.266	0.036
YDR017C	2.180	0.035
YGR163W	3.410	0.035
YJL161W	5.964	0.361
YBL021C	5.686	0.035
YJL102W	6.044	0.035
YPR002W	6.038	0.034
YOR234C	8.952	0.034
YPR036W	5.489	0.034
YDR329C	7.137	0.034
YGR183C	6.013	0.034
YKL007W	6.887	0.034
YGR254W	5.791	0.034
YDR495C	3.766	0.034
YKL044W	6.350	0.034
YOR274W	6.725	0.033
YDR321W	5.830	0.033
YPL078C	4.455	0.290
YDR493W	6.729	0.033
YDR266C	5.909	0.032
YKL001C	5.826	0.032
YKL053W	6.344	0.032
YLR176C	5.770	0.032
YHR094C	6.439	0.032
YOR187W	7.921	0.032
YHR108W	7.668	0.032
YGL026C	3.982	0.032
YDL026W	7.102	0.032
YDL191W	5.189	0.031
YLR399C	3.245	0.031
YCL016C	7.155	0.031
YNL121C	1.293	0.031
YJL163C	6.388	0.135
YOR036W	7.341	0.031
YCR009C	5.446	0.031
YAR002C-A	6.528	0.031
YKL061W	6.333	0.030
YDR278C	7.044	0.030
YGR105W	6.304	0.030
YLR338W	8.278	0.030
YJL170C	6.649	0.030
YBR036C	8.090	0.030
YDL052C	5.830	0.029
YIR032C	6.799	0.029
YHR179W	5.127	0.029
YDR442W	5.792	0.028
YKL070W	5.362	0.028
YOR235W	8.729	0.028
YHR183W	2.892	0.028
YKL008C	6.729	0.028
YDR027C	6.617	0.028
YHR097C	7.266	0.028
YOR241W	4.145	0.027
YJL052W	5.830	0.027
YPR087W	5.501	0.027
YDR176W	5.958	0.027
YJL064W	6.066	0.026
YBR270C	0.608	0.026
YLL001W	6.900	0.026
YOR073W	7.701	0.026
YJL171C	8.917	0.025
YDR323C	3.709	0.025
YBR093C	8.061	0.025
YOR096W	7.171	0.025
YCR073C	7.554	0.025
YHR061C	6.950	0.025
YBR266C	7.421	0.024
YJR032W	5.545	0.024
YPL030W	5.215	0.024
YPL066W	5.036	0.024
YDR294C	6.845	0.024
YOR270C	6.412	0.023
YJL115W	4.471	0.023
YOL044W	5.317	0.023
YKL215C	3.193	0.023
YBR200W	4.373	0.023
YLR264W	7.187	0.023
YGL168W	4.274	0.022
YBR127C	7.163	0.022
YOR042W	6.857	0.022
YNR010W	5.553	0.022
YDR183W	5.006	0.022
YNL147W	5.402	0.022
YHR039C-A	5.959	0.022
YIR023W	4.822	0.022
YKL096W-A	6.964	0.022
YPR050C	6.743	0.021
YDR193W	6.353	0.021
YNL315C	2.714	0.021
YPL226W	6.637	0.021
YLR056W	4.622	0.021
YNL065W	6.770	0.020
YHR116W	6.345	0.020
