orf	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [5 gen] | YPD | Simoneau A~Wurtele H, 2016	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [20 gen] | YPD | Simoneau A~Wurtele H, 2016
YBR262C	-1.319144	1.171185
YBR263W	-0.27976541499999996	0.895742
YBR264C	0.7007145	-0.71895
YBR266C	0.488509	
YBR267W	-1.1099774999999998	-1.88556
YBR268W	0.4939675	
YBR269C	-0.13094450000000002	-0.2664305
YBR270C	0.10882344999999999	-2.5816338
YBR271W	-0.6980235	1.7513435
YBR272C	0.13827635	4.660545
YBR273C	0.6924865	0.861075
YBR275C	1.79746	4.91445
YBR276C	-0.7100585	-1.7055135
YBR277C	-6.6213999999999995	-5.72499
YBR278W	-5.645899999999999	-2.693835
YBR279W	0.531269	
YBR280C	-0.7732595	2.38093
YBR281C	0.2330285	0.159585
YBR282W	-0.18704050000000003	
YBR283C	-0.17324100000000003	
YBR284W	1.1744824999999999	2.563225
YBR285W	0.058204149999999996	1.2021899999999999
YBR286W	0.5955735	-1.2197005
YBR287W	-0.6845335	2.18352
YBR288C	0.1572675	-2.7891275
YBR289W	1.386345	
YBR290W	-0.448607	-8.61216
YBR291C	0.3878415	1.583495
YBR292C	0.11588949999999999	-1.0774249999999999
YBR293W	-0.3723615	2.385185
YBR294W	0.42024	0.8205614999999999
YBR295W	-1.4818019999999998	-0.251291
YBR296C	0.66684	1.636884
YBR297W	0.749715	-0.406893
YBR298C	1.1964315	-0.07494500000000004
YBR299W	-0.7960919999999999	2.403965
YBR300C	0.75261	0.19314065
YBR301W	-0.31975	0.07032349999999998
YCL001W	-0.9034955	-4.046555
YCL001W-A	1.9669485	0.9481615000000001
YCL002C	-0.0007634999999999725	-0.29754300000000006
YCL005W	-0.378824	-2.02583
YCL007C	-0.831961	
YCL008C	-1.47233	0.25283300000000003
YCL009C	0.37003507999999996	0.0933813
YCL010C	-1.1767210000000001	-7.521215
YCL011C	0.503067	1.118605
YCL014W	0.465351	1.32401175
YCL016C	0.40937599999999996	
YCL022C	0.31547785	-1.3296845
YCL023C	-0.424516	-4.452395
YCL024W	-0.21644	-3.13277
YCL025C	-0.7583875	-2.2128786500000004
YCL026C-A	0.655526	-2.450008
YCL027W	0.2297515	-1.4886465
YCL028W	0.504891	0.3941835
YCL029C	3.22562	
YCL030C	0.2831115	1.17518375
YCL032W	0.10196050000000001	-2.60046
YCL033C	0.17147699999999996	1.67316
YCL034W	-1.095335	0.5098475
YCL035C	-0.5831014999999999	-0.29481999999999986
YCL036W	-0.2037202	-2.009488
YCL037C	0.728349	1.1031125
YCL038C	-0.4362555	1.004063
YCL039W	-0.5340665	-1.2775105
YCL040W	1.385985	0.1995150000000001
YCL042W	-0.5781785	-0.9141345000000001
YCL044C	-0.286319	-0.3527245
YCL045C	-1.2869199999999998	-0.7890797500000001
YCL046W	0.6662305	1.5552100000000002
YCL047C	-0.002985500000000002	3.3111750000000004
YCL048W	-0.3589855	-0.2710745
YCL049C	-0.782986	-2.45892
YCL050C	-0.8785940000000001	-2.1032
YCL051W	0.2861998	0.351658
YCL055W	0.15333354999999999	-1.53743
YCL056C	0.40745919999999997	1.3165049999999998
YCL057W	-0.29326595	-4.960585
YCL058C	-0.34638410000000003	
YCL061C	-11.3127225	-17.80928
YCL063W	1.03644525	1.3608829999999998
YCL064C	-0.20586900000000002	-0.547106
YCL069W	-0.9684325	-0.7237000000000001
YCL076W	-0.07178135	-0.5807315
YCR001W	0.0808515	-2.362585
YCR002C	3.1412899999999997	
YCR003W	1.71648	1.164712
YCR004C	0.18159055	0.42995950000000005
YCR005C	0.08189999999999997	2.6952949999999998
YCR006C	0.7351810000000001	0.3705995
YCR007C	-0.5570975	-0.2573615
YCR008W	-0.04209199999999999	-4.843915
YCR009C	-0.774405	
YCR010C	0.6060675	1.3123465
YCR011C	0.5917034999999999	0.14101914999999998
YCR014C	-0.7738404999999999	1.1955295
YCR015C	-0.6428550000000001	0.170315
YCR016W	-0.320489	1.2317889000000002
YCR017C	0.1988405	2.119485
YCR019W	0.5855835	0.33286499999999997
YCR020C	-0.243583	0.8351915000000001
YCR020C-A	-6.114285	-39.26545
YCR020W-B	0.214857	
YCR021C	-0.220018	-0.255086
YCR022C	-0.0166225	1.0799349999999999
YCR023C	0.4322965	-0.3620675
YCR024C	1.544705	2.077635
YCR024C-A	0.715438	1.4294325
YCR025C	0.8168305	0.25065529999999997
YCR026C	-0.2854635	-0.043134885
YCR027C	0.415567	0.6705745000000001
YCR028C	0.694087	
YCR028C-A	0.2663155	
YCR030C	0.05891525	0.376154
YCR031C	1.44427	2.82195
YCR032W	-0.0554046	0.9005045
YCR033W	-0.1117456	0.756379
YCR034W	-1.7329599999999998	-2.95757
YCR036W	1.104505	1.4149055000000001
YCR037C	0.163383	0.6884735000000001
YCR043C	0.32203065	0.18080999999999997
YCR044C	0.7353419999999999	
YCR045C	0.910289	-0.077565
YCR046C	1.5352100000000002	
YCR047C	2.37648	
YCR048W	-0.1590634	1.22215
YCR049C	0.5157244999999999	1.36468
YCR050C	0.36348935000000004	0.88357
YCR051W	-0.794988	-2.567895
YCR053W	-1.34202	-2.10663565
YCR059C	0.955093	2.958405
YCR060W	0.7842465000000001	1.682707
