ORF	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [20 gen] | YPD | Simoneau A~Wurtele H, 2016	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [5 gen] | YPD | Simoneau A~Wurtele H, 2016
YLR261C	NaN	-0.732
YJR120W	1.921	-0.732
YAL062W	0.573	-0.732
YLR367W	1.023	-0.731
YGL078C	0.495	-0.729
YGR291C	-0.127	-0.729
YPL134C	-0.365	-0.728
YAL028W	-1.396	-0.728
YDR043C	0.085	-0.725
YNR057C	0.763	-0.725
YJR099W	3.691	-0.724
YGR292W	0.622	-0.724
YDL036C	0.802	-0.724
YNR055C	3.325	-0.724
YNL012W	-1.947	-0.723
YFR026C	-0.132	-0.720
YLR375W	-6.014	-0.720
YOR208W	0.097	-0.719
YGL170C	-1.320	-0.719
YKR105C	1.345	-0.718
YIR028W	-0.031	-0.717
YDR484W	-3.515	-0.717
YNL025C	0.145	-0.717
YJR113C	NaN	-0.716
YMR121C	-1.289	-0.716
YDR073W	1.594	-0.716
YHL043W	-1.871	-0.715
YEL051W	NaN	-0.715
YGL196W	-0.882	-0.714
YDR265W	-1.226	-0.714
YDR222W	1.442	-0.714
YOR150W	3.568	-0.713
YFL027C	1.741	-0.713
YBR276C	-1.706	-0.710
YKR098C	-0.350	-0.709
YDR079W	1.580	-0.709
YIL120W	-2.331	-0.708
YLL048C	-2.395	-0.707
YBR005W	0.784	-0.706
YGR243W	2.083	-0.705
YNR044W	2.556	-0.705
YGR241C	1.495	-0.705
YLL007C	1.117	-0.704
YGR018C	1.397	-0.703
YDR271C	-0.964	-0.703
YDR512C	0.551	-0.402
YJR119C	0.953	-0.703
YBR094W	0.803	-0.703
YKL048C	-1.674	-0.702
YGL042C	2.107	-0.702
YIL114C	-1.154	-0.702
YJL147C	-0.422	-0.701
YLR231C	-0.378	-0.701
YEL064C	2.832	-0.700
YLR266C	-3.736	-0.699
YGR071C	-0.773	-0.699
YBR271W	1.751	-0.698
YJR145C	-3.638	-0.697
YDR130C	3.970	-0.696
YPR074C	-0.078	-0.694
YFL063W	-1.457	-0.694
YGR053C	0.336	-0.693
YPL189W	0.625	-0.692
YHL002W	-1.051	-0.691
YKR058W	1.277	-0.691
YOR242C	-2.208	-0.690
YER181C	1.638	-0.690
YIL024C	-2.111	-0.690
YDR134C	-1.543	-0.690
YNL314W	0.702	-0.690
YMR273C	-0.923	-0.690
YBL067C	0.784	-0.687
YLR130C	-1.242	-0.687
YLR118C	-0.964	-0.687
YMR224C	NaN	-0.687
YLR376C	-2.923	-0.686
YBR169C	-1.136	-0.685
YDL155W	-0.977	-0.685
YLR331C	-0.715	-0.685
YBR287W	2.184	-0.685
YBL048W	2.530	-0.683
YNL285W	-1.433	-0.683
YGR154C	-2.549	-0.682
YGL021W	2.627	-0.682
YKL115C	0.458	-0.681
YLR267W	2.611	-0.681
YOR154W	0.515	-0.680
YPR054W	0.685	-0.679
YOR108W	-1.383	-0.678
YPR195C	0.948	-0.678
YPL154C	0.063	-0.677
YMR118C	0.992	-0.676
YDL039C	1.539	-0.515
YNL134C	4.516	-0.676
YGR226C	2.815	-0.674
YOL037C	-2.801	-0.674
YBR065C	0.631	-0.674
YFR030W	-0.062	-0.673
YDR078C	0.128	-0.673
YLR279W	0.926	-0.672
YKL131W	0.813	-0.671
YML052W	-1.176	-0.671
YHL044W	-1.405	-0.669
YNL093W	-1.161	-0.669
YHR199C	0.060	-0.664
YKL162C	-0.204	-0.664
YDR421W	0.857	-0.664
YLR058C	-5.430	-0.663
YOL093W	-4.233	-0.662
YDL083C	NaN	-0.661
YEL033W	NaN	-0.661
YIL137C	1.629	-0.659
YPL089C	0.933	-0.658
YGR146C	-0.620	-0.658
YGL262W	2.306	-0.656
YOR082C	-5.740	-0.656
YFR038W	-2.130	-0.656
YNL180C	1.210	-0.655
YNL145W	-1.341	-0.655
YGL209W	0.857	-0.655
YPL254W	NaN	-0.655
YLR456W	-0.409	-0.655
YFR043C	0.768	-0.652
YBR151W	1.699	-0.650
YJL012C	0.191	-0.650
YDR428C	2.013	-0.650
YLR263W	1.532	-0.648
YPR115W	2.561	-0.648
YFR040W	-0.158	-0.647
YNL082W	-2.498	-0.647
YKL051W	-3.350	-0.646
YOR195W	-3.291	-0.646
YGR022C	0.332	-0.645
YMR026C	-0.371	-0.644
YMR207C	0.428	-0.644
YBR077C	-1.810	-0.644
YEL041W	1.064	-0.644
YCR015C	0.170	-0.643
YGL096W	0.135	-0.642
YML109W	-1.724	-0.642
YBR150C	0.837	-0.641
YBR137W	-0.412	-0.641
YGR037C	2.127	-0.640
YAR015W	-0.327	-0.640
YBR249C	-0.464	-0.639
YMR302C	-0.310	-0.639
YJL057C	-0.271	-0.639
YHR198C	0.824	-0.639
YKR096W	-1.549	-0.638
YBL010C	0.892	-0.638
YHR202W	1.553	-0.637
YDR391C	-8.558	-0.637
YGL215W	-3.565	-0.636
YOL141W	-2.475	-0.636
YIL097W	0.346	-0.636
YPR063C	6.765	-0.633
YDR242W	0.826	-0.632
YBR074W	2.102	-0.244
YDR508C	0.970	-0.631
YDR500C	0.309	-0.538
YKL062W	-1.462	-0.627
YOR032C	-3.208	-0.627
YJR116W	0.634	-0.625
YPL036W	1.577	-0.624
YLR417W	0.539	-0.624
YDL157C	0.180	-0.623
YPL057C	0.719	-0.622
YNR032C-A	2.544	-0.621
YLR046C	1.390	-0.620
YER144C	1.585	-0.620
YMR143W	0.112	-0.620
YBR012C	1.125	-0.620
YLR282C	-0.332	-0.619
YJL131C	-17.714	-0.619
YJL176C	NaN	-0.619
YJR020W	-0.067	-0.619
YMR008C	-1.322	-0.618
YNL298W	-22.729	-0.617
YNL090W	-0.669	-0.616
YHR185C	-0.258	-0.616
YGL202W	3.699	-0.615
YLR236C	2.696	-0.615
YIL058W	1.131	-0.615
YOR378W	-0.446	-0.614
YGL083W	1.610	-0.614
YPL171C	1.499	-0.611
YEL057C	2.322	-0.611
YBR161W	2.067	-0.611
YCL075W	0.817	-0.611
YGL242C	2.434	-0.610
YOR001W	NaN	-0.610
YBR042C	-1.475	-0.610
YLR258W	0.247	-0.610
YDL187C	0.761	-0.610
YGL263W	-0.246	-0.609
YGR220C	3.281	-0.609
YNL203C	0.620	-0.609
YGR102C	2.860	-0.608
YKL183W	-1.979	-0.608
YPR197C	-2.497	-0.608
YNR028W	0.115	-0.606
YDR505C	0.690	-0.605
YMR139W	0.098	-0.605
YOR139C	1.215	-0.604
YKR046C	2.767	-0.604
YGL231C	5.257	-0.603
YPL224C	0.561	-0.602
YMR322C	-0.390	-0.601
YHR151C	0.563	-0.601
YEL018W	-1.618	-0.598
YOR140W	-0.198	-0.597
YNL116W	-2.203	-0.596
YHR177W	0.129	-0.596
YGL110C	1.300	-0.595
YGL222C	3.058	-0.595
YDR225W	-1.558	-0.595
YKL201C	-0.160	-0.305
YGR019W	1.696	-0.594
YGR042W	3.197	-0.594
YDR515W	-2.070	-0.594
YHR079C-A	0.929	-0.593
YGR052W	0.859	-0.593
YHL035C	0.056	-0.592
YGR275W	0.469	-0.592
YKR053C	-0.863	-0.592
YFL004W	-2.536	-0.591
YKL005C	0.226	-0.591
YFR056C	2.861	-0.591
YGR069W	-0.149	-0.590
YFR054C	1.354	-0.589
YKR094C	3.364	-0.588
YJL130C	-2.795	-0.588
YGR286C	0.141	-0.587
YDL079C	0.369	-0.587
YHR093W	0.505	-0.587
YGL019W	-5.494	-0.587
YDR338C	0.927	-0.586
YBL086C	2.163	-0.585
YDR438W	-2.590	-0.585
YOR152C	0.919	-0.585
YKR039W	-4.566	-0.585
YHR087W	0.999	-0.585
YPL077C	1.069	-0.584
YDR175C	NaN	-0.584
YDL114W	-0.173	-0.583
YCL035C	-0.295	-0.583
YJL116C	-1.281	-0.583
YBL039C	-5.420	-0.582
YDR425W	0.150	-0.582
YMR133W	1.368	-0.582
YEL067C	-2.338	-0.582
YGR137W	-0.777	-0.581
YPR121W	-1.327	-0.581
YLR269C	0.151	-0.580
YER060W-A	2.071	-0.579
YLR202C	-2.059	-0.579
YDL113C	4.423	-0.579
YDL061C	-0.267	-0.579
YOR180C	1.203	-0.578
YCL042W	-0.914	-0.578
YFR049W	3.685	-0.577
YPR188C	0.598	-0.577
YJL084C	-2.070	-0.576
YPL212C	-0.836	-0.576
YDR048C	NaN	-0.573
YJL058C	2.286	-0.573
YKL140W	-1.800	-0.573
YKR043C	1.875	-0.573
YJL127C	NaN	-0.572
YDR165W	-0.378	-0.570
YBR084C-A	-3.067	-0.569
YOR114W	1.730	-0.569
YGR203W	0.241	-0.569
YKL129C	-1.196	-0.569
YMR034C	0.893	-0.569
YBL005W	1.354	-0.569
YCR095C	1.706	-0.568
YNL283C	-1.497	-0.568
YIR016W	-3.803	-0.567
YER186C	0.178	-0.566
YFR015C	-0.423	-0.565
YLR205C	1.503	-0.565
YDL239C	-1.382	-0.565
YOR196C	NaN	-0.565
YHR039C-A	NaN	-0.564
YGL034C	1.223	-0.564
YBL029W	0.296	-0.564
YDL025C	3.031	-0.564
YKR009C	1.121	-0.563
YDL242W	-0.735	-0.560
YBL021C	2.240	-0.560
YLR137W	0.143	-0.560
YOR271C	1.188	-0.559
YJL078C	-1.550	-0.559
YDR514C	0.701	-0.558
YCR007C	-0.257	-0.557
YJR077C	0.572	-0.557
YGL140C	0.191	-0.556
YER074W	1.625	-0.556
YLR250W	0.497	-0.556
YDL214C	-2.896	-0.555
YHR142W	-6.871	-0.555
YHR132W-A	-0.372	-0.554
YBR001C	-0.020	-0.554
YAL047C	NaN	-0.554
YIL163C	-0.671	-0.554
YOR252W	-0.121	-0.553
YOR356W	1.450	-0.552
YFL003C	2.415	-0.551
YKL163W	0.101	-0.551
YDR419W	0.350	-0.551
YDR080W	0.962	-0.551
YER002W	-4.567	-0.550
YMR037C	1.810	-0.550
YPL051W	0.370	-0.549
YLR070C	-0.130	-0.549
YGL108C	-2.922	-0.549
YPL173W	NaN	-0.548
YGR059W	3.978	-0.548
YNL215W	-1.120	-0.547
YFL028C	0.286	-0.547
YKL010C	-21.034	-0.547
YPL270W	1.787	-0.547
YDR252W	-0.509	-0.546
YJL134W	-2.765	-0.546
YGR063C	-2.497	-0.546
YPR026W	1.000	-0.545
YPL264C	1.446	-0.545
YNL109W	-0.464	-0.545
YPR023C	-0.378	-0.545
YJL046W	NaN	-0.544
YGL009C	1.509	-0.544
YGL251C	0.357	-0.543
YLR416C	-1.722	-0.542
YOR197W	0.764	-0.542
YJR133W	2.194	-0.540
YER118C	-0.877	-0.540
YGR010W	-3.189	-0.539
YML081W	1.839	-0.538
YKR018C	-0.143	-0.538
YHL042W	-3.403	-0.538
YJR021C	-2.620	-0.537
YOL132W	1.262	-0.536
YNL237W	-0.161	-0.536
YDR089W	2.801	-0.535
YKR001C	-3.445	-0.534
YBR034C	2.944	-0.534
YCL039W	-1.278	-0.534
YHR132C	-0.595	-0.534
YDR244W	-1.001	-0.533
YKL147C	-1.164	-0.531
YGL252C	-5.516	-0.531
YDR431W	-2.794	-0.531
YBL012C	-0.234	-0.530
YIL014W	-0.628	-0.530
YIL162W	0.079	-0.530
YKR045C	-3.093	-0.529
YLR324W	2.751	-0.529
YGL194C	1.781	-0.528
YIL154C	0.529	-0.527
YKL085W	0.046	-0.527
YMR196W	-1.722	-0.527
YOR339C	-1.420	-0.527
YAL036C	-0.803	-0.526
YIL157C	-2.946	-0.525
YDR095C	1.702	-0.525
YDR523C	0.400	-0.524
YPL161C	NaN	-0.524
YLR304C	-0.567	-0.524
YLR102C	-11.841	-0.524
YGR170W	-1.310	-0.523
YFL016C	NaN	-0.523
YOR010C	1.038	-0.523
YBR064W	1.954	-0.521
YLR351C	0.389	-0.521
YGR247W	1.523	-0.520
YKL214C	0.424	-0.520
YKR005C	0.459	-0.519
YOR345C	-6.590	-0.517
YOR118W	1.122	-0.517
YMR252C	-0.211	-0.517
YDL183C	0.787	-0.517
YGL218W	NaN	-0.516
YGR193C	-1.776	-0.516
YER078C	2.254	-0.516
YFL046W	-1.497	-0.515
YNL076W	0.267	-0.515
YPL148C	1.981	-0.515
YDL137W	0.527	-0.515
YOL032W	0.503	-0.514
YNL265C	-2.843	-0.514
YKL109W	0.773	-0.513
YHR094C	-0.412	-0.513
YHR032W	-4.883	-0.513
YMR130W	0.103	-0.512
YJR129C	-1.936	-0.511
YGR122W	-3.857	-0.511
YNL089C	2.437	-0.510
YIL090W	-2.897	-0.510
YBL103C	-1.835	-0.510
YDR229W	-2.721	-0.510
YGR144W	-29.625	-0.510
YOR163W	-0.629	-0.510
YBR180W	-0.800	-0.509
YPL206C	0.186	-0.509
YNR018W	1.056	-0.509
YPL221W	1.830	-0.509
YDR158W	0.157	-0.507
YAL067C	0.959	-0.506
YHR126C	-0.012	-0.506
YOR354C	0.963	-0.506
YPR129W	2.773	-0.505
YLL059C	-1.137	-0.504
YDR520C	0.352	-0.504
YLR121C	-0.754	-0.503
YER041W	0.122	-0.503
YDR255C	0.362	-0.502
YPL180W	-3.696	-0.502
YJR131W	-1.063	-0.501
YPR158W	0.567	-0.501
YGR039W	1.686	-0.499
YBR045C	0.049	-0.499
YER034W	-0.945	-0.499
YLL054C	1.097	-0.498
YOR112W	0.939	-0.498
YBL061C	-5.821	-0.497
YKL100C	-0.341	-0.497
YDR068W	2.302	-0.496
YJR098C	1.186	-0.496
YJR008W	-0.188	-0.496
YJL093C	0.561	-0.495
YDR094W	-0.121	-0.495
YMR048W	-12.319	-0.495
YML129C	3.007	-0.495
YKL176C	-1.035	-0.494
YDR504C	0.075	-0.494
YBR063C	2.643	-0.493
YOR124C	-3.980	-0.491
YDR287W	-2.962	-0.490
YKR064W	0.521	-0.490
YIR042C	0.012	-0.489
YER111C	-3.241	-0.489
YOL080C	-1.734	-0.488
YOR131C	2.676	-0.488
YNL300W	0.198	-0.487
YOR219C	1.075	-0.487
YPL034W	0.002	-0.487
YER068C-A	-0.082	-0.486
YPR037C	2.849	-0.486
YML032C	NaN	-0.484
YNR031C	0.126	-0.484
YBL093C	NaN	-0.483
YML020W	-0.854	-0.482
YJL088W	1.236	-0.482
YCR061W	1.199	0.073
YOL079W	-0.626	-0.481
YMR091C	NaN	-0.480
YGR168C	-0.380	-0.480
YIR002C	-3.830	-0.480
YMR095C	0.929	-0.480
YKL217W	-0.651	-0.480
YIL166C	0.051	-0.480
YFR041C	0.146	-0.478
YJL094C	3.589	-0.478
YDL037C	0.770	-0.478
YDL129W	5.040	-0.477
YLR265C	0.329	-0.477
YLL018C-A	1.433	-0.477
YLL058W	1.131	-0.476
YOR314W	0.632	-0.476
YDR447C	0.055	-0.476
YER075C	2.056	-0.474
YDR443C	-0.248	-0.473
YGL179C	-0.295	-0.473
YMR104C	2.464	-0.472
YOR070C	0.499	-0.472
YGR242W	1.815	-0.471
YKL029C	-2.028	-0.467
YFL012W-A	-0.728	-0.466
YBR201W	0.744	-0.466
YGL079W	0.576	-0.466
YDL052C	-6.184	-0.466
YMR209C	-0.242	-0.461
YJL215C	-3.419	-0.461
YGL158W	-1.709	-0.461
YOR099W	0.107	-0.459
YER019C-A	-0.290	-0.459
YKR074W	-0.601	-0.459
YHL029C	0.414	-0.458
YLR408C	-1.126	-0.457
YNL157W	1.589	-0.457
YBL007C	-0.998	-0.457
YLR134W	0.516	-0.457
YER038W-A	0.424	-0.456
YHR209W	1.142	-0.456
YER083C	-3.080	-0.455
YLR200W	0.181	-0.455
YFL052W	0.793	-0.454
YLR431C	1.738	-0.454
YIR017C	-0.530	-0.454
YIL030C	0.394	-0.454
YDL049C	3.063	-0.454
YGR057C	-4.133	-0.453
YPL172C	2.564	-0.453
YGR214W	1.631	-0.453
YNL072W	-0.323	-0.453
YJR040W	-1.154	-0.453
YBR027C	0.407	-0.452
YGL059W	1.219	-0.452
YBR207W	0.600	-0.452
YBR057C	-1.770	-0.452
YDL149W	-2.908	-0.450
YER052C	-4.185	-0.449
YGR240C	-2.283	-0.449
YDR105C	-0.116	-0.449
YBR290W	-8.612	-0.449
YGL016W	-5.228	-0.448
YGR078C	1.816	-0.448
YFR021W	1.322	-0.448
YGL254W	1.288	-0.448
YML017W	-11.541	-0.447
YBR238C	3.763	-0.447
YLR345W	0.364	-0.447
YDR198C	1.462	-0.446
YIL140W	-1.569	-0.445
YML007W	-2.179	-0.445
YKL043W	-0.538	-0.444
YBR261C	1.215	-0.442
YPR196W	-0.023	-0.442
YGR269W	-0.021	-0.441
YOR053W	0.707	-0.441
YGL028C	1.194	-0.440
YPR075C	0.097	-0.440
YNL305C	-0.576	-0.439
YLR225C	-0.387	-0.439
YMR096W	-0.125	-0.439
YGR199W	0.590	-0.438
YKL164C	0.357	-0.437
YFR007W	0.870	-0.437
YCL038C	1.004	-0.436
YGL255W	1.135	-0.436
YAL005C	1.543	-0.436
YKL107W	-0.324	-0.436
YOL118C	1.816	-0.435
YDR234W	0.673	-0.435
YOL060C	0.630	-0.434
YKL006W	NaN	-0.433
YGR228W	1.066	-0.433
YOR111W	-0.098	-0.433
YPR068C	-0.616	-0.433
YNL229C	-1.567	-0.432
YER161C	-1.632	-0.431
YMR035W	-4.932	-0.431
YIL146C	0.453	-0.431
YBL053W	0.280	-0.430
YOL002C	-0.275	-0.430
YGR077C	0.239	-0.429
YER072W	-0.088	-0.428
YDR274C	-0.871	-0.428
YLR404W	-2.955	-0.428
YGR097W	-0.387	-0.428
YKL171W	0.833	-0.428
YOR165W	-2.655	-0.427
YOR066W	0.190	-0.426
YDL078C	-2.140	-0.426
YDL021W	-0.202	-0.425
YMR148W	3.227	-0.425
YMR081C	1.351	-0.425
YLR286C	0.719	-0.425
YDL225W	-4.577	-0.425
YCL023C	-4.452	-0.425
YLR081W	-1.048	-0.424
YMR178W	0.826	-0.424
YGR023W	1.442	-0.423
YDR538W	1.400	-0.423
YLR461W	0.909	-0.423
YDR539W	0.085	-0.423
YOR342C	-3.557	-0.422
YPR084W	2.158	-0.422
YNL108C	0.873	-0.422
YBL088C	-2.333	-0.422
YDR535C	-1.080	-0.421
YGR138C	-0.995	-0.421
YML048W	-0.214	-0.420
YNR002C	-0.593	-0.420
YOR237W	0.872	-0.420
YDR490C	-3.361	-0.420
YDR203W	-0.969	-0.419
YIL053W	0.919	-0.419
YOR346W	-1.127	-0.419
YOL112W	0.670	-0.419
YBL013W	0.205	-0.419
YBR104W	1.776	-0.417
YDR046C	-0.868	-0.417
YGL213C	-0.608	-0.416
YKR073C	-2.655	-0.415
YBR016W	1.146	-0.415
YDR469W	-2.233	-0.414
YDR123C	1.894	-0.413
YBL015W	2.556	-0.412
YMR015C	-7.573	-0.412
YMR107W	2.002	-0.411
YNL063W	0.015	-0.411
YMR022W	-1.274	-0.411
YDL034W	1.601	-0.410
YDL071C	0.012	-0.409
YBR022W	0.603	-0.409
YLR111W	-0.618	-0.408
YOR364W	-1.229	-0.031
YBR050C	-0.214	-0.407
YBL059W	0.851	-0.407
YJL210W	0.034	-0.406
YGL143C	0.813	-0.406
YHL022C	-0.632	-0.406
YDL224C	0.801	-0.406
YBL055C	-0.446	-0.405
YOR141C	1.523	-0.405
YIR044C	-0.416	-0.405
YBR023C	-5.678	-0.404
YDR137W	-0.781	-0.404
YDR204W	2.955	-0.402
YPL039W	0.692	-0.402
YNR036C	NaN	-0.402
YHR009C	2.044	-0.400
YJL183W	NaN	-0.400
YOR358W	0.872	-0.398
YER187W	-3.465	-0.398
YKR065C	0.230	-0.398
YDR099W	2.660	-0.398
YPR200C	1.184	-0.398
YKL081W	1.243	-0.397
YOR275C	2.013	-0.397
YLR400W	3.875	-0.396
YPR173C	1.234	-0.395
YOR269W	-0.437	-0.394
YOR385W	-1.864	-0.393
YGL045W	-1.110	-0.190
YLR218C	-0.122	-0.393
YJL205C	-1.645	-0.393
YGR017W	3.157	-0.393
YDL175C	-4.991	-0.392
YGR210C	-1.198	-0.392
YJL044C	0.262	-0.391
YOR371C	-1.029	-0.391
YHR095W	-0.383	-0.390
YLR332W	-3.895	-0.389
YLR369W	NaN	-0.389
YMR234W	-1.327	-0.388
YDL144C	-0.378	-0.388
YNL104C	1.364	-0.388
YDL176W	-0.879	-0.387
YAL019W	-10.086	-0.387
YGL051W	-1.745	-0.385
YHR171W	0.341	-0.385
YPL006W	1.254	-0.385
YLR325C	-0.728	-0.385
YKL001C	-1.119	-0.383
YDL130W	2.282	-0.383
YDL210W	-0.093	-0.383
YNL200C	-1.126	-0.381
YOR185C	-0.105	-0.381
YER121W	0.041	-0.381
YGR038W	0.113	-0.380
YGL133W	-3.328	-0.380
YCL005W	-2.026	-0.379
YLR449W	0.042	-0.378
YDL027C	2.329	-0.377
YOL007C	0.629	-0.377
YDL099W	-2.554	-0.377
YJR109C	-1.281	-0.376
YPR126C	1.324	-0.375
YKR011C	2.107	-0.375
YOL162W	-0.469	-0.375
YDR450W	NaN	-0.375
YML090W	1.104	-0.374
YFL014W	1.070	-0.374
YKL207W	1.106	-0.374
YDR066C	1.202	-0.373
YNL115C	-0.006	-0.373
YMR007W	1.293	-0.373
YLR364W	1.953	-0.373
YDR321W	0.431	-0.373
YBR293W	2.385	-0.372
YDR174W	NaN	-0.372
YHL021C	0.612	-0.372
YER091C-A	0.879	-0.372
YMR247C	-1.737	-0.372
YDR277C	1.358	-0.372
YER158C	-3.214	-0.372
YOR106W	-2.968	-0.371
YJL209W	0.866	-0.370
YER042W	-0.086	-0.370
YPR079W	-1.805	-0.369
YLR381W	-2.344	-0.369
YCR101C	-0.027	-0.369
YOL030W	-2.517	-0.368
YFR047C	1.996	-0.368
YDR102C	-0.735	-0.366
YBL094C	4.324	-0.365
YBL006C	-4.623	-0.365
YOR386W	0.897	-0.365
YER141W	1.032	-0.365
YOL011W	-2.264	-0.364
YIR027C	0.779	-0.364
YHR158C	-1.494	-0.364
YBL008W	-1.666	-0.364
YOR230W	-1.044	-0.363
YHR109W	0.104	-0.363
YDR466W	-1.140	-0.362
YPR166C	4.470	-0.362
YHR047C	1.195	-0.361
YDR233C	0.543	-0.361
YHL026C	-0.792	-0.361
YDL240W	-0.705	-0.361
YPR030W	2.566	-0.361
YCL048W	-0.271	-0.359
YML063W	NaN	-0.359
YIL101C	5.054	-0.357
YKR049C	-0.404	-0.357
YOR369C	1.118	-0.357
YOR318C	0.648	-0.356
YEL062W	1.168	-0.356
YGR262C	NaN	-0.356
YER164W	0.019	-0.355
YER188W	2.452	-0.354
YPL027W	1.230	-0.353
YKR057W	1.022	-0.353
YOR166C	-0.480	-0.353
YDR019C	0.613	-0.353
YKL102C	2.186	-0.352
YML042W	1.545	-0.352
YPL183C	5.003	-0.352
YBR176W	-0.269	-0.352
YCR106W	3.373	-0.351
YDR330W	0.214	-0.350
YJL068C	-2.820	-0.350
YGL084C	NaN	-0.349
YDR014W	-5.031	-0.349
YPR046W	-2.926	-0.349
YDR371W	-0.788	-0.349
YOL100W	-0.710	-0.348
YLL051C	-1.676	-0.348
YDR258C	-0.096	-0.348
YOR214C	1.629	-0.348
YLR123C	0.291	-0.348
YBL066C	0.902	-0.347
YDR051C	0.012	-0.347
YCL058C	NaN	-0.346
YOR304W	-1.863	-0.346
YDL133C-A	2.961	-0.295
YDR458C	1.892	-0.345
YAL051W	-0.532	-0.344
YNL250W	-0.430	-0.344
YPL273W	-0.122	-0.343
YFL018C	2.347	-0.343
YOR220W	1.223	-0.342
YHR152W	1.505	-0.342
YLR374C	NaN	-0.342
YPR028W	-0.427	-0.342
YMR160W	-1.483	-0.342
YER183C	-0.356	-0.341
YER045C	-2.270	-0.340
YGL013C	-4.983	-0.339
YDL110C	0.244	-0.338
YKL041W	-1.602	-0.338
YFL032W	1.254	-0.337
YIL098C	1.015	-0.337
YLR365W	0.585	-0.336
YJL172W	0.384	-0.335
YDL112W	1.627	-0.334
YKL106W	0.541	-0.334
YHR125W	-6.796	-0.333
YLR169W	-1.407	-0.333
YER184C	0.568	-0.333
YOL014W	2.119	-0.333
YDR070C	2.083	-0.332
YML081C-A	1.234	-0.332
YER176W	-0.320	-0.332
YDR122W	1.839	-0.331
YDR286C	0.809	-0.331
YOL075C	0.428	-0.331
YBR052C	-0.408	-0.331
YGL039W	0.878	-0.330
YER174C	0.822	-0.330
YGR276C	-1.080	-0.329
YPL056C	0.543	-0.329
YMR135W-A	-1.640	-0.329
YOR334W	-0.958	-0.328
YDR111C	0.486	-0.328
YEL072W	0.261	-0.328
YDL068W	3.049	-0.328
YKL091C	-1.045	-0.327
YPR127W	1.590	-0.327
YML068W	1.809	-0.326
YHR104W	-5.827	-0.326
YGR127W	-0.698	-0.326
YJL190C	0.140	-0.325
YOL126C	0.857	-0.324
YDL197C	0.836	-0.324
YJR148W	1.534	-0.323
YDL199C	-3.328	-0.323
YLR036C	0.321	-0.322
YER123W	1.541	-0.322
YDR530C	-3.102	-0.322
YGR249W	1.649	-0.321
YPR089W	-1.819	-0.148
YCR016W	1.232	-0.320
YJL004C	-3.743	-0.320
YBR301W	0.070	-0.320
YLR389C	2.956	-0.319
YPR020W	1.212	-0.319
YJR122W	0.312	-0.317
YOL119C	0.497	-0.316
YFL025C	-2.737	-0.316
YDR276C	0.544	-0.316
YKL179C	-0.829	-0.316
YDR492W	0.685	-0.315
YER031C	-1.306	-0.315
YBR018C	0.447	-0.313
YDR306C	-1.775	-0.313
YHR030C	-1.549	-0.312
YBR084W	-0.475	-0.312
YOR293W	NaN	-0.312
YIR043C	0.645	-0.311
YER071C	2.284	-0.311
YBL064C	-0.457	-0.310
YLR436C	-0.287	-0.310
YAL024C	-7.732	-0.310
YCR083W	-0.513	-0.309
YGR079W	0.689	-0.309
YFR020W	0.965	-0.308
YDR061W	-1.263	-0.308
YBL037W	0.283	-0.307
YLR299W	0.243	-0.306
YPL159C	-0.083	-0.305
YHR162W	-0.103	-0.304
YOR304C-A	1.624	-0.304
YDR420W	-0.198	-0.304
YOR043W	-8.412	-0.303
YKL097C	-3.485	-0.301
YGR181W	0.024	-0.300
YOR090C	-0.129	-0.298
YDR459C	-3.840	-0.298
YML106W	-5.420	-0.296
YER004W	2.649	-0.296
YJL157C	-0.230	-0.295
YOR286W	-0.587	-0.295
YLL056C	2.903	-0.295
YCR084C	NaN	-0.295
YER046W-A	0.472	-0.294
YBL098W	-1.298	-0.294
YGR026W	1.345	-0.294
YNR014W	-0.342	-0.294
YOL155C	0.285	-0.293
YCL057W	-4.961	-0.293
YLR346C	0.884	-0.293
YDR383C	-0.038	-0.292
YNL022C	-0.344	-0.292
YFL049W	-0.818	-0.292
YGR273C	0.575	-0.292
YDL077C	3.565	-0.291
YGR257C	1.294	-0.291
YKL190W	2.422	-0.291
YJL027C	1.154	-0.291
YGR015C	-0.089	-0.290
YGR283C	0.063	-0.289
YHL037C	-3.126	-0.289
YEL045C	0.188	-0.288
YGL237C	1.157	-0.288
YBR220C	0.922	-0.288
YGR225W	2.346	-0.288
YGR108W	-2.876	-0.288
YDR115W	NaN	-0.288
YNL016W	1.641	-0.287
YLR434C	2.366	-0.287
YJR103W	0.038	-0.287
YLR185W	NaN	-0.287
YIR001C	-2.433	-0.287
YDL180W	-2.123	-0.286
YCL044C	-0.353	-0.286
YCR026C	-0.043	-0.285
YNL279W	-0.249	-0.285
YGR270W	1.556	-0.285
YML084W	1.677	-0.285
YDR293C	-7.358	-0.285
YBR066C	3.137	-0.285
YDR114C	NaN	-0.284
YBR226C	-0.850	-0.282
YOR363C	1.316	-0.282
YPR150W	1.875	-0.280
YBR263W	0.896	-0.280
YBR053C	0.412	-0.280
YHR035W	0.495	-0.280
YKL187C	0.096	-0.279
YLR413W	-1.256	-0.279
YPR013C	0.305	-0.279
YBR170C	-11.127	-0.278
YOR248W	-0.386	-0.278
YDR357C	-0.683	-0.278
YKL077W	0.195	-0.278
