ORF	hom | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	hom | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013
YBR112C	-0.327	0.156	1.354	0.559
YBR113W	-0.003	0.491	0.334	0.517
YBR114W	0.312	0.393	0.453	1.183
YBR115C	-0.059	0.098	-1.218	-0.048
YBR116C	0.144	0.501	0.461	1.543
YBR117C	-0.084	0.287	-0.361	0.727
YBR118W	0.012	0.092	1.218	2.092
YBR119W	0.485	0.322	0.094	1.379
YBR120C	0.784	0.789	1.278	2.817
YBR121C	NaN	NaN	0.507	1.496
YBR122C	-0.057	0.055	0.250	0.277
YBR123C	NaN	NaN	0.580	1.682
YBR124W	NaN	NaN	0.413	1.531
YBR125C	-0.313	-1.341	-0.906	2.381
YBR126C	0.202	1.838	-0.010	0.399
YBR127C	0.097	1.238	0.027	1.271
YBR128C	-0.390	-1.474	-0.805	2.465
YBR129C	-0.197	0.770	0.078	2.092
YBR130C	-0.100	-0.656	0.529	1.823
YBR131W	-0.014	0.489	0.107	1.770
YBR132C	-0.199	-0.065	0.003	0.475
YBR133C	0.167	-0.502	-0.167	0.298
YBR134W	-0.075	0.371	0.163	1.068
YBR135W	NaN	NaN	0.513	2.255
YBR136W	NaN	NaN	0.106	0.995
YBR137W	-0.217	-0.128	0.288	1.019
YBR138C	-0.367	0.835	0.015	2.500
YBR139W	0.043	0.384	0.188	1.554
YBR140C	NaN	NaN	1.248	0.986
YBR141C	0.103	0.469	-0.348	0.910
YBR142W	NaN	NaN	-1.085	-0.088
YBR143C	NaN	NaN	0.444	1.095
YBR144C	-0.200	0.271	0.669	1.665
YBR145W	-0.768	-0.963	-0.025	1.322
YBR146W	-0.065	1.287	0.180	1.577
YBR147W	0.121	0.351	1.049	2.169
YBR148W	-0.301	0.238	0.221	1.510
YBR149W	0.108	-0.034	0.467	2.370
YBR150C	-0.304	-1.154	0.555	1.136
YBR151W	-0.005	0.252	0.249	0.863
YBR152W	NaN	NaN	0.274	0.822
YBR153W	NaN	NaN	-0.889	3.034
YBR154C	NaN	NaN	-0.079	0.592
YBR155W	NaN	NaN	-0.379	1.956
YBR156C	-0.005	0.292	-0.085	0.278
YBR157C	-0.201	0.247	0.292	0.179
YBR158W	-0.738	0.297	-0.226	1.498
YBR159W	-0.196	0.095	-0.015	0.400
YBR160W	NaN	NaN	0.056	1.707
YBR161W	-0.418	-0.354	-0.626	0.773
YBR162C	-0.122	0.465	0.511	1.650
YBR162W-A	0.249	-0.664	-0.127	2.573
YBR163W	0.584	1.092	0.041	0.652
YBR164C	0.526	0.178	0.452	1.210
YBR165W	-0.010	0.168	0.083	0.180
YBR166C	0.011	0.260	0.219	2.022
YBR167C	NaN	NaN	0.498	1.158
YBR168W	-0.091	1.032	0.272	0.739
YBR169C	0.351	0.240	0.349	0.745
YBR170C	0.197	0.493	0.340	1.231
YBR171W	-0.006	2.364	-0.724	2.585
YBR172C	0.727	1.046	0.548	1.889
YBR173C	0.121	0.612	0.821	2.062
YBR174C	-0.415	0.255	0.293	0.615
YBR175W	-0.458	1.479	-1.975	1.012
YBR176W	0.059	0.200	0.522	1.054
YBR177C	-0.335	-0.383	-0.058	0.458
YBR178W	-0.277	-0.062	-0.001	1.142
YBR179C	0.265	0.952	0.558	0.842
YBR180W	0.017	-0.490	-0.165	0.401
YBR181C	0.302	2.376	0.478	0.740
YBR182C	-0.049	-0.560	0.096	0.842
YBR182C-A	-0.264	0.020	-0.478	1.073
YBR183W	-0.106	-0.601	0.870	-0.100
YBR184W	-0.152	-0.534	0.242	0.589
YBR185C	-0.267	-0.457	-0.335	0.122
YBR186W	-0.027	-0.168	0.362	-0.417
YBR187W	0.186	0.118	0.280	0.677
YBR188C	0.111	0.094	-0.319	0.940
YBR189W	0.226	0.603	-0.097	0.106
YBR190W	NaN	NaN	0.055	0.785
YBR191W	-0.089	1.338	-0.324	1.147
YBR192W	NaN	NaN	0.905	0.412
YBR193C	NaN	NaN	0.221	0.137
YBR194W	1.888	1.939	-0.257	-0.422
YBR195C	-0.378	-0.015	0.063	0.448
YBR196C	NaN	NaN	0.115	0.146
YBR196C-A	-0.019	0.433	0.191	1.635
YBR196C-B	0.212	0.017	0.212	0.518
YBR197C	1.712	1.215	-0.098	-0.599
YBR198C	NaN	NaN	-0.537	2.446
YBR199W	0.109	-1.249	-0.290	-0.639
YBR200W	0.114	2.106	0.025	1.078
YBR200W-A	-0.340	-0.573	0.304	-0.957
YBR201W	-0.167	0.711	-0.227	0.328
YBR202W	NaN	NaN	-0.302	0.906
YBR203W	0.232	-0.446	-0.400	-0.600
YBR204C	-0.269	0.204	-0.478	0.035
YBR205W	-0.333	-0.590	-0.199	-1.107
YBR206W	-0.193	-0.741	0.312	0.880
YBR207W	-0.366	-1.394	-1.061	-2.008
YBR208C	0.589	-2.307	-1.488	0.068
YBR209W	-0.071	0.333	0.072	-1.341
YBR210W	-0.465	-2.059	-0.609	-0.908
YBR211C	NaN	NaN	-0.133	-1.116
YBR212W	0.197	-0.030	-0.136	-1.700
YBR213W	-0.201	-0.513	0.080	0.149
YBR214W	-0.666	-0.915	0.232	-0.242
YBR215W	-2.141	-1.790	-0.683	2.029
YBR216C	-0.375	-0.046	0.008	1.574
YBR217W	-0.275	-1.204	-0.345	-0.114
YBR218C	0.443	0.658	0.376	0.616
YBR219C	0.434	0.577	0.706	0.773
YBR220C	-0.040	-1.648	0.273	0.991
YBR221C	-1.076	1.607	0.367	0.494
