ORF	Gene	strain	CPT	T/C
YIL002C	INP51	31394	548	0.955
YAL014C	SYN8	30394	549	0.955
YOR323C	PRO2	31620	550	0.955
YJR060W	CBF1	36858	551	0.955
YOR068C	VAM10	31844	552	0.955
YLR015W	BRE2	31570	553	0.955
YLR443W	ECM7	36047	554	0.955
YHL029C		30934	555	0.955
YBL008W	HIR1	33034	556	0.955
YNL332W	THI12	31112	557	0.955
YNL316C	PHA2	36472	558	0.955
YJL055W		31368	559	0.955
YOR385W		31682	560	0.955
YJL208C	NUC1	31217	561	0.955
YJL094C	KHA1	37095	562	0.955
YNL122C		32954	563	0.955
YHL016C	DUR3	30947	564	0.955
YBL031W	SHE1	33057	565	0.956
YDR456W	NHX1	34290	566	0.956
YBR066C	NRG2	33203	567	0.956
YLR038C	COX12	36436	568	0.956
YCL060C		33467	569	0.956
YHR177W	GON3	32871	570	0.956
YBR057C	MUM2	33194	571	0.956
YOR374W	ALD4	31671	572	0.956
YOR137C	SIA1	32393	573	0.956
YOR086C		31862	574	0.956
YPL099C		32153	575	0.956
YLR072W		32683	576	0.956
YCR079W		35798	577	0.956
YOL017W	ESC8	31708	578	0.956
YJR003C		37308	579	0.956
YBL055C		33081	580	0.956
YBL017C	PEP1	33043	581	0.956
YDR165W	TRM82	33523	582	0.956
YJL017W		36785	583	0.957
YLR369W	SSQ1	35278	584	0.957
YHR199C		32893	585	0.957
YML122C		36523	586	0.957
YFL049W		35670	587	0.957
YKR095W	MLP1	37104	588	0.957
YBR084W	MIS1	33222	589	0.957
YJL103C		37367	590	0.957
YJL082W	IML2	31341	591	0.957
YLL046C	RNP1	31534	592	0.957
YOR175C		32431	593	0.957
YOL163W		36668	594	0.957
YJR095W	SFC1	36907	595	0.957
YDR511W	ACN9	34345	596	0.957
YKL183W	LOT5	35033	597	0.957
YJR037W		36835	598	0.958
YMR201C	RAD14	30787	599	0.958
YBR175W	SWD3	33315	600	0.958
YDR157W		33515	601	0.958
YJR142W		36936	602	0.958
YLR408C		35317	603	0.958
YBL096C		33122	604	0.958
YER048C	CAJ1	30183	605	0.958
YER046W	SPO73	36584	606	0.958
YGL034C		34402	607	0.958
YJL121C	RPE1	31305	608	0.958
YCL005W		33413	609	0.958
YJL164C	TPK1	31261	610	0.958
YER075C	PTP3	30215	611	0.958
YOL045W	PSK2	31736	612	0.958
YDR402C	DIT2	34238	613	0.958
YKR034W	DAL80	37047	614	0.958
YPR179C	PLO1	35594	615	0.958
YFR009W	GCN20	35688	616	0.958
YLR346C		36711	617	0.958
YBR169C	SSE2	37167	618	0.958
YOR379C		31676	619	0.959
YJL144W		31281	620	0.959
YOL016C	CMK2	36473	621	0.959
YBR065C	ECM2	33202	622	0.959
YOR352W		31649	623	0.959
YOR163W	DDP1	32419	624	0.959
YMR015C	ERG5	30590	625	0.959
YBR128C	APG14	33267	626	0.959
YLR179C		34128	627	0.959
YLR057W		32668	628	0.959
YJL185C		31240	629	0.959
YDL226C	GCS1	33924	630	0.959
YPR091C		37403	631	0.959
YJR048W	CYC1	36846	632	0.959
YPL120W	VPS30	32132	633	0.959
YPL134C	ODC1	36480	634	0.959
YGL121C	GPG1	34488	635	0.959
YGR247W	CPD1	35900	636	0.959
YFR025C	HIS2	37082	637	0.959
YNL190W		32022	638	0.959
YGR155W	CYS4	36696	639	0.959
YHR202W		32896	640	0.959
YGL241W	KAP114	34608	641	0.959
YAL045C		30360	642	0.96
YKL066W		34915	643	0.96
YCL028W	RNQ1	33435	644	0.96
YLR410W	VIP1	35319	645	0.96
YMR222C	FSH2	30808	646	0.96
YGR244C	LSC2	35897	647	0.96
YDR133C		34067	648	0.96
YOR043W	WHI2	31819	649	0.96
YAL030W	SNC1	30378	650	0.96
YBR176W	ECM31	33316	651	0.96
YLR343W		36948	652	0.96
YBL060W		33086	653	0.96
YIL027C	KRE27	31420	654	0.961
YGL229C	SAP4	34596	655	0.961
YLL054C		31542	656	0.961
YHL014C	YLF2	30949	657	0.961
YBL010C		33036	658	0.961
YNL092W		32984	659	0.961
YOR378W		31675	660	0.961
YNR007C	AUT1	35382	661	0.961
YEL038W	UTR4	30279	662	0.961
YDR122W	KIN1	34056	663	0.961
YJR154W		32632	664	0.961
YJL138C	TIF2	31287	665	0.961
YNL154C	YCK2	32058	666	0.962
YBL102W	SFT2	33130	667	0.962
YML027W	YOX1	36721	668	0.962
YIL050W	PCL7	31443	669	0.962
YAR043C		30429	670	0.962
YMR215W	GAS3	30801	671	0.962
YMR031W-A		30606	672	0.962
YGR123C	PPT1	34753	673	0.962
YNL129W		32947	674	0.962
YDR368W	YPR1	34204	675	0.962
YLR169W		34118	676	0.962
YCL027W	FUS1	33434	677	0.962
YHR073W	OSH3	31901	678	0.962
YNL265C	IST1	31179	679	0.962
YDR144C	MKC7	34078	680	0.962
YBR278W	DPB3	35726	681	0.962
YML034W	SRC1	30537	682	0.962
YDL020C	RPN4	33716	683	0.962
YNL168C		32044	684	0.963
YMR063W	RIM9	36196	685	0.963
YDR258C	HSP78	33617	686	0.963
YNL281W	HCH1	31163	687	0.963
YAL005C	SSA1	30403	688	0.963
YNL023C	FAP1	35349	689	0.963
YHL036W	MUP3	30927	690	0.963
YJL038C		31384	691	0.963
YGR210C		36407	692	0.963
YJL048C		31375	693	0.963
YDR220C		33579	694	0.963
YGL216W	KIP3	34582	695	0.963
YLR097C	HRT3	32708	696	0.963
YJR079W		32557	697	0.963
YJL181W		31243	698	0.963
YJR147W	HMS2	32625	699	0.964
YDL189W	RBS1	33887	700	0.964
YDL038C		33734	701	0.964
YLR360W	VPS38	35269	702	0.964
YBL012C		33038	703	0.964
YER042W	MXR1	30175	704	0.964
YOR238W		32494	705	0.964
YOL031C		31722	706	0.964
YDR219C		33578	707	0.964
YER079W		30219	708	0.964
YNL125C	ESBP6	37245	709	0.964
YBR271W		35719	710	0.964
YAR027W	UIP3	30419	711	0.965
YBR280C		37172	712	0.965
YMR297W	PRC1	30885	713	0.965
YCR076C		35796	714	0.965
YBR258C	SHG1	33398	715	0.965
YOL003C		31694	716	0.965
YBR116C		33255	717	0.965
YLL047W		31535	718	0.965
YDL082W	RPL13A	33779	719	0.965
YPR061C		35480	720	0.965
YKR016W		35087	721	0.965
YAR050W	FLO1	36870	722	0.965
YIL076W	SEC28	31469	723	0.965
YBR272C	HSM3	37169	724	0.965
YOR172W		32428	725	0.965
YNL259C	ATX1	31185	726	0.965
YBR010W	HHT1	33145	727	0.965
YKL075C		34924	728	0.965
YNL083W		37227	729	0.966
YML054C	CYB2	30517	730	0.966
YPL110C		32142	731	0.966
YLR083C	EMP70	32694	732	0.966
YPL245W		31047	733	0.966
YHR198C		32892	734	0.966
YNL296W		31147	735	0.966
YDL134C-A		33832	736	0.966
YDR183W	PLP1	33542	737	0.966
YAL017W	PSK1	30391	738	0.966
YCL026C-A	FRM2	37178	739	0.966
YOR140W	SFL1	32396	740	0.966
YOL128C	YGK3	36278	741	0.966
YOR083W	WHI5	31859	742	0.966
YGR121C	MEP1	34751	743	0.966
YJL057C	IKS1	31366	744	0.966
YDR198C		33557	745	0.966
YAR035W	YAT1	30425	746	0.966
YAR030C		30423	747	0.966
YCL074W		36878	748	0.966
YCR067C	SED4	37192	749	0.967
YLR361C	DCR2	36713	750	0.967
YPL186C	UIP4	32067	751	0.967
YDR493W		37261	752	0.967
YER092W	IES5	36397	753	0.967
YGL199C		34566	754	0.967
YPL041C		32787	755	0.967
YLL014W		31502	756	0.967
