ORF	hap a | growth (relative abundance in pooled culture) | standard | SD + phosphate limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + phosphate limitation | Payen C~Dunham MJ, 2016	hap a | growth (relative abundance in pooled culture) | standard | SD + sulfate limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + sulfate limitation | Payen C~Dunham MJ, 2016	hap a | growth (relative abundance in pooled culture) | standard | SD + glucose limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + glucose limitation | Payen C~Dunham MJ, 2016
YER066C-A	NaN	0.009	NaN	0.046	NaN	0.005
YER066W	0.017	-0.021	0.009	0.004	-0.006	0.009
YER067C-A	0.049	0.050	0.071	0.064	0.062	0.045
YER067W	0.006	0.009	0.006	-0.026	-0.010	0.018
YER068C-A	-0.004	0.013	NaN	0.002	NaN	0.003
YER068W	-0.125	NaN	-0.076	NaN	-0.004	NaN
YER069W	NaN	0.005	NaN	-0.017	NaN	0.032
YER070W	-0.234	0.013	-0.147	0.016	-0.116	0.003
YER071C	0.000	-0.001	-0.020	-0.002	-0.002	-0.020
YER072W	0.064	0.031	0.029	-0.029	-0.036	-0.051
YER073W	0.003	-0.020	0.006	0.002	-0.013	0.002
YER074W	NaN	-0.042	NaN	-0.041	NaN	-0.119
YER075C	-0.085	-0.013	-0.043	-0.011	-0.209	-0.086
YER076C	NaN	NaN	NaN	NaN	NaN	NaN
YER077C	NaN	NaN	NaN	-0.013	NaN	NaN
YER078C	0.004	0.020	0.004	-0.011	-0.017	-0.023
YER079W	-0.014	-0.007	-0.008	0.005	-0.017	0.002
YER080W	0.023	-0.010	0.005	0.004	-0.032	-0.019
YER081W	-0.223	-0.010	-0.026	0.018	-0.022	-0.023
YER082C	-0.230	0.001	-0.204	-0.007	-0.088	-0.040
YER083C	0.019	0.005	-0.190	-0.018	-0.001	-0.036
YER084W	-0.003	0.004	0.020	-0.006	-0.036	-0.015
YER085C	0.000	-0.004	-0.027	-0.003	0.070	-0.018
YER086W	NaN	NaN	NaN	NaN	NaN	NaN
YER087C-B	-0.012	-0.006	0.007	-0.014	-0.014	-0.029
YER087W	-0.006	-0.004	-0.095	-0.017	0.020	-0.020
YER088C	-0.020	-0.016	0.019	0.030	0.033	0.013
YER089C	0.010	0.005	0.020	-0.016	0.103	0.032
YER090W	-0.076	-0.011	-0.167	-0.006	-0.119	-0.018
YER091C	0.042	0.001	0.016	0.029	-0.010	0.037
YER092W	-0.001	0.031	-0.133	0.036	-0.001	0.019
YER093C	0.060	0.022	-0.025	0.018	0.013	0.065
YER093C-A	0.029	0.022	0.009	0.016	-0.232	0.011
YER094C	NaN	-0.020	NaN	0.001	NaN	-0.003
YER095W	-0.118	-0.055	-0.117	-0.078	-0.080	-0.031
YER096W	0.029	-0.016	0.001	-0.011	-0.010	-0.014
YER097W	0.012	-0.000	0.010	0.026	-0.060	-0.045
YER098W	-0.004	0.001	0.013	0.011	-0.018	-0.034
YER099C	NaN	NaN	NaN	NaN	NaN	NaN
YER101C	-0.005	0.018	0.016	0.005	0.011	0.008
YER103W	-0.007	0.010	0.004	-0.002	-0.007	0.006
YER106W	0.012	-0.027	-0.009	0.024	-0.011	-0.036
YER107C	NaN	0.005	NaN	-0.015	NaN	-0.037
YER109C	0.065	0.063	0.031	0.051	0.154	0.066
YER110C	0.012	-0.016	-0.063	0.039	0.037	-0.012
YER111C	-0.104	-0.017	-0.117	0.009	-0.123	-0.022
YER112W	-0.024	-0.060	NaN	0.099	NaN	-0.043
YER113C	-0.004	-0.002	0.013	-0.009	-0.028	-0.004
YER114C	0.008	0.007	0.024	0.031	0.024	0.011
YER115C	0.003	0.016	0.005	0.014	0.004	-0.022
YER116C	NaN	-0.017	NaN	0.043	NaN	0.008
YER117W	NaN	-0.038	NaN	-0.003	NaN	0.044
YER118C	0.009	-0.072	0.028	0.049	-0.003	-0.132
YER119C	NaN	NaN	NaN	0.053	0.019	NaN
YER119C-A	-0.036	0.029	-0.225	-0.031	-0.057	0.033
YER120W	0.016	0.025	-0.105	-0.004	-0.005	0.070
YER121W	-0.002	-0.029	-0.016	-0.001	-0.023	-0.020
YER122C	NaN	NaN	NaN	NaN	NaN	NaN
YER123W	-0.047	-0.004	0.048	0.009	-0.067	-0.035
YER124C	-0.002	-0.028	-0.025	-0.020	-0.019	-0.030
YER125W	-0.028	-0.014	-0.109	0.112	0.113	0.046
YER126C	NaN	-0.006	NaN	0.013	NaN	-0.038
YER127W	NaN	-0.007	NaN	-0.005	NaN	-0.001
YER128W	0.027	0.010	0.039	-0.230	0.057	-0.015
YER129W	NaN	0.002	NaN	0.016	NaN	-0.008
YER130C	0.032	0.013	0.039	0.012	0.036	0.004
YER131W	0.013	0.018	0.037	0.005	-0.049	-0.043
YER132C	-0.058	-0.008	-0.039	0.002	-0.086	-0.019
YER133W	NaN	-0.062	NaN	-0.045	NaN	-0.062
YER134C	0.013	-0.020	0.014	-0.011	-0.003	-0.005
YER135C	0.014	0.009	-0.005	0.017	0.051	0.062
YER136W	NaN	0.003	NaN	-0.015	NaN	-0.009
YER137C	-0.019	-0.013	-0.036	-0.017	0.008	-0.047
YER140W	-0.015	0.009	0.035	0.018	-0.061	-0.044
YER141W	-0.071	-0.002	-0.036	-0.008	-0.027	0.006
YER142C	0.007	0.007	0.001	-0.009	-0.022	-0.016
YER143W	0.023	-0.005	0.013	-0.024	-0.019	-0.021
YER144C	0.015	0.008	0.017	0.002	0.021	-0.034
YER145C	0.016	-0.039	0.003	-0.095	NaN	-0.210
YER146W	NaN	-0.021	NaN	0.008	NaN	0.008
YER148W	0.036	0.002	NaN	0.044	NaN	0.142
YER149C	0.007	0.008	0.002	-0.007	0.010	-0.025
YER150W	0.008	-0.004	0.023	-0.011	0.002	-0.038
YER151C	NaN	-0.012	NaN	0.018	NaN	-0.034
YER153C	-0.077	0.015	-0.016	-0.008	-0.008	0.002
YER154W	-0.135	0.010	-0.068	0.004	0.003	0.037
YER155C	NaN	0.015	NaN	0.017	NaN	-0.002
YER156C	-0.010	0.002	-0.011	-0.028	-0.028	-0.004
YER157W	NaN	NaN	NaN	NaN	NaN	NaN
YER158C	0.008	-0.002	-0.008	-0.048	-0.015	0.047
YER159C	0.024	0.005	NaN	0.001	NaN	-0.004
YER161C	0.021	-0.009	0.081	-0.003	-0.093	-0.042
YER163C	0.007	-0.018	0.013	0.003	-0.006	0.032
YER164W	0.071	0.047	0.033	0.092	0.082	0.076
YER165W	NaN	-0.027	NaN	-0.116	NaN	-0.027
YER166W	-0.000	0.022	0.022	0.102	0.013	-0.030
YER167W	-0.113	0.002	0.032	0.024	-0.073	0.023
YER168C	NaN	-0.004	NaN	-0.010	NaN	-0.003
YER169W	-0.073	-0.010	0.020	0.013	0.012	0.009
YER170W	0.010	0.007	-0.003	-0.006	0.020	-0.006
YER171W	NaN	-0.002	NaN	-0.031	NaN	-0.041
YER172C	NaN	-0.069	NaN	0.047	NaN	-0.009
YER173W	-0.015	0.025	-0.006	-0.041	-0.005	0.039
YER174C	0.009	0.006	-0.000	-0.003	0.024	0.001
YER175C	0.042	0.005	0.031	0.019	-0.028	0.011
YER175W-A	NaN	NaN	NaN	NaN	NaN	NaN
YER176W	-0.007	-0.017	0.027	-0.012	-0.017	-0.006
YER177W	NaN	-0.021	NaN	0.029	NaN	-0.004
YER178W	NaN	0.018	NaN	0.029	NaN	0.054
YER179W	-0.003	0.007	0.019	0.004	-0.010	-0.008
YER180C	-0.000	-0.014	-0.031	-0.017	-0.033	-0.016
YER180C-A	NaN	NaN	NaN	NaN	NaN	NaN
YER181C	0.007	0.020	-0.009	0.031	0.047	-0.027
YER182W	0.007	-0.003	0.019	-0.019	0.018	0.008
YER183C	0.040	-0.000	0.008	0.006	-0.037	-0.010
YER184C	0.010	-0.003	0.007	-0.009	0.013	-0.005
YER185W	-0.001	0.007	-0.033	-0.006	-0.028	-0.037
YER186C	0.015	0.065	-0.005	NaN	0.012	0.047
YER187W	0.002	0.003	0.007	-0.001	-0.000	-0.033
YER188W	0.032	0.047	0.024	0.053	0.026	0.058
YFL001W	-0.064	0.025	-0.079	-0.002	-0.010	0.020
YFL002C	NaN	-0.039	NaN	-0.003	NaN	-0.044
YFL003C	0.020	-0.004	0.020	-0.005	-0.006	-0.010
YFL004W	0.007	-0.010	0.028	-0.013	-0.020	-0.001
YFL005W	NaN	-0.014	NaN	0.003	NaN	0.033
YFL007W	-0.039	-0.006	0.003	-0.030	-0.080	-0.014
YFL008W	NaN	NaN	NaN	NaN	NaN	NaN
YFL009W	NaN	0.001	NaN	-0.003	NaN	0.003
YFL010C	NaN	-0.051	NaN	0.010	NaN	0.006
YFL010W-A	NaN	NaN	NaN	NaN	NaN	NaN
YFL011W	-0.001	-0.005	-0.003	-0.007	-0.009	-0.006
YFL013C	-0.034	-0.018	-0.182	-0.018	-0.007	-0.005
YFL012W-A	-0.024	-0.011	-0.156	-0.024	-0.041	-0.040
YFL014W	-0.011	-0.007	-0.021	0.008	0.000	0.033
YFL015C	0.007	-0.011	0.015	-0.013	-0.008	-0.007
YFL016C	NaN	0.018	NaN	0.029	NaN	-0.065
YFL017C	NaN	0.002	NaN	0.012	NaN	-0.001
YFL018C	NaN	-0.003	NaN	0.012	NaN	-0.031
YFL019C	0.004	-0.015	0.012	0.002	-0.022	-0.016
YFL021W	0.096	-0.001	-0.081	-0.092	-0.046	-0.017
YFL022C	NaN	0.018	NaN	-0.010	NaN	-0.008
YFL024C	NaN	-0.017	NaN	-0.004	NaN	-0.046
YFL026W	-0.041	-0.014	-0.045	-0.023	-0.022	-0.023
YFL027C	0.001	0.001	-0.005	-0.007	0.002	-0.045
YFL028C	0.072	-0.013	0.013	-0.001	-0.053	0.015
YFL029C	NaN	-0.039	NaN	0.052	NaN	0.010
YFL030W	NaN	NaN	NaN	NaN	NaN	NaN
YFL031W	-0.009	0.009	NaN	0.017	NaN	0.015
YFL032W	-0.179	-0.016	0.021	0.005	-0.054	0.045
YFL033C	-0.038	0.008	-0.055	-0.008	-0.030	-0.037
YFL034C-A	0.006	0.013	0.023	-0.004	-0.007	0.000
YFL034W	NaN	-0.002	NaN	-0.017	NaN	-0.012
YFL036W	NaN	0.000	NaN	0.000	NaN	0.023
YFL037W	-0.015	0.007	NaN	0.002	NaN	0.027
YFL038C	-0.043	-0.040	-0.007	0.000	-0.075	-0.063
YFL040W	0.000	-0.013	0.008	0.001	-0.013	0.023
YFL041W	0.010	0.003	0.015	0.013	0.019	0.008
YFL041W-A	NaN	NaN	NaN	NaN	NaN	NaN
YFL042C	NaN	-0.054	NaN	0.024	NaN	-0.009
YFL044C	NaN	NaN	NaN	0.030	NaN	NaN
YFL045C	-0.082	0.001	0.058	0.011	-0.022	-0.011
YFL046W	0.051	0.007	0.005	-0.001	-0.068	-0.036
YFL047W	NaN	0.015	NaN	0.026	NaN	-0.048
YFL048C	NaN	NaN	NaN	NaN	NaN	NaN
YFL049W	0.049	0.006	-0.018	-0.035	0.010	-0.010
YFL050C	0.013	0.003	-0.009	-0.012	-0.010	-0.028
YFL051C	0.004	-0.011	0.009	-0.008	-0.008	0.013
YFL052W	-0.004	0.004	0.001	-0.002	-0.018	-0.042
YFL053W	NaN	0.011	NaN	-0.000	NaN	-0.012
YFL054C	0.010	-0.003	-0.029	0.042	-0.019	-0.011
YFL055W	0.024	-0.020	-0.016	0.003	-0.021	-0.042
YFL056C	0.009	0.002	0.016	-0.008	-0.009	-0.015
YFL060C	0.051	-0.021	0.005	-0.001	-0.048	0.029
YFL063W	-0.006	-0.001	0.001	0.014	-0.050	0.006
YFR001W	-0.046	-0.002	NaN	-0.043	NaN	-0.016
YFR002W	NaN	-0.022	NaN	0.018	NaN	-0.008
YFR003C	0.010	-0.002	-0.041	-0.022	0.010	-0.014
YFR004W	NaN	0.006	NaN	0.010	NaN	0.021
YFR005C	NaN	0.008	NaN	0.050	NaN	0.023
YFR006W	0.001	-0.001	-0.022	-0.017	-0.010	-0.008
YFR007W	0.004	0.000	0.000	0.001	-0.003	0.005
YFR008W	NaN	NaN	NaN	NaN	NaN	NaN
YFR009W	0.028	-0.000	-0.038	-0.012	-0.016	-0.003
YFR010W	0.149	0.022	-0.042	0.026	-0.050	0.036
YFR011C	-0.027	-0.022	-0.015	-0.009	-0.058	-0.007
YFR012W	0.011	-0.022	-0.020	-0.022	-0.003	-0.001
YFR012W-A	NaN	NaN	NaN	NaN	NaN	NaN
YFR013W	0.006	0.011	-0.027	0.054	-0.045	0.049
YFR014C	0.035	-0.010	-0.006	-0.015	-0.017	-0.016
YFR015C	-0.011	0.009	-0.042	-0.018	-0.034	0.005
YFR016C	0.087	0.006	0.059	0.031	0.017	0.005
YFR017C	0.009	0.014	-0.009	-0.028	-0.022	-0.016
YFR018C	0.011	-0.005	-0.022	0.018	-0.037	0.009
YFR019W	-0.031	-0.011	NaN	-0.008	NaN	-0.009
YFR020W	0.006	0.019	0.009	0.005	0.017	0.019
YFR022W	0.008	0.003	-0.017	0.011	-0.010	-0.016
YFR023W	-0.002	0.005	0.013	-0.000	-0.010	0.005
YFR024C-A	-0.013	-0.000	0.033	-0.035	0.023	0.061
YFR025C	-0.005	0.012	NaN	-0.003	NaN	0.023
YFR026C	0.006	-0.000	0.003	-0.006	-0.011	0.037
YFR027W	0.013	0.024	-0.018	0.026	0.037	0.018
YFR028C	NaN	-0.001	NaN	0.009	NaN	-0.041
YFR029W	NaN	-0.045	NaN	0.035	NaN	-0.004
YFR030W	0.026	-0.004	NaN	-0.001	NaN	0.006
YFR031C	NaN	-0.019	NaN	-0.020	NaN	-0.014
YFR031C-A	-0.007	0.005	0.010	-0.000	-0.075	0.009
YFR032C	-0.010	0.017	-0.003	-0.009	-0.008	-0.026
YFR032C-A	-0.010	0.029	0.020	0.062	0.018	0.033
YFR033C	0.007	0.072	0.002	0.049	-0.042	-0.034
YFR034C	-0.031	-0.023	-0.002	-0.022	-0.034	-0.001
YFR035C	-0.102	-0.011	0.037	-0.012	0.008	0.016
YFR036W	-0.042	0.018	-0.055	0.002	-0.119	0.004
YFR037C	-0.224	-0.139	-0.150	-0.183	-0.152	-0.205
YFR038W	-0.019	-0.023	0.005	0.022	-0.024	0.009
YFR039C	-0.003	0.000	-0.020	0.003	0.040	-0.048
YFR040W	-0.119	-0.020	-0.113	-0.022	-0.116	-0.066
YFR041C	0.034	-0.007	0.015	-0.016	0.003	-0.001
YFR042W	-0.021	0.003	NaN	-0.012	NaN	0.005
YFR043C	NaN	NaN	NaN	NaN	NaN	NaN
YFR044C	-0.097	0.003	-0.085	0.004	-0.031	-0.020
YFR045W	0.017	0.031	0.026	0.011	0.015	-0.000
YFR046C	0.039	-0.021	0.008	-0.007	-0.045	-0.067
YFR047C	0.023	-0.000	0.009	0.001	0.049	0.022
YFR048W	-0.015	0.022	0.007	0.049	0.045	0.039
YFR049W	NaN	NaN	NaN	NaN	NaN	NaN
YFR050C	0.035	0.040	-0.039	0.004	NaN	0.001
YFR051C	NaN	-0.038	NaN	0.019	NaN	-0.219
YFR052W	NaN	0.026	NaN	0.024	NaN	0.018
YFR053C	0.026	0.000	0.032	0.005	0.002	0.031
YFR054C	0.007	0.004	0.014	-0.008	-0.004	-0.038
YFR055W	-0.001	-0.054	0.028	-0.004	0.008	-0.097
YFR056C	0.009	0.015	-0.009	0.001	0.001	-0.021
YFR057W	0.064	-0.012	-0.000	-0.008	-0.013	0.040
YGL001C	NaN	-0.009	NaN	-0.001	NaN	-0.068
YGL002W	NaN	0.032	NaN	-0.003	NaN	-0.015
YGL003C	NaN	NaN	NaN	NaN	NaN	NaN
YGL004C	NaN	0.011	NaN	-0.024	NaN	-0.001
YGL005C	NaN	0.010	NaN	0.007	NaN	-0.009
YGL006W	NaN	NaN	NaN	NaN	NaN	NaN
YGL006W-A	NaN	NaN	NaN	NaN	NaN	NaN
YGL007W	0.024	0.007	NaN	-0.096	NaN	0.021
YGL008C	NaN	0.015	NaN	-0.027	NaN	0.006
YGL009C	-0.024	-0.002	NaN	-0.022	NaN	-0.017
YGL010W	NaN	0.012	NaN	-0.028	NaN	-0.012
YGL011C	NaN	0.013	NaN	0.024	NaN	-0.008
YGL012W	NaN	-0.007	NaN	-0.017	NaN	0.030
YGL013C	0.008	-0.006	-0.021	-0.022	NaN	-0.001
YGL014W	NaN	-0.020	NaN	-0.026	NaN	-0.014
YGL015C	NaN	NaN	NaN	NaN	NaN	NaN
YGL016W	NaN	0.020	NaN	0.040	NaN	-0.003
YGL017W	-0.008	-0.018	-0.012	-0.001	0.020	0.028
YGL018C	NaN	0.007	NaN	-0.028	NaN	0.019
YGL019W	NaN	-0.024	NaN	0.017	NaN	-0.016
YGL020C	0.003	0.012	NaN	-0.017	NaN	-0.012
YGL021W	0.041	-0.007	-0.026	0.008	-0.037	-0.025
YGL022W	-0.003	0.005	NaN	0.003	NaN	0.011
YGL023C	NaN	NaN	NaN	0.024	NaN	-0.005
YGL024W	NaN	-0.027	NaN	-0.001	NaN	-0.035
YGL025C	NaN	-0.008	NaN	0.021	NaN	0.001
YGL026C	NaN	-0.001	NaN	-0.014	NaN	0.004
YGL027C	-0.042	0.010	-0.113	0.028	-0.209	0.035
YGL029W	NaN	0.006	NaN	-0.003	NaN	-0.023
YGL030W	NaN	NaN	NaN	-0.027	NaN	NaN
YGL031C	-0.039	-0.023	0.014	0.001	-0.021	0.035
YGL032C	NaN	NaN	NaN	NaN	NaN	NaN
YGL033W	NaN	NaN	NaN	NaN	NaN	NaN
YGL034C	0.054	0.015	0.007	0.026	0.014	0.003
YGL036W	0.077	-0.003	-0.015	0.021	-0.065	-0.048
YGL037C	0.026	-0.004	-0.008	0.003	0.020	0.002
YGL038C	-0.020	-0.010	NaN	-0.002	NaN	-0.009
YGL039W	0.001	0.015	-0.005	-0.015	0.000	-0.002
YGL040C	0.027	0.011	NaN	0.008	NaN	0.012
YGL041C-B	NaN	NaN	NaN	NaN	NaN	NaN
YGL042C	-0.009	-0.004	-0.161	-0.065	0.004	-0.010
YGL043W	0.008	-0.010	-0.150	-0.066	-0.014	-0.001
YGL044C	NaN	NaN	NaN	0.063	NaN	NaN
YGL045W	0.056	0.001	-0.055	-0.020	0.055	-0.003
YGL047W	NaN	NaN	NaN	0.023	NaN	NaN
YGL048C	0.012	0.061	-0.048	0.009	NaN	0.030
YGL049C	0.028	-0.026	-0.056	-0.025	-0.113	-0.042
YGL050W	-0.003	-0.012	-0.032	-0.032	-0.021	0.010
YGL051W	-0.002	0.005	-0.023	-0.010	-0.022	0.017
YGL053W	0.003	0.005	-0.023	-0.008	0.005	0.002
YGL054C	-0.002	0.010	-0.036	0.083	0.028	-0.016
YGL055W	NaN	-0.015	NaN	-0.006	NaN	-0.024
YGL056C	0.019	-0.002	-0.043	-0.005	0.010	0.032
YGL057C	0.023	-0.003	-0.043	-0.015	-0.105	-0.012
YGL058W	-0.050	0.002	-0.105	-0.013	-0.092	-0.002
YGL059W	0.012	0.019	-0.013	-0.010	-0.024	-0.060
YGL060W	-0.011	0.011	-0.128	-0.047	-0.070	0.045
YGL061C	NaN	-0.008	NaN	-0.139	NaN	-0.033
YGL062W	-0.052	0.014	-0.114	0.006	-0.027	0.006
YGL063W	0.012	0.002	-0.027	-0.011	-0.030	-0.021
YGL064C	-0.004	-0.011	NaN	-0.036	NaN	-0.006
YGL065C	NaN	-0.006	NaN	-0.009	0.022	-0.021
YGL066W	-0.018	-0.024	0.166	0.010	-0.045	0.021
YGL067W	-0.032	0.005	-0.008	0.006	0.004	0.007
YGL069C	-0.013	-0.019	-0.069	0.004	-0.039	-0.078
YGL070C	0.038	-0.020	NaN	-0.102	0.026	0.026
YGL071W	0.023	-0.028	NaN	-0.071	NaN	-0.130
YGL072C	-0.023	-0.007	-0.021	0.027	0.083	-0.036
YGL073W	NaN	0.003	NaN	0.043	NaN	0.018
YGL074C	0.022	0.015	NaN	0.016	NaN	0.017
YGL075C	NaN	0.007	NaN	0.013	NaN	0.004
YGL076C	-0.019	-0.070	-0.037	-0.047	-0.008	0.041
YGL077C	0.054	0.013	-0.003	0.012	-0.046	0.023
YGL078C	-0.015	-0.004	-0.075	0.003	0.012	-0.004
YGL079W	-0.027	-0.013	-0.035	-0.025	-0.051	0.010
YGL080W	NaN	NaN	NaN	0.101	NaN	NaN
YGL081W	-0.029	-0.018	-0.040	0.021	0.051	0.015
YGL082W	NaN	NaN	NaN	NaN	NaN	NaN
YGL083W	0.030	0.013	-0.003	0.037	0.033	0.044
YGL085W	0.018	0.012	0.001	0.031	0.014	0.031
YGL086W	-0.007	-0.002	-0.008	0.016	-0.003	0.009
YGL087C	NaN	NaN	0.022	0.070	NaN	NaN
YGL088W	0.074	-0.011	-0.016	0.024	-0.006	-0.060
YGL089C	0.006	0.011	-0.004	0.004	0.014	-0.001
YGL090W	0.080	0.034	0.011	0.031	-0.007	-0.031
YGL091C	NaN	-0.015	NaN	0.071	NaN	-0.034
YGL092W	NaN	-0.037	NaN	0.017	NaN	0.001
YGL093W	0.025	-0.032	-0.185	-0.110	0.000	0.023
YGL094C	-0.040	-0.006	0.086	0.020	-0.087	-0.035
YGL095C	-0.014	-0.012	-0.045	-0.027	0.019	0.014
YGL096W	-0.039	-0.005	-0.061	-0.028	-0.014	-0.008
YGL097W	NaN	-0.017	NaN	-0.029	NaN	-0.015
YGL098W	NaN	0.025	NaN	0.072	NaN	0.005
YGL099W	NaN	NaN	NaN	0.012	NaN	NaN
YGL100W	NaN	NaN	NaN	NaN	NaN	NaN
YGL101W	NaN	NaN	NaN	NaN	NaN	NaN
YGL102C	0.064	0.023	-0.057	0.017	-0.029	-0.015
YGL104C	NaN	NaN	0.019	NaN	NaN	NaN
YGL105W	NaN	NaN	NaN	NaN	NaN	NaN
YGL107C	NaN	-0.014	NaN	0.025	NaN	-0.026
YGL108C	0.017	0.009	0.037	0.034	-0.035	-0.218
YGL110C	NaN	-0.050	NaN	-0.005	NaN	-0.004
YGL111W	NaN	0.022	NaN	0.037	NaN	0.022
YGL112C	NaN	0.002	NaN	0.106	NaN	0.047
YGL113W	-0.036	-0.000	NaN	-0.014	NaN	0.001
YGL114W	0.008	-0.004	0.003	-0.040	0.040	0.017
YGL115W	-0.155	0.032	-0.137	0.059	0.016	0.099
YGL117W	-0.000	-0.010	0.020	-0.016	0.004	0.013
YGL118C	0.041	0.033	0.022	0.016	-0.052	-0.043
YGL119W	NaN	NaN	NaN	NaN	NaN	NaN
YGL120C	NaN	0.049	NaN	0.011	NaN	0.044
YGL121C	0.023	0.028	0.027	0.047	0.018	0.049
YGL122C	NaN	-0.010	NaN	-0.000	NaN	-0.003
YGL123W	NaN	-0.032	NaN	0.038	NaN	-0.025
YGL124C	-0.074	-0.001	-0.024	-0.013	-0.205	0.012
YGL126W	-0.022	-0.005	0.068	0.138	-0.016	-0.012
YGL127C	0.008	0.014	-0.059	-0.028	-0.006	-0.027
YGL129C	NaN	NaN	NaN	NaN	NaN	NaN
YGL130W	NaN	NaN	NaN	-0.021	NaN	NaN
YGL131C	-0.003	0.013	-0.004	-0.015	0.031	0.009
YGL132W	-0.010	0.006	0.011	0.013	0.027	-0.009
YGL133W	-0.093	-0.006	0.032	0.039	0.017	0.035
YGL134W	NaN	NaN	NaN	NaN	NaN	NaN
YGL135W	0.006	-0.008	-0.033	-0.005	0.006	-0.027
YGL136C	NaN	NaN	NaN	0.045	NaN	NaN
YGL137W	NaN	-0.006	NaN	0.037	NaN	-0.111
YGL138C	NaN	0.011	NaN	0.018	NaN	0.008
YGL144C	NaN	NaN	NaN	NaN	NaN	NaN
YGL145W	NaN	NaN	NaN	NaN	NaN	NaN
YGL146C	-0.013	0.017	-0.008	0.000	-0.018	0.061
YGL147C	-0.006	-0.004	0.005	-0.010	0.023	0.007
YGL148W	0.025	-0.014	-0.048	-0.007	-0.024	0.020
YGL149W	-0.039	-0.007	-0.062	0.019	0.014	0.006
YGL150C	NaN	-0.004	NaN	0.029	NaN	-0.007
YGL151W	-0.062	-0.001	-0.115	-0.019	-0.011	-0.003
YGL152C	0.034	0.008	0.003	0.021	0.006	-0.028
YGL153W	0.018	-0.009	-0.018	-0.007	-0.007	0.000
YGL154C	-0.006	-0.001	0.006	-0.002	0.012	0.007
YGL155W	-0.003	0.004	-0.030	0.002	0.025	-0.023
YGL156W	0.009	0.006	0.002	-0.004	0.001	-0.002
YGL157W	-0.003	-0.018	0.011	-0.017	0.007	-0.012
YGL158W	-0.005	0.002	0.023	0.002	0.005	-0.005
YGL159W	NaN	-0.005	NaN	-0.016	NaN	-0.046
YGL161C	-0.003	-0.007	0.038	-0.004	-0.016	-0.003
YGL162W	-0.008	0.007	-0.011	-0.001	0.023	-0.005
YGL163C	0.056	0.007	-0.058	0.007	-0.034	-0.067
YGL164C	0.004	-0.005	0.012	-0.007	0.005	-0.022
YGL166W	-0.004	-0.005	0.008	0.013	-0.002	-0.017
YGL167C	-0.022	0.013	-0.019	0.008	-0.073	-0.098
YGL168W	0.009	0.010	-0.053	0.004	-0.054	-0.105
YGL169W	-0.009	0.014	0.038	-0.015	0.035	0.013
YGL170C	0.007	0.006	0.014	-0.007	0.008	-0.003
YGL171W	NaN	0.012	NaN	0.006	NaN	0.004
YGL172W	NaN	0.004	0.016	-0.041	0.027	0.004
YGL173C	-0.024	0.025	NaN	-0.009	NaN	0.050
YGL174W	NaN	0.011	0.040	0.065	0.017	-0.013
YGL175C	0.022	0.004	0.013	0.014	-0.033	-0.018
YGL176C	0.017	0.035	0.032	0.042	0.026	0.044
YGL177W	0.001	-0.011	0.023	-0.005	-0.005	0.001
YGL178W	NaN	NaN	NaN	NaN	NaN	NaN
YGL179C	0.024	-0.008	0.013	-0.007	-0.024	-0.023
YGL181W	0.023	0.005	0.044	0.008	0.057	0.035
YGL185C	NaN	NaN	NaN	NaN	NaN	NaN
YGL188C-A	NaN	NaN	NaN	NaN	NaN	NaN
YGL191W	NaN	NaN	NaN	NaN	NaN	NaN
YGL192W	NaN	NaN	NaN	NaN	NaN	NaN
YGL194C	-0.030	0.004	-0.022	-0.002	0.073	0.009
YGL196W	NaN	-0.000	NaN	0.019	NaN	0.046
YGL197W	-0.122	-0.004	-0.067	0.011	-0.122	-0.034
YGL198W	0.086	-0.006	0.058	0.029	-0.011	0.043
YGL199C	0.030	-0.061	0.023	0.011	0.003	-0.015
YGL201C	NaN	0.034	NaN	-0.002	NaN	-0.009
YGL206C	NaN	NaN	NaN	0.042	NaN	NaN
YGL207W	NaN	-0.035	NaN	0.044	NaN	-0.082
YGL208W	0.002	-0.002	0.029	-0.007	0.016	0.040
YGL209W	NaN	-0.061	NaN	-0.050	NaN	-0.084
YGL211W	-0.143	-0.017	0.002	-0.014	-0.105	-0.020
YGL213C	0.036	-0.040	-0.069	0.028	-0.102	-0.051
YGL214W	0.023	-0.036	-0.045	0.077	-0.044	NaN
YGL215W	-0.098	NaN	-0.118	NaN	-0.106	NaN
YGL216W	0.009	0.013	0.020	0.000	-0.011	0.026
YGL217C	0.010	-0.020	0.015	0.004	-0.018	0.029
YGL218W	0.015	0.006	-0.022	-0.001	0.037	-0.025
YGL219C	-0.043	0.006	NaN	-0.029	NaN	-0.007
YGL220W	0.023	0.023	0.011	0.065	0.047	-0.000
YGL221C	0.010	0.004	0.024	-0.010	-0.002	-0.016
YGL222C	-0.010	-0.015	0.044	0.023	0.003	-0.017
YGL223C	NaN	0.007	NaN	-0.002	NaN	-0.015
YGL226C-A	0.000	NaN	0.010	0.052	0.002	NaN
YGL226W	NaN	NaN	NaN	NaN	NaN	NaN
YGL227W	0.042	-0.002	0.003	0.008	-0.005	0.012
YGL228W	-0.016	-0.063	0.002	-0.030	-0.041	-0.024
