ORF	het | growth (relative abundance in pooled culture) | glucose limitation (glucose [2.5 g/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | nitrogen limitation (ammonium [97.6 mg/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | phosphorus limitation (phosphorus(.) [12.3 mg/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | grape juice [100%] | Delneri D~Oliver SG, 2008
YDR102C	NaN	NaN	-0.029	NaN
YDR104C	0.025	0.014	0.012	NaN
YDR107C	-0.015	NaN	-0.013	NaN
YDR109C	NaN	0.013	NaN	NaN
YDR110W	-0.027	-0.026	-0.037	NaN
YDR111C	NaN	NaN	-0.024	NaN
YDR113C	0.017	NaN	NaN	NaN
YDR114C	-0.018	-0.015	-0.042	NaN
YDR115W	-0.030	-0.036	-0.046	NaN
YDR116C	0.019	0.009	NaN	0.012
YDR118W	NaN	NaN	NaN	0.011
YDR119W	0.012	NaN	NaN	NaN
YDR121W	NaN	NaN	NaN	0.014
YDR122W	0.015	NaN	NaN	0.016
YDR128W	0.014	NaN	NaN	NaN
YDR133C	NaN	NaN	NaN	0.015
YDR137W	NaN	NaN	-0.012	NaN
YDR140W	-0.031	-0.024	-0.038	NaN
YDR141C	NaN	NaN	-0.021	NaN
YDR145W	NaN	NaN	-0.029	NaN
YDR146C	NaN	NaN	-0.016	NaN
YDR149C	NaN	0.009	NaN	NaN
YDR150W	NaN	0.007	NaN	NaN
YDR151C	NaN	0.019	NaN	0.016
YDR154C	NaN	0.011	NaN	NaN
YDR156W	-0.044	-0.020	NaN	NaN
YDR159W	0.028	0.017	NaN	NaN
YDR160W	0.013	NaN	NaN	NaN
YDR162C	NaN	-0.008	-0.020	NaN
YDR165W	NaN	NaN	-0.046	NaN
YDR166C	NaN	NaN	0.023	NaN
YDR168W	NaN	-0.015	NaN	NaN
YDR169C	NaN	NaN	0.018	NaN
YDR171W	NaN	NaN	NaN	0.014
YDR173C	NaN	0.010	NaN	NaN
YDR176W	-0.040	NaN	-0.022	NaN
YDR177W	NaN	0.008	NaN	NaN
YDR180W	0.010	0.007	NaN	NaN
YDR182W	0.013	NaN	NaN	NaN
YDR184C	-0.019	-0.031	NaN	NaN
YDR190C	0.014	NaN	NaN	0.021
YDR191W	0.022	NaN	NaN	NaN
YDR193W	NaN	0.009	NaN	NaN
YDR194C	NaN	0.008	NaN	0.018
YDR195W	NaN	0.011	NaN	NaN
YDR196C	NaN	0.008	NaN	0.016
YDR197W	NaN	NaN	-0.011	0.014
YDR201W	0.014	0.009	NaN	NaN
YDR203W	NaN	NaN	-0.019	NaN
YDR204W	-0.026	-0.030	-0.044	NaN
YDR205W	-0.041	-0.025	-0.042	NaN
YDR207C	NaN	-0.014	-0.020	NaN
YDR208W	NaN	0.018	NaN	NaN
YDR209C	0.016	0.012	0.012	0.016
YDR210W	NaN	NaN	-0.011	NaN
YDR213W	NaN	0.008	NaN	NaN
YDR218C	NaN	0.009	NaN	0.013
YDR220C	NaN	NaN	-0.010	NaN
YDR221W	NaN	NaN	-0.024	NaN
YDR224C	0.012	-0.031	-0.009	NaN
YDR227W	NaN	0.013	0.019	NaN
YDR228C	0.010	-0.008	-0.044	0.013
YDR232W	0.024	0.011	0.008	NaN
YDR233C	-0.020	-0.011	-0.023	NaN
YDR234W	NaN	NaN	-0.024	NaN
YDR235W	NaN	NaN	0.011	0.012
YDR236C	NaN	NaN	NaN	0.013
YDR238C	-0.078	-0.078	-0.019	-0.022
YDR239C	NaN	NaN	-0.015	NaN
YDR240C	0.014	0.008	0.018	-0.018
YDR245W	-0.015	NaN	NaN	NaN
YDR246W	0.017	NaN	NaN	0.023
YDR247W	NaN	0.006	-0.017	NaN
YDR249C	NaN	NaN	-0.016	NaN
YDR250C	NaN	0.009	NaN	NaN
YDR251W	-0.020	NaN	-0.029	NaN
YDR253C	-0.022	NaN	-0.023	NaN
YDR254W	NaN	-0.030	-0.041	NaN
YDR256C	NaN	NaN	-0.026	NaN
YDR257C	-0.015	-0.021	-0.014	NaN
YDR258C	NaN	NaN	-0.020	NaN
YDR259C	NaN	0.007	NaN	NaN
YDR260C	NaN	NaN	NaN	0.014
YDR262W	-0.024	-0.028	-0.044	NaN
YDR263C	NaN	NaN	-0.033	NaN
YDR264C	-0.062	-0.039	-0.018	NaN
YDR265W	0.019	NaN	NaN	NaN
YDR267C	NaN	NaN	-0.016	NaN
YDR269C	0.017	NaN	NaN	0.020
YDR274C	0.015	NaN	NaN	NaN
YDR276C	NaN	NaN	-0.015	NaN
YDR277C	0.019	NaN	NaN	NaN
YDR278C	NaN	NaN	-0.015	NaN
YDR282C	0.020	NaN	NaN	NaN
YDR290W	0.019	NaN	NaN	NaN
YDR293C	NaN	0.022	0.039	NaN
YDR295C	0.017	NaN	0.023	NaN
YDR296W	NaN	NaN	-0.016	NaN
YDR297W	NaN	0.011	NaN	NaN
YDR298C	NaN	NaN	-0.011	NaN
YDR300C	-0.084	-0.074	NaN	NaN
YDR301W	NaN	0.013	0.016	NaN
YDR302W	-0.040	-0.015	NaN	NaN
YDR304C	NaN	0.007	NaN	NaN
YDR312W	NaN	0.010	NaN	NaN
YDR314C	NaN	NaN	-0.015	NaN
YDR318W	NaN	0.010	NaN	NaN
YDR320C	NaN	NaN	-0.014	NaN
YDR321W	NaN	NaN	-0.012	NaN
YDR323C	NaN	NaN	-0.014	NaN
YDR324C	NaN	0.009	0.019	NaN
YDR325W	0.019	NaN	NaN	NaN
YDR326C	NaN	0.006	NaN	NaN
YDR327W	NaN	0.008	-0.016	NaN
YDR328C	0.014	NaN	NaN	NaN
YDR329C	NaN	0.009	NaN	NaN
YDR330W	NaN	NaN	-0.013	NaN
YDR332W	NaN	NaN	-0.014	NaN
YDR334W	0.015	NaN	NaN	NaN
YDR335W	-0.047	-0.040	-0.058	NaN
YDR336W	NaN	-0.019	NaN	NaN
YDR337W	0.024	NaN	NaN	NaN
YDR345C	NaN	NaN	NaN	0.021
YDR346C	0.017	0.020	NaN	0.014
YDR347W	NaN	0.010	NaN	NaN
YDR348C	NaN	-0.027	NaN	NaN
YDR349C	-0.021	NaN	-0.026	NaN
YDR350C	NaN	NaN	-0.016	NaN
YDR357C	0.038	0.016	NaN	NaN
YDR359C	NaN	0.012	NaN	NaN
YDR360W	0.020	NaN	0.018	NaN
YDR361C	NaN	0.007	NaN	NaN
YDR362C	-0.012	NaN	-0.019	NaN
YDR367W	0.027	0.014	NaN	NaN
YDR371W	-0.014	NaN	-0.016	NaN
YDR373W	NaN	0.009	NaN	NaN
YDR377W	-0.026	-0.032	-0.019	NaN
YDR378C	NaN	0.013	NaN	NaN
YDR381W	NaN	0.014	NaN	NaN
YDR384C	-0.035	-0.055	-0.065	NaN
YDR385W	0.019	0.022	NaN	NaN
YDR388W	-0.020	-0.040	-0.017	NaN
YDR389W	NaN	-0.028	-0.037	NaN
YDR394W	NaN	0.015	0.022	0.016
YDR395W	NaN	0.010	NaN	NaN
YDR396W	NaN	0.017	NaN	NaN
YDR397C	NaN	0.014	NaN	NaN
YDR398W	NaN	NaN	0.027	NaN
YDR399W	NaN	0.014	NaN	NaN
YDR400W	0.016	NaN	NaN	NaN
YDR404C	NaN	-0.062	-0.073	NaN
YDR405W	NaN	0.011	NaN	NaN
YDR407C	0.016	0.012	NaN	NaN
YDR410C	0.025	NaN	NaN	NaN
YDR413C	NaN	0.010	NaN	NaN
YDR415C	NaN	NaN	-0.018	NaN
YDR417C	NaN	NaN	NaN	0.019
YDR418W	0.055	NaN	-0.022	0.017
YDR420W	0.014	0.014	NaN	0.015
YDR425W	0.017	0.008	-0.016	NaN
YDR426C	NaN	-0.010	-0.033	NaN
YDR427W	NaN	0.028	-0.009	NaN
YDR428C	0.014	NaN	NaN	NaN
YDR429C	-0.014	NaN	NaN	0.017
YDR430C	NaN	0.006	-0.008	NaN
YDR432W	NaN	-0.012	-0.018	NaN
YDR436W	NaN	0.011	NaN	NaN
YDR437W	NaN	0.033	NaN	NaN
YDR438W	NaN	-0.015	NaN	NaN
YDR439W	NaN	-0.015	-0.030	NaN
YDR440W	0.024	0.021	0.015	0.013
YDR443C	NaN	0.013	NaN	NaN
YDR444W	NaN	0.014	NaN	NaN
YDR446W	NaN	0.015	NaN	NaN
YDR450W	-0.059	-0.052	-0.057	NaN
YDR454C	NaN	-0.031	-0.044	NaN
YDR457W	NaN	0.013	-0.012	NaN
YDR459C	NaN	0.011	NaN	NaN
YDR460W	NaN	0.009	NaN	NaN
YDR461W	NaN	NaN	-0.024	NaN
YDR463W	0.028	0.016	0.015	NaN
YDR464W	0.023	NaN	NaN	NaN
YDR465C	NaN	NaN	NaN	0.017
YDR467C	-0.035	NaN	-0.035	NaN
YDR468C	NaN	-0.012	-0.022	NaN
YDR469W	-0.075	-0.065	-0.122	-0.026
YDR470C	NaN	NaN	-0.032	NaN
YDR473C	0.022	0.018	NaN	NaN
YDR475C	-0.005	-0.047	-0.084	-0.021
YDR476C	NaN	0.011	NaN	NaN
YDR479C	0.028	0.021	NaN	NaN
YDR481C	-0.047	-0.046	-0.095	-0.024
YDR482C	NaN	0.012	NaN	NaN
YDR484W	NaN	-0.033	-0.021	NaN
YDR486C	NaN	NaN	-0.019	NaN
YDR487C	-0.049	-0.046	-0.097	NaN
YDR490C	NaN	NaN	-0.024	NaN
YDR491C	NaN	NaN	NaN	0.011
YDR494W	0.014	0.016	NaN	NaN
YDR495C	NaN	0.015	NaN	-0.021
YDR496C	NaN	0.012	NaN	NaN
YDR497C	NaN	NaN	NaN	0.017
YDR498C	NaN	NaN	-0.016	NaN
YDR499W	NaN	0.013	NaN	NaN
YDR500C	NaN	0.018	NaN	NaN
YDR502C	NaN	0.012	NaN	0.011
YDR504C	0.014	NaN	NaN	0.012
YDR505C	0.036	-0.028	NaN	NaN
YDR506C	0.017	0.021	NaN	NaN
YDR511W	0.017	NaN	NaN	NaN
YDR512C	0.015	0.011	NaN	NaN
YDR513W	0.023	NaN	NaN	NaN
YDR515W	NaN	NaN	-0.014	NaN
YDR516C	0.035	0.018	0.022	NaN
YDR517W	NaN	0.010	NaN	NaN
YDR520C	-0.012	NaN	-0.016	NaN
YDR521W	NaN	NaN	-0.020	NaN
YDR522C	-0.012	NaN	-0.027	NaN
YDR523C	NaN	-0.011	NaN	NaN
YDR525W	NaN	-0.010	-0.014	NaN
YDR525W-A	0.032	0.012	NaN	NaN
YDR526C	NaN	0.008	NaN	0.012
YDR527W	NaN	0.007	NaN	NaN
YDR529C	NaN	NaN	NaN	0.014
YDR531W	NaN	-0.022	-0.031	NaN
YDR532C	NaN	0.024	0.017	0.017
YDR536W	NaN	0.010	NaN	NaN
YDR538W	0.012	0.009	NaN	0.016
YEL004W	NaN	NaN	-0.011	NaN
YEL008W	-0.020	-0.023	-0.032	NaN
YEL009C	NaN	-0.016	NaN	NaN
YEL012W	NaN	0.011	NaN	0.013
YEL013W	0.023	0.025	NaN	0.013
YEL014C	NaN	0.015	NaN	0.011
YEL015W	NaN	-0.017	-0.015	NaN
YEL017C-A	NaN	NaN	-0.024	NaN
YEL017W	-0.026	-0.056	NaN	-0.020
YEL024W	-0.032	NaN	NaN	NaN
YEL027W	-0.108	-0.068	-0.032	-0.016
YEL028W	NaN	0.013	NaN	NaN
YEL031W	NaN	0.008	NaN	NaN
YEL032W	NaN	NaN	-0.019	NaN
YEL033W	NaN	NaN	0.021	NaN
YEL034W	NaN	NaN	0.028	NaN
YEL035C	NaN	NaN	0.031	NaN
YEL036C	-0.044	-0.059	-0.025	NaN
YEL037C	-0.016	NaN	NaN	NaN
YEL039C	NaN	-0.013	-0.018	NaN
YEL045C	0.013	NaN	NaN	NaN
YEL046C	0.020	NaN	NaN	NaN
YEL048C	NaN	NaN	-0.011	NaN
YEL050C	-0.014	-0.011	-0.019	NaN
YEL051W	0.021	NaN	NaN	NaN
YEL057C	-0.015	-0.008	-0.011	NaN
YEL059W	-0.027	-0.014	NaN	NaN
YEL060C	0.023	0.024	NaN	NaN
YEL068C	0.014	NaN	0.020	NaN
YEL071W	NaN	0.008	NaN	NaN
YEL072W	0.018	0.021	0.013	0.012
YER001W	NaN	NaN	0.017	0.010
YER003C	NaN	NaN	0.014	NaN
YER006W	-0.016	-0.010	NaN	NaN
YER012W	-0.017	0.010	NaN	NaN
YER014C-A	NaN	NaN	0.017	NaN
YER017C	NaN	-0.007	0.023	NaN
YER018C	NaN	NaN	0.022	0.012
YER019C-A	NaN	NaN	0.011	NaN
YER019W	NaN	NaN	0.012	NaN
YER020W	0.020	-0.006	NaN	NaN
YER021W	NaN	0.030	0.026	NaN
YER022W	-0.019	-0.035	NaN	NaN
YER023W	NaN	0.010	0.029	NaN
YER024W	NaN	NaN	0.022	NaN
YER025W	NaN	NaN	NaN	0.014
YER027C	NaN	NaN	NaN	0.011
YER028C	0.017	0.013	NaN	0.014
YER030W	NaN	NaN	0.025	NaN
YER032W	NaN	0.013	0.042	NaN
YER033C	NaN	NaN	0.024	NaN
YER035W	NaN	NaN	0.023	NaN
YER036C	0.014	NaN	0.039	NaN
YER037W	0.023	0.010	0.015	0.011
YER038C	NaN	NaN	0.031	NaN
YER038W-A	-0.057	-0.050	-0.069	-0.024
YER039C	NaN	NaN	0.022	NaN
YER040W	NaN	-0.041	0.027	NaN
YER041W	NaN	NaN	0.033	NaN
YER044C	NaN	NaN	0.030	NaN
YER044C-A	NaN	NaN	0.025	NaN
YER045C	0.016	0.010	0.034	NaN
YER046W	NaN	NaN	0.017	0.013
YER046W-A	NaN	NaN	0.012	NaN
YER048C	0.011	0.010	0.018	0.015
YER048W-A	NaN	NaN	NaN	0.012
YER049W	NaN	-0.048	NaN	NaN
YER050C	NaN	NaN	0.024	NaN
YER051W	NaN	NaN	0.037	NaN
YER052C	NaN	NaN	0.029	NaN
YER053C	0.019	0.017	0.032	NaN
YER054C	0.020	0.016	0.021	NaN
YER055C	NaN	0.013	0.032	NaN
YER056C	-0.025	-0.062	-0.055	-0.026
YER056C-A	0.014	NaN	0.023	NaN
YER057C	NaN	0.008	0.036	NaN
YER059W	-0.014	NaN	NaN	NaN
YER060W	NaN	NaN	0.033	NaN
YER060W-A	NaN	NaN	0.020	NaN
YER061C	NaN	0.017	0.029	0.011
YER062C	0.014	NaN	0.044	NaN
YER066W	-0.017	NaN	NaN	NaN
YER068C-A	NaN	NaN	NaN	0.014
YER068W	-0.026	-0.010	NaN	NaN
YER069W	-0.034	-0.031	-0.031	NaN
YER070W	NaN	0.009	NaN	NaN
YER071C	NaN	NaN	0.012	NaN
YER072W	0.016	0.010	NaN	0.011
YER074W	0.013	NaN	0.019	NaN
YER075C	NaN	-0.013	NaN	NaN
YER081W	0.012	0.008	NaN	NaN
YER087C-B	0.010	0.010	0.015	NaN
YER087W	NaN	0.008	NaN	NaN
YER088C	NaN	-0.038	NaN	NaN
YER091C	NaN	0.008	0.013	NaN
YER091C-A	NaN	NaN	NaN	0.017
YER092W	NaN	0.011	NaN	NaN
YER093C	NaN	NaN	0.032	NaN
YER094C	NaN	-0.010	NaN	NaN
YER095W	NaN	-0.016	NaN	NaN
YER098W	0.013	0.008	NaN	0.014
YER101C	0.020	0.015	NaN	NaN
YER104W	NaN	NaN	0.024	NaN
YER106W	0.016	NaN	0.025	NaN
YER107C	0.017	0.014	0.030	NaN
YER110C	NaN	NaN	0.011	NaN
YER111C	0.024	0.010	0.037	NaN
YER112W	0.011	0.018	0.028	NaN
YER113C	NaN	NaN	0.026	NaN
YER115C	0.013	0.009	0.023	NaN
YER116C	-0.067	-0.118	-0.086	-0.033
YER117W	NaN	NaN	0.040	NaN
YER118C	NaN	0.015	0.025	0.014
YER119C	NaN	NaN	NaN	0.016
YER119C-A	NaN	0.010	0.018	NaN
YER121W	NaN	NaN	0.030	NaN
YER122C	-0.022	NaN	0.035	NaN
YER123W	NaN	NaN	0.038	NaN
YER124C	NaN	NaN	0.023	NaN
YER125W	0.045	-0.014	0.040	NaN
YER126C	NaN	NaN	0.029	NaN
YER128W	0.016	0.010	0.032	0.013
YER129W	NaN	NaN	0.027	NaN
YER130C	NaN	0.017	0.036	0.011
YER131W	0.014	NaN	NaN	NaN
YER132C	NaN	NaN	0.021	NaN
YER133W	-0.029	-0.048	-0.026	NaN
YER135C	NaN	0.017	0.028	NaN
YER136W	NaN	NaN	0.026	NaN
YER137C	NaN	NaN	0.019	NaN
YER140W	NaN	NaN	0.031	NaN
YER141W	NaN	NaN	0.019	NaN
YER142C	NaN	NaN	0.024	NaN
YER143W	0.020	0.009	0.014	NaN
YER145C	-0.050	-0.019	NaN	NaN
YER146W	NaN	NaN	0.022	NaN
YER148W	0.021	-0.012	NaN	NaN
YER149C	NaN	NaN	-0.011	NaN
YER150W	0.011	0.010	0.014	NaN
YER151C	0.014	0.017	NaN	NaN
YER152C	NaN	0.011	NaN	NaN
YER154W	NaN	NaN	0.016	NaN
YER155C	NaN	0.025	0.021	NaN
YER156C	NaN	NaN	NaN	0.013
YER157W	NaN	NaN	0.044	NaN
YER158C	-0.031	-0.016	-0.034	NaN
YER161C	NaN	0.008	NaN	NaN
YER162C	0.022	0.043	0.024	0.016
YER163C	-0.016	NaN	NaN	NaN
YER164W	NaN	0.037	0.017	0.014
YER165W	NaN	-0.066	-0.028	0.016
YER166W	-0.029	-0.014	-0.025	NaN
YER171W	0.018	NaN	NaN	0.015
YER172C	-0.043	-0.055	-0.058	NaN
YER173W	0.019	-0.035	0.035	NaN
YER177W	-0.052	-0.064	-0.094	-0.017
YER178W	0.015	0.016	NaN	0.017
YER180C	-0.016	NaN	-0.015	NaN
YER183C	NaN	NaN	NaN	0.013
YER185W	0.012	0.010	NaN	NaN
YER186C	NaN	0.027	NaN	NaN
YER187W	0.011	0.010	NaN	0.015
YER188W	NaN	-0.017	-0.017	0.017
YFL009W	NaN	NaN	-0.018	NaN
YFL010C	-0.082	-0.065	-0.155	-0.022
YFL012W-A	0.016	0.015	NaN	NaN
YFL014W	NaN	NaN	-0.016	NaN
YFL016C	NaN	NaN	-0.017	NaN
YFL017W-A	NaN	NaN	NaN	-0.020
YFL021W	NaN	-0.058	-0.043	-0.037
YFL023W	0.022	NaN	NaN	NaN
YFL025C	NaN	-0.019	-0.037	NaN
YFL026W	NaN	0.007	NaN	NaN
YFL027C	0.021	NaN	NaN	NaN
YFL029C	-0.040	-0.054	-0.054	NaN
YFL031W	0.014	0.016	NaN	NaN
YFL033C	-0.019	NaN	-0.017	NaN
YFL034C-B	NaN	-0.040	-0.031	NaN
YFL037W	NaN	-0.012	-0.033	NaN
YFL038C	-0.021	-0.015	-0.023	NaN
YFL040W	NaN	NaN	-0.020	NaN
YFL042C	NaN	NaN	-0.015	NaN
YFL044C	0.019	NaN	NaN	NaN
YFL047W	0.022	0.012	0.016	NaN
YFL049W	-0.022	-0.016	-0.040	-0.014
YFL050C	0.016	NaN	NaN	NaN
YFL051C	NaN	NaN	-0.023	NaN
YFL053W	NaN	NaN	NaN	-0.019
YFL055W	NaN	NaN	NaN	-0.020
YFL060C	-0.030	NaN	-0.027	-0.024
YFL063W	NaN	0.009	-0.018	NaN
YFR002W	NaN	0.016	0.022	NaN
YFR004W	NaN	0.020	-0.029	NaN
YFR006W	NaN	NaN	-0.011	NaN
YFR009W	NaN	NaN	-0.019	NaN
YFR011C	NaN	NaN	-0.011	NaN
YFR013W	NaN	NaN	-0.020	NaN
YFR015C	NaN	NaN	-0.012	NaN
YFR017C	NaN	0.008	NaN	NaN
YFR024C-A	0.018	0.014	-0.013	NaN
YFR026C	-0.020	-0.010	-0.033	NaN
YFR027W	NaN	NaN	-0.015	NaN
YFR029W	NaN	NaN	-0.027	NaN
YFR031C	NaN	NaN	-0.015	NaN
YFR031C-A	0.012	0.012	NaN	NaN
YFR032C	NaN	NaN	-0.010	NaN
YFR034C	NaN	0.007	NaN	NaN
YFR035C	NaN	NaN	-0.011	0.011
YFR036W	NaN	NaN	NaN	0.012
YFR037C	NaN	-0.065	0.014	NaN
YFR039C	0.020	NaN	NaN	NaN
YFR040W	NaN	NaN	-0.028	NaN
YFR043C	NaN	-0.014	-0.029	NaN
YFR044C	0.015	0.013	0.010	NaN
YFR045W	0.014	0.012	0.015	NaN
YFR047C	NaN	NaN	-0.018	NaN
YFR049W	NaN	0.014	NaN	NaN
YFR050C	NaN	0.031	NaN	NaN
YFR051C	-0.086	-0.082	-0.040	NaN
YFR052W	NaN	0.027	NaN	NaN
YFR054C	0.023	0.013	NaN	NaN
YFR055W	NaN	-0.022	NaN	-0.020
YGL003C	0.024	0.018	NaN	NaN
YGL007W	0.017	0.012	-0.022	NaN
YGL008C	0.017	0.009	NaN	0.021
YGL011C	-0.016	0.010	NaN	NaN
YGL012W	-0.037	-0.023	NaN	NaN
YGL014W	NaN	NaN	-0.015	NaN
YGL016W	NaN	NaN	NaN	0.015
YGL017W	NaN	NaN	-0.018	NaN
YGL019W	-0.038	-0.034	-0.026	NaN
YGL021W	NaN	0.008	NaN	0.011
YGL022W	NaN	NaN	-0.018	NaN
YGL024W	-0.023	-0.056	-0.035	NaN
YGL025C	-0.030	-0.050	-0.028	NaN
YGL026C	NaN	NaN	-0.016	NaN
YGL027C	NaN	-0.026	-0.033	NaN
YGL029W	NaN	NaN	NaN	0.012
YGL030W	0.030	NaN	NaN	NaN
YGL031C	NaN	-0.009	-0.018	NaN
YGL033W	NaN	NaN	-0.022	NaN
YGL038C	NaN	NaN	NaN	0.013
YGL043W	NaN	NaN	-0.013	NaN
YGL047W	NaN	0.009	NaN	0.014
YGL048C	NaN	0.029	NaN	0.016
YGL050W	NaN	NaN	-0.038	NaN
YGL051W	NaN	NaN	-0.020	NaN
YGL055W	0.015	0.011	-0.012	NaN
YGL058W	-0.028	-0.051	-0.065	NaN
YGL059W	0.011	0.009	NaN	NaN
YGL060W	-0.014	NaN	NaN	NaN
YGL063W	0.020	0.024	NaN	NaN
YGL065C	NaN	0.009	NaN	NaN
YGL067W	-0.014	NaN	-0.025	NaN
YGL069C	NaN	NaN	NaN	0.013
YGL070C	-0.033	-0.071	NaN	NaN
YGL071W	-0.068	-0.035	-0.112	NaN
YGL072C	NaN	0.015	NaN	NaN
YGL073W	NaN	NaN	0.025	NaN
YGL074C	NaN	0.014	NaN	0.010
YGL076C	NaN	NaN	NaN	0.011
YGL077C	NaN	NaN	-0.017	NaN
YGL080W	NaN	0.011	NaN	0.020
YGL083W	NaN	NaN	-0.010	NaN
YGL084C	NaN	0.009	NaN	NaN
YGL087C	0.077	0.019	NaN	NaN
YGL090W	0.021	0.009	0.019	NaN
YGL092W	-0.018	NaN	-0.041	NaN
YGL093W	-0.057	-0.108	NaN	NaN
YGL094C	NaN	NaN	-0.022	NaN
YGL095C	0.013	NaN	NaN	NaN
YGL096W	NaN	NaN	-0.014	0.013
YGL098W	NaN	NaN	NaN	0.017
YGL099W	NaN	NaN	NaN	0.020
YGL102C	NaN	NaN	NaN	0.012
YGL103W	NaN	NaN	NaN	0.020
YGL108C	0.023	NaN	0.034	NaN
YGL110C	-0.032	-0.029	-0.088	-0.017
YGL112C	NaN	0.022	NaN	NaN
YGL114W	NaN	0.012	NaN	NaN
YGL115W	NaN	0.018	NaN	0.014
YGL121C	0.011	0.018	NaN	0.013
YGL124C	NaN	0.012	NaN	NaN
YGL125W	0.024	NaN	NaN	NaN
YGL126W	NaN	NaN	NaN	0.012
YGL130W	0.016	0.008	NaN	NaN
YGL131C	0.015	0.009	-0.025	0.014
YGL132W	0.016	0.015	-0.014	NaN
YGL133W	0.012	0.014	-0.031	NaN
YGL135W	0.036	0.020	NaN	0.012
YGL137W	-0.015	-0.019	NaN	NaN
YGL138C	-0.045	-0.052	-0.072	-0.016
YGL139W	NaN	NaN	NaN	0.015
YGL143C	NaN	-0.027	NaN	NaN
YGL146C	NaN	0.020	NaN	0.013
YGL148W	-0.019	-0.015	-0.022	NaN
YGL149W	0.026	NaN	NaN	NaN
YGL150C	-0.029	-0.077	-0.079	NaN
YGL153W	0.013	0.010	NaN	0.018
YGL154C	NaN	NaN	NaN	0.015
YGL155W	0.012	NaN	NaN	0.016
YGL156W	NaN	NaN	NaN	0.011
YGL157W	NaN	NaN	-0.013	NaN
YGL159W	0.014	0.012	NaN	NaN
YGL161C	NaN	NaN	NaN	0.016
YGL164C	NaN	NaN	NaN	0.020
YGL166W	NaN	NaN	NaN	0.017
YGL167C	NaN	NaN	NaN	0.019
YGL168W	0.013	NaN	NaN	NaN
YGL169W	NaN	0.011	NaN	0.020
YGL172W	NaN	NaN	NaN	0.017
YGL173C	NaN	-0.023	-0.021	NaN
YGL174W	0.042	0.019	0.021	NaN
YGL175C	NaN	NaN	-0.013	NaN
YGL177W	0.021	0.016	NaN	NaN
YGL194C	NaN	-0.008	-0.031	NaN
YGL196W	NaN	NaN	-0.034	NaN
YGL197W	NaN	NaN	-0.024	NaN
YGL198W	-0.027	-0.026	NaN	NaN
YGL199C	0.015	0.008	-0.015	NaN
YGL208W	-0.011	NaN	-0.016	NaN
YGL209W	-0.045	-0.031	-0.031	NaN
YGL212W	NaN	NaN	-0.017	NaN
YGL214W	0.013	NaN	NaN	0.017
YGL217C	NaN	NaN	-0.013	NaN
YGL218W	0.017	NaN	NaN	NaN
YGL219C	NaN	0.007	NaN	0.012
YGL228W	NaN	-0.026	NaN	NaN
YGL232W	NaN	0.017	0.033	NaN
YGL235W	0.015	0.010	NaN	0.010
YGL238W	NaN	NaN	-0.019	-0.020
YGL239C	-0.008	NaN	-0.014	NaN
YGL242C	NaN	0.017	NaN	NaN
YGL245W	NaN	NaN	NaN	-0.019
YGL246C	NaN	NaN	-0.018	NaN
YGL247W	NaN	0.008	-0.010	NaN
YGL249W	NaN	-0.014	-0.049	NaN
YGL252C	-0.014	NaN	-0.017	NaN
YGL253W	-0.048	-0.057	-0.098	NaN
YGL255W	NaN	NaN	NaN	0.013
YGL256W	NaN	NaN	-0.030	NaN
YGL257C	0.020	0.010	NaN	NaN
YGL259W	NaN	0.013	NaN	NaN
YGL260W	NaN	NaN	-0.016	NaN
YGL261C	NaN	0.013	NaN	NaN
YGL262W	0.014	0.011	NaN	0.016
YGR003W	NaN	0.007	-0.011	NaN
YGR004W	NaN	NaN	-0.015	NaN
YGR006W	NaN	0.009	NaN	NaN
YGR011W	0.009	0.014	NaN	0.010
YGR016W	NaN	NaN	-0.016	NaN
YGR018C	NaN	NaN	-0.010	NaN
YGR019W	NaN	0.007	NaN	NaN
YGR020C	NaN	NaN	-0.017	NaN
YGR022C	0.014	0.014	-0.007	0.011
YGR025W	0.010	NaN	-0.016	0.011
YGR029W	0.011	0.012	0.011	NaN
YGR031W	-0.018	NaN	-0.021	NaN
YGR033C	NaN	0.012	NaN	NaN
YGR035C	NaN	NaN	-0.020	NaN
YGR036C	NaN	NaN	NaN	0.017
YGR039W	NaN	NaN	-0.015	NaN
YGR044C	NaN	0.011	NaN	NaN
YGR045C	NaN	NaN	-0.021	NaN
YGR047C	NaN	NaN	-0.022	NaN
YGR048W	0.017	0.020	0.017	NaN
YGR050C	-0.022	-0.040	NaN	NaN
YGR052W	NaN	0.011	NaN	NaN
YGR053C	NaN	0.016	NaN	NaN
YGR054W	0.016	0.012	NaN	-0.019
YGR055W	NaN	0.007	NaN	NaN
YGR056W	-0.033	NaN	NaN	NaN
YGR057C	NaN	0.012	NaN	NaN
YGR060W	0.028	NaN	NaN	NaN
YGR061C	NaN	0.020	NaN	NaN
YGR064W	NaN	NaN	-0.020	NaN
YGR065C	0.023	0.017	0.022	NaN
YGR067C	NaN	0.010	NaN	NaN
YGR068C	NaN	-0.022	NaN	NaN
YGR069W	NaN	0.009	NaN	NaN
YGR074W	NaN	0.009	NaN	NaN
