orf	hap alpha | expression of torsinA-delE | standard | SC - Leu + 5-FOA + Gal | Zacchi LF~Bernstein KA, 2017
YBR260C	-0.07672088867509506
YBR261C	2.1759109791933757
YBR262C	-0.6874200477516114
YBR263W	0.1789771531949171
YBR266C	0.37866135559058944
YBR267W	-1.7317978868842663
YBR271W	-0.8643021600646843
YBR273C	-1.8444265586290223
YBR274W	-2.0912719180731636
YBR277C	0.7597595225787923
YBR278W	-0.8526896569071687
YBR279W	-0.5750191000604169
YBR281C	0.17364629594383
YBR282W	-0.1432090239584628
YBR283C	-0.4290117131768721
YBR284W	-0.803271033852795
YBR286W	0.4614705723287891
YBR290W	0.33851550535892505
YBR291C	0.06369352342825613
YBR293W	0.11173229045976846
YBR295W	0.26648312077900244
YBR296C	-0.0071344504937715745
YBR297W	0.2620063038563844
YBR298C	0.43803002531541835
YBR300C	0.0997037247871512
YCL001W	-0.47873986470856683
YCL001W-A	0.5751938606429197
YCL002C	-0.46382429786315926
YCL004W	-0.46087317861816657
YCL005W	-0.003294073566537366
YCL007C	-0.053307452187630076
YCL008C	1.1367153096378608
YCL009C	0.7903815694974491
YCL011C	-0.03644964093817933
YCL014W	-0.3812781531859146
YCL016C	-0.1409173208844559
YCL022C	0.7876886977916524
YCL023C	-0.1593615821931544
YCL024W	0.4039810903424776
YCL025C	-0.8128032207602415
YCL026C-A	0.21088572641340242
YCL027W	0.8459724242108181
YCL028W	0.2456787222678367
YCL029C	0.22626761259738615
YCL030C	-0.822947819453689
YCL032W	0.20099987190380464
YCL033C	0.5399589093896674
YCL034W	-0.5932638696855213
YCL036W	0.49117031084112317
YCL038C	0.07014678043090194
YCL039W	-0.5808034119971347
YCL040W	-0.43430048979478525
YCL042W	0.03834140139418892
YCL044C	-0.02284308757110783
YCL045C	0.005027517303931959
YCL046W	-0.5776205118686525
