ORF	hap a | expression level of a gene (PHO84pr-YFP) | inorganic phosphate [50 uM] | Choi J~O'Shea EK, 2017	hap a | expression level of a gene (PHO84pr-YFP) | inorganic phosphate [1 mM] | Choi J~O'Shea EK, 2017
YCL037C	-0.105	0.061
YCL038C	0.139	0.083
YCL039W	0.167	-0.019
YCL040W	-0.718	-0.193
YCL041C	-0.046	-0.115
YCL042W	0.321	-0.031
YCL044C	-0.234	-0.040
YCL045C	-0.393	-0.273
YCL046W	0.423	-0.284
YCL047C	0.491	-0.068
YCL048W	-0.044	-0.022
YCL049C	0.263	0.010
YCL050C	-0.069	0.100
YCL055W	-0.220	-0.079
YCL056C	-0.331	0.003
YCL057C-A	0.040	-0.016
YCL057W	0.305	0.075
YCL061C	0.585	0.000
YCL063W	0.322	0.042
YCL064C	0.141	0.162
YCL069W	-0.152	0.026
YCL074W	0.326	0.116
YCL075W	0.318	0.074
YCL076W	0.139	0.270
YCR001W	-0.495	-0.184
YCR003W	0.944	-0.182
YCR004C	0.035	0.015
YCR005C	0.637	0.190
YCR006C	0.254	0.187
YCR007C	0.160	0.046
YCR008W	0.003	-0.459
YCR009C	0.520	0.151
YCR010C	-0.363	0.066
YCR011C	-0.057	0.093
YCR014C	0.150	0.045
YCR015C	-0.199	-0.159
YCR016W	-0.659	-0.057
YCR017C	0.125	-0.016
YCR019W	-0.500	0.017
YCR020C	0.118	0.286
YCR020C-A	0.222	-0.072
YCR020W-B	NaN	0.215
YCR021C	-0.037	0.074
YCR022C	0.115	0.041
YCR023C	-0.027	0.006
YCR024C	1.290	1.835
YCR024C-A	0.086	0.076
YCR025C	-0.018	0.063
YCR026C	0.403	-0.076
YCR028C-A	0.405	-0.025
YCR030C	-0.194	-0.142
YCR031C	0.643	-0.082
YCR032W	-0.142	-0.020
YCR033W	NaN	-0.245
YCR034W	0.700	0.166
YCR036W	0.087	0.091
YCR037C	-0.183	1.653
YCR043C	-0.006	0.066
YCR044C	1.106	-0.206
YCR045C	0.371	-0.051
YCR046C	0.601	0.056
YCR047C	-1.427	0.232
YCR048W	-0.277	-0.076
YCR049C	0.098	0.011
YCR050C	0.203	-0.017
YCR051W	-0.909	-0.123
YCR053W	0.117	0.172
YCR059C	0.034	0.068
YCR060W	-0.207	-0.055
YCR061W	0.078	0.309
YCR063W	-1.238	-0.670
YCR065W	-0.794	0.315
YCR066W	0.367	-0.006
YCR067C	-0.063	NaN
YCR068W	0.565	0.093
YCR069W	-0.490	-0.054
YCR071C	0.552	0.216
YCR073C	-0.211	0.046
YCR073W-A	-0.488	0.093
YCR075C	-0.201	0.011
YCR075W-A	1.327	-0.312
YCR076C	0.003	0.201
YCR077C	0.266	-0.002
YCR079W	1.619	0.256
YCR082W	0.017	0.174
YCR083W	-0.464	-0.034
