orf	hap a | cell conductivity | electric field [300 kHz] | YPD + G418 [100 ug/ml] | Vahey MD~Voldman J, 2013	hap a | cell conductivity | electric field [10 MHz] | YPD + G418 [100 ug/ml] | Vahey MD~Voldman J, 2013
YDR215C	0.4802	0.0478
YDR216W	0.9465	0.8459
YDR217C	0.5512	0.7586
YDR218C	0.152	-0.0878
YDR219C	0.2455	-0.3535
YDR220C	0.2072	0.0068
YDR221W	-0.0408	0.2877
YDR223W	-0.3215	0.3469
YDR225W	0.0085	-0.1829
YDR226W	-0.9768	0.3642
YDR227W	0.2694	-0.3399
YDR229W	0.1239	0.4262
YDR230W	0.6684	-0.5537
YDR231C	0.4053	-0.9507
YDR233C	0.167	-0.0828
YDR234W	-0.329	0.2209
YDR237W	0.1767	-0.3755
YDR239C	0.7664	0.0818
YDR241W	-0.6239	-0.4558
YDR242W	0.1623	-0.0888
YDR244W	-0.0254	-0.0218
YDR245W	-0.3587	
YDR247W	-0.0878	0.2639
YDR248C	-0.0021	-0.1992
YDR249C	0.1314	0.015
YDR250C	-0.0078	0.1347
YDR251W	0.6159	0.4678
YDR252W	-0.1565	0.167
YDR253C	0.0356	-0.0279
YDR254W	0.0864	0.4913
YDR255C	0.3165	0.2077
YDR256C	0.0296	0.4002
YDR257C	-0.0657	0.483
YDR258C	0.6616	0.2362
YDR259C	-0.4179	0.0601
YDR260C		-0.1084
YDR261C	0.2102	0.2875
YDR262W	0.0036	0.161
YDR263C	0.2998	-0.114
YDR265W	-0.0599	0.5358
YDR266C	-0.1415	0.05
YDR269C	-0.081	-0.0563
YDR270W	0.2082	0.0657
YDR271C	-0.0071	0.0511
YDR272W	0.135	0.5055
YDR273W	0.4841	0.0485
YDR274C	0.2605	0.1414
YDR275W	-0.0313	0.0463
YDR277C	0.9605	0.4406
YDR278C	-0.2326	0.0283
YDR279W	0.5005	0.0798
YDR281C	0.1729	-0.1085
YDR282C	0.1513	0.1705
YDR284C	0.2387	0.3544
YDR285W	0.1921	-0.1119
YDR286C	0.3547	0.3515
YDR287W	-0.008	-0.0116
YDR289C	0.0597	0.5427
YDR290W	0.0822	-0.4252
YDR291W	0.2638	0.1092
YDR293C	-0.222	-0.2172
YDR294C	-0.5463	0.0003
YDR297W	0.7656	1.0599
YDR304C	0.194	0.1614
YDR305C	0.0471	0.3435
YDR306C	0.2136	-0.0556
YDR307W	-0.4216	-0.0528
YDR309C	0.0199	-0.0128
YDR310C	-0.6011	0.9706
YDR312W	-0.9135	0.2793
YDR313C	0.2168	-0.3717
YDR314C	-0.0564	0.0144
YDR315C	0.2827	-0.1214
YDR316W	-0.0268	0.1557
YDR317W	0.2629	-0.1803
YDR318W	0.3885	0.0442
YDR319C	0.4805	0.0853
YDR320C	0.0166	0.1661
YDR321W	0.0685	0.2861
YDR322W	-0.1914	-1.3179
YDR323C	0.4647	-1.117
YDR326C	0.2691	-0.1705
YDR329C	0.0587	-0.3141
YDR330W	-0.1489	-0.314
YDR333C	-0.29	0.2598
YDR334W	0.6858	0.4155
YDR335W	-0.4626	-0.0731
YDR336W	0.7324	0.1082
YDR337W	0.3537	
YDR338C	0.5553	0.3325
YDR340W	0.2119	0.075
YDR344C	0.2276	-0.2082
YDR346C	0.3675	-0.251
YDR347W	0.615	-0.0825
YDR348C	0.2242	-0.3352
YDR349C	-0.4864	-1.2357
YDR350C	1.0641	-1.1538
YDR351W	0.4955	0.4773
YDR352W	0.26	-0.4051
YDR354W	0.7837	-0.2072
YDR357C	0.2179	-0.1301
YDR358W	0.0988	0.1061
YDR359C		-0.1084
YDR360W	-0.0341	-0.0303
YDR363W	0.493	0.3048
YDR363W-A	0.3063	-0.1222
YDR364C	-0.4861	-0.2544
YDR368W	-0.0808	0.161
YDR369C	0.8966	0.3302
YDR370C	-0.2005	0.0293
YDR371W	0.1043	0.0943
YDR372C	-0.5358	0.1825
YDR374C	0.3751	-0.0287
YDR375C	-0.2023	-0.3895
YDR377W	0.4546	-0.3196
YDR378C	0.4109	-0.3773
YDR379W	0.2646	0.1789
YDR380W	0.192	0.0931
YDR382W	-0.03	-0.7837
YDR383C	0.0096	-0.0367
YDR384C	0.2536	0.0354
YDR385W	0.0227	0.3239
YDR386W	0.46	-0.0796
YDR387C	-0.1449	0.4121
YDR388W	0.5016	-1.0567
YDR389W	0.4594	-1.4062
YDR391C	0.0769	0.1406
YDR392W	-0.4593	-0.8503
YDR393W	0.0004	-0.7626
YDR395W	-0.2173	0.2434
YDR399W	0.8301	0.4789
YDR400W	-0.461	-0.241
YDR401W	0.2824	0.1453
YDR402C	-0.5412	-0.0729
YDR403W	0.2713	0.1432
YDR405W	0.5278	-1.0594
YDR406W	-0.1312	-0.2456
YDR408C	0.8483	0.0924
YDR409W	0.3639	0.8071
YDR410C	-0.55	-0.1714
YDR411C	-0.2195	0.2546
YDR414C	-1.5693	0.2646
YDR415C	-0.2099	-0.3874
YDR417C	-0.8918	-1.9463
YDR418W	-0.7199	-1.1501
YDR419W	0.7194	0.1128
YDR420W	0.2016	0.0182
YDR421W	-0.23	-0.1167
YDR422C	-0.0703	0.0387
YDR423C	0.0587	-0.0707
YDR424C	-0.1736	0.1054
YDR425W	-0.0521	-0.0191
YDR426C	-0.3655	0.3933
YDR428C	0.3641	-0.1042
YDR430C	-0.2458	0.4638
YDR431W	-0.1139	0.4136
YDR435C	-0.6467	0.324
YDR436W	0.0485	0.1514
YDR438W	0.4768	-0.1853
YDR439W	0.4794	0.4292
YDR440W	0.7257	-0.6699
YDR441C	1.1462	0.4686
YDR442W	-1.1223	-0.1191
YDR443C	1.1941	0.1189
YDR444W	-0.0858	0.0887
YDR445C	0.2646	-0.1057
YDR446W		-0.1226
YDR447C	0.6981	0.0428
YDR448W	0.5936	0.1129
YDR450W	0.4468	-0.0172
YDR451C	-0.2859	-0.0273
YDR452W	0.7189	0.5454
YDR453C		-0.1346
YDR455C	0.297	-0.3318
YDR456W	0.2388	0.0119
YDR457W	0.9642	-0.2573
YDR458C	0.5456	-0.1139
YDR459C	-0.0312	0.3651
YDR461W	0.1962	-0.2591
YDR462W	0.9252	0.5225
YDR463W	0.5601	-0.043
YDR465C	1.0662	0.8643
YDR466W	0.2327	-0.0334
YDR467C	0.5089	0.0756
YDR469W	0.1161	0.2378
YDR470C	0.6299	-0.0832
YDR471W	0.0857	-0.3591
YDR475C	0.06875	0.017100000000000004
YDR476C	0.6084	0.8103
YDR477W	2.2687	-0.7941
YDR479C	0.3203	-0.2183
YDR480W	-0.2237	0.033
YDR481C	0.1859	-0.281
YDR482C	-0.4537	0.1463
YDR483W	-0.1538	0.4492
YDR484W	0.5503	-0.837
YDR485C	0.6145	0.0763
YDR486C	0.0307	-0.1034
YDR488C	0.5397	0.1397
YDR490C	0.9738	0.5214
YDR491C	-0.1061	0.0482
YDR492W	0.1845	0.0765
YDR493W	0.1751	0.7377
YDR494W	0.1091	0.1964
YDR495C	0.3077	-0.2429
YDR496C	0.569	0.1024
YDR497C	0.2056	0.0833
YDR500C	0.4364	-0.4944
YDR501W	0.5514	-0.0108
YDR502C	0.2381	-0.0211
YDR503C	0.2825	0.1161
YDR504C	-0.1202	0.1309
YDR505C	0.1097	0.1076
YDR506C	-0.18735000000000002	-0.2031
YDR507C	0.8945	-0.8778
YDR508C	0.1149	-0.3251
YDR509W	0.01	-0.2762
YDR511W	0.2082	-0.1554
YDR512C	0.566	-0.1325
YDR513W	-0.1922	0.2251
YDR514C	0.2356	0.3741
YDR515W	0.9681	0.0605
YDR516C	-0.6971	0.1753
YDR517W	-0.0345	-0.1286
YDR518W	0.0337	-0.7021
YDR519W	1.0471	0.2308
YDR522C	0.9066	0.0071
YDR523C	0.2244	-0.4812
YDR524C	0.6792	-0.4759
YDR525W		-0.1134
YDR525W-A	0.5257	-0.0849
YDR528W	-0.0226	0.045
YDR529C	0.6962	-0.7989
YDR530C	0.5537	0.0007
YDR532C	-0.4513	-0.5182
YDR533C	0.1021	0.428
YDR534C	0.9834	0.0471
YDR535C	-0.0883	0.2678
YDR536W	0.9128	0.0436
YDR537C	0.067	-0.0735
YDR538W	-0.5843	-0.0589
YDR539W	0.3394	0.2025
YDR540C	0.0739	0.0373
YDR541C	0.0153	0.2136
YEL001C	1.0119	0.045
YEL003W	-0.0367	0.245
YEL004W	-0.1557	0.2904
YEL005C	0.4176	0.1144
YEL006W	0.8538	0.1355
YEL007W	-0.6507	0.2912
YEL008W	-0.1001	0.1516
YEL009C	0.0643	0.3393
YEL010W	-0.1424	0.4318
YEL011W	0.2945	0.072
YEL012W	1.0368	0.0036
YEL013W	-0.2369	-1.4468
YEL014C	0.0972	-0.4459
YEL015W	0.5683	0.2967
YEL016C	-0.0733	0.0272
YEL017C-A	0.3784	0.012
YEL017W	0.1677	-0.1142
YEL020C	-0.1296	-0.1167
YEL023C	0.1122	-0.072
YEL024W	0.8642	-0.443
YEL025C	-0.7194	0.1629
YEL028W	0.4418	0.1962
YEL029C		-0.1084
YEL030W	-0.0449	0.0784
YEL033W	0.7528	0.5752
YEL037C	0.3561	0.2841
YEL038W	-0.3144	-0.0718
YEL039C	-0.3934	-0.1804
YEL040W		-0.1084
YEL041W	0.3053	0.1049
YEL042W	-0.0204	-0.262
YEL043W	0.0714	0.0529
YEL045C	0.484	-0.2422
YEL046C	1.0571	-0.0305
YEL047C	-0.1955	0.083
YEL048C	0.1036	-0.0663
YEL049W	-0.0232	-0.0488
YEL052W	0.2558	0.0465
YEL053C	0.1475	-0.4942
YEL054C	0.6667	-0.5385
YEL056W	0.3976	0.2205
YEL057C	-0.2963	0.0472
YEL059W	0.6631	-0.3918
YEL060C	0.5411	0.0837
YEL061C	-0.9464	-0.8485
YEL062W	0.8044	-1.448
YEL063C	0.2013	0.2947
YEL064C	0.0942	-0.0778
YEL065W	-0.237	-0.03
YEL066W	0.1928	-0.1013
YEL067C	-0.27	-0.0377
YEL068C	0.075	0.0812
YEL071W	0.2065	0.2162
YEL072W	-0.3465	0.4016
YER001W	0.2586	0.0705
YER002W	-0.2037	-0.2571
YER005W	-0.5851	0.2654
YER007C-A	0.2832	-0.591
YER007W	0.36629999999999996	-0.07635
YER010C	0.0308	-0.0014
YER011W	0.194	0.0575
YER016W	0.8348	-0.0266
YER017C	0.6966	-0.61
YER019C-A	-0.0182	-0.2094
YER019W	0.7486	-1.2814
YER020W	-0.1812	-0.5231
YER024W	0.454	-0.0721
YER027C	-0.236	0.7328
YER028C	0.1652	0.1267
YER030W	-0.2545	0.0074
YER032W	0.1226	0.3498
YER033C	0.3825	-0.1191
YER034W	-0.0517	0.3096
YER035W	0.0381	-0.0343
YER037W	0.495	0.0184
YER038W-A	-0.4557	-0.1174
YER039C	0.3083	-0.0986
YER039C-A	1.0668	0.2844
YER040W	-0.0674	-0.3016
YER041W	0.2635	0.0655
YER042W	-0.4502	-0.1797
YER044C-A	0.0839	0.0525
YER045C	-0.2994	-0.194
YER046W	0.1192	-0.1159
YER046W-A	0.4157	0.2012
YER047C	0.4717	0.2404
YER048C	0.9093	0.1218
YER049W	0.3507	
YER050C	0.6697	-0.5542
YER051W	-0.0155	0.0182
YER052C		-0.1084
YER053C	-0.3081	-0.1958
YER054C	0.1572	-0.043
YER055C	-0.0208	0.0081
YER056C	-0.019	-0.8579
YER056C-A	-0.1564	-0.233
YER057C	-0.0233	0.161
YER058W	0.0195	-0.6308
YER059W	-0.037	0.2886
YER060W	0.3468	0.1316
YER060W-A	-0.1181	0.146
YER061C	0.8762	-0.2485
YER062C	1.181	1.2495
YER063W	-0.0012	-0.2525
YER064C	0.5215	-0.2205
YER065C	-0.1849	-0.2401
YER066C-A	-0.0203	0.4756
YER066W	0.3594	0.5352
YER067C-A	-0.2846	-0.0946
YER067W	0.2292	0.1378
YER068C-A	-0.0019	0.0273
YER068W	0.0028	-1.4622
YER069W	-0.2613	-0.0157
YER070W	0.2738	
YER071C	0.4118	0.4503
YER072W	0.3621	-0.4779
YER073W	0.4238	0.0874
YER074W	0.0897	-0.9543
YER075C	0.3839	0.2104
YER078C	0.4554	0.1322
YER079W	0.0561	0.0878
YER080W	0.3986	-0.2704
YER081W	0.0948	-0.0238
YER083C	1.0517	-0.6377
YER084W	0.7107	0.0984
YER085C	-0.268	-0.0718
YER086W	0.2868	-0.0507
YER087C-B	0.1657	0.2898
YER088C	0.6155	0.8448
YER089C	-0.0392	-0.1265
YER090W	0.4565	-0.4926
YER091C	0.3552	-0.1024
YER091C-A	0.2276	0.0978
YER092W	-0.4801	-0.9344
YER093C-A	-0.0375	-0.0657
YER095W	0.2344	0.0406
YER096W	-0.0896	-0.0474
YER097W	0.6512	-0.0149
YER098W	-0.0137	0.228
YER101C	0.2362	0.0091
YER103W	-0.2859	-0.6488
YER106W	0.3433	-0.0389
YER110C	1.6907	0.1402
YER111C	0.3629	-0.4349
YER113C	0.1402	-0.0289
YER114C	0.6013	-0.3366
YER115C	-0.3444	0.0774
YER116C	-0.1027	-0.2299
YER118C	0.3652	-0.0423
YER119C	-0.2978	-0.3521
YER120W	1.5838	0.3003
YER121W	0.2897	-0.1243
YER123W	1.1223	0.1958
YER124C	0.2682	-0.1009
YER128W	0.573	-0.0784
YER129W	0.1664	0.2261
YER130C	0.4871	0.8918
YER131W	-0.3342	-0.4576
YER132C	0.0835	-0.1621
YER134C	0.404	-0.0153
YER135C	0.3259	-0.3021
YER137C	-0.1598	0.1146
YER139C	0.5445	0.4466
YER140W	-0.1904	-0.0814
YER141W	0.2063	-0.6043
YER142C	-0.221	0.0342
YER143W	-0.4559	0.0139
YER144C	0.3313	-0.0624
YER145C	0.3415	-0.0404
YER149C	-1.1614	-0.7963
YER150W	-0.0859	0.0641
YER151C	-0.1315	-0.6935
YER152C	-0.207	0.1286
YER153C	0.141	-0.6459
YER154W	-0.2151	-0.6388
YER155C	-0.041	-0.0341
YER156C	0.7638	-0.1346
YER158C	0.2169	0.1252
YER161C	0.7341	0.1211
YER162C	0.8981	-0.312
YER163C	0.0874	-0.1111
YER164W	0.2516	0.0854
YER166W	-0.0193	-0.006
YER167W	-0.0407	-0.1706
YER169W	-0.2342	-0.2668
YER170W	-0.005	-0.0741
YER173W	0.057	-0.1089
YER174C	0.5729	0.5711
YER175C	0.9036	0.956
YER176W	-0.1695	0.0196
YER177W	0.5189	-0.6277
YER178W	0.4626	-0.3152
YER179W	-0.0688	-0.1452
YER180C	-0.423	0.3027
YER181C	-0.1023	0.1046
YER182W	-0.2019	0.0965
YER183C	0.0912	0.052
YER184C	-0.3078	-0.1878
YER185W	-0.2505	-0.1418
YER186C	-0.0398	-0.0153
YER187W	0.1156	-0.0465
YER188W	0.0952	0.1887
YFL001W	-0.298	-0.4066
YFL003C	0.611	0.1002
YFL004W	-0.0193	0.1113
YFL007W	0.7574	0.11105000000000001
YFL010C	0.6473	0.1682
YFL010W-A	0.0124	0.1091
YFL011W	0.3003	0.0831
YFL012W	0.1474	0.2592
YFL012W-A	-0.3092	-0.414
YFL013C	0.1277	-0.5305
YFL014W	-0.1984	0.2485
YFL015C	0.0507	0.0925
YFL019C	0.4461	-0.0504
YFL020C	0.354	-0.0073
YFL021W	0.3804	0.0539
YFL023W	0.6241	-0.3044
YFL025C	0.7034	-1.3951
YFL026W	-0.0363	-0.1059
YFL027C	0.6139	0.1075
YFL028C	0.1769	0.1529
YFL030W	-0.0552	0.3914
YFL031W	-0.408	0.0984
YFL032W	-0.6431	0.3862
YFL033C	0.5676	0.4392
YFL034C-A	0.039799999999999995	0.2827
YFL034W	-0.3501	-0.3558
YFL036W	0.4237	-0.2263
YFL040W	-0.0255	0.0838
YFL041W	-0.1292	0.089
YFL042C	0.7239500000000001	0.12775
YFL044C	0.0355	0.2636
YFL046W	0.2443	0.0599
YFL047W	0.0398	-0.0404
YFL048C	-0.3696	-0.0478
YFL049W	0.3643	0.2832
YFL050C	0.1485	0.1554
YFL051C	0.1252	0.1999
YFL052W	-0.4815	0.0923
YFL053W	-0.4198	0.0013
YFL054C	-0.0415	0.0103
YFL055W	0.423	0.0071
YFL063W	0.4969	0.09
YFR001W	0.323	
YFR006W	0.1921	0.0327
YFR007W	-0.0632	0.0328
YFR008W	0.2858	-0.3717
YFR009W	-0.086	-0.0618
YFR010W	-0.105	0.4539
YFR011C	-0.1487	-0.0671
YFR012W	-0.204	-0.0213
YFR013W	0.5049	0.2479
YFR014C	0.1064	0.0754
YFR015C	0.4526	-0.0019
YFR016C	-0.3587	-0.3983
YFR017C	-0.2403	0.1823
YFR018C	0.6595	0.5331
YFR019W	-0.0432	-0.6772
YFR020W	0.1984	-0.1099
YFR021W	-0.1386	0.023
YFR022W	0.1645	-0.0338
YFR023W	0.4332	0.1329
YFR024C-A	0.1544	0.056150000000000005
YFR026C	0.1331	0.0103
YFR030W	0.3508	
YFR031C-A	0.0233	-0.584
YFR032C	-0.2481	0.1935
YFR032C-A	0.8132	-0.5463
YFR033C	0.404	0.82
YFR034C	0.4316	0.3345
YFR035C	0.0706	0.4565
YFR036W	0.5477	-0.0398
YFR038W	-0.9271	-0.1254
YFR039C	0.2119	0.0575
YFR040W	-0.1837	0.1121
YFR041C	0.2727	-0.0904
YFR043C	0.1192	-0.0348
YFR044C	-0.6399	0.0682
YFR045W	0.5568	-0.143
YFR046C	0.2487	0.1864
YFR047C	-0.1092	0.1459
YFR048W	0.9286	0.0689
YFR049W	0.3001	0.1203
YFR053C	0.4306	-0.1553
YFR054C	0.3398	-0.0869
YFR055W	0.0262	0.2914
YFR056C	0.0157	0.5051
YFR057W	0.0617	0.1227
YGL002W	0.336	0.3059
YGL003C	0.5377	-0.26
YGL004C	0.4248	-0.0269
YGL005C	-0.0517	-0.1742
YGL006W	0.3867	0.1353
YGL007W	0.5586	0.1119
YGL010W	0.0221	0.1251
YGL012W	-0.526	0.018
YGL013C	0.024	-0.1922
YGL014W		-0.11
YGL015C	0.1641	-0.2299
YGL016W	0.3926	-0.1033
YGL017W	-0.0188	-0.0361
YGL019W	0.3507	-0.1242
YGL021W	-0.2013	0.1948
YGL023C	1.3239	0.7987
YGL024W	0.3049	-0.0814
YGL025C	-1.1558	-0.6193
YGL026C	0.2001	0.0228
YGL027C	-0.2396	0.0135
YGL028C	-0.7489	-0.7166
YGL029W	0.0922	-0.6535
YGL031C	0.269	-0.481
YGL032C	0.7455	0.4637
YGL033W	0.0781	0.9027
YGL034C	0.294	0.0408
YGL035C	0.9216	0.0426
YGL036W	0.1122	0.0145
YGL037C	0.5876	0.1142
YGL039W	-0.2829	0.0964
YGL041C	0.4585	0.0449
YGL042C	-0.1586	-0.2502
YGL043W	-0.673	-0.1621
YGL045W	2.2791	0.7671
YGL049C	-0.5465	-0.0472
YGL050W	-0.1131	0.3514
YGL051W	-0.3474	0.2886
YGL053W	0.2595	0.0034
YGL054C	-0.1428	0.9044
YGL056C	0.2725	0.1359
YGL057C	-0.7427	0.0967
YGL059W	0.1121	-0.0547
YGL060W	-0.0181	0.3044
YGL062W	0.4622	-0.0549
YGL063W	0.1396	0.2984
YGL064C	0.357	-0.7914
YGL066W	0.7132	0.4179
YGL067W	-0.4218	-0.0327
YGL072C	0.2919	-0.3346
YGL076C	0.186	-1.5029
YGL077C	-0.4007	0.3734
YGL078C	0.635	-0.4219
YGL079W	0.033	0.0236
YGL080W	0.6218	0.0021
YGL081W	0.7384	-0.4218
YGL082W	-0.0576	0.1725
YGL083W	0.2099	-0.1435
YGL084C	-0.6023	-2.3381
YGL085W	0.52	0.0753
YGL086W	-0.3868	-0.1436
YGL087C	1.1805	0.4706
YGL089C	0.4379	0.1439
YGL090W	0.52	0.0892
YGL094C	0.1174	0.0437
YGL096W	0.2216	-0.0313
YGL101W	0.3537	-0.11
YGL104C	0.5103	0.1283
YGL105W	0.7394	-1.5846
YGL107C	0.516	-0.7267
YGL108C	0.3498	-0.0619
YGL109W	1.0715	0.7182
YGL110C	0.3929	-0.5213
YGL114W	0.1417	-0.1023
YGL115W		-0.1024
YGL117W	-0.1742	0.1019
YGL121C	0.012	0.0123
YGL124C	-0.6472	-0.5141
YGL125W	0.3623	0.0882
YGL126W	0.6154	-0.1958
YGL127C	0.2418	-0.2353
YGL129C	-0.0067	-0.5606
YGL131C	0.0597	0.1273
YGL132W	0.4776	0.4734
YGL133W	-0.0087	-0.1685
YGL135W	0.8829	-1.4948
YGL136C	0.7385	1.0207
YGL138C	-0.2784	0.3836
YGL139W	0.2849	0.318
YGL140C	0.0452	-0.2728
YGL141W	0.397	0.3774
YGL143C	0.4908	-0.2832
YGL144C	-0.0089	0.1552
YGL146C	0.0109	0.0876
YGL147C	1.2354	-0.505
YGL148W	-0.3616	0.0723
YGL149W	-0.1046	-0.4753
YGL151W	0.2217	-0.0092
YGL152C	-0.3271	-0.1429
YGL153W	-0.0079	0.1107
YGL154C	0.0252	0.0561
YGL156W	0.0184	0.0963
YGL157W	0.8989	0.5775
YGL158W	0.2172	-0.0461
YGL159W	-0.2761	0.0115
YGL160W	0.0241	-0.1911
YGL161C	0.098	-0.0607
YGL162W	0.0574	-0.0952
YGL163C	0.6785	0.2555
YGL164C	0.0633	0.1584
YGL165C	0.2005	-0.1841
YGL166W	0.1219	0.0258
YGL170C	0.584	0.2962
YGL173C	1.4104	-0.15
YGL174W	0.7481	-0.2395
YGL175C	0.7647	0.8702
YGL176C	0.034	0.0351
YGL177W	0.4367	0.2545
YGL179C	0.0017	-0.2516
YGL180W	0.3626	-0.0732
YGL181W	-0.0127	-0.0417
YGL194C	-0.147	0.4554
YGL195W	0.3941	-0.1467
YGL197W	-0.3782	-0.8115
YGL198W	0.206	-0.2166
YGL199C	-0.366	0.0508
YGL200C	0.323	-0.1071
YGL202W	0.3202	-0.0884
YGL203C	-0.4164	-0.3106
YGL205W	0.6227	0.2783
YGL208W	1.0868	0.0105
YGL209W	0.2428	0.1094
YGL210W	0.3073	-0.0619
YGL211W	-0.61	-0.2273
YGL212W	-0.0579	-0.5745
YGL213C	1.2098	0.3776
YGL214W	0.3968	-0.076
YGL215W	0.165	0.8418
YGL216W	0.131	-0.2229
YGL217C	-0.2608	-0.1399
YGL218W	0.6272	-0.187
YGL219C	1.5328	-0.8053
YGL221C	0.7628	-0.087
YGL222C	0.0285	-0.2596
YGL226C-A	0.4904	0.3453
YGL226W	-0.1177	-0.1769
YGL227W	0.7367	0.023
YGL228W	0.3276	0.1104
YGL229C	-0.0951	0.0672
YGL231C	0.5478	-0.0413
YGL232W	1.0118	0.1316
YGL235W	0.5229	-0.066
YGL236C	-0.0528	-0.0347
YGL237C	0.3202	-0.1084
YGL241W	0.871	0.4943
YGL242C	0.7599	0.6205
YGL243W	0.1197	0.12
YGL244W	-0.4416	0.2176
YGL246C	0.177	-0.7886
YGL248W	0.4932	0.1459
YGL249W	-0.1118	-0.2907
YGL250W	0.3372	-0.2269
YGL251C	0.357	-0.1075
YGL252C	-0.5654	-0.3201
YGL253W	0.807	-0.4456
YGL254W	0.1815	0.1441
YGL255W	0.1086	0.3912
YGL256W	0.7055	0.0097
YGL257C	0.0495	0.3647
YGL258W	0.9768	-0.0518
YGL259W	-0.0248	0.049
YGL260W	0.1925	-0.0895
YGL261C	0.4822	0.0764
YGL262W	0.4852	-0.0102
YGL263W	-0.2311	0.3028
YGR001C	1.0468	0.0302
YGR003W	0.0209	-0.2907
YGR004W	-0.7805	0.2735
YGR006W		-0.1084
YGR007W	0.0009	-0.2849
YGR008C	1.0814	0.2486
YGR010W	0.3964	0.1245
YGR011W	-0.26	-0.0353
YGR012W	-0.1508	-0.196
YGR014W	0.0472	0.0531
YGR015C	0.4235	0.2932
YGR016W	0.8684	-0.2782
YGR017W	0.1927	0.263
YGR018C	0.3857	0.059
YGR019W	0.0717	0.2216
YGR021W	0.896	0.4553
YGR022C	-0.2134	0.464
YGR023W	0.2343	0.4642
YGR025W	0.2999	-0.129
YGR026W	0.3284	-0.0313
YGR028W	0.2147	0.1025
YGR031W	0.3763	-0.1328
YGR032W	-0.1428	0.0219
YGR033C	0.6597	0.0906
YGR034W	-0.0571	-0.1687
YGR035C	0.2161	0.307
YGR036C	-0.0786	-1.1199
YGR037C	-0.0968	-0.1496
YGR038W	-0.0092	-0.0738
YGR039W	0.2279	-0.0604
YGR040W	0.3676	-0.1491
YGR041W	-0.0922	0.1833
YGR042W	0.6851	0.2136
YGR043C	0.6223	0.0567
YGR044C	1.1405	0.254
YGR045C	0.0308	0.2723
YGR049W	-0.0146	0.0234
YGR050C	0.7497	0.3337
YGR051C	0.0778	0.3859
YGR052W	0.1909	0.0663
YGR053C	0.2822	0.27
YGR054W	0.7978	-0.0366
YGR055W	1.3211	0.0545
YGR056W	0.7617	0.2802
YGR057C		-0.0923
YGR058W	2.3381	0.1479
YGR059W	0.0602	-0.0743
YGR061C	1.3472	0.1478
YGR062C	0.3151	-0.3453
YGR063C	0.4707	-0.3887
YGR064W	0.0235	-1.4289
YGR066C	0.6726	-0.1438
YGR067C	-0.5966	0.0365
YGR068C	0.7619	0.0093
YGR069W	0.0151	0.2568
YGR070W	0.4817	0.4535
YGR071C	0.4221	0.4737
YGR072W	1.0115	0.5573
YGR076C	1.7412	-0.7767
YGR077C	0.1882	-0.192
YGR078C	0.0646	-0.2024
YGR079W	0.0657	0.0971
YGR080W	-0.346	-0.3303
YGR081C	0.4953	-0.0656
YGR084C	0.7272	0.2722
YGR085C	0.3301	-0.889
YGR086C	-0.0025	-0.4989
YGR087C	0.21	0.4532
YGR088W	0.3781	0.0415
YGR089W	0.2143	-0.1492
YGR092W	0.8678	-0.3858
YGR093W	0.4419	0.1349
YGR096W	0.0059	0.1259
YGR097W	0.2893	-0.0948
YGR100W	0.9855	-0.1286
YGR104C	-0.9307	-1.1923
YGR106C	0.0303	0.0631
YGR107W	0.8065	0.441
YGR108W	0.4943	0.4629
YGR109C	0.7031	0.0431
YGR110W	0.7669	-0.0379
YGR111W	1.6707	-0.3214
YGR112W	0.0754	-0.313
YGR117C	0.0518	-0.0464
YGR118W	0.124	-0.482
YGR121C	-0.3404	-0.0078
YGR122C-A	0.1543	0.1495
YGR122W	0.8932	0.236
YGR123C	-0.0054	0.135
YGR124W	0.0799	0.192
YGR125W	0.1924	0.4924
YGR126W	-0.0666	0.2819
YGR127W	-0.2285	-0.0503
YGR129W	0.473	0.5457
YGR130C	0.5225	0.2815
YGR131W	0.0804	-0.1008
YGR132C	0.3993	0.1059
YGR133W	-0.065	-0.355
YGR134W	0.2351	0.1265
YGR135W	0.4559	0.0565
YGR136W	0.3293	-0.1069
YGR137W	-0.0921	0.0996
YGR138C	0.2308	0.1083
YGR139W	0.3216	-0.134
YGR141W	0.0069	-0.1193
YGR142W	0.6094	-0.1314
YGR143W	0.6069	-0.2203
YGR144W	0.2728	-0.1008
YGR146C	0.3027	-0.1129
YGR148C	-0.0597	-0.5598
YGR149W	0.129	-0.1037
YGR150C	0.8939	-0.6534
YGR151C	-0.0502	0.1482
YGR152C	-0.0951	-0.1699
YGR153W	0.3674	0.1023
YGR154C	0.2843	0.1068
YGR155W	2.0988	0.3024
YGR157W	0.2549	0.1194
YGR159C	1.4238	-1.3998
YGR160W	0.6209	-0.8415
YGR161C	0.1783	0.0809
YGR163W	-0.5404	-0.9254
YGR164W	0.3096	0.1551
YGR165W	0.4184	-0.5096
YGR166W	-0.1036	-0.3461
YGR168C	-0.2774	0.1126
YGR169C	-0.0416	0.3082
YGR170W	-0.1191	0.6705
YGR171C	0.7107	-0.9802
YGR173W	-0.1579	0.0043
YGR174C	0.3524	-0.0223
YGR176W	0.1143	0.1108
YGR177C	-0.9179	0.0882
YGR178C	-0.01	-0.287
YGR181W	0.0035	0.1231
YGR182C	0.1497	0.1755
YGR183C	-0.2956	-0.4195
YGR184C	0.3434	-0.0475
YGR187C	0.5419	0.1019
