ORF	hom/het | electrical properties | standard [standard] | Vahey MD~Voldman J, 2013	hom/het | electrical properties | standard [standard] | Vahey MD~Voldman J, 2013
YOR005C	-0.966	-0.320
YOR006C	0.509	-0.008
YOR007C	0.397	0.381
YOR008C	0.359	-0.899
YOR009W	0.469	-0.097
YOR010C	0.009	-0.132
YOR011W	0.249	-0.336
YOR012W	0.467	0.566
YOR013W	-0.867	-0.193
YOR014W	-0.064	0.577
YOR015W	-0.081	-0.222
YOR016C	0.926	0.655
YOR017W	-0.166	-0.193
YOR018W	-0.151	-0.056
YOR019W	0.523	0.501
YOR021C	0.452	-0.281
YOR022C	0.028	-0.360
YOR023C	0.580	0.011
YOR024W	0.972	-0.469
YOR025W	0.318	-0.758
YOR026W	0.254	0.941
YOR027W	0.877	0.428
YOR028C	-0.569	-0.421
YOR029W	-0.186	1.026
YOR031W	-0.629	0.158
YOR032C	0.198	0.245
YOR034C	0.503	0.536
YOR035C	-0.398	1.141
YOR036W	1.111	-0.676
YOR037W	0.382	0.218
YOR038C	-0.099	0.040
YOR039W	1.392	-0.350
YOR040W	-0.654	-0.611
YOR041C	0.403	-0.020
YOR042W	0.022	-0.678
YOR043W	1.549	1.320
YOR044W	0.744	0.056
YOR045W	-0.020	0.556
YOR047C	0.241	-0.068
YOR049C	0.820	1.166
YOR050C	0.177	1.344
YOR051C	0.085	0.993
YOR052C	1.337	0.392
YOR053W	1.460	-0.276
YOR054C	0.828	0.465
YOR055W	-0.073	0.434
YOR058C	0.345	0.180
YOR059C	0.321	0.643
YOR061W	0.034	0.031
YOR062C	1.228	-0.777
YOR064C	1.197	0.481
YOR065W	-0.792	1.736
YOR066W	0.703	0.209
YOR067C	-0.866	-1.664
YOR068C	1.390	1.442
YOR069W	0.078	0.067
YOR070C	0.033	-0.644
YOR071C	1.300	-0.298
YOR072W	0.134	-0.278
YOR073W	0.660	-0.160
YOR076C	0.118	-0.393
YOR078W	0.514	0.332
YOR079C	0.069	-0.465
YOR080W	1.232	-0.148
YOR081C	0.234	1.420
YOR082C	0.421	0.544
YOR083W	0.237	0.064
YOR084W	-0.035	-0.411
YOR085W	-0.404	-1.699
YOR086C	0.788	-0.099
YOR087W	0.325	0.553
YOR088W	0.922	0.411
YOR089C	-0.631	-0.582
YOR090C	0.227	-0.679
YOR091W	0.602	0.465
YOR092W	0.311	0.475
YOR093C	-1.016	-0.117
YOR094W	0.334	-0.174
YOR096W	0.469	0.305
YOR097C	0.678	0.500
YOR099W	0.503	0.205
YOR100C	0.600	-0.159
YOR101W	0.713	0.417
YOR105W	1.344	-0.123
YOR106W	-0.581	-1.211
YOR107W	0.559	0.437
YOR108W	0.762	0.357
YOR109W	1.360	0.536
YOR111W	-0.068	0.210
YOR112W	0.653	-0.367
YOR113W	-1.397	-0.393
YOR114W	-0.893	-0.165
YOR115C	-0.224	0.335
YOR118W	0.473	0.259
YOR120W	0.503	0.205
YOR121C	0.060	0.509
YOR123C	1.804	1.291
YOR124C	-1.149	0.230
YOR125C	-0.667	0.654
YOR126C	-0.014	-0.560
YOR127W	0.487	0.304
YOR129C	-0.271	-0.290
YOR130C	1.584	0.426
YOR131C	0.095	-0.790
YOR132W	-0.163	0.012
YOR133W	-0.418	0.281
YOR134W	-0.407	-0.047
YOR135C	0.908	-0.092
YOR136W	1.189	0.429
YOR137C	0.248	0.783
YOR138C	0.126	0.270
YOR140W	-3.122	-2.755
YOR141C	1.298	1.347
YOR142W	-0.414	0.355
YOR144C	1.949	0.131
YOR150W	0.469	0.233
YOR152C	0.913	0.300
YOR153W	-0.152	-0.202
YOR155C	-0.043	0.385
YOR156C	-0.823	-0.090
YOR158W	-0.339	0.429
YOR161C	0.570	-0.382
YOR162C	0.041	0.352
YOR163W	1.581	0.387
YOR164C	0.670	0.354
YOR165W	-0.327	0.454
YOR166C	-0.051	0.031
YOR167C	1.355	0.305
YOR170W	0.770	-0.060
YOR171C	1.038	-0.105
YOR172W	0.247	-0.588
YOR173W	0.806	0.309
YOR175C	0.334	0.382
YOR177C	-0.148	-0.143
YOR178C	0.457	-0.289
YOR179C	0.313	-0.247
YOR180C	0.469	0.283
YOR182C	0.409	0.239
YOR184W	0.535	0.573
YOR185C	1.351	-0.112
YOR186W	0.423	0.426
YOR187W	0.329	-1.562
YOR188W	0.148	-0.334
YOR189W	0.428	0.503
YOR190W	1.299	0.181
YOR191W	0.515	0.163
YOR192C	0.241	0.103
YOR193W	0.534	-0.612
YOR195W	0.302	0.504
YOR197W	0.800	0.135
YOR198C	0.386	0.002
YOR200W	1.167	0.197
YOR201C	1.446	-0.015
YOR202W	0.928	0.751
YOR205C	-0.155	1.152
YOR208W	0.241	-0.030
YOR209C	1.202	0.045
YOR211C	1.825	-0.348
YOR212W	-0.353	-0.257
YOR213C	-0.302	0.004
YOR214C	0.653	0.857
YOR215C	0.686	0.381
YOR216C	-0.893	-0.323
YOR219C	0.582	-0.636
YOR220W	0.077	0.062
YOR221C	0.497	-1.547
YOR223W	0.095	-0.015
YOR225W	0.021	0.140
YOR226C	0.039	-0.305
YOR227W	0.395	-0.444
YOR229W	0.206	0.151
YOR230W	0.030	0.220
YOR231W	-0.016	-0.082
YOR233W	-0.489	0.623
YOR234C	-0.017	0.748
YOR235W	-0.114	0.622
YOR237W	0.502	0.205
YOR238W	0.808	-0.250
YOR239W	0.480	0.449
YOR240W	-0.039	0.737
YOR241W	-0.532	1.183
YOR242C	0.174	0.948
YOR243C	1.085	-0.411
YOR245C	1.588	0.428
YOR246C	-0.393	2.222
YOR247W	-0.363	-0.495
YOR248W	0.921	1.291
YOR251C	0.435	0.203
YOR252W	0.288	0.015
YOR253W	0.082	-0.087
YOR255W	0.067	-0.005
YOR258W	-0.055	0.328
YOR263C	-0.843	0.046
YOR264W	1.011	-0.174
YOR265W	1.333	-0.079
YOR266W	0.097	0.414
YOR267C	1.351	1.091
YOR268C	0.441	0.136
YOR269W	0.990	0.435
YOR270C	-0.885	-0.285
YOR271C	0.073	-0.269
YOR273C	-0.079	-0.199
YOR274W	0.435	0.687
YOR275C	2.547	1.683
YOR276W	-0.044	0.927
YOR277C	1.195	0.190
YOR279C	-0.416	0.342
YOR280C	0.415	0.003
YOR283W	0.405	0.258
YOR284W	0.135	-0.081
YOR285W	0.172	-0.128
YOR286W	0.827	0.460
YOR288C	-0.361	-0.424
YOR289W	-0.320	-0.400
YOR290C	-2.889	-2.773
YOR291W	0.089	0.994
YOR292C	0.672	-0.081
YOR293W	0.911	0.799
YOR295W	2.227	1.141
YOR296W	0.415	0.345
YOR297C	-0.120	-0.877
YOR298C-A	0.758	0.067
YOR298W	-0.264	0.067
YOR299W	-0.136	-0.202
YOR300W	-0.128	-0.240
YOR301W	-0.052	0.915
YOR302W	-0.075	0.110
YOR303W	0.149	0.105
YOR304C-A	0.606	0.334
YOR304W	0.520	0.473
YOR305W	0.533	0.782
YOR306C	-0.139	-0.958
YOR307C	1.371	0.038
YOR308C	-0.345	-0.446
YOR309C	1.301	-0.088
YOR311C	-0.195	-0.107
YOR312C	0.536	1.164
YOR313C	0.583	-0.022
YOR314W	2.036	0.331
YOR315W	-0.107	-0.265
YOR316C	0.477	0.551
YOR317W	-0.382	0.601
YOR318C	-0.054	-0.173
YOR320C	-0.563	1.471
YOR321W	0.306	-0.314
YOR322C	1.464	0.166
YOR323C	0.163	0.382
YOR324C	0.236	0.204
YOR325W	1.375	0.511
YOR327C	0.295	0.253
YOR328W	0.261	-0.084
YOR330C	0.553	0.782
YOR333C	-0.143	0.286
YOR334W	0.644	-0.409
YOR337W	0.982	0.661
YOR338W	1.567	-0.509
YOR339C	-0.504	0.773
YOR342C	0.315	-0.633
YOR343C	0.299	0.618
YOR344C	0.207	0.210
YOR345C	-0.653	-0.322
YOR346W	0.298	0.089
YOR347C	0.595	0.424
YOR348C	-0.375	-0.464
YOR349W	0.391	-0.524
YOR350C	0.700	0.797
YOR351C	0.387	-0.306
YOR352W	1.132	0.276
YOR354C	-1.109	0.774
YOR355W	1.227	1.419
YOR356W	0.893	0.189
YOR357C	1.364	-0.212
YOR358W	0.091	-0.315
YOR359W	1.286	0.048
YOR363C	0.004	0.071
YOR364W	0.264	0.352
YOR365C	0.402	0.286
YOR366W	0.276	0.149
YOR367W	-0.641	-0.214
YOR368W	-0.115	-0.885
YOR371C	0.063	0.111
YOR374W	0.779	-0.220
YOR375C	-0.061	-0.196
YOR377W	-0.339	0.536
YOR378W	0.178	0.643
YOR379C	0.363	0.138
YOR380W	-0.097	0.244
YOR381W	1.896	0.068
YOR382W	0.472	-0.023
YOR383C	0.711	-0.149
YOR384W	-0.857	0.043
YOR385W	0.070	-0.114
YOR386W	1.073	0.367
YPL001W	0.293	0.110
YPL002C	2.804	1.012
YPL003W	-0.252	0.256
YPL004C	0.253	-0.346
YPL005W	0.495	0.203
YPL006W	-0.244	-0.377
YPL008W	0.601	0.881
YPL009C	0.267	-0.215
YPL013C	0.635	0.947
YPL014W	0.396	0.123
YPL015C	0.306	-0.159
YPL017C	0.434	-0.147
YPL018W	-0.531	1.024
YPL019C	0.254	0.434
YPL021W	0.145	-0.066
YPL022W	-0.398	-0.124
YPL023C	0.024	0.098
YPL025C	0.360	0.036
YPL026C	0.388	0.260
YPL027W	-0.020	-0.580
YPL029W	1.487	0.713
YPL030W	1.393	0.048
YPL032C	0.106	0.099
YPL033C	0.254	0.187
YPL034W	-0.128	-0.322
YPL035C	0.563	0.075
YPL036W	0.354	-0.333
YPL037C	1.197	-0.895
YPL038W	0.218	0.064
YPL039W	-0.188	-0.653
YPL041C	0.166	-0.311
YPL042C	-1.597	-0.993
YPL046C	0.075	0.751
YPL047W	0.263	0.182
YPL048W	0.232	0.312
YPL049C	0.035	0.100
YPL052W	0.330	-0.362
YPL053C	0.638	-0.128
YPL054W	-0.314	0.375
YPL055C	-0.588	-0.201
YPL056C	0.712	0.132
YPL057C	0.409	0.131
YPL058C	0.095	0.595
YPL060W	0.391	-0.072
YPL061W	0.508	0.466
YPL062W	1.756	0.356
YPL064C	0.176	-0.340
YPL065W	0.502	-0.322
YPL066W	0.131	-0.213
YPL067C	0.317	0.000
YPL068C	0.328	0.064
YPL069C	0.648	-0.026
YPL070W	0.707	-0.122
YPL071C	1.017	0.008
YPL072W	1.410	0.066
YPL073C	0.316	-0.630
YPL074W	-0.330	0.744
YPL077C	0.535	0.104
YPL078C	1.149	0.504
YPL079W	0.799	0.118
YPL080C	0.435	-0.028
YPL081W	-0.102	0.119
YPL084W	0.101	0.253
YPL086C	0.860	0.443
YPL087W	1.506	1.069
YPL088W	1.330	-0.035
YPL089C	0.861	0.224
YPL090C	0.230	0.196
YPL091W	0.144	0.119
YPL092W	-1.289	-0.129
YPL095C	0.248	-0.136
YPL096W	-0.476	-0.210
YPL097W	0.729	0.512
YPL098C	0.469	0.233
YPL099C	0.224	0.418
YPL100W	0.222	-0.214
YPL101W	-0.106	0.963
YPL102C	0.173	0.479
YPL103C	0.375	-0.135
YPL104W	0.269	1.040
YPL105C	-0.041	0.475
YPL106C	-0.531	0.188
YPL107W	1.234	-0.186
YPL108W	0.066	0.261
YPL109C	-0.146	-0.117
YPL110C	0.405	0.205
YPL111W	0.608	-0.050
YPL112C	0.198	-0.049
YPL113C	-0.220	0.134
YPL114W	0.433	-0.661
YPL115C	0.268	0.063
YPL116W	0.204	-0.063
YPL118W	-0.050	0.049
YPL119C	0.223	0.476
YPL120W	0.100	-0.278
YPL121C	0.887	0.772
YPL123C	0.261	0.126
YPL125W	0.401	-0.013
YPL127C	-0.097	0.146
YPL129W	1.173	-1.378
YPL130W	0.575	0.164
YPL132W	0.340	0.912
YPL133C	1.185	-1.041
YPL134C	0.582	-0.055
YPL135W	0.327	-0.257
YPL136W	0.167	0.347
YPL137C	0.487	-0.394
YPL138C	-0.598	0.169
YPL139C	0.223	0.243
YPL140C	0.941	-0.622
YPL141C	-0.386	-0.784
YPL144W	1.188	-0.781
YPL145C	0.892	0.395
YPL147W	1.288	-0.043
YPL149W	-0.100	0.183
YPL150W	0.363	-0.242
YPL152W	-1.898	-0.187
YPL154C	1.907	0.578
YPL155C	-0.047	0.175
YPL156C	1.219	0.582
YPL157W	0.359	0.699
YPL158C	-0.031	-0.053
YPL159C	-1.267	-0.301
YPL161C	-0.259	-0.615
YPL162C	0.040	-0.428
YPL163C	-0.018	0.627
YPL164C	-0.131	-0.319
YPL165C	-0.470	0.112
YPL166W	-0.067	0.143
YPL167C	-0.010	-0.454
YPL168W	0.978	-0.447
YPL170W	-0.119	-0.004
YPL171C	-0.722	0.268
YPL172C	-0.036	-0.045
YPL173W	1.440	0.047
YPL174C	1.530	0.122
YPL176C	-0.600	-0.565
YPL177C	0.704	-0.821
YPL178W	0.961	-0.062
YPL179W	-1.079	-0.503
YPL180W	1.117	0.752
YPL181W	0.182	0.240
YPL183C	0.229	0.704
YPL183W-A	0.199	1.249
YPL184C	-0.032	-0.296
YPL185W	0.264	-0.430
YPL186C	0.485	0.321
YPL187W	1.223	-0.232
YPL188W	0.059	0.898
YPL189W	-0.161	0.494
YPL191C	0.477	0.308
YPL192C	0.357	-0.131
YPL193W	-0.308	0.620
YPL194W	0.639	-0.231
YPL195W	-0.202	-0.102
YPL196W	-0.329	-0.316
YPL197C	0.498	1.067
YPL198W	1.295	0.600
YPL199C	0.633	0.425
YPL200W	0.301	0.052
YPL201C	0.529	0.342
YPL202C	0.089	-0.680
YPL203W	-0.354	-0.545
YPL205C	1.028	0.574
YPL206C	-0.221	0.849
YPL207W	0.392	0.196
YPL208W	-0.709	0.664
YPL212C	-0.025	-0.771
YPL213W	0.469	0.231
YPL214C	0.312	0.256
YPL215W	0.384	0.205
YPL216W	0.317	0.091
YPL219W	0.273	0.338
YPL220W	1.725	-0.324
YPL221W	0.265	-0.051
YPL222W	-0.274	-0.130
YPL223C	0.086	-0.004
YPL224C	1.593	-0.293
YPL225W	0.516	-0.401
YPL226W	0.609	-0.083
YPL227C	-0.334	-0.583
YPL229W	-0.495	-0.312
YPL230W	-0.036	0.598
YPL232W	-1.549	-0.079
YPL236C	0.072	-0.072
YPL240C	0.585	0.298
YPL241C	0.515	0.186
YPL244C	0.664	0.542
YPL245W	0.427	0.135
YPL246C	0.186	-0.648
YPL247C	0.295	0.250
YPL248C	0.363	-0.169
YPL249C	0.548	0.353
YPL250C	0.345	0.380
YPL253C	0.119	-0.051
YPL254W	1.169	-0.995
YPL256C	0.286	0.011
YPL257W	0.138	0.970
YPL258C	1.379	0.118
YPL259C	0.404	0.052
YPL260W	0.021	-0.031
YPL261C	-1.259	0.286
YPL262W	1.498	0.124
YPL263C	0.510	-0.582
YPL264C	1.057	-0.540
YPL265W	0.135	-0.340
YPL267W	-0.457	0.279
YPL268W	-0.038	0.439
YPL269W	0.062	0.399
YPL270W	0.376	0.205
YPL271W	-1.160	1.137
YPL272C	0.004	-0.019
YPL273W	0.380	0.062
YPL274W	-0.028	-0.663
YPR001W	0.174	0.125
YPR003C	-0.197	-0.079
YPR004C	0.084	0.150
YPR005C	0.314	0.120
YPR006C	-0.669	0.325
YPR007C	0.503	0.233
YPR008W	0.090	0.379
YPR009W	0.414	-0.628
YPR011C	-0.419	-0.070
YPR012W	0.098	0.354
YPR013C	-0.112	0.205
YPR014C	-1.107	1.369
YPR015C	0.208	0.133
YPR017C	-0.140	-0.108
YPR018W	-0.154	0.533
YPR020W	0.837	0.797
YPR021C	0.151	0.252
YPR022C	0.667	-0.218
YPR023C	-0.025	0.441
YPR024W	1.507	0.793
YPR026W	-0.831	-0.365
YPR027C	-0.389	-0.128
YPR028W	-0.630	0.424
YPR029C	0.305	-0.869
YPR030W	0.025	0.076
YPR031W	0.536	0.205
YPR032W	0.216	-0.536
YPR037C	0.151	0.548
YPR038W	0.203	0.089
YPR039W	0.065	0.469
YPR040W	0.086	0.256
YPR042C	-0.169	-0.193
YPR043W	0.199	0.143
YPR044C	0.469	-0.512
YPR046W	0.423	-0.057
YPR047W	0.329	0.036
YPR049C	0.052	0.796
YPR050C	1.217	0.118
YPR051W	0.045	-0.134
YPR052C	0.490	0.964
YPR053C	0.248	0.186
YPR054W	0.250	0.262
YPR057W	0.235	-0.116
YPR058W	0.714	-0.366
YPR059C	0.063	0.491
YPR060C	0.180	0.541
YPR061C	-0.421	0.221
YPR062W	-0.475	-0.324
YPR063C	0.267	1.313
YPR064W	-0.002	0.011
YPR065W	-0.283	-0.374
YPR066W	0.081	0.663
YPR068C	0.028	0.249
YPR069C	0.053	0.103
YPR070W	-0.383	-0.525
YPR071W	1.716	0.108
YPR073C	0.303	-0.273
YPR074C	0.943	0.011
YPR075C	0.604	0.182
YPR076W	0.214	0.142
YPR077C	0.437	0.896
YPR078C	0.449	-0.536
YPR079W	-0.864	0.143
YPR083W	0.529	0.232
YPR084W	0.367	0.242
YPR087W	-0.200	1.769
YPR090W	0.291	-0.269
YPR091C	-0.664	0.463
YPR092W	0.032	0.125
YPR093C	-0.214	-0.125
YPR095C	-0.196	-0.061
YPR096C	0.337	1.052
YPR097W	1.217	-0.102
YPR098C	0.182	-0.232
YPR100W	1.393	-0.330
YPR101W	1.333	1.020
YPR106W	0.021	0.144
YPR109W	0.308	0.344
YPR111W	-0.151	0.993
YPR114W	-0.203	0.000
YPR115W	0.554	0.463
YPR116W	0.321	0.393
YPR117W	0.215	0.291
YPR118W	0.348	0.202
YPR119W	1.024	1.249
YPR120C	0.337	0.490
YPR121W	0.098	0.420
YPR122W	0.595	0.526
YPR123C	-0.231	1.157
YPR125W	-0.753	0.094
YPR126C	0.037	0.377
YPR127W	-0.223	-0.049
YPR128C	0.756	0.684
YPR129W	-0.051	0.157
YPR130C	0.609	0.938
YPR132W	-0.155	0.934
YPR133W-A	-0.129	1.072
YPR134W	0.279	0.064
YPR135W	-0.419	0.576
YPR138C	0.170	0.052
YPR139C	0.612	0.045
YPR140W	0.762	-0.440
YPR141C	0.138	-0.012
YPR145W	0.160	0.320
YPR146C	0.298	-0.011
YPR147C	0.173	0.380
YPR148C	0.469	0.259
YPR149W	0.264	0.355
YPR150W	0.146	-0.087
YPR151C	0.857	0.422
YPR152C	0.195	0.468
YPR153W	0.224	0.056
YPR154W	-0.223	-0.024
YPR155C	0.036	0.170
YPR156C	0.557	0.090
YPR157W	0.517	-0.111
YPR158W	-0.238	0.092
YPR159C-A	0.503	0.205
YPR159W	0.355	-0.528
YPR160W	2.350	2.027
YPR164W	0.423	0.182
YPR166C	0.271	0.601
YPR167C	0.955	-0.572
YPR170C	0.344	0.297
YPR171W	-0.028	0.200
YPR172W	0.476	0.199
YPR173C	1.156	0.545
YPR174C	0.534	-0.452
YPR179C	-0.647	-1.051
YPR184W	-0.056	-0.064
YPR185W	-0.313	-0.710
YPR188C	0.013	-0.298
YPR189W	0.164	-0.690
YPR191W	0.530	0.430
YPR192W	0.119	-0.871
YPR193C	0.259	-0.328
YPR194C	0.259	-0.042
YPR195C	0.385	0.546
YPR196W	1.148	-0.240
YPR197C	1.185	-0.348
YPR198W	1.354	0.118
YPR199C	0.321	-0.155
YPR200C	0.047	-0.120
YPR201W	1.029	-0.251
