orf	hap a | growth (undefined) | wortmannin [2-3.5 uM] | Zewail A~Huang J, 2003	het | growth (undefined) | wortmannin [2-3.5 uM] | Zewail A~Huang J, 2003
YNL171C		-3.0
YNL173C	2.0	
YNL177C	5.0	
YNL184C	3.0	
YNL201C	-4.0	
YNL213C	3.0	
YNL218W		-2.0
YNL220W	-3.0	
YNL229C	-5.0	
YNL246W	2.0	
YNL248C	2.0	
YNL250W	-2.0	
YNL252C	4.0	
YNL258C		-2.0
YNL259C	2.0	
YNL263C		-2.0
YNL265C	2.0	
YNL266W	2.0	
YNL269W	2.0	
YNL270C	2.0	
YNL271C	2.0	
YNL275W	2.0	
YNL284C	4.0	
YNL292W	-2.0	
YNL294C	-2.0	
YNL295W	-3.0	
YNL296W	-3.0	
YNL297C	-2.0	
YNL305C	2.0	
YNL307C	-4.0	
YNL314W	-4.0	
YNL315C	1.0	
YNL323W	-5.0	
YNL329C	-4.0	
YNL335W	-2.0	
YNL339C	2.0	
YNR001C	2.0	
YNR004W	2.0	
YNR005C	2.0	
YNR006W	3.0	
YNR010W	-4.0	
YNR014W	2.0	
YNR020C	4.0	
YNR023W		-2.0
YNR031C	-2.0	
YNR032W	5.0	
YNR036C	3.0	
YNR037C	4.0	
YNR047W	2.0	
YNR048W	2.0	
YNR051C	-3.0	
YNR052C	-4.0	
YNR070W	-2.0	
YNR073C	2.0	
YNR074C	2.0	
YOL009C	1.0	
YOL016C	2.0	
YOL027C	4.0	
YOL032W	2.0	
YOL033W	4.0	
YOL038W		2.0
YOL049W	2.0	
YOL063C	-2.0	
YOL067C	-4.0	
YOL072W	2.0	
YOL086C	4.0	
YOL087C	2.0	
YOL090W	2.0	
YOL091W	2.0	
YOL095C	2.0	
YOL096C	2.0	
YOL099C	1.0	
YOL100W	4.0	
YOL108C	1.0	
YOL109W	2.0	
YOL110W	-3.0	
YOL127W		-2.0
YOL147C	-2.0	
YOL148C	-4.0	
YOL166C		-3.0
YOR002W	2.0	
YOR006C	2.0	
YOR021C	-2.0	
YOR027W	-3.0	
YOR047C	-4.0	
YOR057W		1.0
YOR061W	2.0	
YOR071C	-2.0	
YOR072W	-2.0	
YOR078W	1.0	
YOR080W	2.0	
YOR087W	2.0	
YOR092W	2.0	
YOR109W	2.0	
YOR117W		1.0
YOR126C	4.0	
YOR127W	2.0	
YOR129C	2.0	
YOR135C	-2.0	
YOR136W	-2.0	
YOR150W	3.0	
YOR153W	-5.0	
YOR157C		2.0
YOR158W	4.0	
YOR160W		-4.0
YOR172W	-2.0	
YOR179C	-2.0	
YOR180C	-2.0	
YOR182C	-3.0	
YOR183W	-2.0	
YOR187W	2.0	
YOR189W	-4.0	
YOR205C	2.0	
YOR209C	-4.0	
YOR211C	3.0	
YOR218C		-2.0
YOR222W	-3.0	
YOR241W	5.0	
YOR242C	3.0	
YOR252W	-3.0	
YOR255W	4.0	
YOR259C		2.0
YOR260W		-4.0
YOR263C	2.0	
YOR270C	-5.0	
YOR275C	-2.0	
YOR276W	-2.0	
YOR286W	2.0	
YOR288C	2.0	
YOR290C	1.0	
YOR293W	2.0	
YOR295W	2.0	
YOR305W	4.0	
YOR307C	2.0	
YOR309C	3.0	
YOR312C	1.0	
YOR327C	1.0	
YOR328W	-2.0	
YOR330C	3.0	
YOR331C	-5.0	
YOR332W	1.0	
YOR333C	-3.0	
YOR358W	4.0	
YOR360C	-4.0	
YOR367W	3.0	
YOR369C	-4.0	
YOR371C	-3.0	
YOR374W	-2.0	
YOR375C	-2.0	
YOR378W	2.0	
YOR381W	-2.0	
YOR386W	-2.0	
YPL005W	1.0	
YPL013C	3.0	
YPL014W	-2.0	
YPL024W	-2.0	
YPL029W	3.0	
YPL030W	-3.0	
YPL031C	-3.0	
YPL033C	-3.0	
YPL040C	2.0	
YPL042C	-4.0	
YPL046C	-3.0	
YPL047W	2.0	
YPL048W	-3.0	
YPL049C	-3.0	
YPL059W	3.0	
YPL065W	2.0	
YPL078C	5.0	
YPL079W	3.0	
YPL080C	2.0	
YPL081W	-2.0	
YPL088W	-2.0	
YPL097W	4.0	
YPL103C	-2.0	
YPL104W	3.0	
YPL111W	-2.0	
YPL118W	2.0	
YPL139C	-4.0	
YPL142C		1.0
YPL143W		2.0
YPL144W	2.0	
YPL148C	2.0	
YPL162C	-2.0	
YPL164C	-2.0	
YPL195W	2.0	
YPL213W	1.0	
YPL215W	2.0	
YPL219W	1.0	
YPL222W	2.0	
YPL224C	-2.0	
YPL234C	1.0	
YPL240C	2.0	
YPL247C	-2.0	
YPL248C	-2.0	
YPL256C	-4.0	
YPL260W	-2.0	
YPL261C	-2.0	
YPL262W	-4.0	
YPL268W	4.0	
YPL269W	-3.0	
YPL270W	2.0	
YPR018W	-3.0	
YPR023C	-2.0	
YPR036W	2.0	
YPR047W	2.0	
YPR050C	-4.0	
YPR067W	-4.0	
YPR084W	4.0	
YPR087W	1.0	
YPR103W		4.0
YPR115W	-3.0	
YPR135W	-3.0	
YPR140W	-3.0	
YPR166C	1.0	
YPR173C	2.0	
