orf	hap a | growth (undefined) | wortmannin [2-3.5 uM] | Zewail A~Huang J, 2003	het | growth (undefined) | wortmannin [2-3.5 uM] | Zewail A~Huang J, 2003
YGL167C	-3.1423500953322216	
YGL168W	-3.918142263506511	
YGL203C	1.5124029137135135	
YGL206C	-3.1423500953322216	
YGL217C	-1.5907657589836433	
YGL218W	2.2881950818878027	
YGL219C	3.839779418236381	
YGL220W	1.5124029137135135	
YGL223C	-3.1423500953322216	
YGL228W	1.5124029137135135	
YGL235W	-2.3665579271579325	
YGL240W	3.063987250062092	
YGL241W	-2.3665579271579325	
YGL244W	-1.5907657589836433	
YGL252C	-3.1423500953322216	
YGL253W	1.5124029137135135	
YGR006W	-3.1423500953322216	
YGR011W	-2.3665579271579325	
YGR012W	-1.5907657589836433	
YGR017W	-1.5907657589836433	
YGR018C	-3.1423500953322216	
YGR022C	-3.1423500953322216	
YGR033C	-2.3665579271579325	
YGR037C	-2.3665579271579325	
YGR046W		-5.19927792820592
YGR050C	-1.5907657589836433	
YGR055W	-3.1423500953322216	
YGR058W	-3.1423500953322216	
YGR076C	1.5124029137135135	
YGR078C	-3.918142263506511	
YGR092W	-1.5907657589836433	
YGR101W	2.2881950818878027	
YGR102C	0.7366107455392243	
YGR104C	-3.1423500953322216	
YGR105W	-3.1423500953322216	
YGR109C	-1.5907657589836433	
YGR110W	-1.5907657589836433	
YGR116W		-5.19927792820592
YGR122C-A	-1.5907657589836433	
YGR131W	0.7366107455392243	
YGR134W	1.5124029137135135	
YGR135W	3.063987250062092	
YGR139W	1.5124029137135135	
YGR148C	3.063987250062092	
YGR150C	3.063987250062092	
YGR162W	1.5124029137135135	
YGR163W	-3.1423500953322216	
YGR165W	3.063987250062092	
YGR167W	-3.918142263506511	
YGR168C	1.5124029137135135	
YGR171C	2.2881950818878027	
YGR180C	1.5124029137135135	
YGR181W	0.7366107455392243	
YGR182C	1.5124029137135135	
YGR215W	3.063987250062092	
YGR219W	1.5124029137135135	
YGR220C	3.063987250062092	
YGR228W	1.5124029137135135	
YGR240C	-1.5907657589836433	
YGR252W	-2.3665579271579325	
YGR253C		2.59963896410296
YGR256W	2.2881950818878027	
YGR257C	-1.5907657589836433	
YGR262C	-3.918142263506511	
YGR265W		-7.798916892308879
YGR271C-A	-3.1423500953322216	
YGR281W	3.063987250062092	
YGR285C	-3.1423500953322216	
YGR289C	2.2881950818878027	
YHL011C	0.7366107455392243	
YHL020C	-3.918142263506511	
YHL025W	-3.918142263506511	
YHL033C	1.5124029137135135	
YHR010W	-1.5907657589836433	
YHR011W	2.2881950818878027	
YHR012W	1.5124029137135135	
YHR021C	-3.1423500953322216	
YHR031C	1.5124029137135135	
YHR034C	0.7366107455392243	
YHR038W	1.5124029137135135	
YHR039C-A	3.063987250062092	
YHR060W	-3.1423500953322216	
YHR091C	3.839779418236381	
YHR120W	2.2881950818878027	
YHR130C	1.5124029137135135	
YHR146W	-1.5907657589836433	
YHR147C	3.839779418236381	
YHR151C	1.5124029137135135	
YHR155W	2.2881950818878027	
YHR162W	3.063987250062092	
YHR168W	3.839779418236381	
YHR183W	-1.5907657589836433	
YIL001W	1.5124029137135135	
YIL002C	1.5124029137135135	
YIL005W	-1.5907657589836433	
YIL006W	-1.5907657589836433	
YIL007C	-1.5907657589836433	
YIL009W	-2.3665579271579325	
YIL017C	-1.5907657589836433	
YIL024C	1.5124029137135135	
YIL026C		-5.19927792820592
YIL028W	-2.3665579271579325	
YIL033C		-5.19927792820592
YIL036W	-2.3665579271579325	
YIL038C	-1.5907657589836433	
YIL040W	-3.1423500953322216	
YIL042C	-1.5907657589836433	
YIL050W	-1.5907657589836433	
YIL052C	1.5124029137135135	
YIL053W	-2.3665579271579325	
YIL058W	-1.5907657589836433	
YIL064W	-1.5907657589836433	
YIL066C	0.7366107455392243	
YIL071C	1.5124029137135135	
YIL075C		2.59963896410296
YIL084C	-3.1423500953322216	
YIL090W	1.5124029137135135	
YIL092W	-2.3665579271579325	
YIL094C	1.5124029137135135	
YIL105C	-1.5907657589836433	
YIL112W	1.5124029137135135	
YIL128W	3.063987250062092	
YIL130W	1.5124029137135135	
YIL133C	0.7366107455392243	
YIL135C	0.7366107455392243	
YIL147C		-10.39855585641184
YIL153W	1.5124029137135135	
YIL163C	1.5124029137135135	
YIR004W	1.5124029137135135	
YIR006C		-7.798916892308879
YIR028W	1.5124029137135135	
YJL014W		-5.19927792820592
YJL016W	1.5124029137135135	
YJL019W		-5.19927792820592
YJL023C	3.839779418236381	
YJL027C	3.839779418236381	
YJL028W	-3.1423500953322216	
YJL031C		-5.19927792820592
YJL056C	1.5124029137135135	
YJL064W	0.7366107455392243	
YJL068C	1.5124029137135135	
YJL090C		-5.19927792820592
YJL093C	1.5124029137135135	
YJL105W	-1.5907657589836433	
YJL111W		-5.19927792820592
YJL112W	0.7366107455392243	
YJL115W	1.5124029137135135	
YJL128C	-2.3665579271579325	
YJL129C	-1.5907657589836433	
YJL131C	1.5124029137135135	
YJL134W	-2.3665579271579325	
YJL136C	-2.3665579271579325	
YJL138C	-2.3665579271579325	
YJL139C	2.2881950818878027	
YJL140W	-3.1423500953322216	
YJL143W		7.798916892308879
YJL147C	2.2881950818878027	
YJL154C	1.5124029137135135	
YJL161W	1.5124029137135135	
YJL163C	-1.5907657589836433	
YJL164C	-2.3665579271579325	
YJL175W	-3.918142263506511	
YJL176C	-3.918142263506511	
YJL180C	-3.1423500953322216	
YJL182C	-1.5907657589836433	
YJL183W	-3.1423500953322216	
YJL184W	-3.918142263506511	
YJL190C	1.5124029137135135	
YJL191W	1.5124029137135135	
YJL195C		-10.39855585641184
YJL206C	1.5124029137135135	
YJR002W		-5.19927792820592
YJR007W		-5.19927792820592
YJR010W	0.7366107455392243	
YJR011C	2.2881950818878027	
YJR014W	3.063987250062092	
YJR018W	-2.3665579271579325	
YJR019C	1.5124029137135135	
YJR032W	-1.5907657589836433	
YJR045C		2.59963896410296
YJR052W	0.7366107455392243	
YJR055W	1.5124029137135135	
YJR074W	2.2881950818878027	
YJR077C	3.063987250062092	
YJR080C	2.2881950818878027	
YJR087W	2.2881950818878027	
YJR090C	-1.5907657589836433	
YJR094W-A	1.5124029137135135	
YJR100C	1.5124029137135135	
YJR104C	3.839779418236381	
YJR113C	3.839779418236381	
YJR117W	1.5124029137135135	
YJR118C	1.5124029137135135	
YJR122W	-3.1423500953322216	
YJR128W	-2.3665579271579325	
