ORF	hap alpha | transport to/from cell surface (GFP-Snc1-Suc2 + Suc2 invertase activity) | standard | YPD | Dalton LE~Conibear E, 2017	hap a | transport to/from cell surface (GFP-Snc1-Suc2 + Suc2 invertase activity) | standard | YPD | Dalton LE~Conibear E, 2017
YHR046C	-0.783	-0.047
YLR124W	-0.080	-0.749
YDL116W	0.779	-1.608
YNL049C	0.158	-0.987
YDR417C	-0.848	0.022
YER084W	-0.948	0.122
YNL288W	-0.715	-0.110
YMR055C	-0.175	-0.649
YNL274C	-0.647	-0.177
YJL044C	-0.267	-0.555
YHR202W	-0.493	-0.326
YGR289C	0.047	-0.866
YER145C	-0.473	-0.346
YER152C	-0.265	-0.552
YBR159W	-0.727	-0.091
YBL013W	-0.113	-0.705
YIL067C	-0.406	-0.408
YDR275W	-0.329	-0.485
YNL064C	-0.985	0.174
YKR077W	-0.379	-0.431
YDR018C	-0.249	-0.561
YNL092W	-0.172	-0.637
YGR187C	0.018	-0.827
YAL042W	-0.463	-0.343
YNL144C	-0.262	-0.544
YHR079C-A	-0.647	-0.159
YGL032C	-0.237	-0.566
YPR087W	-0.401	NaN
YDR117C	-0.472	-0.328
YLR130C	-0.765	-0.035
YJR001W	-0.285	-0.514
YKL130C	-0.281	-0.517
YMR037C	-0.880	0.082
YGL251C	-0.447	-0.350
YBR092C	-0.532	-0.264
YBL029W	-0.416	-0.380
YGL138C	-0.973	0.178
YIL111W	0.115	-0.909
YMR164C	-0.581	-0.213
YJL197W	-0.287	-0.507
YPL032C	-0.360	-0.434
YML080W	-1.112	0.321
YER143W	-0.277	-0.514
YIR044C	-0.611	-0.180
YNL328C	-0.153	-0.637
YFL020C	-0.423	-0.366
YJL160C	-0.471	-0.316
YJL138C	-0.529	-0.259
YLR080W	-0.317	-0.470
YML088W	-0.197	-0.589
YNL283C	-0.346	-0.439
YLR001C	-0.303	-0.480
YPL003W	-0.426	-0.357
YPL244C	-0.207	-0.575
YPR111W	-0.768	-0.013
YMR292W	0.077	-0.858
YGR146C	-0.728	-0.052
YPL173W	-1.179	0.399
YHR043C	-0.338	-0.441
YCR026C	-0.606	-0.172
YML078W	-1.143	0.366
YOL112W	-0.666	-0.110
YPL200W	-0.193	-0.583
YJR099W	-0.028	-0.748
YPL261C	-0.938	0.162
YAR023C	-0.031	-0.743
YMR125W	-0.693	-0.081
YJR043C	-0.128	-0.646
YHR080C	-0.570	-0.203
YDR049W	-0.668	-0.105
YPR124W	0.769	-1.540
YDL201W	-0.558	-0.213
YKR072C	-0.590	-0.181
YJL155C	-0.343	-0.427
YLR091W	-0.781	0.010
YNL226W	-0.295	-0.474
YGR271C-A	NaN	-0.385
YMR048W	-0.231	-0.536
YPL245W	-0.316	-0.449
YAL044C	0.630	-1.396
YCL027W	-0.310	-0.455
YHL042W	-0.330	-0.435
YBR031W	-0.360	-0.404
YAL019W	0.009	-0.773
YPR012W	-0.207	-0.556
YGR171C	-0.889	0.126
YHR008C	-0.106	-0.656
YCR020C-A	-0.235	-0.525
YGR219W	-0.131	-0.629
YDL071C	-0.155	-0.604
YFL014W	-0.176	-0.583
YPL038W	-0.257	-0.501
YKR011C	-0.579	-0.179
YPR014C	-0.311	-0.447
YER098W	-0.207	-0.550
YDR097C	-0.051	-0.706
YFR054C	-0.328	-0.428
YOR005C	-0.355	-0.401
YHL021C	0.103	-0.859
YMR184W	-0.192	-0.563
YNL235C	-0.875	0.121
YBL033C	NaN	-0.377
YPL185W	-0.909	0.157
YKR017C	-0.389	-0.364
YIL065C	-0.302	-0.449
YLR177W	-0.559	-0.192
YPL150W	-0.173	-0.578
YIR029W	-0.649	-0.100
YPL241C	-0.379	-0.368
YJR117W	-0.722	-0.024
YLR398C	0.078	-0.824
YGL056C	-0.421	-0.324
YIL029C	-0.762	0.018
YLR252W	-0.380	-0.364
YOL050C	-1.062	0.320
YMR304W	-0.107	-0.631
YJR111C	0.171	-0.907
YKR073C	-0.610	-0.126
YDL061W	-0.368	NaN
YIL120W	-0.433	-0.301
YMR224C	-0.366	NaN
YCR023C	-0.245	-0.487
YML120C	-0.239	-0.493
YGL042C	-0.339	-0.391
YBL032W	NaN	-0.364
YDR245W	0.072	-0.800
YDR433W	NaN	-0.364
YPR196W	-0.375	-0.353
YKR016W	-0.492	-0.235
YKR049C	-0.607	-0.119
YDR291W	-0.332	-0.394
YBL039C	-0.429	-0.296
YDR085C	-0.298	-0.427
YOR090C	0.060	-0.784
YJL119C	-0.425	-0.298
YKR101W	-0.565	-0.158
YNR072W	-0.284	-0.439
YMR102C	-0.718	-0.004
YPL023C	-0.246	-0.475
YLR055C	-0.490	-0.230
YLR253W	-0.497	-0.223
YNL067W	-0.316	-0.403
YPR193C	-0.076	-0.643
YIL010W	-0.132	-0.586
YOL024W	-0.659	-0.059
YKL162C	-0.117	-0.600
YMR209C	-0.271	-0.446
YGR034W	-0.362	-0.353
YLR041W	-0.670	-0.044
YGL035C	-0.152	-0.561
YCL039W	0.188	-0.900
YGR291C	0.144	-0.855
YOR087W	-0.037	0.009
YCR022C	-0.348	-0.362
YGL034C	-0.237	-0.472
YOR114W	-0.321	-0.387
YLR189C	-0.499	-0.209
YKR085C	-0.877	0.170
YCL032W	-0.289	-0.418
YJR083C	-0.149	-0.558
YDL037C	-0.363	-0.343
YNR036C	0.945	-1.651
YLR112W	-0.183	-0.523
YDR391C	-0.257	-0.448
YHR180W	-0.304	-0.400
YGL082W	-0.430	-0.273
YER053C	-0.207	-0.496
YER064C	-0.433	-0.269
YOR251C	-0.351	NaN
YDL048C	-0.267	-0.435
YOR091W	-0.173	-0.528
YGR201C	-0.218	-0.483
YAL027W	-0.404	-0.296
YOL019W	-0.072	-0.628
YMR075W	-0.240	-0.459
YKL051W	-0.533	-0.165
YDR400W	-0.408	-0.290
YLR451W	-0.364	-0.333
YML027W	0.013	-0.706
YPL030W	-0.690	-0.003
YNL296W	-0.468	-0.225
YAR020C	-0.073	-0.619
YML086C	-0.736	0.044
YBL024W	-0.043	-0.648
YLR377C	-0.413	-0.278
YLR063W	-0.345	-0.346
YBL005W	-0.354	-0.336
YHR132W-A	-0.244	-0.446
YNL160W	-0.447	-0.242
YGR085C	-0.461	-0.228
YGL260W	-0.180	-0.509
YPR146C	-0.291	-0.396
YKR053C	-0.447	-0.239
YGL214W	-0.273	-0.412
YJL190C	-0.223	-0.462
YGR249W	-0.312	-0.373
YOR386W	-0.278	-0.405
YPR135W	-0.555	-0.127
YDL178W	-0.318	-0.364
YOR337W	-0.125	-0.557
YOR096W	-2.710	2.030
YGL136C	-0.792	0.113
YBL098W	-0.203	-0.475
YFR018C	-0.326	-0.351
YDL229W	-0.402	-0.274
YNR028W	-0.336	-0.340
YDR139C	-0.410	-0.265
YAR027W	-0.046	-0.628
YNR033W	-0.305	-0.368
YDR223W	0.305	-0.978
YGL060W	-0.494	-0.178
YOR003W	-0.464	-0.207
YPR007C	-0.159	-0.512
YLR375W	-0.234	-0.435
YOL030W	-0.201	-0.466
YMR041C	-0.190	-0.477
YGL139W	-0.467	-0.200
YIL072W	-0.068	-0.596
YMR177W	-0.350	-0.315
YOR138C	-0.292	-0.373
YGL006W	-0.054	-0.610
YMR143W	0.131	-0.795
YKL010C	0.037	-0.700
YCR031C	-0.028	-0.636
YFR016C	-0.448	-0.213
YLR165C	-0.789	0.127
YDR471W	-0.166	-0.495
YMR014W	-0.406	-0.254
YCR034W	-0.344	-0.315
YER039C	NaN	-0.329
YJR032W	-0.739	0.081
YGL179C	-0.210	-0.448
YOL113W	-0.403	-0.255
YER078C	-0.418	-0.240
YDR215C	-0.365	-0.292
YGR142W	-0.547	-0.111
YKL100C	-0.588	-0.069
YLR407W	-0.188	-0.467
YKR106W	-0.279	-0.375
YIL114C	-0.366	-0.288
YPR119W	-0.319	-0.334
YFR022W	-0.359	-0.293
YPR098C	-0.082	-0.569
YDR125C	-0.410	-0.241
YGL249W	-0.277	-0.374
YLR436C	0.397	-1.047
YML016C	-0.036	-0.613
YPL088W	-0.300	-0.348
YDR520C	-0.330	-0.318
YJL129C	-0.177	-0.470
YOR298C-A	-0.036	-0.612
YML109W	-0.426	-0.221
YNL333W	-0.529	-0.118
YBR183W	-0.148	-0.497
YKL096W-A	-0.106	-0.539
YFL010W-A	0.104	-0.749
YDR281C	-0.206	-0.438
YKR027W	-0.360	-0.284
YLR343W	0.002	-0.646
YBR273C	-0.823	0.179
YJR009C	-0.373	-0.270
YDL200C	-0.269	-0.374
YLR395C	-0.757	0.115
YNR040W	-0.073	-0.568
YOR289W	-0.174	-0.467
YBR246W	-0.417	-0.223
YPL263C	-0.225	-0.415
YDR352W	-0.027	-0.613
YLR439W	-1.161	0.522
YOR266W	0.070	-0.709
YKL214C	-0.471	-0.167
YOR351C	-0.298	-0.339
YNL236W	NaN	-0.318
YGL241W	-0.204	-0.433
YOR100C	-0.281	-0.353
YDR179W-A	0.025	-0.659
YLL001W	-0.258	-0.376
YOR320C	-0.540	-0.094
YAR042W	-0.142	-0.191
YNL094W	0.013	-0.645
YDR384C	-0.233	-0.397
YKL178C	NaN	-0.314
YMR176W	-0.438	-0.189
YLL062C	0.149	-0.775
YKR032W	0.013	-0.639
YDR109C	-0.290	-0.336
YLL048C	-0.310	-0.314
YGL003C	-0.180	-0.444
YMR042W	0.000	-0.623
YBR180W	-0.448	-0.172
YNL063W	-0.696	0.076
YOR165W	-0.352	-0.268
YER131W	-0.420	-0.198
YDR216W	-0.516	-0.102
YDL039C	0.076	-0.101
YHR160C	-0.513	-0.104
YIR028W	-0.485	-0.131
YBR117C	-0.308	NaN
YKR082W	-0.264	-0.350
YOR162C	-0.306	NaN
YPL198W	0.007	-0.619
YHR195W	-0.385	-0.226
YKR023W	-0.271	-0.339
YNL119W	-0.213	-0.396
YML028W	-0.343	-0.266
YDR534C	-0.259	-0.349
YOL137W	-0.412	-0.196
YIL047C	-0.186	-0.421
YMR065W	-0.216	-0.391
YFL021W	-0.295	-0.312
YBR283C	-0.530	-0.076
YBR284W	-0.455	-0.151
YNR044W	-0.053	-0.552
YMR245W	-0.753	0.148
YMR187C	0.094	-0.699
YLL010C	-0.275	-0.329
YDL077C	-0.841	0.237
YBR112C	-0.302	NaN
YCR102W-A	-0.142	-0.462
YMR193C-A	-0.170	-0.433
YKL162C-A	-0.410	-0.192
YDL174C	-0.004	-0.597
YDR401W	-0.161	-0.440
YMR084W	0.035	-0.636
YPL106C	-0.387	-0.211
YLR081W	0.012	-0.610
YKL217W	-0.480	-0.117
YOR315W	-0.367	-0.230
YOL035C	-0.198	-0.397
YDL013W	0.073	-0.668
YJL094C	-0.404	-0.191
YAL045C	-0.528	-0.066
YJR003C	-0.546	-0.048
YGL224C	-0.226	-0.366
YLR452C	NaN	-0.296
YMR090W	0.097	-0.689
YOL118C	-0.284	-0.307
YOR347C	-0.251	-0.340
YKL053W	-0.304	-0.285
YGR210C	-0.485	-0.104
YLR290C	-0.303	-0.286
YDL080C	-0.514	-0.074
YHR157W	-0.151	-0.436
YKR052C	-0.319	-0.268
YPR189W	-0.562	-0.024
YPR075C	-0.283	-0.303
YMR056C	-0.019	-0.567
YOR323C	-0.530	-0.054
YHR095W	-0.227	-0.354
YOR317W	-0.428	-0.153
YNL298W	-0.377	-0.201
YOR376W	-0.154	-0.423
YLR047C	-0.107	-0.470
YHR198C	-0.271	-0.306
YAL015C	-0.624	0.047
YOL049W	-0.556	-0.020
YGR233C	0.039	-0.614
YBR166C	-0.342	-0.232
YMR313C	-0.373	-0.201
YJL070C	-0.483	-0.090
YMR095C	-0.336	-0.236
YPR200C	-0.341	-0.231
YOR208W	-0.605	0.034
YLL041C	-0.533	-0.038
YPL001W	-0.100	-0.471
YMR244C-A	-0.520	-0.051
YGR110W	-0.462	-0.108
YOR033C	-0.106	-0.464
YCL023C	-0.311	-0.258
YBR186W	-0.268	-0.301
YOL062C	0.049	-0.617
YBL070C	-0.209	-0.360
YNL239W	-0.313	-0.255
YML004C	-0.147	-0.420
YFL023W	-0.116	-0.451
YMR158W	NaN	-0.283
YHR066W	-0.621	0.055
YML001W	-0.721	0.157
YCR033W	-0.717	0.154
YMR096W	-0.371	-0.189
YBR064W	-0.288	-0.273
YOR277C	-0.993	0.433
YEL005C	-0.309	-0.250
YDL025C	-0.148	-0.411
YER115C	-0.154	-0.405
YKR014C	-0.590	0.033
YAL049C	-0.426	-0.131
YGR273C	-0.139	-0.417
YPL022W	-0.783	0.227
YMR322C	-0.555	-0.001
YKL055C	NaN	-0.277
YGR288W	-0.145	-0.408
YML074C	-0.330	-0.223
YKR090W	-0.122	-0.431
YBL017C	0.005	-0.557
YCR092C	-0.493	-0.058
YBR033W	-0.130	-0.421
YMR012W	-0.088	-0.462
YNR019W	0.196	-0.745
YBL057C	0.002	-0.552
YGL255W	-0.529	-0.020
YOL070C	-0.396	-0.154
YNL056W	-0.164	-0.384
YER067C-A	-0.374	-0.174
YGR040W	-0.160	-0.387
YBR057C	-0.494	-0.052
YPR116W	-0.459	-0.087
YFL027C	-0.122	-0.424
YOL119C	-0.288	-0.258
YLR221C	-0.061	-0.485
YLR139C	-1.874	1.329
YOL114C	-0.522	-0.023
YHL046C	-0.350	-0.195
YKL198C	-0.026	-0.329
YCL024W	0.095	-0.639
YLR300W	-0.678	0.133
YLR373C	-0.039	-0.504
YPL219W	-0.496	-0.047
YFL034C-A	-0.283	-0.012
YPR145W	0.247	-0.790
YDR089W	-0.211	-0.331
YLR102C	-0.520	-0.022
YGL062W	-0.373	-0.168
YOL031C	-0.147	-0.394
YDR351W	-0.443	-0.098
YMR206W	-0.376	-0.164
YDR294C	NaN	-0.270
YDR154C	-0.117	-0.422
YDL093W	-0.211	-0.328
YPR170C	-0.395	-0.143
YOL017W	-0.706	0.169
YBR012C	0.033	-0.570
YBR066C	-0.354	-0.182
YGR055W	0.823	-1.359
YMR265C	0.462	-0.997
YOR234C	-0.219	-0.316
YKL206C	-0.345	-0.189
YOR220W	-0.100	-0.434
YLR123C	-0.268	-0.266
YCR075C	0.021	-0.554
YJL164C	-0.523	-0.011
YMR171C	-0.630	0.097
YMR075C-A	-0.232	-0.300
YOL160W	-0.417	-0.114
YMR086W	-0.543	0.012
YHR078W	-0.443	-0.087
YDL059C	-0.257	-0.272
YPL110C	-0.254	-0.275
YOR062C	-0.493	-0.036
YML087C	-0.298	-0.231
YOL109W	-0.696	0.168
YOR121C	-0.149	-0.378
YNL115C	-0.603	0.076
YNL167C	-0.746	0.219
YDL063C	0.119	-0.645
YMR181C	0.119	-0.645
YBR040W	-0.394	-0.131
YHR143W	-0.238	-0.287
YCL001W-A	-0.561	0.036
YIL108W	-0.119	-0.406
YDR298C	-1.874	1.350
YCR050C	-0.239	-0.284
YOR107W	-0.111	-0.412
YLR348C	0.183	-0.706
YDR415C	0.092	-0.613
YDR279W	-0.133	-0.388
YCL037C	-0.577	0.057
YHR140W	0.019	-0.540
YDR516C	-0.200	-0.319
YBL085W	-0.132	-0.387
YHR133C	-0.421	-0.097
YOR139C	-0.309	-0.208
YGR044C	-0.275	-0.243
YGR226C	-0.238	-0.279
YPL109C	-0.362	-0.155
YLL063C	-0.143	-0.373
YGR258C	-0.807	0.293
YDL036C	-0.202	-0.311
YLL044W	-0.201	-0.310
YOR243C	-0.535	0.024
YOR269W	0.110	-0.621
YDR130C	-0.049	-0.461
YPL248C	0.112	-0.622
YBR149W	-0.591	0.081
YLR306W	-0.564	0.055
YDR104C	-0.529	0.022
YLR408C	-0.063	-0.443
YIL095W	0.153	-0.659
YBR259W	-0.050	-0.456
YMR066W	NaN	-0.253
YBR208C	-0.442	-0.063
YCR032W	-0.530	0.025
YML032C	-0.370	-0.135
YML006C	-0.373	-0.132
YLR064W	-0.001	-0.504
YMR306C-A	-0.338	-0.166
YHR097C	-0.195	-0.308
YOR303W	0.058	-0.559
YNL159C	0.407	-0.908
YER067W	-0.244	-0.257
YGL037C	0.003	-0.504
YLR303W	-0.180	-0.320
YKL050C	-0.311	-0.189
YLR054C	-0.643	0.144
YML063W	-0.438	-0.060
YDR098C	-0.152	-0.345
YJL028W	-0.239	-0.257
YAL008W	-0.010	-0.484
YML116W	-0.368	-0.126
YER041W	-0.506	0.013
YHR131C	-0.185	-0.307
YAR018C	-0.353	-0.140
YFR017C	-0.115	-0.378
YIR002C	0.355	-0.846
YMR006C	-0.150	-0.341
YOR167C	0.018	-0.508
YML050W	-0.102	-0.388
YGL124C	-0.604	0.116
YNR059W	-0.313	-0.175
YNL090W	-0.086	-0.401
YKL033W-A	-0.214	-0.273
YDR274C	-0.064	-0.421
YMR008C	-0.096	-0.388
YHR075C	-0.437	-0.048
YHL014C	-0.466	-0.017
YJR092W	-0.348	-0.135
YDR305C	-0.303	-0.179
YKL157W	-0.051	-0.243
YCR014C	-0.175	-0.305
YCR008W	-0.363	-0.116
YKL057C	-0.020	-0.459
YBR182C	0.003	-0.479
YPL183C	-0.175	-0.301
YOL141W	-0.319	-0.157
YBR045C	-0.198	-0.278
YMR191W	-0.105	-0.371
YPL029W	-0.282	-0.193
YIL159W	0.666	-1.141
YPR096C	-0.336	-0.138
YLR278C	-0.297	-0.176
YOR321W	-0.164	-0.308
YGL236C	-0.371	-0.101
YPL048W	-0.024	-0.447
YKR042W	-0.016	-0.455
YDR525W-A	-0.086	-0.385
YJL147C	-0.555	0.084
YDR496C	-0.141	-0.330
YJL131C	-1.311	0.840
YJR051W	-0.334	-0.136
YBL086C	-0.117	-0.352
YLR059C	-0.051	-0.417
YPL201C	-0.132	-0.335
YOR233W	-0.022	-0.445
YDR059C	-0.296	-0.171
YBL069W	-0.359	-0.108
YNL311C	-0.075	-0.391
YDL155W	-0.233	NaN
YER118C	-0.282	-0.184
YDR495C	-0.745	0.280
YPL107W	-0.298	-0.167
YIL131C	0.016	-0.480
YHR093W	-0.165	-0.299
YLR267W	0.326	-0.790
YER150W	-0.182	-0.281
YHR037W	-0.297	-0.165
YGR270W	0.641	-1.103
YER056C	-0.231	-0.231
YIR018W	0.067	-0.528
YNL204C	0.217	-0.678
YOR352W	NaN	-0.230
YPR028W	0.125	-0.582
YLR015W	-0.456	-0.001
YCL061C	-0.024	-0.326
YKL043W	0.113	-0.568
YJL083W	-0.096	-0.359
YCL014W	0.257	-0.355
YPL065W	1.557	-2.010
YMR135W-A	-0.179	-0.274
YKL097C	-0.250	-0.202
YGL081W	-0.225	NaN
YOR011W	-0.216	-0.234
YPR201W	-0.755	0.305
YGR031W	0.002	-0.452
YJR098C	0.003	-0.449
YER052C	0.003	-0.450
YNL147W	-1.052	0.605
YMR057C	0.044	-0.490
YAL056C-A	-0.399	-0.046
YDR425W	-0.138	-0.308
YPR154W	0.040	-0.485
YHR117W	-0.252	-0.193
YOR354C	-0.318	-0.126
YMR100W	0.329	-0.773
YEL052W	-0.123	-0.320
YPL103C	-0.405	-0.037
YBR290W	-0.438	-0.003
YNL200C	-0.079	-0.361
YAL054C	-0.444	0.006
YHL008C	-0.514	0.075
YDR259C	-0.026	-0.412
YKL221W	-0.146	-0.292
YNR029C	0.017	-0.454
YKL011C	-0.801	0.364
YPL273W	-0.037	-0.399
YGL051W	-0.214	-0.222
YOR298W	-0.054	-0.380
YCL028W	-0.418	-0.016
YMR085W	-0.208	-0.224
YOL054W	-0.233	-0.197
YBL052C	-0.107	-0.323
YDR359C	1.960	-2.390
YHR126C	-0.244	-0.185
YOR268C	-0.018	-0.411
YDR110W	-0.274	-0.154
YPL046C	-0.208	-0.220
YGL067W	-0.322	-0.105
YDR363W	-0.212	-0.215
YDR213W	0.273	-0.700
YER178W	-0.931	0.505
YBR094W	-0.202	-0.224
YPL164C	0.407	-0.832
YHR115C	-0.135	-0.289
YGR026W	-0.313	-0.110
YOR156C	-0.138	-0.285
YOR339C	0.218	-0.641
YKR070W	-0.059	-0.363
YER134C	-0.075	-0.346
YDR229W	-0.278	-0.143
YHR048W	-0.165	-0.256
YNL203C	0.236	-0.657
YER103W	-0.374	-0.047
YLR341W	-0.228	-0.193
YBR084C-A	-0.223	-0.196
YPL137C	-0.152	-0.267
YDR514C	-0.151	-0.267
YMR276W	0.297	-0.715
YDR386W	0.032	-0.449
YNL082W	-0.199	-0.217
YFR020W	-0.476	0.060
YPR194C	-0.113	-0.303
YLR248W	-0.700	0.284
YGL039W	0.248	-0.664
YDL011C	-0.274	-0.141
YOR238W	-0.131	-0.284
YOR008C-A	-0.058	-0.356
YJR056C	-0.184	-0.230
YDR423C	-0.265	-0.149
YOR142W	0.272	-0.686
YDR511W	0.135	-0.547
YNL054W	-0.016	-0.397
YDL179W	-0.068	-0.344
YBR158W	-0.554	0.142
YHL036W	-0.233	-0.179
YOL101C	-0.195	-0.216
YHR121W	-0.080	-0.332
YDL051W	-0.174	-0.237
YOR054C	-0.149	-0.262
YBR053C	-0.060	-0.349
YKR045C	-0.214	-0.194
YKL137W	-0.518	0.109
YJR091C	0.272	-0.680
YPL025C	-0.324	-0.084
YLR236C	-0.486	0.079
YMR018W	-0.117	-0.289
YBR174C	-0.689	0.284
YLR342W	0.232	-0.637
YKL133C	-0.201	-0.204
YDL181W	-0.202	NaN
YPL203W	0.310	-0.714
YGR237C	-0.138	-0.265
YNL096C	0.145	-0.547
YDR020C	-0.252	-0.150
YBR217W	-0.181	-0.221
YMR170C	0.007	-0.409
YLL020C	-0.162	-0.240
YCR099C	-0.646	0.245
YKR056W	-0.422	0.021
YOL043C	0.090	-0.490
YNL101W	-0.229	-0.172
YIR036C	0.074	-0.474
YKL222C	0.015	-0.414
YLR413W	0.668	-1.067
YOR186W	-0.128	-0.269
YMR261C	0.025	-0.423
YHR129C	0.041	-0.438
YKR103W	-0.292	-0.105
YDL133W	-0.164	-0.232
YMR293C	-0.526	0.130
YDR452W	-0.667	0.271
YDL134C	-0.099	-0.297
YOR086C	-0.266	-0.129
YIR031C	0.030	-0.424
YBR281C	-0.075	-0.319
YPL015C	-0.120	-0.274
YDL133C-A	-0.231	0.062
YOR081C	-0.039	-0.354
YPR078C	0.040	-0.433
YGL002W	-0.163	-0.228
YDR094W	-0.221	-0.169
YPR015C	-0.298	-0.091
YKR031C	-0.171	-0.218
YHL045W	-0.362	-0.026
YDL170W	-0.014	-0.373
YFR007W	-0.284	-0.103
YPL134C	-0.037	-0.348
YGR079W	-0.237	-0.148
YKR076W	-0.191	-0.193
YOR022C	0.352	-0.735
YIL113W	-0.157	-0.225
YBR050C	-0.263	-0.119
YHR154W	0.093	-0.475
YGL166W	-0.247	-0.134
YDL110C	0.043	-0.423
YDR286C	0.066	-0.447
YGR038W	-0.325	-0.054
YDL156W	-0.310	-0.069
YER072W	0.095	-0.473
YGL154C	-0.408	0.030
YMR020W	-0.095	-0.283
YAR028W	-0.280	-0.097
YCR086W	-0.208	-0.168
YLL024C	-0.232	-0.144
YLR380W	-0.164	-0.212
YDR175C	-1.392	1.017
YLR205C	-0.112	-0.262
YMR225C	-0.174	-0.201
YMR194W	-0.233	-0.141
YML034C-A	-0.293	-0.081
YBL088C	0.070	-0.444
YKL212W	0.722	-1.095
YCL076W	0.192	-0.565
YGR292W	0.258	-0.630
YNL202W	-0.098	-0.273
YOR171C	-0.031	-0.339
YMR167W	0.143	-0.513
YBL038W	-0.524	0.154
YKR064W	-0.230	-0.139
YER014C-A	NaN	-0.185
YEL038W	-0.120	-0.248
YKL131W	0.031	-0.400
YLR251W	-0.199	-0.168
YFR041C	-0.310	-0.058
YOR071C	0.187	-0.554
YBR063C	-0.254	-0.113
YPL194W	0.115	-0.481
YJR094C	0.717	-1.083
YDR254W	0.163	-0.530
YMR172C-A	0.071	-0.437
YDR266C	-0.305	-0.061
YOR367W	-0.213	-0.153
YCR046C	-1.214	0.848
YKL166C	-0.059	-0.306
YGR282C	-0.088	-0.276
YIR020C	-0.178	-0.185
YNL077W	0.433	-0.797
YOL080C	-0.218	-0.144
YFR023W	0.057	-0.419
YBR098W	-0.047	-0.270
YML047W-A	-0.128	-0.232
YGL163C	0.043	-0.403
YKR066C	-0.259	-0.100
YFR053C	-0.184	-0.175
YDR032C	-0.244	-0.115
YJL133W	0.391	-0.748
YNR012W	-0.085	-0.273
YJL148W	-0.242	-0.115
YEL039C	0.114	-0.471
YJL105W	-0.511	0.156
YLR285W	0.134	-0.490
YOL051W	NaN	-0.177
YOR237W	-0.199	-0.155
YGL230C	0.020	-0.375
YMR271C	-0.212	-0.142
YLR392C	-0.247	-0.107
YNL117W	-0.463	0.111
YMR147W	-0.393	0.041
YER121W	-0.109	-0.242
YLR094C	-0.178	-0.173
YMR221C	0.061	-0.412
YDR287W	-0.316	-0.034
YGL078C	0.403	-0.753
YAL064C-A	-0.327	-0.022
YOR099W	-0.138	-0.211
YER054C	-0.172	-0.176
YPR008W	0.056	-0.405
YIL088C	-0.151	-0.196
YOR172W	-0.134	-0.213
YDR504C	-0.131	-0.216
YLR012C	-0.307	-0.040
YML119W	-0.114	-0.232
YEL049W	-0.193	-0.153
YHR134W	-0.210	-0.135
YBL091C-A	-0.446	0.101
YGR041W	-0.202	-0.143
YOR066W	-0.151	-0.194
YDR354W	-0.297	-0.047
YDL215C	-0.123	-0.221
YLR232W	-0.121	-0.223
YJL116C	-0.335	-0.008
YHL044W	NaN	-0.171
YGL043W	-0.386	0.044
YIR030C	-0.014	-0.327
YPL250C	-0.008	-0.332
YOR068C	-0.705	0.365
YLR013W	-0.358	0.019
YPL258C	-0.307	-0.032
YER017C	-0.004	-0.335
YLR257W	0.270	-0.608
YBL001C	-0.137	-0.201
YPL089C	-0.210	-0.128
YOR314W	-0.316	-0.022
YKL094W	-0.270	-0.068
YAL031C	-0.157	-0.181
YNL022C	-0.529	0.191
YBR072W	-0.196	-0.142
YJL204C	-0.296	-0.041
YBL053W	-0.035	-0.301
YDL199C	-0.148	-0.187
YKL093W	0.126	-0.460
YBL012C	-0.005	-0.329
YKL220C	-0.383	0.049
YNL104C	-0.362	0.029
YNL003C	0.130	-0.463
YBR062C	0.236	-0.568
YDL175C	0.248	-0.580
YBR104W	0.141	-0.473
YGR271W	-0.013	-0.318
YDR528W	-0.342	0.010
YDR174W	0.013	-0.344
YMR291W	0.101	-0.432
YOR047C	-0.096	-0.234
YDR256C	0.055	-0.385
YAR002C-A	-0.044	-0.286
YBR194W	0.066	-0.395
YIL077C	0.326	-0.655
YDR419W	-0.336	0.008
YEL072W	-0.164	NaN
YER050C	0.042	-0.369
YLR018C	-0.070	-0.257
YOR284W	-0.410	0.083
YNL087W	-0.168	-0.159
YDR133C	-0.114	-0.213
YPR001W	-0.271	-0.056
YNL052W	-0.810	0.484
YKR089C	-0.094	-0.231
YCR001W	-0.179	-0.146
YBL106C	-0.062	-0.262
YER004W	-0.425	0.101
YGR224W	0.146	-0.470
YMR283C	0.533	-0.857
YBR175W	-0.899	0.576
YOR041C	-0.102	-0.219
YBR013C	-0.005	-0.316
YLR188W	-0.309	-0.012
YBR249C	-0.102	-0.219
YJR053W	0.231	-0.552
YLR035C	-0.033	-0.287
YBL036C	-0.094	-0.227
YMR137C	0.005	-0.325
YBL081W	-0.245	-0.075
YNL053W	0.009	-0.328
YGL064C	-0.197	-0.122
YGL162W	-0.141	-0.177
YDR051C	-0.196	-0.121
YPL114W	0.049	-0.365
YOL048C	-0.312	-0.002
YER016W	0.185	-0.499
YLR211C	0.005	-0.319
YPL108W	-0.144	-0.170
YDR475C	0.175	-0.180
YDL045W-A	-1.126	0.813
YGL117W	0.181	-0.493
YDR282C	0.172	-0.484
YLR264W	0.315	-0.627
YDR387C	-0.082	-0.230
YIL045W	-0.412	0.101
YDL213C	-0.436	0.126
YBR206W	-0.123	-0.188
YAL022C	-0.269	-0.040
YOL052C-A	-0.167	-0.141
YER060W-A	-0.110	-0.199
YIL165C	-0.106	-0.202
