orf	hap alpha | replicative lifespan (SEBYL) | standard | SC | Yu R~Dang W, 2021
YDR522C	20.30333333
YDR524C	21.095
YDR525W	19.80666667
YDR525W-A	20.8
YDR530C	20.135
YDR534C	19.12833333
YDR536W	19.875
YDR537C	20.47
YDR538W	21.69666667
YDR539W	20.245
YDR541C	21.45333333
YEL001C	21.66666667
YEL003W	17.49
YEL005C	24.37
YEL006W	21.145
YEL009C	21.02666667
YEL010W	20.9
YEL011W	21.22333333
YEL012W	19.58333333
YEL013W	17.39166667
YEL014C	21.36333333
YEL016C	20.55
YEL017C-A	21.55
YEL018W	18.3775
YEL023C	21.41833333
YEL024W	22.585
YEL028W	19.71
YEL030W	20.13666667
YEL031W	24.02
YEL033W	19.585
YEL037C	18.01
YEL038W	17.96
YEL039C	19.15
YEL040W	18.405
YEL041W	21.405
YEL042W	22.32333333
YEL043W	22.955
YEL048C	20.93
YEL049W	20.915
YEL050C	22.78
YEL052W	19.64
YEL053C	18.535
YEL054C	19.5725
YEL056W	20.26666667
YEL060C	20.02666667
YEL062W	17.63333333
YEL063C	19.775
YEL065W	20.96
YEL066W	20.73333333
YEL067C	21.12
YEL068C	21.4575
YEL071W	21.1125
YEL072W	19.06166667
YER001W	20.8475
YER004W	24.19
YER005W	23.6175
YER007C-A	19.8225
YER019C-A	17.86833333
YER019W	13.2025
YER020W	17.6
YER024W	21.2975
YER027C	19.91833333
YER028C	22.07666667
YER030W	20.61
YER031C	19.54333333
YER032W	21.84
YER033C	20.08
YER037W	19.76
YER039C-A	21.61333333
YER040W	21.15833333
YER041W	19.48833333
YER042W	21.57166667
YER044C-A	20.85
YER045C	20.545
YER046W	20.565
YER046W-A	21.51
YER048C	14.385
YER049W	19.72833333
YER054C	20.83666667
YER055C	21.0
YER056C	19.47
YER056C-A	24.4
YER057C	17.045
YER058W	16.22
YER059W	19.57333333
YER060W	20.36
YER060W-A	20.67
YER061C	24.36333333
YER062C	20.3925
YER063W	20.5
YER064C	18.94333333
YER065C	19.07
YER066W	20.96666667
YER067C-A	20.35333333
YER067W	20.56666667
YER068C-A	19.605
YER069W	19.72
YER071C	19.98333333
YER072W	17.99666667
YER073W	18.35
YER074W	25.80166667
YER078C	20.355
YER079W	20.69666667
YER081W	21.2325
YER084W	19.77
