orf	hap a (post-SGA) | mutation frequency (mother enrichment program (MEP) escape) | estradiol [1 uM] | YPD | Novarina D~Chang M, 2019
YDL240W	16.6666666666667
YDL241W	16.6666666666667
YDL242W	61.1111111111111
YDL243C	61.1111111111111
YDR001C	22.2222222222222
YDR003W	27.7777777777778
YDR003W-A	11.1111111111111
YDR004W	83.3333333333333
YDR005C	50.0
YDR006C	11.1111111111111
YDR007W	61.1111111111111
YDR008C	11.1111111111111
YDR009W	22.2222222222222
YDR010C	16.6666666666667
YDR011W	33.3333333333333
YDR014W	50.0
YDR015C	16.6666666666667
YDR017C	61.1111111111111
YDR018C	16.6666666666667
YDR019C	22.2222222222222
YDR020C	27.7777777777778
YDR022C	44.4444444444444
YDR024W	50.0
YDR025W	50.0
YDR026C	33.3333333333333
YDR027C	22.2222222222222
YDR028C	33.3333333333333
YDR029W	11.1111111111111
YDR030C	50.0
YDR031W	27.7777777777778
YDR032C	44.4444444444444
YDR033W	66.6666666666667
YDR034C	38.8888888888889
YDR034W-B	33.3333333333333
YDR035W	33.3333333333333
YDR036C	33.3333333333333
YDR042C	27.7777777777778
YDR043C	16.6666666666667
YDR046C	44.4444444444444
YDR048C	11.1111111111111
YDR049W	22.2222222222222
YDR050C	72.2222222222222
YDR051C	61.1111111111111
YDR055W	50.0
YDR056C	27.7777777777778
YDR057W	50.0
YDR058C	22.2222222222222
YDR059C	33.3333333333333
YDR061W	33.3333333333333
YDR063W	50.0
YDR065W	22.2222222222222
YDR066C	50.0
YDR067C	38.8888888888889
YDR068W	38.8888888888889
YDR070C	50.0
YDR071C	22.2222222222222
YDR072C	27.7777777777778
YDR073W	22.2222222222222
YDR074W	44.4444444444444
YDR075W	22.2222222222222
YDR076W	83.3333333333333
YDR077W	33.3333333333333
YDR078C	83.3333333333333
YDR079C-A	100.0
YDR079W	33.3333333333333
YDR083W	38.8888888888889
YDR084C	38.8888888888889
YDR085C	11.1111111111111
YDR089W	11.1111111111111
YDR090C	27.7777777777778
YDR092W	61.1111111111111
YDR093W	50.0
YDR094W	11.1111111111111
YDR095C	44.4444444444444
YDR096W	22.2222222222222
YDR097C	100.0
YDR098C	22.2222222222222
YDR099W	50.0
YDR100W	50.0
YDR101C	27.7777777777778
YDR102C	27.7777777777778
YDR104C	27.7777777777778
YDR105C	27.7777777777778
YDR107C	16.6666666666667
YDR108W	16.6666666666667
YDR109C	44.4444444444444
YDR110W	44.4444444444444
YDR111C	27.7777777777778
YDR112W	11.1111111111111
YDR114C	16.6666666666667
YDR115W	38.8888888888889
YDR116C	11.1111111111111
YDR117C	16.6666666666667
YDR119W	22.2222222222222
YDR120C	55.5555555555556
YDR121W	16.6666666666667
YDR122W	11.1111111111111
YDR124W	61.1111111111111
YDR125C	61.1111111111111
YDR126W	11.1111111111111
YDR127W	11.1111111111111
YDR128W	44.4444444444444
YDR129C	38.8888888888889
YDR130C	38.8888888888889
YDR131C	16.6666666666667
YDR132C	38.8888888888889
YDR133C	33.3333333333333
YDR135C	27.7777777777778
YDR136C	27.7777777777778
YDR139C	33.3333333333333
YDR140W	22.2222222222222
YDR142C	33.3333333333333
YDR143C	16.6666666666667
YDR144C	22.2222222222222
YDR146C	50.0
YDR147W	55.5555555555556
YDR148C	44.4444444444444
YDR149C	27.7777777777778
YDR150W	16.6666666666667
YDR151C	22.2222222222222
YDR152W	16.6666666666667
YDR153C	38.8888888888889
YDR154C	5.55555555555556
YDR155C	27.7777777777778
YDR156W	11.1111111111111
YDR157W	33.3333333333333
YDR158W	55.5555555555556
YDR159W	100.0
YDR161W	50.0
YDR162C	27.7777777777778
YDR163W	16.6666666666667
YDR165W	27.7777777777778
YDR169C	11.1111111111111
YDR169C-A	61.1111111111111
YDR173C	38.8888888888889
YDR174W	27.7777777777778
YDR175C	44.4444444444444
YDR176W	38.8888888888889
YDR178W	11.1111111111111
YDR179C	27.7777777777778
YDR179W-A	11.1111111111111
YDR181C	38.8888888888889
YDR182W-A	22.2222222222222
YDR183W	5.55555555555556
YDR184C	16.6666666666667
YDR185C	11.1111111111111
YDR186C	55.5555555555556
YDR191W	44.4444444444444
YDR192C	5.55555555555556
YDR193W	50.0
YDR194C	5.55555555555556
YDR194W-A	61.1111111111111
YDR195W	100.0
YDR197W	38.8888888888889
YDR198C	22.2222222222222
YDR199W	5.55555555555556
YDR202C	33.3333333333333
YDR203W	11.1111111111111
YDR204W	0.0
YDR205W	27.7777777777778
YDR206W	5.55555555555556
YDR207C	38.8888888888889
YDR210W	11.1111111111111
YDR213W	22.2222222222222
YDR214W	22.2222222222222
YDR215C	22.2222222222222
YDR216W	66.6666666666667
YDR217C	61.1111111111111
YDR219C	22.2222222222222
YDR220C	22.2222222222222
YDR221W	33.3333333333333
YDR222W	11.1111111111111
YDR223W	11.1111111111111
YDR225W	33.3333333333333
YDR226W	11.1111111111111
YDR229W	33.3333333333333
YDR230W	16.6666666666667
YDR231C	16.6666666666667
YDR233C	22.2222222222222
YDR237W	5.55555555555556
YDR239C	44.4444444444444
YDR241W	27.7777777777778
YDR242W	38.8888888888889
YDR244W	22.2222222222222
YDR245W	33.3333333333333
YDR246W-A	38.8888888888889
YDR247W	44.4444444444444
YDR248C	22.2222222222222
YDR249C	44.4444444444444
YDR250C	33.3333333333333
YDR251W	55.5555555555556
YDR252W	38.8888888888889
YDR253C	44.4444444444444
YDR254W	33.3333333333333
YDR255C	33.3333333333333
YDR256C	27.7777777777778
YDR257C	55.5555555555556
YDR258C	5.55555555555556
YDR259C	16.6666666666667
YDR260C	55.5555555555556
YDR261C	16.6666666666667
YDR262W	22.2222222222222
YDR263C	22.2222222222222
YDR264C	44.4444444444444
YDR265W	38.8888888888889
YDR266C	33.3333333333333
YDR268W	55.5555555555556
YDR269C	50.0
YDR270W	66.6666666666667
YDR271C	27.7777777777778
YDR272W	33.3333333333333
YDR273W	27.7777777777778
YDR274C	27.7777777777778
YDR275W	16.6666666666667
YDR276C	11.1111111111111
YDR277C	16.6666666666667
YDR278C	16.6666666666667
YDR279W	66.6666666666667
YDR281C	33.3333333333333
YDR282C	33.3333333333333
YDR283C	22.2222222222222
YDR284C	11.1111111111111
YDR285W	16.6666666666667
YDR286C	22.2222222222222
YDR287W	27.7777777777778
YDR289C	38.8888888888889
YDR290W	44.4444444444444
YDR291W	33.3333333333333
YDR293C	33.3333333333333
YDR294C	11.1111111111111
