ORF	hom | sporulation efficiency | sporulation medium [unknown] | Deutschbauer AM~Davis RW, 2002	hom | growth (culture turbidity) | post-germination (YPD [standard], sporulation medium [unknown]) | Deutschbauer AM~Davis RW, 2002
YBR244W	0.311	NaN
YBR245C	1.000	1.000
YBR246W	1.000	1.000
YBR247C	1.000	1.000
YBR248C	1.000	1.000
YBR249C	1.000	1.000
YBR250W	1.000	1.000
YBR251W	1.000	1.000
YBR252W	1.000	1.000
YBR253W	1.000	1.000
YBR254C	1.000	1.000
YBR255W	NaN	0.890
YBR256C	1.000	1.000
YBR257W	1.000	1.000
YBR258C	1.000	1.000
YBR259W	1.000	1.000
YBR260C	1.000	1.000
YBR261C	1.000	1.000
YBR262C	1.000	1.000
YBR263W	1.000	1.000
YBR264C	1.000	1.000
YBR265W	1.000	1.000
YBR266C	1.000	1.000
YBR267W	1.000	1.000
YBR268W	1.000	1.000
YBR269C	1.000	1.000
YBR270C	1.000	1.000
YBR271W	1.000	1.000
YBR272C	1.000	1.000
YBR273C	1.000	1.000
YBR274W	1.000	1.000
YBR275C	1.000	1.000
YBR276C	1.000	1.000
YBR277C	1.000	1.000
YBR278W	1.000	1.000
YBR279W	1.000	1.000
YBR280C	1.000	1.000
YBR281C	1.000	1.000
YBR282W	1.000	1.000
YBR283C	1.000	1.000
YBR284W	1.000	1.000
YBR285W	1.000	1.000
YBR286W	1.000	1.000
YBR287W	1.000	1.000
YBR288C	1.000	1.000
YBR289W	1.000	1.000
YBR290W	1.000	1.000
YBR291C	1.000	1.000
YBR292C	1.000	1.000
YBR293W	1.000	1.000
YBR294W	1.000	1.000
YBR295W	1.000	1.000
YBR296C	1.000	1.000
YBR297W	1.000	1.000
YBR298C	1.000	1.000
YBR299W	1.000	1.000
YBR300C	1.000	1.000
YBR301W	1.000	1.000
YCL001W	1.000	1.000
YCL001W-A	1.000	1.000
YCL002C	1.000	1.000
YCL004W	1.000	1.000
YCL005W	0.315	NaN
YCL006C	1.000	1.000
YCL007C	1.000	1.000
YCL008C	0.489	NaN
YCL009C	1.000	1.000
YCL010C	0.293	NaN
YCL011C	1.000	1.000
YCL013W	1.000	1.000
YCL014W	1.000	1.000
YCL016C	1.547	0.798
YCL017C	1.000	1.000
YCL022C	1.000	1.000
YCL023C	1.000	1.000
YCL024W	1.000	1.000
YCL025C	1.000	1.000
YCL026C	1.000	1.000
YCL026C-A	1.000	1.000
YCL027W	1.000	1.000
YCL028W	1.000	1.000
YCL029C	1.000	1.000
YCL030C	1.000	1.000
YCL031C	1.000	1.000
YCL032W	1.365	0.937
YCL033C	1.000	1.000
YCL034W	1.000	1.000
YCL035C	1.000	1.000
YCL036W	1.000	1.000
YCL037C	1.000	1.000
YCL038C	1.000	1.000
YCL039W	0.552	NaN
YCL040W	1.000	1.000
YCL041C	1.000	1.000
YCL042W	1.000	1.000
YCL043C	1.000	1.000
YCL044C	1.000	1.000
YCL045C	1.000	1.000
YCL046W	1.000	1.000
YCL047C	1.000	1.000
YCL048W	1.000	1.000
YCL049C	1.000	1.000
YCL050C	1.000	1.000
YCL051W	1.000	1.000
YCL052C	1.000	1.000
YCL053C	1.000	1.000
YCL054W	1.000	1.000
YCL055W	0.269	NaN
YCL056C	1.000	1.000
YCL057W	1.000	1.000
YCL058C	1.000	1.000
YCL059C	1.000	1.000
YCL061C	1.000	1.000
YCL063W	1.000	1.000
YCL064C	1.000	1.000
YCL069W	1.000	1.000
YCL074W	1.000	1.000
YCL075W	1.000	1.000
YCL076W	1.000	1.000
YCR001W	1.000	1.000
YCR002C	1.000	1.000
YCR003W	NaN	0.815
YCR004C	1.000	1.000
YCR005C	1.000	1.000
YCR006C	1.000	1.000
YCR007C	1.000	1.000
YCR008W	1.000	1.000
YCR009C	1.000	1.000
YCR010C	0.468	NaN
YCR011C	1.000	1.000
YCR012W	1.000	1.000
YCR013C	1.000	1.000
YCR014C	1.000	1.000
YCR015C	1.000	1.000
YCR016W	1.000	1.000
YCR017C	1.469	NaN
YCR019W	1.000	1.000
YCR020C	1.000	1.000
YCR020C-A	1.000	1.000
YCR020W-B	1.000	1.000
YCR021C	1.000	1.000
YCR022C	1.000	1.000
YCR023C	1.000	1.000
YCR024C	1.000	1.000
YCR024C-A	1.000	1.000
YCR025C	1.000	1.000
YCR026C	1.000	1.000
YCR027C	1.000	1.000
YCR028C	1.000	1.000
YCR028C-A	1.000	1.000
YCR030C	1.000	1.000
YCR031C	1.000	1.000
YCR032W	1.000	1.000
YCR033W	1.000	1.000
YCR034W	1.000	1.000
YCR035C	1.000	1.000
YCR036W	1.000	1.000
YCR037C	1.000	1.000
YCR043C	1.000	1.000
YCR044C	1.000	1.000
YCR045C	0.436	NaN
YCR046C	1.000	1.000
YCR047C	1.000	1.000
YCR048W	1.000	1.000
YCR049C	1.000	1.000
YCR050C	1.000	1.000
YCR051W	1.000	1.000
YCR052W	1.000	1.000
YCR053W	0.500	NaN
YCR054C	1.000	1.000
YCR057C	1.000	1.000
YCR059C	1.000	1.000
YCR060W	1.000	1.000
YCR061W	1.000	1.000
YCR063W	1.000	1.000
YCR064C	1.000	1.000
YCR065W	1.000	1.000
YCR066W	1.000	1.000
YCR067C	NaN	0.962
YCR068W	0.436	NaN
YCR069W	1.000	1.000
YCR071C	1.000	1.000
YCR072C	1.000	1.000
YCR073C	1.000	1.000
YCR073W-A	1.000	1.000
YCR075C	1.000	1.000
YCR076C	1.000	1.000
YCR077C	NaN	0.706
YCR079W	1.000	1.000
YCR081W	0.373	NaN
YCR082W	1.000	1.000
YCR083W	1.000	1.000
YCR084C	1.000	1.000
YCR085W	1.000	1.000
YCR086W	NaN	0.833
YCR087C-A	1.000	1.000
YCR087W	1.000	1.000
YCR088W	1.000	1.000
YCR089W	1.356	NaN
YCR090C	1.000	1.000
YCR091W	1.000	1.000
YCR092C	1.000	1.000
YCR093W	1.000	1.000
YCR094W	1.000	1.000
YCR095C	1.000	1.000
YCR098C	1.000	1.000
YCR099C	1.000	1.000
YCR100C	1.000	1.000
YCR101C	1.000	1.000
YCR102C	1.000	1.000
YCR102W-A	1.000	1.000
YCR105W	1.000	1.000
YCR106W	1.000	1.000
YCR107W	1.000	1.000
YDL001W	NaN	0.879
YDL002C	1.000	1.000
YDL003W	1.000	1.000
YDL004W	1.000	1.000
YDL005C	1.000	1.000
YDL006W	NaN	0.774
YDL007W	1.000	1.000
YDL008W	1.000	1.000
YDL009C	1.000	1.000
YDL010W	1.000	1.000
YDL011C	1.000	1.000
YDL012C	1.000	1.000
YDL013W	1.000	1.000
YDL014W	1.000	1.000
YDL015C	1.000	1.000
YDL016C	1.000	1.000
YDL017W	1.000	1.000
YDL018C	1.000	1.000
YDL019C	1.000	1.000
YDL020C	1.000	1.000
YDL021W	NaN	0.770
YDL022W	1.000	1.000
YDL023C	1.000	1.000
YDL024C	1.000	1.000
YDL025C	1.000	1.000
YDL026W	1.000	1.000
YDL027C	1.000	1.000
YDL028C	1.000	1.000
YDL029W	1.000	1.000
YDL030W	1.000	1.000
YDL031W	1.000	1.000
YDL032W	1.000	1.000
YDL033C	1.000	1.000
YDL034W	1.000	1.000
YDL035C	1.327	NaN
YDL036C	1.000	1.000
YDL037C	1.000	1.000
YDL039C	1.000	1.000
YDL040C	1.000	1.000
YDL041W	0.570	NaN
YDL042C	1.000	1.000
YDL043C	1.000	1.000
YDL044C	1.000	1.000
YDL045C	1.000	1.000
YDL045W-A	1.000	1.000
YDL046W	1.000	1.000
YDL047W	1.000	1.000
YDL048C	1.000	1.000
YDL049C	1.000	1.000
YDL050C	1.000	1.000
YDL051W	1.000	1.000
YDL052C	1.000	1.000
YDL053C	1.000	1.000
YDL054C	1.000	1.000
YDL055C	1.000	1.000
YDL056W	1.000	1.000
YDL057W	1.000	1.000
YDL058W	1.000	1.000
YDL059C	1.000	1.000
YDL060W	1.000	1.000
YDL061C	1.000	1.000
YDL062W	1.000	1.000
YDL063C	1.000	1.000
YDL064W	1.000	1.000
YDL065C	1.000	1.000
YDL066W	1.361	NaN
YDL067C	1.000	1.000
YDL068W	1.000	1.000
YDL069C	1.000	1.000
YDL070W	1.000	1.000
YDL071C	1.000	1.000
YDL072C	1.000	1.000
YDL073W	1.000	1.000
YDL074C	0.376	NaN
YDL075W	1.000	1.000
YDL076C	1.000	1.000
YDL077C	0.309	NaN
YDL078C	1.000	1.000
YDL079C	1.000	1.000
YDL080C	1.000	1.000
YDL081C	1.000	1.000
YDL082W	1.000	1.000
YDL083C	1.000	1.000
YDL084W	1.000	1.000
YDL085W	1.000	1.000
YDL086W	1.000	1.000
YDL087C	1.000	1.000
YDL088C	1.000	1.000
YDL089W	1.000	1.000
YDL090C	1.000	1.000
YDL091C	1.000	1.000
YDL092W	1.000	1.000
YDL093W	1.000	1.000
YDL094C	1.000	1.000
YDL095W	1.000	1.000
YDL096C	1.000	1.000
YDL097C	1.000	1.000
YDL098C	1.000	1.000
YDL099W	1.000	1.000
YDL100C	1.000	1.000
YDL101C	1.000	1.000
YDL102W	1.000	1.000
YDL103C	1.000	1.000
YDL104C	1.000	1.000
YDL105W	1.000	1.000
YDL106C	1.000	1.000
YDL107W	1.000	1.000
YDL108W	1.000	1.000
YDL109C	1.000	1.000
YDL110C	1.000	1.000
YDL111C	1.000	1.000
YDL112W	1.000	1.000
YDL113C	1.000	1.000
YDL114W	0.482	NaN
YDL115C	1.000	1.000
YDL116W	1.000	1.000
YDL117W	1.000	1.000
YDL118W	0.468	NaN
YDL119C	1.000	1.000
YDL120W	1.000	1.000
YDL121C	1.000	1.000
YDL122W	1.000	1.000
YDL123W	1.000	1.000
YDL124W	1.000	1.000
YDL125C	1.000	1.000
YDL126C	1.000	1.000
YDL127W	1.000	1.000
YDL128W	1.000	1.000
YDL129W	1.000	1.000
YDL130W	1.000	1.000
YDL130W-A	1.000	1.000
YDL131W	1.000	1.000
YDL132W	1.000	1.000
YDL133C-A	1.000	1.000
YDL133W	NaN	0.785
YDL134C	1.426	NaN
YDL135C	1.000	1.000
YDL136W	1.000	1.000
YDL137W	1.000	1.000
YDL138W	1.000	1.000
YDL139C	1.000	1.000
YDL140C	1.000	1.000
YDL141W	1.000	1.000
YDL142C	1.000	1.000
YDL143W	1.000	1.000
YDL144C	1.000	1.000
YDL145C	1.000	1.000
YDL146W	1.000	1.000
YDL147W	1.000	1.000
YDL148C	1.000	1.000
YDL149W	0.386	NaN
YDL150W	1.000	1.000
YDL151C	1.000	1.000
YDL152W	1.000	1.000
YDL153C	1.000	1.000
YDL154W	1.000	1.000
YDL155W	1.000	1.000
YDL156W	1.000	1.000
YDL157C	1.000	1.000
YDL158C	1.000	1.000
YDL159W	1.000	1.000
YDL160C	1.000	1.000
YDL161W	1.000	1.000
YDL162C	1.000	1.000
YDL163W	1.000	1.000
YDL164C	1.000	1.000
YDL165W	1.000	1.000
YDL166C	1.000	1.000
YDL167C	1.000	1.000
YDL168W	1.000	1.000
YDL169C	1.000	1.000
YDL170W	1.000	1.000
YDL171C	1.000	1.000
YDL172C	1.000	1.000
YDL173W	1.000	1.000
YDL174C	1.000	1.000
YDL175C	1.000	1.000
YDL176W	1.000	1.000
YDL177C	1.000	1.000
YDL178W	1.000	1.000
YDL179W	1.000	1.000
YDL180W	1.000	1.000
YDL181W	1.000	1.000
YDL182W	1.000	1.000
YDL183C	NaN	0.903
YDL184C	1.000	1.000
YDL185W	1.000	1.000
YDL186W	1.000	1.000
YDL187C	1.000	1.000
YDL188C	1.000	1.000
YDL189W	1.000	1.000
YDL190C	0.422	NaN
YDL191W	1.000	1.000
YDL192W	1.000	1.000
YDL193W	1.000	1.000
YDL194W	1.000	1.000
YDL195W	1.000	1.000
YDL196W	1.000	1.000
YDL197C	1.000	1.000
YDL198C	1.000	1.000
YDL199C	1.000	1.000
YDL200C	1.000	1.000
YDL201W	1.000	1.000
YDL202W	1.000	1.000
YDL203C	1.000	1.000
YDL204W	1.000	1.000
YDL205C	1.000	1.000
YDL206W	1.000	1.000
YDL207W	1.000	1.000
YDL208W	1.000	1.000
YDL209C	1.000	1.000
YDL210W	1.000	1.000
YDL211C	1.000	1.000
YDL212W	1.000	1.000
YDL213C	NaN	0.753
YDL214C	1.000	1.000
YDL215C	1.000	1.000
YDL216C	1.000	1.000
YDL217C	1.000	1.000
YDL218W	1.000	1.000
YDL219W	1.000	1.000
YDL220C	1.000	1.000
YDL221W	1.000	1.000
YDL222C	1.000	1.000
YDL223C	1.000	1.000
YDL224C	1.000	1.000
YDL225W	1.000	1.000
YDL226C	1.000	1.000
YDL227C	1.000	1.000
YDL229W	1.000	1.000
YDL230W	1.000	1.000
YDL231C	1.000	1.000
YDL232W	1.000	1.000
YDL233W	1.000	1.000
YDL234C	1.000	1.000
YDL235C	1.000	1.000
YDL236W	1.000	1.000
YDL237W	1.000	1.000
YDL238C	1.000	1.000
YDL239C	1.000	1.000
YDL240W	1.000	1.000
YDL241W	1.000	1.000
YDL242W	1.000	1.000
YDL243C	1.000	1.000
YDR001C	1.000	1.000
YDR002W	1.000	1.000
YDR003W	1.000	1.000
YDR004W	NaN	0.703
YDR005C	0.300	NaN
YDR006C	1.000	1.000
YDR007W	1.000	1.000
YDR008C	1.000	1.000
YDR009W	1.000	1.000
YDR010C	1.000	1.000
YDR011W	1.000	1.000
YDR013W	1.000	1.000
YDR014W	1.000	1.000
YDR015C	1.000	1.000
YDR016C	1.000	1.000
YDR017C	1.000	1.000
YDR018C	1.000	1.000
YDR019C	1.000	1.000
YDR020C	1.000	1.000
YDR021W	1.000	1.000
YDR022C	0.436	NaN
YDR023W	1.000	1.000
YDR024W	1.000	1.000
YDR025W	1.000	1.000
YDR026C	1.000	1.000
YDR027C	1.000	1.000
YDR028C	1.000	1.000
YDR029W	1.000	1.000
YDR030C	1.000	1.000
YDR031W	1.000	1.000
YDR032C	1.000	1.000
YDR033W	1.000	1.000
YDR034C	1.000	1.000
YDR035W	1.000	1.000
YDR036C	1.000	1.000
YDR037W	1.000	1.000
YDR041W	1.000	1.000
YDR042C	1.000	1.000
YDR043C	1.000	1.000
YDR044W	1.000	1.000
YDR045C	1.000	1.000
YDR046C	1.000	1.000
YDR047W	1.000	1.000
YDR048C	1.000	1.000
YDR049W	1.000	1.000
YDR050C	1.000	1.000
YDR051C	1.000	1.000
YDR052C	1.000	1.000
YDR053W	1.000	1.000
YDR054C	1.000	1.000
YDR055W	1.000	1.000
YDR056C	1.000	1.000
YDR057W	1.000	1.000
YDR058C	1.000	1.000
YDR059C	1.000	1.000
YDR060W	1.000	1.000
YDR061W	1.000	1.000
YDR062W	1.000	1.000
YDR063W	1.000	1.000
YDR064W	1.000	1.000
YDR065W	1.000	1.000
YDR066C	1.000	1.000
YDR067C	1.000	1.000
YDR068W	1.000	1.000
YDR069C	1.000	1.000
YDR070C	1.000	1.000
