ORF	hap a | growth (AUC) | standard | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [50 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [150 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004
YGL037C	-0.095	0.536	0.260
YGL039W	-0.805	-0.028	-0.363
YGL041C	0.408	-0.757	0.014
YGL042C	-0.746	1.481	0.012
YGL043W	0.612	-0.893	-1.501
YGL045W	1.607	-2.287	-2.204
YGL049C	-1.605	1.959	1.369
YGL050W	-0.520	-0.473	-0.169
YGL051W	0.464	0.016	-0.689
YGL053W	-0.683	2.070	1.871
YGL054C	-0.919	1.456	1.758
YGL056C	-0.884	1.095	-0.295
YGL057C	-0.343	0.423	0.184
YGL058W	-4.476	-8.959	-5.092
YGL059W	-0.597	-0.660	0.303
YGL060W	0.593	-1.783	-0.385
YGL062W	1.457	-0.929	-0.370
YGL063W	-0.165	0.422	0.582
YGL064C	0.010	1.049	2.790
YGL066W	0.437	-2.628	-4.016
YGL067W	0.961	-1.068	-0.290
YGL071W	-6.368	-2.264	-2.865
YGL072C	-2.253	5.490	4.363
YGL076C	-11.521	8.753	5.420
YGL077C	-1.270	1.781	0.070
YGL078C	-0.841	1.321	2.562
YGL079W	3.238	-4.528	-3.381
YGL080W	1.644	-1.699	-1.551
YGL081W	1.235	-1.215	-0.676
YGL082W	-0.700	1.589	1.750
YGL083W	-0.545	1.164	1.062
YGL084C	-2.688	5.069	4.123
YGL085W	0.891	-0.399	-0.311
YGL086W	-1.179	2.675	0.993
YGL087C	0.711	-0.036	-1.760
YGL089C	0.241	-0.380	-0.537
YGL090W	-0.836	2.178	2.053
YGL094C	1.042	-0.738	-1.777
YGL096W	1.238	-1.588	-1.129
YNL242W	1.854	-1.156	-1.722
YNL241C	-12.016	26.142	25.383
YNL239W	0.731	-0.436	-0.454
YNL238W	-3.142	4.296	1.818
YNL237W	1.004	0.219	-0.458
YNL236W	-7.400	-4.600	-2.193
YNL235C	-0.976	1.533	-2.235
YNL234W	0.492	-0.434	-0.235
YNL233W	-1.385	2.577	2.302
YNL231C	-0.195	-1.776	-1.013
YNL230C	-0.228	-0.521	-1.752
YNL229C	-16.984	NaN	NaN
YNL228W	-1.532	1.847	2.486
YNL226W	-2.396	2.659	2.746
YNL227C	-2.334	2.972	4.250
YNL224C	0.629	-0.405	-0.953
YNL223W	-0.661	1.363	0.484
YNL219C	-0.066	0.921	0.265
YNL218W	-0.034	0.412	1.023
YNL217W	-0.587	1.671	1.073
YNL215W	-2.392	2.362	-2.806
YNL214W	0.372	-1.746	-2.976
YNL213C	-1.065	1.672	2.476
YNL212W	2.336	-3.057	-3.884
YNL211C	1.343	-1.774	-1.288
YNL208W	0.742	-0.558	-1.059
YNL206C	-0.835	2.810	1.708
YNL205C	-0.823	1.592	-0.031
YNL204C	-2.573	4.243	1.827
YNL202W	0.148	-0.951	-0.692
YNL203C	-0.240	0.311	0.176
YNL201C	-0.182	0.038	0.319
YNL200C	0.051	-0.828	-0.913
YNL199C	-3.031	2.552	-0.507
YNL198C	-2.920	2.210	-0.372
YNL197C	2.960	-3.427	-4.645
YNL196C	0.763	-1.107	-1.781
YNL195C	0.431	-1.266	-2.027
YNL194C	-0.144	-1.094	-0.972
YNL193W	-1.522	2.007	1.207
YNL192W	-3.891	6.786	6.886
YNL191W	-0.643	-0.479	-0.535
YNL190W	-0.326	-1.040	-1.155
YNL187W	0.309	-0.400	-1.660
YNL184C	-3.228	3.348	3.824
YNL183C	-0.053	-2.134	-4.791
YNL179C	-1.248	1.679	0.458
YNL177C	-0.633	3.013	2.231
YNL176C	0.075	-0.778	-1.915
YNL175C	1.008	-0.774	-0.452
YNL173C	1.437	-0.635	-1.034
YNL170W	-8.880	17.824	15.091
YNL171C	-1.902	-1.597	-6.512
YNL169C	-2.647	0.840	0.731
YNL168C	0.779	-0.345	-1.184
YNL167C	0.387	-1.117	-3.138
YNL166C	-1.518	2.128	2.468
YNL165W	-1.921	3.404	2.740
YNL164C	1.521	-0.751	-1.177
YNL162W	0.378	-0.473	-1.364
YNL160W	-1.265	1.791	2.821
YNL159C	0.307	-0.571	-0.676
YNL157W	0.246	-1.520	-1.379
YNL156C	1.088	-0.919	-1.724
YNL155W	-0.486	0.128	-0.313
YNL154C	2.728	-2.364	-2.537
YNL148C	-7.440	13.299	6.461
YKL191W	-0.659	1.011	0.560
YKL197C	-1.015	-0.097	-1.270
YKL198C	0.338	-0.295	-0.270
YKL201C	-0.233	1.083	0.431
YKL205W	-0.683	0.910	0.704
YKL206C	-1.023	0.683	-0.269
YKL207W	-0.373	0.947	-0.114
YKL208W	-1.395	1.579	1.425
YKL211C	1.278	-0.620	-0.655
YKL212W	-8.145	-5.397	-1.427
YKL213C	2.300	-4.088	-10.805
YKL214C	-1.064	0.774	0.633
YKL216W	-0.559	-1.399	-3.071
YKL217W	0.349	0.967	0.587
YKL218C	2.546	-3.224	-3.827
YKL221W	-0.250	0.085	0.237
YKL222C	0.808	-1.487	-1.482
YKR001C	0.876	-0.438	0.279
YKR003W	1.070	-1.638	-1.000
YKR005C	0.571	-0.406	-1.258
YKR007W	-4.881	5.658	2.159
YKR009C	0.356	0.299	-0.173
YKR011C	0.713	-0.625	-0.188
YKR012C	-1.488	1.364	1.259
YKR013W	0.855	-1.686	-1.483
YKR014C	1.491	-1.070	-1.153
YKR015C	1.540	-1.963	-2.226
YKR016W	-1.194	2.876	2.001
YKR017C	0.464	0.069	-0.232
YKR018C	-0.033	-0.052	-0.269
YKR020W	0.213	-1.363	-1.563
