orf	hap a | growth (AUC) | standard | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [50 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [150 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004
YNL307C	0.24989906753245855	-1.1511630617128752	-3.1463235010993147
YNL309W	-0.3585851154029861	0.7441055011401339	0.6999939887423283
YNL311C	0.47958426640531476	-0.38263275339937497	-0.15287698752766193
YNL314W	-0.5206860080753317	0.5504112533448664	1.0374708698867916
YNL315C	-2.5492734492326865	4.197808310810736	3.162209948163793
YNL316C	0.21013622639716303	-0.07464728324300715	0.1668262965614656
YNL318C	0.47123093883452977	-0.23092345330649225	0.215540576258301
YNL319W	-0.20857588355461743	-0.9976852730836362	-2.2708766171413237
YNL320W	0.6229997546764448	-0.3949728258493594	-0.13631649996146986
YNL321W	0.294508591980938	-0.5360114271442423	-0.28870918920938604
YNL322C	0.02953778526597287	0.11341578616962504	0.006458917918501502
YNL323W	-0.07178544818445522	0.23944846862370484	0.3662592632392239
YNL324W	0.7778306223790146	-0.4739658686991381	-0.23308057758753697
YNL325C	-0.39952518711047624	0.4255944755306121	0.6530440872404705
YNL326C	0.10089799590814992	0.1897375927763159	0.22910998133847868
YNL327W	-0.36656899295377376	0.5494412122623353	0.2969146575099014
YNL328C	0.01513549635082646	-0.09896753440379823	-0.09844496263217661
YNL329C	-0.26577801800673173	0.251754812597246	0.07884756490729783
YNL330C	0.075681466577152	0.04977944161342873	0.20908224104331902
YNL332W	0.08508052556047159	0.14339554513625047	0.45163987455158394
YNL333W	-0.07664465522713086	0.4026403174180673	0.7368638047252257
YNL334C	0.045273851371956254	-0.22540806007171943	0.026280432485435507
YNL335W	-0.19570148963742598	0.16356216981133279	0.3823197396216892
YNL336W	0.3157864083868801	-0.23433720650229406	0.034750845656070804
YNL338W	-0.010425435541185371	0.2767510919091888	0.3732468510714844
YNL339C	0.15853846089246484	0.15067309597013528	0.2940717897729334
YNR001C	-0.08273744962471209	0.19351399951920628	0.10162617153986288
YNR002C	-0.2469235432573816	0.3147926738970027	0.3820733725235737
YNR004W	-0.4612609116384887	0.6766799169109212	0.6314306773187219
YNR005C	0.26731331339029396	-0.6123192501225566	-0.7209983791438811
