ORF	hap a | mother:daughter asymmetric inheritance of protein aggregates (Hsp104-GFP) | transient heat shock (42° [30 min]) | Hill SM~Nystroem T, 2016
YMR159C	1.107
YDR276C	1.107
YOR314W	1.107
YMR042W	1.107
YLL060C	1.107
YJL147C	1.107
YOL085C	1.107
YKL187C	1.107
YJL098W	1.106
YJR037W	1.106
YLR207W	1.106
YJL130C	1.106
YJR009C	1.106
YJL020C	1.041
YKL191W	1.106
YJL159W	1.105
YMR009W	1.105
YAL056W	1.105
YBR078W	1.105
YKL213C	1.105
YOL048C	1.104
YOL093W	1.104
YBR138C	1.104
YOR237W	1.104
YGR050C	1.103
YNR067C	1.103
YHR047C	1.103
YGL181W	1.103
YOR050C	1.103
YDR406W	1.103
YHR189W	1.103
YGR237C	1.103
YJR052W	1.103
YJR030C	1.102
YOL081W	1.102
YER115C	1.102
YOR028C	1.102
YOR107W	1.102
YOR016C	1.101
YJR015W	1.101
YGL179C	1.101
YKL132C	1.101
YPL092W	1.101
YML104C	1.101
YAL042C-A	1.101
YOR274W	1.101
YGL242C	1.101
YJR019C	1.101
YKL128C	1.100
YGL066W	1.100
YBR130C	1.100
YLR386W	1.100
YGR163W	1.100
YPR083W	1.100
YOR289W	1.100
YKR074W	1.100
YJL110C	1.100
YLR325C	1.100
YHL014C	1.100
YMR275C	1.099
YBL079W	1.099
YOL114C	1.099
YLR035C	1.099
YOR349W	1.099
YMR209C	1.099
YNL180C	1.098
YMR175W	1.098
YMR183C	1.098
YNL135C	1.098
YKL071W	1.098
YMR222C	1.098
YML120C	1.098
YGR241C	1.098
YDL001W	1.098
YKR064W	1.097
YGR266W	1.097
YMR056C	1.097
YOR062C	1.097
YJR087W	1.097
YNL090W	1.096
YIL013C	1.096
YLL017W	1.096
YIL015W	1.096
YDL161W	1.096
YGL077C	1.096
YJR062C	1.096
YPL112C	1.095
YDL106C	1.095
YDR467C	1.095
YLR394W	1.095
YMR015C	1.095
YKR101W	1.094
YFL042C	1.027
YNL233W	1.094
YDL124W	1.094
YLR414C	1.094
YLR211C	1.094
YKL161C	1.094
YJR088C	1.093
YMR274C	1.093
YLR135W	1.093
YLR036C	1.093
YIL005W	1.093
YOR033C	1.093
YGL090W	1.092
YGL210W	1.092
YJL149W	1.092
YMR007W	1.092
YDR505C	1.092
YNL238W	1.092
YLR031W	1.092
YJR094C	1.092
YOR242C	1.091
YKR080W	1.091
YLR400W	1.091
YKR084C	1.091
YCR014C	1.091
YOR079C	1.091
YHR199C	1.091
YKR097W	1.091
YMR031W-A	1.090
YDL138W	1.090
YIL037C	1.090
YLL044W	1.090
YDL093W	1.090
YDR438W	1.090
YLL051C	1.090
YKL183W	1.090
YOR189W	1.090
YPL161C	1.090
YBL047C	1.089
YGL158W	1.089
YKL072W	1.089
YMR006C	1.089
YMR161W	1.089
YMR305C	1.089
YNL338W	1.089
YKL065C	1.089
YPL105C	1.088
YDL036C	1.088
YPR129W	1.088
YDR403W	1.088
YOR173W	1.088
YDR223W	1.088
YBL098W	1.087
YER056C-A	1.087
YMR225C	1.087
YOR011W	1.087
YML071C	1.087
YBR157C	1.087
YOL064C	1.087
YOR164C	1.087
YLR171W	1.087
YER176W	1.087
YOR008C-A	1.087
YER145C	1.086
YML119W	1.086
YGL016W	1.086
YHR048W	1.086
YDL117W	1.086
YJR010C-A	1.086
YHR087W	1.086
YOR384W	1.085
YML001W	1.085
YMR317W	1.085
YDR270W	1.085
YJL144W	1.085
YAL022C	1.085
YBR128C	1.085
YOL054W	1.085
YML107C	1.085
YHL040C	1.084
YKR047W	1.084
YER057C	1.084
YML106W	1.084
YML008C	1.084
YHR004C	1.084
YMR194W	1.083
YCR026C	1.083
YJL116C	1.083
YGL177W	1.083
YGR059W	1.083
YGR261C	1.083
YBR184W	1.083
YKL068W	1.083
YMR315W	1.083
YJR008W	1.083
YDR179W-A	1.082
YML016C	1.082
