ORF	hom | growth (pooled culture) | Sodium pyrithione [8.35 uM] | YPD | Aiyar RS~Steinmetz LM, 2014	het | growth (pooled culture) | Sodium pyrithione [8.35 uM] | YPD | Aiyar RS~Steinmetz LM, 2014
YBR196C-B	-1.619	NaN
YBR197C	-0.129	NaN
YBR198C	NaN	4.051
YBR199W	0.682	NaN
YBR200W	NaN	NaN
YBR200W-A	0.219	NaN
YBR201W	0.470	NaN
YBR202W	NaN	-0.153
YBR203W	-0.294	NaN
YBR204C	-0.575	NaN
YBR205W	0.066	NaN
YBR206W	-1.021	NaN
YBR207W	0.059	NaN
YBR208C	0.525	NaN
YBR209W	NaN	-0.559
YBR210W	-1.039	NaN
YBR211C	NaN	-1.079
YBR212W	0.260	NaN
YBR213W	-0.622	NaN
YBR214W	0.299	NaN
YBR215W	0.070	NaN
YBR216C	-0.604	NaN
YBR217W	-0.424	NaN
YBR218C	0.168	NaN
YBR219C	0.620	NaN
YBR220C	0.312	NaN
YBR221C	0.192	NaN
YBR221W-A	0.425	NaN
YBR222C	0.021	NaN
YBR223C	-0.025	NaN
YBR224W	0.172	NaN
YBR225W	0.594	NaN
YBR226C	-0.780	NaN
YBR227C	0.801	NaN
YBR228W	-0.222	NaN
YBR229C	-0.181	NaN
YBR230C	-1.674	NaN
YBR230W-A	NaN	NaN
YBR231C	-2.982	NaN
YBR232C	-1.932	NaN
YBR233W	-0.782	NaN
YBR233W-A	NaN	-1.579
YBR234C	NaN	-3.603
YBR235W	0.055	NaN
YBR236C	NaN	-0.965
YBR237W	NaN	-0.176
YBR238C	-1.301	NaN
YBR239C	0.247	NaN
YBR240C	-0.117	NaN
YBR241C	-0.120	NaN
YBR242W	0.189	NaN
YBR243C	NaN	-1.822
YBR244W	-0.070	NaN
YBR245C	-1.245	NaN
YBR246W	1.037	NaN
YBR247C	NaN	1.814
YBR248C	0.517	NaN
YBR249C	-0.130	NaN
YBR250W	-1.320	NaN
YBR251W	0.024	NaN
YBR252W	NaN	-1.893
YBR253W	NaN	-0.116
YBR254C	NaN	-2.376
YBR255W	0.426	NaN
YBR256C	NaN	-0.970
YBR257W	NaN	-0.131
YBR258C	-0.873	NaN
YBR259W	0.921	NaN
YBR260C	0.816	NaN
YBR261C	-1.113	NaN
YBR262C	-0.568	NaN
YBR263W	0.536	NaN
YBR264C	-0.413	NaN
YBR265W	NaN	-2.057
YBR266C	1.154	NaN
YBR267W	1.289	NaN
YBR268W	-0.570	NaN
YBR269C	-0.304	NaN
YBR270C	-0.592	NaN
YBR271W	-0.531	NaN
YBR272C	0.098	NaN
YBR273C	-0.545	NaN
YBR274W	1.316	NaN
YBR275C	-0.883	NaN
YBR276C	0.417	NaN
YBR277C	2.996	NaN
YBR278W	1.696	NaN
YBR279W	1.107	NaN
YBR280C	0.268	NaN
YBR281C	-3.356	NaN
YBR282W	-0.544	NaN
YBR283C	NaN	NaN
YBR284W	0.489	NaN
YBR285W	-1.520	NaN
YBR286W	-0.883	NaN
YBR287W	0.448	NaN
YBR288C	-0.038	NaN
YBR289W	NaN	NaN
YBR290W	0.189	NaN
YBR291C	-0.272	NaN
YBR292C	0.695	NaN
YBR293W	-0.898	NaN
YBR294W	0.890	NaN
YBR295W	-0.447	NaN
YBR296C	-1.226	NaN
YBR296C-A	-0.166	NaN
YBR297W	-0.407	NaN
YBR298C	-0.924	NaN
YBR299W	1.042	NaN
YBR300C	1.307	NaN
YBR301W	0.495	NaN
YCL001W	0.932	NaN
YCL001W-A	-1.284	NaN
YCL001W-B	-0.591	NaN
YCL002C	-0.205	NaN
YCL004W	NaN	1.353
YCL005W	-0.142	NaN
YCL005W-A	-1.023	NaN
YCL007C	NaN	NaN
YCL008C	1.041	NaN
YCL009C	-1.154	NaN
YCL010C	1.047	NaN
YCL011C	-1.107	NaN
YCL012C	-0.387	NaN
YCL013W	-1.439	NaN
YCL014W	-0.714	NaN
YCL016C	-1.891	NaN
YCL017C	NaN	-8.533
YCL021W-A	-0.115	NaN
YCL022C	0.961	NaN
YCL024W	-0.675	NaN
YCL025C	-2.984	NaN
YCL026C	-0.751	NaN
YCL026C-A	0.641	NaN
YCL026C-B	0.713	NaN
YCL027W	-1.090	NaN
YCL028W	1.557	NaN
YCL029C	1.384	NaN
YCL030C	0.505	NaN
YCL031C	NaN	1.627
YCL032W	0.024	NaN
YCL033C	-1.013	NaN
YCL034W	1.776	NaN
YCL035C	1.836	NaN
YCL036W	-0.610	NaN
YCL037C	-1.565	NaN
YCL038C	-0.159	NaN
YCL039W	0.069	NaN
YCL040W	-1.503	NaN
YCL041C	NaN	1.062
YCL042W	-2.765	NaN
YCL043C	NaN	0.771
YCL044C	0.211	NaN
YCL045C	-0.181	NaN
YCL046W	0.835	NaN
YCL047C	0.722	NaN
YCL048W	-0.624	NaN
YCL049C	0.057	NaN
YCL050C	1.265	NaN
YCL051W	-0.149	NaN
YCL052C	NaN	-1.578
YCL053C	NaN	2.445
YCL054W	NaN	2.067
YCL055W	-0.379	NaN
YCL056C	0.949	NaN
YCL057C-A	0.304	NaN
YCL057W	0.453	NaN
YCL058C	0.829	NaN
YCL059C	NaN	0.933
YCL061C	1.490	NaN
YCL063W	-2.074	NaN
YCL064C	-0.205	NaN
YCL069W	0.558	NaN
YCL074W	0.177	NaN
YCL075W	-0.048	NaN
YCL076W	1.039	NaN
YCR001W	-0.966	NaN
YCR002C	1.045	NaN
YCR003W	0.171	NaN
YCR004C	-1.583	NaN
YCR005C	-0.443	NaN
YCR006C	0.177	NaN
YCR007C	-0.189	NaN
YCR008W	-0.736	NaN
YCR009C	0.219	NaN
YCR010C	0.283	NaN
YCR011C	0.203	NaN
YCR012W	NaN	-0.150
YCR013C	NaN	-1.423
YCR014C	0.384	NaN
YCR015C	0.819	NaN
YCR016W	0.417	NaN
YCR017C	1.572	NaN
YCR019W	0.120	NaN
YCR020C	0.615	NaN
YCR020C-A	-1.262	NaN
YCR020W-B	NaN	NaN
