Line,As75,Ca44,Cd111,Cl35,Co59,Cu65,Fe57,K39,Mg25,Mn55,Mo95,Na23,Ni60,P31,S34,Se82,Zn66
YAL035C-A_oe,-0.057633659,-0.149707859,-0.067246462,.,-0.069486747,-0.036581423,-0.070745956,-0.134534504,-0.166354264,-0.038819999,-0.196057298,-0.345761836,-0.053027037,-0.183806708,-0.168905091,0.021008413,-0.07537347
YAL035W_oe,0.115106146,0.059346647,0.097898921,0.091795724,0.147010809,0.104106851,0.041203759,0.067288117,0.005816896,0.136249977,0.116712675,0.095570172,0.096904494,0.060044878,0.036424534,0.027521664,0.079775307
YAL036C_oe,0.001972163,-0.095532708,-0.038940209,0.007813498,-0.009434938,-0.032455772,-0.069933074,-0.068854128,-0.006107393,-0.034787421,-0.126713749,-0.165908841,0.000149843,-0.057344552,-0.075309063,-0.335916927,-0.0367759
YAL037W_oe,0.04678579,0.098697144,0.047790758,0.010000759,-0.056468824,-0.041975175,0.032986425,0.030353151,0.056268224,0.102875571,.,.,0.153204854,-0.000609354,0.140131158,-0.108008913,0.041740551
YAL038C-A_oe,0.136351943,-0.000794778,0.103431704,-0.002897894,0.001079883,-0.013869989,0.078211997,0.05990797,0.083126424,0.130213521,.,.,-0.032642855,0.050848628,0.038583141,0.036319085,0.044005926
YAL038W_oe,0.004070971,0.040277749,0.045556458,0.024668632,0.018747261,-0.089752965,-0.074232708,-0.022388637,-0.028681762,0.055164003,.,-0.055911104,0.011408421,-0.015174658,0.005480159,0.099644953,0.067220438
YAL039C_oe,0.135484738,0.003879887,0.050197302,0.03936664,0.078684208,0.007628059,0.041987714,0.043107503,0.033591567,-0.050734791,.,-0.081495808,-0.015045339,0.093477807,-0.003547222,0.035341468,-0.019377656
YAL040C_oe,0.043231353,0.015846402,0.060606335,0.16704498,-0.018022368,-0.030981284,-0.099730445,0.015331668,-0.04918593,0.128940887,.,-0.093320692,0.017968012,-0.011697779,-0.017762118,0.100802706,0.023728335
YAL041W_oe,-0.017246902,-0.0270839,-0.0054929,-0.047976431,-0.064860658,-0.004120712,-0.049186454,-0.042978492,-0.070509161,-0.068399445,.,.,-0.052801828,-0.048209294,-0.033428695,-0.103747519,-0.002234081
YAL042W_oe,0.034576441,-0.226908705,0.124642158,.,0.00119046,0.08255537,0.0540069,0.059854824,0.002639296,0.098825303,.,-0.133566883,0.013097517,0.044522784,0.051374762,-0.190405806,0.017815248
YAL043C_oe,0.052094106,-0.033055123,0.114043986,0.023346014,0.144249765,0.137812353,0.025013661,0.035260567,0.017291792,0.059636606,.,0.048636963,0.037214471,0.037687224,0.011593129,-0.079412004,0.011748475
YAL043C-A_oe,0.003144262,-0.009366819,0.009492812,-0.086457059,0.091732104,-0.037540056,0.036100785,0.089077985,0.121595314,0.026757479,.,.,0.104335155,0.095064893,0.048482877,0.0144192,0.021092769
YAL044W-A_oe,-0.048387982,0.092966014,0.065075621,.,0.013999052,0.023884211,-0.083012082,0.03699003,0.039984017,0.11059476,.,0.026885193,0.023449955,0.016772589,0.040599125,-0.190638305,0.049251401
YAL045C_oe,-0.050104489,-0.083061217,0.078588417,.,-0.064724859,-0.022373634,-0.069892731,-0.028244247,-0.013312599,0.072541486,.,-0.008606535,-0.012229264,-0.03392954,0.026348542,-0.22036999,0.012055706
YAL046C_oe,-0.088735638,0.179461398,0.052303315,0.022957331,0.142231537,-0.003754961,0.076229529,0.069088836,0.095666349,-0.014295563,.,.,0.065199923,0.10374929,0.09759832,0.577810746,0.017674738
YAL047C_oe,0.049558177,0.032590903,0.051059244,-0.156587669,0.087997814,0.019030778,-0.014801484,0.026067416,0.029999072,0.075930556,0.031410518,.,-0.010415507,0.046371531,0.045224459,0.221764056,0.041765001
YAL048C_oe,0.048735767,-0.010255665,0.030515242,-0.138569938,-0.024242147,-0.025646388,-0.053789817,0.04201607,0.027028333,0.05802564,.,.,-0.126560278,0.017628464,-0.025067406,-0.065590582,0.056389863
YAL049C_oe,-0.053346379,-0.037348889,-0.018782064,0.022486149,0.064183178,-0.109126741,-0.023887964,0.017857586,0.077043449,-0.047109958,.,.,0.026305918,0.032434544,-0.024562295,-0.155158951,-0.012055422
YAL054C_oe,-0.091149212,0.053535279,-0.055774274,0.024896601,0.010692711,-0.013230005,0.021961273,-0.052052802,-0.046831653,-0.040347118,.,-0.086348497,0.118022418,-0.038340392,-0.022821565,-0.065016985,-0.014888374
YAL055W_oe,-0.08612632,-0.010540837,-0.063710154,-0.239484045,0.011608809,-0.064527079,-0.062555176,-0.014377973,0.005845243,0.00679303,.,.,-0.048690361,-0.030536986,-0.01159598,-0.234558986,-0.031129504
YAL058C-A_oe,-0.092973584,-0.07167091,-0.022456005,0.02954679,0.145213388,0.053798718,0.046728169,0.013542765,-0.001068854,-0.116393769,-0.148910568,0.036749327,0.026194594,-0.023300935,-0.063556409,-0.279373553,-0.185374312
YAL060W_oe,0.009477282,-0.098757646,0.034512054,0.045098021,-0.025009378,-0.069440281,-0.117922049,0.019849811,0.041125862,0.06014531,.,.,0.049726931,0.04347232,0.031211089,0.11424407,0.01131969
YAL061W_oe,0.104234397,0.269486581,0.002024253,0.095086633,-0.014479391,0.025058478,0.025039978,-0.009345955,0.007857443,0.051722245,-0.002340699,0.053038375,-0.06016928,0.012322341,0.031205783,-0.123943463,-0.013605604
YAL062W_oe,-0.038957393,0.006820359,-0.042572025,0.080718216,0.067714349,0.012436165,0.073569248,0.038113067,0.020016747,-0.002086175,0.014648177,-0.04521996,-0.010923595,-0.012253974,0.049746936,-0.086369644,0.027864117
YAL064C-A_oe,0.077449157,0.069951102,0.009946101,.,-0.024472878,0.010830954,0.023442919,-0.011388845,0.047221676,-0.026614397,-0.090807035,-0.160019571,0.061173937,-0.015662704,0.020919554,-0.240875124,0.051776366
YAL064W_oe,-0.084037504,0.003017583,0.048947356,0.099938176,-0.049825643,-0.143553595,-0.015349768,-0.035548096,0.030615708,0.003401748,.,.,-0.017406181,-0.033912111,0.141417231,0.33704826,-0.009599425
YAL064W-B_oe,0.04818907,0.150282427,0.040596896,0.118174558,0.051389547,0.007903603,0.060444347,0.013600872,-0.036149862,-0.061939679,.,.,-0.075724992,0.022202348,0.048494898,-0.167404063,0.006766256
YAL066W_oe,-0.061752679,-0.229090458,-0.075489699,-0.167650081,-0.042425781,-0.014757901,-0.161912459,-0.043047974,-0.060290202,-0.092440661,.,.,-0.100818476,-0.091509973,-0.047198707,-0.142964667,-0.039713721
YAL067C_oe,-0.000278122,0.055609205,-0.204370407,0.046782268,-0.124990177,0.016069481,-0.02199428,-0.000869101,-0.089156094,-0.063447991,.,-0.042258007,-0.067814992,0.05389311,0.006050023,0.140804462,0.025636487
YAL068C_oe,0.072124332,-0.385800805,0.243142694,.,0.181898635,0.413672203,0.07288595,0.114885006,0.22268356,0.090332347,.,.,0.160753914,0.151979331,0.055955598,0.032189791,-0.08693089
YAL068W-A_oe,-0.036401341,-0.176392048,0.052227589,-0.086935039,-0.158503359,-0.058197174,-0.019500563,-0.034588078,-0.036756479,0.029265596,.,-0.489577925,-0.042404935,-0.100966318,-0.044918825,-0.246579679,-0.025274479
YAL069W_oe,0.040887234,-0.225616343,-0.017759571,.,0.06631543,0.113230739,0.033377892,0.006184136,0.014881108,-0.024812417,0.001849242,.,0.033845964,0.01355235,0.003411711,0.101401967,0.031203502
YAR002C-A_oe,-0.001918821,0.429497324,-0.020627121,0.11197366,0.059437154,0.064378921,0.134427437,-0.033387598,-0.007394821,0.055706603,0.148465065,.,0.079927543,0.035924226,0.060286461,-0.081867204,0.079507801
YAR002W_oe,-0.040640735,-0.054454485,0.026189447,0.003456637,-0.031047841,-0.027065151,-0.054748306,0.012406482,-0.03656188,-0.04368638,.,.,-0.01063529,-0.024249165,-0.007801413,0.083065899,-0.006010306
YAR003W_oe,0.023416244,-0.043340514,-0.066504319,-0.390459946,-0.102982663,0.012639949,0.026449141,0.030455593,-0.025224194,-0.020338764,.,-0.109250944,-0.02624092,0.05758017,0.029323616,-0.059588605,0.03573769
YAR007C_oe,-0.011932483,0.056167589,-0.068008605,.,0.044419996,0.11230841,0.008620214,0.003633913,-0.04590728,-0.043375264,-0.041749357,.,-0.050128163,0.017457456,-0.032353846,0.108593482,0.014426818
YAR008W_oe,0.077563695,0.164062149,-0.026259896,0.118901898,0.006240392,0.07825683,0.098443019,-0.014359805,0.010086097,0.028600099,.,1.088172973,0.008049648,-0.010448777,0.062263324,0.357955109,0.031598375
YAR015W_oe,0.007897745,-0.055384304,-0.047019794,.,0.059750047,0.011013307,-0.010764141,-0.042680022,-0.019709611,-0.023444986,.,.,-0.036518266,-0.037421935,-0.036774128,-0.118833699,0.014471465
YAR018C_oe,-0.053911064,0.045180356,0.061154764,0.021319389,0.008065796,-0.042625465,-0.004727731,0.004629861,-0.002568921,-0.01252416,.,-0.21226492,0.027888192,0.008898113,0.011990811,0.323474247,0.016841244
YAR020C_oe,0.056900775,0.003299197,0.031493204,0.116345598,0.052841208,-0.006564994,0.000846982,0.04376237,0.085954355,0.008003899,.,.,-0.070977172,0.044518882,0.016401253,-0.109598309,0.056972838
YAR023C_oe,0.069815124,-0.011734528,0.261077109,-0.454212124,0.219003957,0.121122243,0.066603444,0.090323454,0.133290825,0.106514195,.,.,0.127990665,0.11118484,0.30739237,0.586856546,0.191597052
YAR027W_oe,-0.000355647,0.103221838,0.070583788,0.060069782,0.039814026,-0.021869509,-0.017591968,0.026346252,0.076678425,0.068575219,.,-0.017342452,0.02011997,0.029937211,0.055681419,0.033753853,0.035087717
YAR028W_oe,-0.030597865,0.108070657,-0.03286262,0.044530737,0.070535494,-0.038551903,0.001797694,0.054630078,0.030448378,-0.039717982,.,.,0.024756795,0.066748218,0.008488805,-0.149669163,-0.021685461
