ORF	hap a | growth (colony volume) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010	hap a | growth (colony size) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010
YDL239C	1.076	NaN
YDL240W	0.725	NaN
YDL241W	1.050	NaN
YDL242W	1.167	NaN
YDL243C	1.227	NaN
YDR001C	1.168	NaN
YDR003W	1.166	NaN
YDR004W	1.162	NaN
YDR005C	1.370	NaN
YDR006C	0.827	NaN
YDR007W	1.293	NaN
YDR008C	0.953	NaN
YDR010C	1.199	NaN
YDR011W	1.427	NaN
YDR014W	0.980	NaN
YDR015C	0.882	NaN
YDR018C	1.116	NaN
YDR019C	0.918	NaN
YDR020C	1.387	NaN
YDR022C	0.899	NaN
YDR024W	1.470	NaN
YDR025W	1.532	NaN
YDR026C	0.935	NaN
YDR029W	1.045	NaN
YDR030C	0.935	NaN
YDR031W	1.208	NaN
YDR032C	1.205	NaN
YDR033W	1.251	NaN
YDR035W	1.276	NaN
YDR042C	1.452	NaN
YDR043C	1.632	NaN
YDR046C	1.047	NaN
YDR048C	1.050	NaN
YDR049W	0.861	NaN
YDR051C	0.735	NaN
YDR055W	1.225	NaN
YDR056C	0.922	NaN
YDR057W	1.026	NaN
YDR058C	0.965	NaN
YDR059C	0.916	NaN
YDR061W	0.789	NaN
YDR063W	1.030	NaN
YDR066C	1.104	NaN
YDR067C	0.568	NaN
YDR068W	0.883	NaN
YDR070C	0.940	NaN
YDR071C	0.949	NaN
YDR072C	0.833	NaN
YDR073W	1.177	NaN
YDR074W	0.664	NaN
YDR075W	1.180	NaN
YDR076W	1.210	NaN
YDR077W	1.114	NaN
YDR080W	0.607	NaN
YDR083W	1.457	NaN
YDR084C	0.733	NaN
YDR085C	1.041	NaN
YDR089W	1.020	NaN
YDR090C	1.369	NaN
YDR092W	0.770	NaN
YDR093W	0.890	NaN
YDR094W	1.015	NaN
YDR095C	0.997	NaN
YDR096W	0.814	-1.000
YDR097C	0.799	NaN
YDR098C	1.042	NaN
YDR099W	0.968	NaN
YDR100W	1.239	NaN
YDR101C	1.146	NaN
YDR102C	0.841	NaN
YDR104C	1.003	NaN
YDR105C	0.802	NaN
YDR107C	1.046	NaN
YDR108W	1.254	NaN
YDR109C	1.200	NaN
YDR110W	0.919	NaN
YDR111C	0.969	NaN
YDR112W	1.120	NaN
YDR116C	0.587	NaN
YDR117C	0.907	NaN
YDR119W	0.863	NaN
YDR120C	1.030	NaN
YDR121W	0.907	NaN
YDR122W	0.992	NaN
YDR123C	1.399	NaN
YDR124W	0.787	NaN
YDR125C	1.268	NaN
YDR126W	0.551	NaN
YDR127W	0.425	NaN
YDR128W	0.477	NaN
YDR130C	0.817	NaN
YDR131C	0.768	NaN
YDR132C	1.101	NaN
YDR133C	1.079	NaN
YDR134C	1.121	NaN
YDR135C	0.880	NaN
YDR139C	1.099	NaN
YDR142C	0.931	NaN
YDR143C	0.898	NaN
YDR144C	1.032	NaN
YDR146C	1.691	NaN
YDR147W	1.171	NaN
YDR148C	1.149	NaN
YDR149C	1.216	-3.000
YDR150W	1.264	NaN
YDR151C	1.135	NaN
YDR152W	0.979	NaN
YDR153C	1.517	NaN
YDR154C	1.034	NaN
YDR155C	0.825	-1.000
YDR156W	0.654	NaN
YDR157W	0.834	NaN
YDR158W	0.939	NaN
YDR159W	1.304	NaN
YDR161W	1.474	NaN
YDR162C	0.647	NaN
YDR163W	0.888	NaN
YDR165W	1.162	NaN
YDR169C	0.974	NaN
YDR171W	0.922	NaN
YDR173C	2.110	NaN
YDR174W	0.758	NaN
YDR178W	0.906	NaN
YDR179C	1.157	NaN
YDR179W-A	1.420	NaN
YDR181C	0.998	NaN
YDR183W	0.965	NaN
YDR184C	1.273	NaN
YDR185C	0.956	NaN
YDR186C	1.084	NaN
YDR191W	0.909	NaN
YDR192C	0.867	NaN
YDR193W	1.074	NaN
YDR198C	1.096	NaN
YDR199W	1.228	NaN
YDR200C	NaN	-3.000
YDR203W	0.696	NaN
YDR205W	0.877	NaN
YDR206W	0.601	NaN
YDR207C	1.411	NaN
YDR209C	0.680	NaN
YDR210W	0.659	NaN
YDR213W	0.567	NaN
YDR214W	0.695	NaN
YDR215C	0.811	NaN
YDR216W	0.893	NaN
YDR217C	0.943	NaN
YDR218C	0.854	NaN
YDR219C	0.860	NaN
YDR220C	0.841	NaN
YDR221W	0.770	NaN
YDR222W	0.834	NaN
YDR223W	1.123	NaN
YDR225W	0.998	NaN
YDR229W	0.828	NaN
YDR233C	0.904	NaN
YDR239C	0.794	NaN
YDR242W	1.110	NaN
YDR244W	0.816	NaN
YDR247W	0.980	NaN
YDR248C	1.284	NaN
YDR249C	1.249	NaN
YDR250C	0.886	NaN
YDR251W	1.212	NaN
YDR252W	1.143	-1.000
YDR253C	1.013	NaN
YDR254W	1.190	NaN
YDR255C	1.199	NaN
YDR256C	0.943	NaN
YDR257C	1.034	NaN
YDR258C	1.127	NaN
YDR259C	1.164	NaN
YDR260C	1.207	NaN
YDR261C	0.967	NaN
YDR262W	0.730	NaN
YDR263C	0.811	NaN
YDR265W	1.167	-1.000
YDR266C	1.072	NaN
YDR269C	0.930	NaN
YDR270W	0.862	NaN
YDR271C	2.118	NaN
YDR272W	0.981	NaN
YDR273W	0.865	NaN
YDR274C	1.013	NaN
YDR275W	1.056	NaN
YDR276C	0.858	NaN
YDR277C	0.868	NaN
YDR278C	0.914	NaN
YDR279W	1.400	NaN
YDR281C	0.521	NaN
YDR282C	1.029	NaN
YDR284C	0.876	NaN
YDR285W	0.923	NaN
YDR286C	0.670	NaN
YDR287W	0.748	NaN
YDR289C	0.922	NaN
YDR290W	0.387	NaN
YDR291W	0.858	NaN
YDR294C	1.947	NaN
YDR297W	0.960	NaN
YDR304C	0.997	NaN
YDR305C	0.842	NaN
YDR306C	1.047	NaN
YDR307W	0.990	NaN
YDR309C	1.005	NaN
YDR310C	0.975	-3.000
YDR312W	0.855	NaN
YDR313C	0.987	NaN
YDR314C	0.907	NaN
YDR315C	1.125	NaN
YDR316W	1.309	NaN
YDR317W	0.622	NaN
YDR318W	0.657	NaN
YDR319C	0.693	NaN
YDR320C	0.490	NaN
YDR326C	0.880	NaN
YDR329C	0.574	NaN
YDR333C	0.588	NaN
YDR334W	0.610	NaN
YDR336W	0.883	NaN
YDR338C	0.982	NaN
YDR340W	1.058	NaN
YDR344C	1.002	NaN
YDR345C	0.845	NaN
YDR346C	1.447	NaN
YDR348C	1.086	NaN
YDR349C	1.061	NaN
YDR351W	0.876	NaN
YDR352W	0.896	NaN
YDR354W	0.852	NaN
YDR357C	1.036	NaN
YDR358W	1.089	NaN
YDR360W	1.242	NaN
YDR363W	1.027	NaN
YDR363W-A	0.535	NaN
YDR368W	1.246	NaN
YDR369C	1.483	NaN
YDR370C	1.055	NaN
YDR371W	1.177	NaN
YDR372C	1.855	NaN
YDR374C	1.006	NaN
YDR378C	1.688	NaN
YDR379W	1.160	NaN
YDR380W	1.219	NaN
YDR383C	1.149	NaN
YDR384C	1.379	NaN
YDR385W	1.287	NaN
YDR386W	0.976	NaN
YDR387C	1.066	NaN
YDR389W	0.737	NaN
YDR391C	0.988	NaN
YDR392W	0.866	NaN
YDR393W	1.074	NaN
YDR395W	0.783	NaN
YDR399W	1.205	NaN
YDR400W	1.262	NaN
YDR401W	1.095	NaN
YDR402C	1.263	NaN
YDR403W	1.383	NaN
YDR406W	0.972	NaN
YDR408C	0.571	NaN
YDR409W	0.647	NaN
YDR411C	0.903	NaN
YDR414C	0.927	NaN
YDR415C	1.103	NaN
YDR419W	1.110	NaN
YDR420W	1.020	NaN
YDR421W	1.129	NaN
YDR422C	0.956	NaN
