orf	hap a | growth (culture turbidity) | zymolyase [30 U/ml] | YPD | Garcia R~Arroyo J, 2015	hap a | growth (spot assay) | Congo Red [50 ug/ml] | YPD | García R~Arroyo J, 2015	hap a | growth (culture turbidity) | caspofungin [10-30 ng/ml] | YPD | Garcia R~Arroyo J, 2015	hap a | growth (culture turbidity) | caspofungin [60-120 ng/ml] | YPD | Garcia R~Arroyo J, 2015
YBR230C	-0.029191198286142812	0.0	0.0	0.0
YBR231C	0.2478389972137175	-5.13794850611459	0.0	0.0
YBR232C	-1.1719407547230645	0.0	0.0	0.0
YBR233W	-0.20863121128037013	0.0	0.0	0.0
YBR235W	-0.14881787361562832	0.0	0.0	0.0
YBR238C	0.08099126583311965	0.0	0.0	0.0
YBR239C	-0.11418909917814542	0.0	0.0	0.0
YBR240C	0.08413933623652702	0.0	0.0	0.0
YBR241C	0.05265863220245243	0.0	0.0	0.0
YBR242W	-0.04807962070658794	0.0	0.0	0.0
YBR244W	0.07469512502630492	0.0	0.0	0.0
YBR245C	0.030622139378599936	0.0	0.0	0.0
YBR246W	-0.9610200376947622	0.0	0.0	0.0
YBR248C	-0.2212234928940005	0.0	0.0	0.0
YBR249C	-0.06696804312703307	0.0	0.0	0.0
YBR250W	0.014881787361562171	0.0	0.0	0.0
YBR251W	-0.0386354094963649	0.0	0.0	0.0
YBR255W	-0.14881787361562832	0.0	0.0	0.0
YBR258C	0.16284109632171395	0.0	0.0	0.0
YBR259W	0.08413933623652702	0.0	0.0	0.0
YBR260C	-0.14881787361562832	0.0	0.0	0.0
YBR261C	0.22895057479327235	0.0	0.0	0.0
YBR262C	0.24469092681030918	0.0	0.0	0.0
YBR263W	0.19746987075919684	0.0	0.0	0.0
YBR264C	0.15969302591830753	0.0	0.0	0.0
YBR266C	-0.39121929467800476	-5.13794850611459	0.0	0.0
YBR267W	-2.5980166474666606	0.0	0.0	0.0
YBR268W	-0.01345084626910505	0.0	0.0	0.0
YBR269C	0.1408046034978624	0.0	0.0	0.0
YBR270C	-0.33455402741667034	0.0	0.0	0.0
YBR271W	0.2352467156000871	0.0	0.0	0.0
YBR272C	-0.4888094771836373	0.0	0.0	0.0
YBR273C	0.21635829317964198	0.0	0.0	0.0
YBR274W	0.16913723712852963	0.0	0.0	0.0
YBR275C	-0.1802985776497029	0.0	0.0	0.0
YBR276C	-0.48566140678022995	-5.13794850611459	0.0	0.0
YBR277C	-0.02604312788273545	0.0	0.0	0.0
YBR278W	-0.0858564655474782	0.0	0.0	0.0
YBR279W	-1.1184235578651365	-3.4252990040763938	-2.5747564213670056	0.0
YBR280C	-0.37547894266096704	0.0	0.0	0.0
YBR281C	-0.28103683055874323	0.0	0.0	0.0
YBR282W	-0.4101077170984499	0.0	0.0	0.0
YBR283C	-0.13307752159859054	0.0	0.0	0.0
YBR284W	-0.12048523998496015	0.0	0.0	0.0
YBR285W	-0.019746987075919778	0.0	0.0	0.0
YBR286W	-1.0774986426208395	0.0	0.0	0.0
YBR287W	-0.4447364915359323	0.0	0.0	0.0
YBR288C	-0.8476895031720924	0.0	-2.5747564213670056	0.0
YBR289W	-1.1530523323026194	0.0	0.0	0.0
YBR290W	0.0337702097820073	0.0	-5.149512842734011	0.0
YBR291C	-0.06067190232021834	0.0	0.0	0.0
YBR292C	-0.0512276911099953	0.0	0.0	0.0
YBR293W	0.1408046034978624	0.0	0.0	0.0
YBR294W	-0.504549829200675	0.0	0.0	0.0
YBR295W	-0.0071547054622903205	0.0	0.0	0.0
YBR296C	0.13765653309445408	0.0	0.0	0.0
YBR297W	-0.0512276911099953	0.0	0.0	0.0
YBR298C	-0.1362255920019979	0.0	0.0	0.0
YBR299W	-0.03233926868955018	0.0	0.0	0.0
YBR300C	-0.004006635058882956	0.0	0.0	0.0
YBR301W	-0.44158842113252494	0.0	0.0	0.0
YCL001W	-0.9169470520470572	0.0	0.0	0.0
YCL001W-A	-0.11418909917814542	0.0	0.0	0.0
YCL002C	0.16598916672512226	0.0	0.0	0.0
YCL005W	-0.2527041969280751	0.0	0.0	0.0
YCL007C	-4.282234313289672	0.0	0.0	0.0
YCL008C	-1.4332305982058866	0.0	0.0	0.0
YCL009C	0.12191618107741727	0.0	0.0	0.0
YCL010C	0.1439526739012688	0.0	0.0	0.0
YCL011C	0.1911737299523821	0.0	0.0	0.0
YCL014W	0.09673161785015741	0.0	0.0	0.0
YCL016C	-0.3786270130643753	0.0	0.0	0.0
YCL022C	-0.7721358134903124	0.0	0.0	0.0
YCL023C	-0.3282578866098556	0.0	0.0	0.0
YCL024W	0.1408046034978624	0.0	0.0	0.0
YCL025C	0.06525091381608189	0.0	0.0	0.0
YCL026C-A	-0.4069596466950421	0.0	0.0	0.0
YCL027W	-0.0512276911099953	0.0	0.0	0.0
YCL028W	0.09043547704334175	0.0	0.0	0.0
YCL029C	0.0337702097820073	0.0	0.0	0.0
YCL030C	0.11876811067400896	0.0	0.0	0.0
YCL032W	-4.367232214181675	0.0	0.0	0.0
YCL033C	-0.24955612652466774	0.0	0.0	0.0
YCL034W	0.13136039228763935	0.0	0.0	0.0
YCL035C	-0.768987743086905	0.0	0.0	0.0
YCL036W	-0.25900033773488984	0.0	0.0	0.0
YCL037C	-0.14881787361562832	0.0	0.0	0.0
YCL038C	-0.8445414327686845	0.0	0.0	0.0
YCL039W	0.09673161785015741	0.0	0.0	0.0
YCL040W	-0.0512276911099953	0.0	0.0	0.0
YCL042W	0.0935835474467491	0.0	0.0	0.0
YCL044C	0.15969302591830753	0.0	0.0	0.0
YCL045C	0.1502488147080845	0.0	0.0	0.0
YCL046W	0.13765653309445408	0.0	0.0	0.0
YCL047C	0.22895057479327235	0.0	0.0	0.0
YCL048W	0.12821232188423198	0.0	0.0	0.0
YCL049C	0.11562004027060253	0.0	0.0	0.0
YCL050C	-0.19918700007014803	0.0	0.0	0.0
YCL051W	0.08728740663993438	0.0	0.0	0.0
YCL055W	0.09043547704334175	0.0	0.0	0.0
YCL056C	-0.11418909917814542	0.0	0.0	0.0
YCL057W	0.172285307531937	0.0	0.0	0.0
YCL058C	-1.8865527362965668	0.0	0.0	0.0
YCL061C	-0.42899613951889504	0.0	0.0	13.769531582446804
YCL063W	-0.04178347989977321	0.0	0.0	0.0
YCL064C	0.06210284341267452	0.0	0.0	0.0
YCL069W	0.09987968825356383	0.0	0.0	0.0
YCL076W	-1.1562004027060273	0.0	0.0	0.0
YCR001W	-0.0008585646554746501	0.0	0.0	0.0
YCR002C	-3.5550300501025403	0.0	0.0	0.0
YCR003W	-0.11418909917814542	0.0	0.0	0.0
YCR004C	-0.12363331038836751	0.0	0.0	0.0
YCR005C	0.024325998571785207	0.0	0.0	0.0
YCR006C	0.04951056179904506	0.0	0.0	0.0
YCR007C	-0.20863121128037013	0.0	0.0	0.0
YCR008W	-0.09844874716110766	0.0	0.0	0.0
YCR009C	-3.699841288659285	0.0	0.0	0.0
YCR010C	-0.42584806911548717	0.0	0.0	0.0
YCR011C	-0.5328824628313423	0.0	0.0	0.0
