ORF	hap alpha | growth (culture turbidity) | Upshock (2-(N-morpholino)ethanesulfonic acid [20 mM], ethylene glycol bis(2-aminoethyl)tetraacetic acid [20 mM], sodium chloride [4 M]) | Loukin S~Saimi Y, 2008	hap alpha | abundance of calcium | Upshock (2-(N-morpholino)ethanesulfonic acid [20 mM], ethylene glycol bis(2-aminoethyl)tetraacetic acid [20 mM], sodium chloride [4 M]) | Loukin S~Saimi Y, 2008
YOR082C	4.000	1.931
YNR028W	4.000	1.927
YJL200C	4.000	1.926
YDR030C	4.000	1.925
YLR018C	4.000	1.924
YOL105C	4.000	1.924
YML012W	4.000	1.923
YIL130W	4.000	1.922
YPL249C	4.000	1.922
YDR095C	4.000	1.920
YFR026C	4.000	1.920
YPL087W	4.000	1.919
YGR221C	4.000	1.918
YDL100C	4.000	1.917
YJL047C	4.000	1.916
YOR348C	4.000	1.914
YCR032W	4.000	1.913
YJR008W	4.000	1.907
YGR131W	4.000	1.905
YDR276C	4.000	1.905
YPR013C	4.000	1.903
YDR250C	4.000	1.902
YHR209W	4.000	1.901
YBR044C	4.000	1.900
YOR033C	4.000	1.899
YEL066W	4.000	1.896
YNL198C	4.000	1.895
YGR061C	4.000	1.895
YLR023C	4.000	1.894
YGL242C	4.000	1.892
YJL064W	4.000	1.890
YNL316C	4.000	1.888
YNL155W	4.000	1.887
YOL113W	4.000	1.887
YDL156W	4.000	1.887
YCL035C	4.000	1.886
YHR044C	4.000	1.884
YML035C-A	4.000	1.884
YKL178C	4.000	1.883
YNL170W	4.000	1.882
YOR115C	4.000	1.880
YBR261C	4.000	1.879
YOR339C	4.000	1.879
YGL263W	4.000	1.878
YHR207C	4.000	1.877
YGR015C	4.000	1.876
YDR248C	4.000	1.875
YPR119W	4.000	1.875
YDL048C	4.000	1.873
YDR249C	4.000	1.873
YGL194C	4.000	1.872
YKL128C	4.000	1.871
YLR273C	4.000	1.870
YGR146C	4.000	1.869
YIL121W	4.000	1.869
YDR374C	4.000	1.868
YOR346W	4.000	1.866
YDR334W	4.000	1.866
YMR003W	4.000	1.866
YNL175C	4.000	1.862
YLR361C	4.000	1.862
YLR437C	4.000	1.859
YBR180W	4.000	1.857
YDR031W	4.000	1.857
YNL145W	4.000	1.857
YHR210C	4.000	1.856
YIL041W	4.000	1.851
YGR239C	4.000	1.850
YGR133W	4.000	1.849
YMR036C	4.000	1.848
YCL047C	4.000	1.847
YLR286C	4.000	1.847
YDR446W	4.000	1.847
YGR109C	4.000	1.843
YGR066C	4.000	1.842
YLR016C	4.000	1.841
YGL146C	4.000	1.840
YNL332W	4.000	1.840
YOR032C	4.000	1.840
YGR025W	4.000	1.101
YCL051W	4.000	1.835
YAL037W	4.000	1.834
YNL324W	4.000	1.834
YMR185W	4.000	1.833
YKL086W	4.000	1.830
YOR377W	4.000	1.828
YOL089C	4.000	1.826
YCR009C	4.000	1.825
YHL019C	4.000	1.825
YNR008W	4.000	1.822
YBR240C	4.000	1.821
YGL126W	4.000	1.821
YDR144C	4.000	1.821
YNL004W	4.000	1.820
YGR226C	4.000	1.818
YLR053C	4.000	1.816
YJR032W	4.000	1.815
YBR147W	4.000	1.814
YDR143C	4.000	1.814
YOR152C	4.000	1.814
YDR275W	4.000	1.814
YDL035C	4.000	1.813
YKL006W	4.000	1.813
YFL041W	4.000	1.813
YOR053W	4.000	1.813
YDR102C	4.000	1.812
YAL031C	4.000	1.811
YNL204C	4.000	1.810
YGR144W	4.000	1.810
YPR008W	4.000	1.809
YJL073W	4.000	1.809
YGL131C	4.000	1.809
YNL321W	4.000	1.808
YAL043C-A	4.000	1.808
YMR031C	4.000	1.807
YDR467C	4.000	1.806
YNL339C	4.000	1.806
YDL162C	4.000	1.804
YDR146C	4.000	1.804
YCR088W	4.000	1.804
YNL334C	4.000	1.804
YOL101C	4.000	1.803
YPR038W	4.000	1.802
YJL057C	4.000	1.800
YCR075W-A	4.000	1.799
YCR027C	4.000	1.799
YGR081C	4.000	1.798
YLR042C	4.000	1.798
YKR082W	4.000	1.798
YGR137W	4.000	1.797
YDR536W	4.000	1.796
YDR344C	4.000	1.794
YNL063W	4.000	1.793
YBR284W	4.000	1.792
YJL150W	4.000	1.792
YDR310C	4.000	1.791
YAL059W	4.000	1.790
YHR067W	4.000	1.789
YOR297C	4.000	1.789
YGR152C	4.000	1.789
YPL050C	4.000	1.789
YBR293W	4.000	1.788
YDL149W	4.000	1.788
YGL151W	4.000	1.787
YGL260W	4.000	1.784
YHR198C	4.000	1.784
YHR117W	4.000	1.783
YFR039C	4.000	1.782
YMR315W	4.000	1.782
YHR061C	4.000	1.781
YJR004C	4.000	1.781
YDR359C	4.000	1.779
YGR270W	4.000	1.779
YDR061W	4.000	1.777
YAL035W	4.000	1.777
YPL056C	4.000	1.773
YLR046C	4.000	1.773
YDR079C-A	4.000	1.773
YNL236W	4.000	1.772
YOR364W	4.000	1.399
YPL240C	4.000	1.771
YIL165C	4.000	1.769
YBL072C	4.000	1.768
YML074C	4.000	1.765
YPL021W	4.000	1.765
YPR152C	4.000	1.764
YHR104W	4.000	1.763
YKR016W	4.000	1.763
YML047C	4.000	1.762
YIL168W	4.000	1.761
YJL030W	4.000	1.759
YOR156C	4.000	1.759
YGR281W	4.000	1.758
YGR259C	4.000	1.757
YEL064C	4.000	1.755
YDR403W	4.000	1.754
YER088C	4.000	1.753
YOR070C	4.000	1.752
YNL066W	4.000	1.750
YDR042C	4.000	1.750
YIL015W	4.000	1.749
YIL156W	4.000	1.748
YGR238C	4.000	1.748
YPR117W	4.000	1.747
YCL025C	4.000	1.747
YBR269C	4.000	1.746
YJL132W	4.000	1.463
YAL018C	4.000	1.746
YPL138C	4.000	1.745
YDR348C	4.000	1.744
YBR285W	4.000	1.744
YNL069C	4.000	1.740
YBL002W	4.000	1.739
YNR041C	4.000	1.737
YLR013W	4.000	1.737
YIL088C	4.000	1.737
YJL161W	4.000	1.734
YIR039C	4.000	1.733
YDL226C	4.000	1.732
YGL028C	4.000	1.730
YER055C	4.000	1.729
YML117W-A	4.000	1.728
YNL288W	4.000	1.723
YJR010W	4.000	1.722
YIL164C	4.000	1.722
YLR267W	4.000	1.719
YDR043C	4.000	1.719
YBR290W	4.000	1.718
YGR023W	4.000	1.717
YOR208W	4.000	1.716
YLR422W	4.000	1.715
YDL101C	4.000	1.715
YGL261C	4.000	1.715
YNR074C	4.000	1.712
YPR006C	4.000	1.712
YDR218C	4.000	1.712
YHR073W	4.000	1.712
YOR378W	4.000	1.711
YFR032C-A	4.000	1.710
YIL008W	4.000	1.710
YCL030C	4.000	1.709
YPL226W	4.000	1.709
YOR066W	4.000	1.709
YMR160W	4.000	1.366
YDR100W	4.000	1.707
YGR207C	4.000	1.707
YJL024C	4.000	1.706
YMR164C	4.000	1.706
YOR334W	4.000	1.705
YGL149W	4.000	1.704
YBR163W	4.000	1.703
YGL014W	4.000	1.702
YDR079W	4.000	1.701
YGL058W	4.000	1.700
YJL013C	4.000	1.700
YGR136W	4.000	1.700
YGR063C	4.000	1.699
YDR287W	4.000	1.698
YLR012C	4.000	1.697
YBL068W	4.000	1.697
YML007W	4.000	1.695
YDR410C	4.000	1.695
YKR090W	4.000	1.693
YML028W	4.000	1.693
YPR126C	4.000	1.692
YHR021W-A	4.000	1.692
YER071C	4.000	1.691
YBR026C	4.000	1.690
YJL137C	4.000	1.690
YGR032W	2.000	1.690
YEL039C	4.000	1.690
YDR469W	4.000	1.689
YLR328W	4.000	1.689
YJL146W	4.000	1.688
YDR379W	4.000	1.687
YDL225W	4.000	1.687
YJR066W	4.000	1.686
YBR161W	4.000	1.685
YGR127W	4.000	1.684
YDR142C	4.000	1.684
YPL260W	4.000	1.683
YIL155C	4.000	1.683
YPR111W	4.000	1.683
YPR070W	4.000	1.683
YIL087C	4.000	1.683
YNL271C	4.000	1.682
YGL160W	4.000	1.681
YPR050C	4.000	1.680
YPR043W	4.000	1.679
YPL219W	4.000	1.679
YBR162W-A	4.000	1.678
YOR354C	4.000	1.678
YML016C	4.000	1.677
YER072W	4.000	1.677
YJL122W	4.000	1.677
YFL031W	4.000	1.677
YLR343W	4.000	1.676
YOL121C	4.000	1.675
YHR049W	4.000	1.675
YOR058C	4.000	1.675
YGR148C	4.000	1.673
