orf	hap a | growth (colony size) | sirolimus [10 nM] | quantitative | discrete | quantitative	hap a | growth (colony size) | sirolimus [30 nM] | quantitative | discrete | quantitative
YBL076C	-0.013169240681711046	-0.09179864664205253
YBL077W	0.21503128678325203	-0.09103787695304633
YBL078C	-0.025964934440652992	-0.09006839730239737
YBL079W	0.7141530903746531	-0.08135207944578389
YBL080C	2.361083430178741	-0.05216711871995578
YBL081W	0.40695725373606034	-0.0806343443031452
YBL082C	-0.11602912279105627	-0.08368850488825123
YBL083C	-0.10412877570317253	-0.08693374510357617
YBL084C	-0.15955143065725358	-0.09247806975030806
YBL085W	-0.07911042961201643	-0.08376925104087786
YBL086C	0.3193683422365456	-0.0853720701956748
YBL087C	0.9550668295198406	-0.08769213419293585
YBL088C	-0.0047446090335309995	-0.08995189624080607
YBL089W	0.3684469467553987	-0.071762358542055
YBL090W	2.3442883126522456	0.0035095816805194575
YBL091C	0.30631325385429453	-0.08227042527387769
YBL091C-A	0.18844292965838036	-0.06812258703388865
YBL092W	0.3103004628475864	-0.09355829198269877
YBL094C	-0.5780059709611658	-0.08333331033573325
YBL095W	0.38485410926002733	-0.07627607175257896
YBL096C	0.26991875446547764	-0.07968448649325498
YBL097W	-0.06986258413351976	-0.09073319477636194
YBL098W	0.09704875443285754	-0.08264092509134763
YBL099W	0.5457195940197748	0.2562148134957875
YBL100C	1.6035040542822445	-0.10946125117187143
YBL101C	0.031426457493446906	-0.06480529026945567
YBL102W	0.22644696586534338	-0.03535875540870227
YBL103C	-0.9513455657522599	0.027939639071983758
YBL104C	0.24170379285326626	-0.08613312918609464
YBL105C	-0.3445473288067016	-0.06697793693633074
YBL106C	-0.061295830454229316	-0.0768772114018199
YBL107C	0.6188796822802178	-0.09361973196305867
YBR001C	0.3166636482284195	-0.08600359414528776
YBR003W	0.8548039155809436	-0.04900601403182416
YBR005W	0.5594280114712042	-0.07874325013188553
YBR006W	0.3944919059567722	-0.07853573236603034
YBR007C	0.3070157259834309	-0.0893626580261976
YBR008C	0.2616235276190064	-0.07448685876799391
YBR009C	0.269242792462998	-0.08327057435366306
YBR010W	0.3375654832914805	-0.0847661463720102
YBR011C	0.18485540336582776	-0.0842735724359163
YBR012C	0.2552666756084232	-0.08048333974305097
YBR013C	0.42702076766262936	-0.07988120076221676
YBR014C	0.0906300209018195	-0.08114937400061463
YBR015C	-0.20088133186052032	-0.08633733021071531
YBR016W	0.5277153725358605	-0.07838200672052477
YBR017C	0.1391781277293857	-0.08589972921289137
YBR018C	0.013472474159562205	-0.07721718089269894
YBR019C	0.22278978051819406	-0.06993384767486927
YBR020W	0.12525929691699642	-0.07274935745926173
YBR021W	-1.2637927152079322	-0.09006692259829686
YBR022W	0.3359764741783517	-0.07722289209372428
YBR023C	-1.1170681915412006	-0.08747611298276532
YBR024W	0.08981056452126972	-0.08094390477429977
YBR025C	0.30812694117741524	-0.0799055821718875
YBR026C	0.04169401400956054	-0.07893294316001766
YBR027C	0.3612248139310132	-0.08326414658130192
YBR028C	0.25921066997254955	-0.0865302755522579
YBR029C	-0.8080691269950562	-0.08986342880258032
YBR030W	0.371757520848284	-0.08125086405244566
YBR031W	0.9747844411897485	-0.0767368375950761
YBR032W	0.530151601966998	-0.07817251067751853
YBR033W	0.21448474395773082	-0.08231825877942006
YBR034C	0.5287386020004873	-0.08243808080313733
YBR035C	0.574941954528532	-0.0653398351318028
YBR036C	0.4857212006919913	-0.05565205163837292
YBR037C	0.45772962335949985	-0.07385896948339662
YBR038W	-0.2206650007488256	-0.09573211492563194
YBR039W	0.09711635509470848	-0.09346786140197755
YBR040W	0.4486348844184825	-0.0776832341994444
YBR041W	0.2666801324059353	-0.06975863205730448
YBR042C	-0.13912751724830247	-0.08561491552245774
YBR043C	0.18037950033061503	-0.08000025035305153
YBR044C	0.08311419944042425	-0.055415662140976485
