orf	gene	cisplatin_125_1	cisplatin_125_2	cisplatin_125_3	cisplatin_250_1	cisplatin_250_2	cisplatin_500_1	cisplatin_500_2	cisplatin_66_1	cisplatin_66_2
YBL080C	PET112	4.237532	10.044535	9.74571	12.565843	9.437892	10.055916	1.30211	8.498546	6.036863
YBL081W	YBL081W	9.658702	9.488661	9.504209	9.682518	8.36695	9.28623	8.673424	5.275538	9.687319
YBL082C	RHK1	10.441052	10.923084	10.9164	9.128912	9.307824	10.846184	10.380251	9.185221	9.829136
YBL083C	YBL083C	5.970724	8.342982	7.130028	3.824242	5.990826	7.20605	1.869908	7.507652	2.122923
YBL084C	CDC27	0	0	0	0	0	0	0	0	0
YBL085W	BOI1	4.957743	7.616837	10.613359	0.597423	-0.918332	4.445841	3.894069	1.822854	6.414794
YBL086C	YBL086C	7.491882	6.607312	9.616118	3.803994	5.971451	5.119326	4.538259	5.446332	6.045542
YBL087C	RPL23A	6.554746	7.573469	7.763899	8.000189	7.618257	6.898762	7.865097	7.742951	8.110411
YBL088C	TEL1	5.562349	9.311251	10.41594	0.617317	3.383041	9.803069	10.377593	7.615848	10.196601
YBL089W	YBL089W	7.92634	9.642086	9.734322	8.661295	9.538712	1.470643	4.600749	6.211631	9.94235
YBL090W	MRP21	6.542877	7.165578	7.147306	7.199508	6.79098	6.996158	6.850529	7.056481	6.566752
YBL091C	MAP2	8.583644	9.397373	9.980071	7.686486	8.776371	8.056655	8.514676	8.751878	9.863713
YBL091C-A	YBL091C-A	8.479943	8.674788	8.699509	8.554018	8.737215	8.412602	8.618146	8.748789	8.43181
YBL092W	RPL32	0	0	0	0	0	0	0	0	0
YBL093C	ROX3	8.707727	8.234955	8.789488	8.438584	8.695932	8.285909	8.810306	7.970906	7.988213
YBL094C	YBL094C	7.0201	6.62192	9.623417	3.511503	3.740367	5.871285	9.072959	6.446566	6.490018
YBL095W	YBL095W	8.927536	9.894677	8.571271	9.314065	9.454363	103.087411	7.849207	10.013493	8.767725
YBL096C	YBL096C	9.174868	5.605117	9.481981	9.834975	9.34344	6.362795	3.967865	9.789106	8.634635
YBL097W	BRN1	0	0	0	0	0	0	0	0	0
YBL098W	YBL098W	9.813445	4.192073	9.217265	9.703313	9.230164	9.519243	3.257627	9.774699	7.384673
YBL099W	ATP1	6.669463	8.025172	9.187161	7.823485	8.121086	8.965963	8.648997	9.28248	7.370262
YBL100C	YBL100C	7.328063	7.882436	9.552266	8.625375	7.750714	9.30425	9.065975	9.008196	7.442881
YBL101C	ECM21	0.324203	7.195386	9.455348	6.451649	6.040016	9.684481	9.496021	5.513843	7.820046
YBL102W	SFT2	5.770958	6.349346	8.445694	7.075381	8.695457	2.140935	7.174221	8.750723	3.264076
YBL103C	RTG3	0	0	0	0	0	0	0	0	0
YBL104C	YBL104C	6.487121	7.071695	7.38719	4.398807	7.354475	7.429489	6.542992	7.157203	7.006544
YBL105C	PKC1	0	0	0	0	0	0	0	0	0
YBL106C	SRO77	7.626517	7.974121	7.733083	8.086821	8.046149	13.904407	7.08788	7.691857	3.62121
YBL107C	YBL107C	7.046888	6.998631	7.258705	6.269292	7.276584	5.47234	7.241398	6.526095	5.885931
YBR001C	NTH2	6.123733	7.661952	7.825973	6.530686	5.879936	7.38221	6.90284	7.763987	7.962821
YBR002C	RER2	0	0	0	0	0	0	0	0	0
YBR003W	COQ1	2.640068	7.190573	7.377417	8.225192	4.794883	8.221335	6.464254	7.936235	12.919869
YBR004C	YBR004C	0	0	0	0	0	0	0	0	0
YBR005W	YBR005W	8.719249	8.997672	7.505255	8.824202	4.748391	7.785353	8.796448	8.861274	8.94802
YBR006W	UGA2	8.171617	4.533593	7.757593	0.922794	0.760554	8.391099	3.850547	8.382197	7.968177
YBR007C	YBR007C	7.866508	7.86281	7.527328	7.784831	7.793687	7.672425	7.846179	7.850416	7.866255
YBR008C	FLR1	7.200952	7.306801	7.284561	3.891529	3.98467	7.00716	6.481764	5.998424	6.525
YBR009C	HHF1	7.627469	6.917845	7.028173	6.327876	7.641498	7.551265	4.627729	5.988033	6.890732
YBR010W	HHT1	4.440603	7.93917	7.14014	7.113709	7.362188	3.071848	7.737072	6.195061	3.089573
YBR011C	IPP1	0	0	0	0	0	0	0	0	0
YBR012C	YBR012C	4.304992	3.009847	8.157533	3.540324	8.454643	3.009781	6.055239	2.929977	6.82071
YBR013C	YBR013C	8.02992	8.028943	6.998976	7.616594	7.843408	7.904816	7.47805	6.444561	6.640407
YBR014C	YBR014C	7.955853	8.009181	7.778676	8.112277	8.100683	5.233639	8.090053	8.139311	7.814812
