ORF	hom | growth (culture turbidity) | freeze-thaw | YP4D, YPD | Ando A~Shima J, 2007
YDR193W	0.007
YDR194C	NaN
YDR195W	-0.031
YDR197W	NaN
YDR198C	-0.001
YDR199W	-0.023
YDR200C	0.012
YDR202C	0.016
YDR203W	0.017
YDR204W	NaN
YDR205W	-0.001
YDR206W	0.001
YDR207C	-0.035
YDR209C	-0.037
YDR210W	-0.013
YDR213W	0.009
YDR214W	0.001
YDR215C	0.016
YDR216W	-0.004
YDR217C	0.009
YDR218C	-0.020
YDR219C	-0.006
YDR220C	-0.002
YDR221W	0.000
YDR222W	-0.013
YDR223W	-0.028
YDR225W	0.044
YDR226W	0.160
YDR229W	-0.020
YDR230W	NaN
YDR231C	NaN
YDR233C	0.011
YDR234W	0.004
YDR237W	NaN
YDR239C	0.001
YDR241W	0.468
YDR242W	NaN
YDR244W	0.003
YDR245W	-0.898
YDR247W	-0.001
YDR248C	-0.031
YDR249C	-0.014
YDR250C	-0.024
YDR251W	-0.011
YDR252W	-0.017
YDR253C	-0.031
YDR254W	0.037
YDR255C	0.007
YDR256C	0.005
YDR257C	0.026
YDR258C	-0.003
YDR259C	-0.017
YDR260C	-0.014
YDR261C	-0.014
YDR262W	0.005
YDR263C	-0.013
YDR264C	-0.729
YDR265W	-0.016
YDR266C	-0.038
YDR268W	NaN
YDR269C	-0.019
YDR270W	-0.005
YDR271C	-0.008
YDR272W	-0.008
YDR273W	-0.019
YDR274C	-0.029
YDR275W	-0.010
YDR276C	0.017
YDR277C	-0.015
YDR278C	0.015
YDR279W	-0.013
YDR281C	-0.022
YDR282C	0.004
YDR283C	0.056
YDR284C	0.001
YDR285W	-0.026
YDR286C	-0.025
YDR287W	0.020
YDR289C	0.007
YDR290W	0.010
YDR291W	0.030
YDR293C	-0.222
YDR294C	0.006
YDR295C	-0.009
YDR296W	NaN
YDR297W	-0.029
YDR298C	NaN
YDR300C	-0.707
YDR304C	0.003
YDR305C	-0.008
YDR306C	-0.000
YDR307W	-0.010
YDR309C	-0.022
YDR310C	-0.028
YDR312W	0.015
YDR313C	0.017
YDR314C	-0.022
YDR315C	-0.035
YDR316W	0.019
YDR317W	-0.011
YDR318W	0.055
YDR319C	-0.004
YDR320C	-0.126
YDR321W	-0.026
YDR322W	NaN
YDR323C	NaN
YDR326C	NaN
YDR329C	-0.004
YDR330W	NaN
YDR332W	NaN
YDR333C	0.025
YDR334W	0.023
YDR335W	0.066
YDR336W	0.021
YDR337W	NaN
YDR338C	-0.051
YDR340W	-0.045
YDR344C	-0.048
YDR345C	-0.043
YDR346C	-0.010
YDR347W	NaN
YDR348C	0.008
YDR349C	-0.003
YDR350C	NaN
YDR351W	-0.024
YDR352W	-0.049
YDR354W	0.243
YDR357C	-0.050
YDR358W	-0.010
YDR359C	-0.404
YDR360W	0.017
YDR363W	0.149
YDR363W-A	-0.009
YDR364C	-0.035
YDR368W	-0.041
YDR369C	0.015
YDR370C	-0.038
YDR371W	-0.002
YDR372C	-0.040
YDR374C	-0.006
YDR375C	NaN
YDR377W	NaN
YDR378C	-0.110
YDR379W	-0.026
YDR380W	-0.038
YDR382W	-0.025
YDR383C	0.005
YDR384C	0.018
YDR385W	0.050
YDR386W	0.030
YDR387C	-0.003
YDR388W	0.219
YDR389W	-0.023
YDR391C	-0.035
YDR392W	-0.061
YDR393W	-0.025
YDR395W	-0.036
YDR399W	0.012
YDR400W	-0.004
YDR401W	-0.015
YDR402C	-0.034
YDR403W	-0.044
YDR405W	NaN
YDR406W	-0.032
YDR408C	0.064
YDR409W	-0.007
YDR411C	0.003
YDR414C	-0.014
YDR415C	-0.039
YDR417C	0.137
YDR418W	0.064
YDR419W	0.008
YDR420W	-0.012
YDR421W	-0.010
YDR422C	-0.006
YDR423C	-0.011
YDR424C	-0.004
YDR425W	-0.080
YDR426C	-0.006
YDR428C	-0.046
YDR430C	-0.041
YDR431W	0.018
YDR432W	0.951
YDR433W	0.846
YDR435C	0.028
YDR436W	0.016
YDR438W	0.015
YDR439W	0.098
YDR440W	0.023
YDR441C	0.062
YDR442W	NaN
YDR443C	1.341
YDR444W	0.006
YDR445C	0.005
YDR446W	0.002
YDR447C	0.053
YDR448W	0.405
YDR450W	0.399
YDR451C	0.018
YDR452W	0.019
YDR453C	0.021
YDR455C	0.056
YDR456W	0.122
YDR457W	0.021
YDR458C	0.018
YDR459C	0.016
YDR461W	NaN
YDR462W	-0.471
YDR463W	-0.290
YDR465C	0.009
YDR466W	0.008
YDR467C	0.007
YDR469W	-0.009
YDR470C	0.003
YDR471W	0.084
YDR474C	-0.004
YDR475C	-0.004
YDR476C	0.001
YDR477W	-0.658
YDR479C	0.014
YDR480W	0.021
YDR481C	0.008
YDR482C	0.000
YDR483W	0.016
YDR484W	-0.022
YDR485C	0.099
YDR486C	0.017
YDR488C	0.020
YDR490C	0.021
YDR491C	0.008
YDR492W	0.014
YDR493W	-0.047
YDR494W	0.043
YDR495C	0.260
YDR496C	0.104
YDR497C	-0.041
YDR500C	-0.001
YDR501W	0.010
YDR502C	0.011
YDR503C	0.010
YDR504C	0.015
YDR505C	0.008
YDR506C	0.008
YDR507C	NaN
YDR508C	0.004
YDR509W	0.004
YDR511W	0.014
YDR512C	0.013
YDR513W	0.010
YDR514C	0.011
YDR515W	0.005
YDR516C	0.049
YDR517W	0.010
YDR518W	0.030
YDR519W	0.018
YDR520C	0.021
YDR521W	-0.001
YDR522C	0.013
YDR523C	-0.016
YDR524C	0.013
YDR525W	0.017
YDR525W-A	-0.012
YDR528W	0.008
YDR529C	NaN
YDR530C	-0.009
YDR532C	NaN
YDR533C	NaN
YDR534C	0.010
YDR535C	-0.003
YDR536W	-0.002
YDR537C	0.004
YDR538W	-0.003
YDR539W	-0.005
YDR540C	-0.074
YDR541C	-0.009
YEL001C	-0.025
YEL003W	0.032
YEL004W	-0.013
YEL005C	-0.012
YEL006W	-0.028
YEL007W	-0.000
YEL008W	0.038
YEL009C	0.080
YEL010W	0.000
YEL011W	0.001
YEL012W	0.001
YEL013W	-0.034
YEL014C	-0.009
YEL015W	-0.011
YEL016C	-0.020
YEL017C-A	-0.031
YEL017W	0.024
YEL018W	0.066
YEL020C	-0.014
YEL023C	-0.002
YEL024W	NaN
YEL025C	-0.022
YEL027W	-0.980
YEL028W	-0.000
YEL029C	-0.008
YEL030W	-0.016
YEL031W	-0.489
YEL033W	0.972
YEL036C	-0.946
YEL037C	-0.025
YEL038W	-0.042
YEL039C	-0.018
YEL040W	-0.014
YEL041W	0.005
YEL042W	0.003
YEL043W	0.029
YEL044W	0.516
YEL045C	-0.180
YEL046C	-0.359
YEL047C	-0.014
YEL048C	-0.044
YEL049W	-0.029
YEL050C	NaN
YEL051W	-0.984
YEL052W	-0.014
YEL053C	0.033
YEL054C	0.217
YEL056W	0.031
YEL057C	-0.001
YEL059W	-0.035
YEL060C	-0.028
YEL061C	-0.001
YEL062W	-0.022
YEL063C	-0.010
YEL064C	0.004
YEL065W	0.011
YEL066W	0.008
YEL067C	0.006
YEL068C	-0.006
YEL071W	-0.029
YEL072W	-0.025
YER001W	-0.005
YER002W	-0.025
YER004W	-0.029
YER005W	-0.037
YER007C-A	-0.008
YER007W	-0.007
YER010C	0.007
YER011W	-0.010
YER014C-A	NaN
YER016W	0.144
YER017C	NaN
YER019C-A	-0.020
YER019W	0.043
YER020W	0.037
YER024W	-0.030
YER027C	0.001
YER028C	-0.021
YER030W	0.022
YER031C	-0.010
YER032W	-0.013
YER033C	-0.032
YER034W	0.005
YER037W	0.010
YER038W-A	0.024
YER039C	0.016
YER039C-A	-0.006
YER040W	0.138
YER041W	0.007
YER042W	-0.015
YER044C	NaN
YER044C-A	-0.004
YER045C	-0.014
YER046W	-0.011
YER046W-A	0.011
YER047C	0.021
YER048C	0.005
YER049W	0.016
YER050C	NaN
YER051W	0.001
YER052C	-0.010
YER053C	-0.010
YER054C	NaN
YER055C	-0.012
YER056C	0.025
YER056C-A	-0.008
YER057C	0.019
YER058W	NaN
YER059W	0.076
YER060W	-0.005
YER060W-A	0.002
YER061C	-0.026
YER062C	-0.010
YER063W	-0.012
YER064C	-0.002
YER065C	0.016
YER066C-A	0.000
YER066W	0.006
YER067C-A	0.004
YER067W	0.002
YER068C-A	0.012
YER068W	NaN
YER069W	0.004
YER070W	NaN
YER071C	-0.013
YER072W	0.054
YER073W	0.003
YER074W	0.063
YER075C	-0.002
YER077C	NaN
YER078C	-0.012
YER079W	0.010
YER080W	0.004
YER081W	0.007
YER083C	-0.018
YER084W	-0.023
YER085C	-0.021
YER086W	0.032
YER087C-A	-0.012
YER087W	NaN
YER088C	-0.008
YER089C	0.019
YER090W	0.023
YER091C	0.006
YER091C-A	-0.003
YER092W	-0.000
YER093C-A	-0.004
YER095W	-0.022
YER096W	-0.006
YER097W	0.006
YER098W	0.004
YER101C	-0.023
YER103W	-0.016
YER106W	-0.017
YER108C	-0.018
YER109C	-0.007
YER110C	-0.034
YER111C	-0.033
YER113C	-0.022
YER114C	-0.026
YER115C	-0.009
YER116C	-0.101
YER117W	-0.017
YER118C	-0.017
YER119C	-0.017
YER119C-A	-0.024
YER120W	-0.017
YER121W	-0.018
YER122C	NaN
YER123W	-0.014
YER124C	-0.021
