ORF	hom | growth (pooled culture) | compound 1 [12 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.05 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.1 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.25 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.5 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.53 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [0.1 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [0.25 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [0.5 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [0.75 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [1 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [2 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 4 [200 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 3 [0.1 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 3 [0.25 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 3 [0.5 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 1 [12 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 1 [22.02 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.05 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.1 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.25 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.5 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.53 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [0.1 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [0.25 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [0.5 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [0.75 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [1 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [2 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 4 [200 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 3 [0.1 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 3 [0.25 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 3 [0.5 uM] | None | Hoepfner D~Parker CN, 2012
YBR040W	0.015	-0.084	0.215	0.014	-0.312	-0.025	-0.035	-0.081	-0.300	-0.294	-0.169	-0.766	0.095	-0.174	0.039	-0.132	-0.342	-0.277	-0.801	-1.960	-0.168	1.402	-0.035	-0.604	-0.020	-0.102	-0.034	-1.277	-0.083	-0.187	-0.232	-0.128	-1.482
YBR041W	-0.003	-1.628	-0.321	-2.231	-3.188	0.251	0.327	-0.139	-2.413	-1.638	-0.613	0.015	-0.008	-0.134	-1.419	-1.371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBR042C	1.156	-0.103	-1.621	0.108	2.036	0.276	0.001	0.233	0.023	-0.059	1.081	0.001	0.460	0.014	0.081	0.095	-0.039	0.035	1.394	2.268	-0.060	-2.576	-0.058	-0.052	-0.052	0.136	0.150	-0.045	0.018	-0.360	0.066	0.836	-0.021
YBR043C	-0.009	0.057	-0.018	-0.287	0.035	0.027	0.066	-0.002	-0.534	-0.177	0.126	0.210	0.197	0.040	0.151	-0.265	0.166	-1.307	-0.053	0.091	0.009	0.875	0.311	0.372	-0.019	1.106	0.356	-0.194	0.006	0.270	0.039	-0.202	-1.094
YBR044C	0.433	-0.102	-0.046	-0.614	-0.181	-0.051	-2.842	0.013	0.208	0.108	-0.062	-1.449	-0.153	-0.051	0.030	-2.000	-0.001	1.117	-0.646	-0.575	0.061	-0.007	-0.144	-1.499	-0.069	0.004	-0.375	-0.223	-0.011	0.064	-2.104	-0.067	-0.069
YBR045C	-0.566	0.059	-0.689	-0.430	-0.003	-0.024	0.062	0.176	-0.190	-0.677	-0.037	-0.108	0.822	-0.075	0.149	-0.696	0.022	0.126	-1.006	0.568	-0.288	-0.107	0.209	-0.005	0.048	0.007	-0.015	-0.017	0.043	0.056	-1.743	-0.254	-0.009
YBR046C	0.008	-0.040	-0.237	-0.167	0.018	-0.036	0.019	0.093	-0.036	-2.126	-0.011	0.024	1.485	0.831	1.083	0.120	-0.167	0.132	-0.358	-0.587	-0.002	-0.087	0.186	-0.793	-0.352	-0.006	-0.153	-0.002	-0.059	0.009	-1.427	-0.035	-0.067
YBR047W	-0.335	0.285	-0.004	0.004	-0.012	0.114	0.001	0.002	-0.015	-0.011	0.448	0.061	0.119	0.009	-0.004	0.136	-0.021	0.043	0.561	-0.040	-0.013	-0.019	-1.053	0.058	-0.543	-0.182	-0.084	0.114	-0.088	0.019	-0.140	0.031	-0.131
YBR048W	0.362	-0.287	-0.376	4.264	2.437	-0.721	-2.395	-2.209	0.006	0.103	0.489	4.222	0.024	0.275	0.308	3.478	0.260	2.236	-1.089	-0.947	-0.390	-0.168	1.163	-0.053	0.034	0.460	1.120	2.653	2.211	-0.001	0.537	0.597	1.306
YBR049C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.556	0.263	-1.047	0.089	1.350	0.792	0.009	0.824	-0.045	0.088	1.936	3.352	3.299	-0.036	0.340	3.776	4.131
YBR050C	-0.091	0.025	-0.039	0.137	0.006	0.018	-0.030	-0.609	0.067	-0.051	0.592	0.370	0.756	-0.036	0.097	0.086	-0.133	0.375	-0.421	-0.205	0.002	-0.568	0.013	0.028	-0.974	0.082	-0.270	-0.143	0.028	-0.055	-0.123	0.257	-0.171
YBR051W	-0.002	-0.105	-0.030	-0.157	-0.183	0.109	-0.071	0.040	-0.054	-0.120	-0.002	0.076	0.094	-0.062	0.033	0.395	0.017	NaN	2.808	0.029	-0.112	NaN	NaN	NaN	NaN	0.022	1.521	NaN	NaN	NaN	NaN	NaN	NaN
YBR052C	0.080	-0.095	-0.004	-0.005	-0.484	0.075	-0.011	-0.001	-0.151	0.009	-0.075	0.499	0.011	0.017	-0.126	0.053	-0.264	-1.436	0.030	-0.094	-1.401	-0.918	0.904	-0.050	-2.754	0.000	-1.865	-0.127	-0.171	0.182	0.057	0.767	-0.030
YBR053C	-0.669	-0.007	-0.277	0.091	0.039	0.325	1.019	0.171	-0.001	-2.038	0.042	0.358	0.286	-0.058	0.051	0.520	-0.004	-0.106	1.498	-0.097	-0.010	-0.035	0.727	-1.303	-0.129	-1.189	0.053	-0.082	-0.050	-0.091	-0.170	-0.047	0.012
YBR054W	-0.037	0.857	-0.218	-0.010	-0.031	0.007	-0.318	0.150	-0.018	0.426	-0.020	0.476	-0.113	0.083	-0.074	0.089	-0.281	0.369	-2.457	-2.309	-0.870	-1.161	0.594	-0.036	-1.204	-0.277	-0.407	-0.176	-0.359	-0.218	-1.624	-1.111	-0.086
YBR055C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.095	-0.892	-1.287	-0.356	-0.926	-1.975	-0.134	-0.112	-1.014	-0.063	-0.073	-0.055	-0.087	0.099	-0.631	0.029	-0.546
YBR056W	0.206	0.061	-0.035	0.148	0.013	0.147	0.015	-0.000	-0.069	-0.163	0.114	0.385	1.371	0.568	-0.022	0.414	-2.062	0.002	-0.283	-0.435	-0.543	0.004	0.587	-0.238	-0.632	-0.148	-0.651	-1.078	-0.025	0.021	-0.060	0.004	-1.280
YBR057C	0.066	0.029	1.384	0.364	0.488	1.107	-0.147	0.114	0.061	0.527	0.328	0.033	0.204	-0.013	-0.260	0.036	-0.072	-0.166	-1.071	0.007	1.775	1.387	-0.030	-1.292	-0.184	0.074	0.941	0.255	1.430	0.867	-0.129	0.893	0.790
YBR058C	0.260	0.133	0.071	-0.815	-0.060	-0.001	0.322	0.798	-0.030	-0.029	1.880	0.114	-0.612	-0.134	-0.005	-0.067	-0.444	0.386	-1.174	-0.329	0.001	-0.239	-0.837	-0.659	-0.000	0.020	-0.004	-0.071	0.083	0.380	-0.644	0.306	0.277
YBR059C	-1.721	0.180	-0.290	-3.097	-2.631	0.842	1.047	-0.301	-2.189	-1.686	-3.431	-2.335	0.447	-1.653	-1.956	-1.364	-3.709	-4.796	-0.926	-1.960	-0.016	-2.003	0.699	-0.113	0.060	-2.279	-2.376	-0.778	-3.151	0.075	-2.381	-0.675	-2.937
YBR060C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.057	0.038	-3.232	-1.183	-0.403	-0.006	-0.070	0.025	-1.152	0.043	-2.636	0.136	-0.036	0.130	-0.085	0.085	0.004
YBR061C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.047	0.748	-1.392	-0.096	0.001	-0.001	0.463	-0.465	0.214	0.072	0.843	0.068	0.503	-0.064	-0.106	-0.016	0.459
YBR062C	-0.142	0.020	1.049	0.027	-0.063	0.032	-0.007	0.034	-0.581	-0.017	0.140	0.028	-0.092	0.011	-0.007	0.027	-1.313	-0.818	0.434	-0.026	-0.256	-0.045	0.111	0.106	0.005	-0.045	-0.015	-0.174	0.018	0.152	0.080	0.033	0.371
YBR063C	-0.025	-0.005	-0.846	-0.011	0.105	-0.002	-1.508	-0.205	0.064	-0.131	-0.335	0.162	-0.004	-0.021	-0.063	0.014	-1.643	0.006	0.369	-1.761	-0.079	0.186	1.455	-0.096	0.077	0.001	-0.347	-0.139	-0.061	0.480	-0.965	0.019	0.010
YBR064W	-0.076	0.257	-0.604	0.014	-0.011	-0.047	-0.560	-0.169	0.024	0.285	-0.022	0.022	-0.004	-0.003	-0.032	0.537	-0.211	-0.227	-0.498	-1.786	0.008	0.463	0.613	-0.276	-0.194	-2.572	-1.029	-0.154	-2.116	-0.305	-0.602	-2.320	-0.711
YBR065C	-0.015	1.186	-0.886	0.006	-0.205	0.058	-0.701	-0.933	0.026	-0.314	-0.051	0.078	-0.076	-0.132	0.197	0.800	-1.716	-1.433	-1.429	-0.001	1.011	1.432	-0.023	-0.156	-1.142	0.101	-0.059	-2.747	-3.711	-0.043	-0.513	-1.717	-2.359
YBR066C	0.006	0.027	-0.220	1.320	1.237	0.067	0.091	0.391	0.063	-0.027	1.239	0.874	0.857	1.325	0.133	0.437	0.800	0.077	0.217	-0.345	-0.009	1.169	-0.001	-0.082	-1.103	0.176	0.015	-0.019	-0.972	0.013	-1.607	0.066	-0.124
YBR067C	-0.135	0.174	-0.056	-0.511	-0.024	0.057	0.083	-0.046	-0.006	-0.908	0.360	0.245	1.034	0.034	-0.008	0.462	0.001	-0.693	-0.541	-0.164	-0.034	-0.085	0.150	-0.058	-0.056	0.374	-1.960	-0.197	-0.137	-0.114	-0.075	-0.065	0.007
YBR068C	-0.086	0.918	0.052	0.017	-0.071	0.038	-0.017	0.065	-0.016	0.149	-0.108	-0.028	-0.011	-0.294	-1.212	0.073	-0.022	-1.230	-0.600	-1.708	0.684	0.057	0.007	-0.026	-0.038	0.025	0.152	-0.080	-0.028	0.102	-0.264	-0.674	-0.332
YBR069C	-4.467	1.030	-0.069	1.469	0.472	0.078	-0.165	-5.810	-5.678	-3.745	-1.637	-1.000	-1.220	-4.908	-6.147	-1.469	0.230	0.023	0.139	-0.666	0.298	0.849	0.779	0.047	1.072	0.856	0.684	-0.011	-0.061	0.062	1.346	0.426	-0.546
YBR070C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.229	-0.015	-0.153	0.007	0.094	-0.007	0.120	-0.197	0.934	0.196	0.062	0.061	0.152	-1.194	0.120	0.001	-0.334
YBR071W	-0.091	0.044	0.004	0.533	0.092	-0.038	-0.235	-0.158	-0.209	-0.276	0.000	-0.193	0.073	-0.236	-0.398	0.012	0.002	-1.255	-1.567	-3.211	0.179	-0.289	0.041	-0.340	-0.356	0.011	-0.285	-0.147	-1.254	-0.161	-0.390	-0.516	-0.110
YBR072W	0.005	1.174	0.035	0.016	0.050	0.192	1.460	-0.023	-0.778	0.009	-0.102	0.007	0.205	-0.713	0.003	0.446	-0.027	-0.942	0.012	-0.292	0.137	1.684	-0.009	-0.158	-1.717	-1.082	-0.047	-0.076	-1.683	-0.097	-1.293	-0.326	-1.472
YBR073W	-1.257	0.201	-0.110	-0.006	-0.000	-0.026	0.145	0.143	0.102	-0.026	0.007	0.043	0.134	-0.152	-0.079	1.124	-0.219	-1.432	-0.071	-0.931	-0.032	0.014	0.951	1.491	0.395	-0.181	-0.178	0.043	0.394	0.093	0.320	0.079	0.051
YBR074W	0.260	0.214	-0.080	-0.443	0.019	-0.028	0.092	-0.010	0.257	-0.065	0.585	0.167	-0.073	0.006	0.033	0.103	0.038	0.089	0.081	-0.060	-0.061	0.116	0.783	-0.004	-0.563	-0.009	0.003	-0.708	-0.742	0.615	-1.523	-0.074	-0.031
YBR076W	-1.096	-0.018	0.020	0.098	-0.104	-0.043	0.071	0.010	-0.084	0.033	0.034	-0.016	0.003	-0.774	-0.425	0.013	-0.211	0.095	-0.957	-0.638	-0.087	-1.438	0.470	-0.793	-0.128	-0.543	-0.678	-0.603	-0.049	0.034	0.073	-0.035	-0.092
YBR077C	0.057	0.020	0.190	1.249	0.684	-0.015	-0.601	0.025	1.141	0.436	2.255	0.657	0.016	0.013	0.449	1.793	1.232	0.512	-0.096	-0.017	-0.010	-0.027	0.231	0.836	0.972	0.032	0.567	0.319	0.505	-0.517	0.058	-0.011	0.488
YBR078W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.791	-1.463	1.992	-0.152	0.345	1.883	0.037	0.032	-0.099	0.258	-0.190	0.394	3.749	0.239	0.249	2.162	1.509
YBR079C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.014	-0.257	-0.350	-1.047	0.009	-0.078	0.933	-0.186	0.374	0.075	-0.040	-0.247	-0.202	0.026	0.027	-0.697	-0.235
YBR080C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.006	-0.058	-2.130	0.135	-0.224	-0.262	0.080	-3.348	-0.747	0.003	0.063	0.144	-0.161	1.349	-0.100	-0.241	0.010
YBR081C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.232	-5.938	-3.488	0.011	-7.916	-7.169	-0.045	-0.179	-2.301	-2.674	-4.483	-7.270	-9.664	-0.004	-2.020	-4.011	-8.560
YBR082C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.005	1.069	-1.735	-1.086	0.074	0.230	0.079	-0.108	0.005	0.243	-0.003	0.030	0.870	0.176	0.360	0.702	1.900
YBR083W	-0.018	0.856	0.732	0.053	-0.000	-0.002	0.075	-0.000	-0.048	-0.042	0.010	0.184	-0.057	-0.561	-0.041	0.034	1.128	-0.225	0.095	0.462	-0.011	0.163	0.600	-0.138	1.161	-0.649	0.173	-0.034	-0.028	-0.276	-0.542	-0.636	-0.138
YBR084C-A	0.070	-0.082	-0.078	-0.024	-0.031	-0.046	0.918	-0.373	0.014	0.023	0.673	1.967	0.002	-1.401	-0.001	0.714	3.649	3.602	-1.687	-0.341	0.483	0.104	0.886	-0.406	0.127	1.071	0.124	0.069	-0.392	-2.526	-3.451	3.106	0.201
YBR084W	-0.158	-0.003	0.136	0.028	0.098	-0.029	-0.705	0.204	0.961	-0.391	0.378	0.911	0.667	0.390	1.300	0.178	0.005	-0.015	-0.038	-1.414	-0.824	-0.071	-0.006	1.400	0.026	1.120	0.506	0.401	0.585	0.651	-0.004	0.399	0.352
YBR085W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.005	0.008	-0.215	-1.315	0.343	0.079	-0.127	0.127	0.122	-0.010	-0.124	0.400	0.274	-0.352	0.301	-0.107	0.622
YBR086C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.872	-0.125	-2.469	-0.088	-0.054	-0.704	0.112	0.002	-0.410	-0.058	-1.744	-0.222	-3.533	-0.133	-0.711	0.020	-0.796
YBR087W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.009	-1.864	-0.995	-0.531	0.063	-1.267	0.738	0.096	0.043	0.110	0.021	0.341	1.801	0.073	-0.010	0.044	1.086
YBR088C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.430	0.201	-0.746	-1.602	0.003	-0.013	0.039	-0.051	0.066	0.060	1.780	-0.422	-0.082	-0.302	0.033	-0.078	-0.059
YBR089W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.154	0.054	-1.055	-0.151	0.023	0.090	-0.022	-1.094	0.728	-1.222	0.006	-0.629	-0.032	0.291	-0.221	-0.205	-0.598
YBR090C	0.008	0.867	0.015	0.016	-0.108	0.134	-0.038	-0.074	-0.107	0.075	0.050	-0.000	-0.117	-0.019	0.013	0.076	0.759	-0.041	-0.739	0.055	0.025	0.069	0.143	0.262	1.110	0.074	0.002	0.009	0.077	0.372	0.052	0.116	0.102
YBR091C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.878	-0.082	0.844	-0.247	-2.143	-3.320	-0.030	-0.469	-0.131	-0.059	-3.000	0.559	2.561	0.009	-2.174	-0.848	-0.004
YBR092C	-0.113	0.009	-0.076	-0.198	-0.014	0.195	0.188	-0.250	0.184	0.018	-0.068	0.116	1.264	-0.262	-0.028	0.700	0.161	-0.055	-2.536	1.110	-0.746	-1.594	1.857	0.826	0.067	1.160	0.435	0.606	0.159	0.460	-0.084	1.579	0.288
YBR093C	-0.076	0.076	-0.021	0.010	-0.094	1.355	-0.209	-1.129	-0.044	0.324	-0.007	0.335	-0.702	0.030	-0.203	-0.226	0.226	-0.050	-0.384	-0.107	-0.002	0.029	0.037	-0.037	-0.105	-0.565	-0.454	-0.216	-0.015	-0.024	-1.436	-0.030	-0.100
YBR094W	-0.012	0.516	0.036	0.031	-0.519	-0.035	0.026	-0.055	-0.050	0.267	-0.022	-0.037	0.055	-0.134	0.001	0.134	-0.517	-0.061	-0.718	-0.319	-0.060	-0.221	0.779	-0.000	-0.071	-0.154	1.118	-0.889	0.038	-0.186	-0.834	-0.151	-0.042
YBR095C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.152	-0.154	1.217	1.054	1.584	0.014	-0.076	-0.414	-1.483	-0.724	1.386	0.010	3.198	-2.167	-0.075	0.117	0.601
YBR096W	-0.952	NaN	-0.501	-0.382	NaN	NaN	NaN	NaN	-0.337	-1.757	NaN	NaN	NaN	NaN	NaN	NaN	-0.026	-0.151	0.084	0.127	-0.621	-0.123	0.274	-1.888	-0.485	-0.003	0.378	-0.233	-0.101	-0.138	-0.039	-0.150	-1.053
YBR097W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.303	0.015	-0.508	0.025	0.012	-0.153	-1.182	0.019	0.001	0.263	-0.186	-0.011	0.034	1.045	0.052	0.454	-0.622
YBR098W	0.035	-0.278	-0.326	0.058	0.218	-0.290	1.365	0.014	-0.198	-1.879	-0.139	0.058	0.332	0.077	-0.015	0.043	-1.658	0.028	0.922	-0.634	-0.047	-0.730	-0.346	0.008	-0.088	0.094	0.007	1.575	0.217	0.034	0.056	0.156	-0.009
YBR099C	0.010	-0.643	-0.269	0.243	0.042	-0.006	1.245	0.012	0.126	0.304	1.984	2.411	0.467	1.445	1.784	0.591	-0.579	-0.410	-0.291	0.107	-1.148	-1.123	-0.094	-0.532	-0.613	0.106	0.363	-0.008	0.001	0.124	-0.498	0.176	-0.022
YBR101C	2.114	0.316	0.073	-1.832	-1.658	-1.150	0.547	-0.769	-0.612	1.157	0.009	0.059	-1.916	-0.532	0.219	0.116	1.694	0.730	-0.833	-0.774	-0.751	-5.438	-2.208	0.177	0.146	0.722	0.246	-0.015	1.028	3.288	1.526	0.311	3.991
YBR102C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.223	-6.095	-0.347	-1.487	-2.118	-0.699	0.141	-1.634	-1.064	-0.400	-6.398	-9.176	-9.383	-0.050	-0.893	-2.409	-11.922
YBR103W	-0.210	-1.566	0.748	0.062	0.701	0.024	0.593	1.088	-0.483	-2.874	-5.614	-5.353	-0.074	-0.185	-4.490	-6.635	-0.732	-2.847	0.060	0.059	-1.439	-0.422	0.012	2.223	-0.170	-2.952	-3.529	-4.956	-4.413	3.862	-2.708	-3.644	-5.260
YBR104W	-0.331	0.371	-0.002	-0.069	-0.125	-0.017	-1.774	-0.067	0.051	0.146	-0.040	-0.351	-0.058	-0.220	-0.187	0.052	0.019	0.000	0.497	0.052	0.031	0.024	0.252	1.680	-0.182	0.314	0.483	0.068	0.162	1.497	0.038	0.280	0.132
YBR105C	1.175	-0.107	-0.398	1.056	0.640	-0.096	-0.020	-0.334	-0.129	-0.410	-0.074	0.338	0.693	-0.224	0.009	0.047	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBR106W	-9.176	-0.744	-5.417	-6.318	-5.272	-10.625	-13.937	-15.620	-15.191	-9.106	-9.753	-9.442	-6.665	-15.822	-13.706	-8.960	-0.012	0.150	-1.149	-0.414	-0.028	0.018	0.413	0.095	-0.194	-0.194	-0.039	-0.031	0.441	0.027	0.009	-0.647	0.324
YBR107C	0.075	0.085	-0.485	-0.454	0.030	-0.829	0.031	-0.009	0.004	-0.374	-0.163	0.529	0.035	0.600	-0.155	0.185	0.107	-0.035	-0.706	-0.221	-0.046	-0.506	-0.128	-0.101	-1.433	-1.352	-0.351	-0.214	-0.384	0.007	-0.253	-0.603	-0.183
YBR108W	-0.000	-0.037	-0.100	0.013	0.030	0.406	0.009	0.042	0.052	-0.322	-0.018	0.250	0.102	-0.027	0.070	0.128	0.013	0.045	-0.407	0.084	-0.117	-0.029	0.018	-1.199	-2.274	-0.467	0.238	0.007	0.001	0.090	-0.140	-0.020	-0.037
YBR109C	0.002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.562	-1.172	0.411	-0.051	2.749	3.428	-0.376	-0.390	-1.717	0.086	-0.547	-3.755	-3.985	1.109	0.094	0.015	-4.813
YBR110W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.495	-0.723	-1.766	0.756	-0.829	0.064	-0.344	0.082	-1.557	0.178	-0.037	0.452	0.870	-0.112	-0.965	-1.155	0.189
YBR111C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.056	1.154	-1.543	-0.004	2.561	2.637	-0.040	-0.020	-0.951	0.867	-2.567	0.171	1.521	1.345	-0.116	0.299	0.787
YBR112C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.198	1.738	-0.573	0.077	3.315	4.146	0.011	-0.155	0.973	1.970	0.300	2.669	3.459	0.065	0.069	2.673	3.337
YBR113W	0.126	0.244	-0.936	0.023	-0.337	-0.016	0.156	-0.159	-0.160	0.044	-0.215	0.513	-0.069	-0.007	0.006	1.000	0.396	1.390	-0.880	0.366	2.992	3.777	0.508	-0.191	0.070	1.577	3.588	2.557	2.204	0.061	0.192	2.435	2.625
YBR114W	0.040	0.047	0.182	-0.230	-0.451	-0.042	-0.252	-0.048	-1.121	-0.010	-1.075	0.006	0.031	-0.493	-0.010	0.010	-0.167	-0.044	-1.674	-0.188	1.617	2.144	-0.050	0.004	-1.791	-0.015	-0.257	-0.089	0.128	0.027	-0.573	-0.948	-0.045
YBR115C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.216	0.009	-2.102	-2.207	0.187	0.833	0.360	0.210	-0.073	0.159	-0.502	-1.429	-0.564	0.011	0.001	-0.273	-0.195
YBR116C	1.148	0.507	0.602	0.016	-0.016	0.000	-0.005	-0.119	-0.002	-0.008	-0.036	0.209	0.155	0.262	0.064	0.005	0.093	-0.037	-1.722	-1.547	-1.037	-0.280	-0.631	0.079	-1.682	0.529	0.148	0.051	-0.223	0.656	-1.674	0.434	-0.387
YBR117C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.330	0.028	-0.948	-1.139	-0.020	0.253	-0.079	0.247	-1.493	0.106	0.011	0.001	0.057	0.098	-0.006	-0.019	-0.151
YBR118W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.050	1.054	-1.557	-0.171	-1.664	-1.167	-0.006	0.253	-0.033	0.290	0.160	0.166	0.426	0.092	0.049	1.673	1.573
YBR119W	0.419	0.869	0.262	-1.179	-1.896	0.231	0.437	0.485	0.341	0.210	0.915	0.533	-0.035	-0.064	-0.113	1.307	2.209	5.032	-1.364	3.399	-0.045	0.006	1.497	-0.173	0.015	0.103	0.341	1.783	2.283	0.636	-1.611	0.005	0.145
YBR120C	0.047	0.002	0.012	0.315	0.878	-0.154	0.164	-0.013	0.045	0.019	1.285	0.509	0.058	0.103	0.903	0.117	-0.206	0.051	-2.871	2.956	0.407	0.948	-0.515	0.814	-0.294	1.135	0.077	0.288	-0.020	-0.084	0.104	0.560	-0.162
YBR121C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.045	-0.107	0.569	-0.035	0.069	-0.012	0.083	-0.014	0.040	-0.769	0.069	-0.041	0.006	-0.067	0.502	-0.174	-0.037
