orf	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBR007C	0.08180281107810199	-0.4094148614540199				
YBR008C	0.457482547572815	0.43839195051100344				
YBR009C	0.1091305163496331	-0.5634766960601612				
YBR010W	0.4506266692298683	0.6200035455875637			0.0	0.0
YBR012C	0.44276916074788875	0.7171223276440528				
YBR013C	-0.25665672272845613	-0.44677971379188075			0.0	0.0
YBR014C	-0.3242126317578468	-0.08918204489867676			0.0	0.0
YBR015C	0.05484713985821176	0.9053403504597594				
YBR016W	0.38990424184466327	-0.4920746902467737				
YBR017C						
YBR018C	-0.7174121858583419	-0.7838160158408857				
YBR019C	-0.5356586204992837	-0.3267331845138793				
YBR020W	-0.1752148604672534	-1.1776156882618956				
YBR021W	-0.5442384225163052	-1.1667605492404005			0.0	0.0
YBR022W	-0.8572783253596642	-0.5793188630688018				
YBR023C	-0.16246585076282205	-1.1716123447290654			0.0	0.0
YBR024W	-0.2820807086053033	-0.833189815397585			0.0	0.0
YBR025C	-0.9633018087720925	-0.7811829373885745			0.0	0.0
YBR026C	-0.5601998031666353	-0.031588821618168034				
YBR027C	-0.17057575759722757	-1.0953397088171968				
YBR028C	0.5395104567849303	0.2401719964984778			0.0	0.0
YBR030W	-0.7149908538700708	1.3065552087654253				
YBR031W	1.567649577323677	2.6883224556366216			0.0	0.0
YBR032W	-0.1352744542884724	-0.2411093908435625				
YBR033W	-0.268624647563598	-0.6928983407202971				
YBR034C	-0.18117736622528077	-0.6614950190814743				
YBR035C	-0.6401043809101047	-0.9147022397603329			0.0	0.0
YBR036C	-0.20742373959458527	1.1136360673395838			0.0	0.0
YBR037C	-2.713186989494071	1.0724485425934176			-3.457679947463587	0.0
YBR039W	-2.9577402760484164	-0.06855136669035389				
YBR040W	-1.006098167321212	0.09359578921770528				
YBR041W	-0.666521287098689	0.1485438798956205			0.0	0.0
YBR042C	-0.4203529497114685	0.07336063781552359			0.0	0.0
YBR043C	0.4148255462604305	0.5151211373648178				
YBR044C	-0.8730555553757372	-1.2037667906073601			0.0	0.0
YBR045C	-0.471062186358949	-0.8127060471458286			0.0	0.0
YBR046C	-0.5430825040080298	-0.6136799718331678				
YBR047W	0.05680436247771357	-0.1281736801555864			0.0	0.0
YBR048W	-0.11756949063959943	0.6349205565620302			0.0	0.0
YBR050C	0.4809804173562173	0.5102889298703618				
YBR051W	0.8234321627169213	0.6338055476609085				
YBR052C	0.4638904919405418	0.5496615516146345			0.0	0.0
YBR053C	0.26077918579079784	0.5126492831725338			0.0	0.0
YBR054W	0.052530947928012994	0.1418078700409384				
YBR056W	0.5860644836817264	0.38170730880803044				
YBR057C	-0.330330041172202	-0.03684744467886382			0.0	0.0
YBR058C	-0.7900154398057295	-0.5730507049219551			0.0	0.0
YBR059C	-0.32034484630792864	-1.2020566080360449			0.0	0.0
YBR061C	-0.002686246475637257	0.4043766451828637				
YBR062C	0.7460329045820768	0.6040317964633872			0.0	0.0
YBR063C	0.4812790400063637	0.880644410068698			0.0	0.0
YBR064W	0.37162666926413435	0.20832041114602845				
YBR065C	0.12456744097064343	0.7745226845200432			0.0	0.0
YBR066C	0.3672972629675313	-0.30939554948582876			0.0	0.0
YBR067C	-0.12384293038865613	0.23744851191904875			0.0	0.0
YBR068C	-0.006496173787089628	0.581317257024995			0.0	0.0
YBR069C	-5.626462466050313	1.9168869729389038			-3.163054574500181	0.0
YBR071W	0.3304179878049604	0.3795948189710403			0.0	0.0
YBR072W	-0.0332652058506383	0.3354796424750369				
YBR073W	-0.3524698000279589	-1.083820461453581			0.0	0.0
YBR074W	-0.5312686601652898	-1.0849294432795615			0.0	0.0
YBR076W	0.5538754505180189	1.2142882221976008			0.0	0.0
