ORF	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBR131W	NaN	NaN	-1.490	-2.910	NaN	NaN
YBR132C	NaN	NaN	NaN	NaN	1.004	NaN
YBR133C	NaN	NaN	NaN	NaN	NaN	NaN
YBR134W	NaN	NaN	0.821	1.993	NaN	0.530
YBR135W	2.097	0.895	NaN	NaN	NaN	NaN
YBR136W	-0.405	-1.145	NaN	NaN	NaN	NaN
YBR137W	NaN	NaN	-0.394	-0.917	NaN	NaN
YBR138C	NaN	NaN	0.949	0.943	NaN	NaN
YBR139W	NaN	NaN	-0.152	0.274	NaN	NaN
YBR140C	NaN	NaN	NaN	NaN	NaN	NaN
YBR141C	NaN	NaN	1.263	1.386	NaN	NaN
YBR142W	-1.131	0.155	NaN	NaN	NaN	NaN
YBR143C	2.811	2.465	NaN	NaN	NaN	NaN
YBR144C	NaN	NaN	-0.301	-1.703	NaN	NaN
YBR145W	NaN	NaN	0.225	0.035	NaN	NaN
YBR146W	NaN	NaN	0.475	0.733	NaN	NaN
YBR147W	NaN	NaN	0.745	1.184	NaN	NaN
YBR148W	NaN	NaN	0.474	-0.118	NaN	NaN
YBR149W	NaN	NaN	1.696	1.118	NaN	NaN
YBR150C	NaN	NaN	-0.421	0.176	NaN	NaN
YBR151W	NaN	NaN	-1.711	-1.559	NaN	NaN
YBR152W	-0.327	1.500	NaN	NaN	NaN	NaN
YBR153W	1.098	-0.003	NaN	NaN	NaN	NaN
YBR154C	NaN	NaN	NaN	NaN	NaN	NaN
