ORF	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YMR225C	NaN	NaN	-1.009	0.084	NaN	NaN
YMR226C	NaN	NaN	-0.422	0.023	NaN	NaN
YMR227C	-3.218	0.280	NaN	NaN	NaN	NaN
YMR228W	NaN	NaN	3.924	-0.506	1.633	NaN
YMR229C	1.256	0.592	NaN	NaN	NaN	NaN
YMR230W	NaN	NaN	-1.291	-1.089	NaN	NaN
YMR231W	-0.305	0.064	NaN	NaN	NaN	NaN
YMR232W	NaN	NaN	1.116	0.926	NaN	NaN
YMR233W	NaN	NaN	-1.543	0.177	NaN	NaN
YMR234W	NaN	NaN	0.335	0.213	NaN	NaN
YMR235C	2.550	2.319	NaN	NaN	NaN	NaN
YMR236W	-0.497	2.071	NaN	NaN	NaN	NaN
YMR237W	NaN	NaN	0.591	0.522	NaN	NaN
YMR238W	NaN	NaN	-0.495	-0.377	NaN	NaN
YMR239C	1.452	-0.214	NaN	NaN	NaN	NaN
YMR240C	0.316	-0.178	NaN	NaN	NaN	NaN
YMR241W	NaN	NaN	-0.012	-0.423	NaN	NaN
YMR242C	NaN	NaN	-0.264	1.337	NaN	NaN
YMR243C	NaN	NaN	-1.333	-1.123	NaN	NaN
YMR244C-A	NaN	NaN	-0.504	-0.291	NaN	NaN
YMR244W	NaN	NaN	-0.105	0.088	NaN	NaN
YMR245W	NaN	NaN	0.410	0.846	NaN	NaN
YMR246W	NaN	NaN	1.652	0.484	NaN	NaN
YMR247C	NaN	NaN	-0.947	-0.870	NaN	NaN
YMR250W	NaN	NaN	-0.942	-1.508	NaN	NaN
YMR251W	NaN	NaN	-0.025	0.079	NaN	NaN
YMR251W-A	NaN	NaN	-0.687	0.676	NaN	NaN
YMR252C	NaN	NaN	-0.321	0.805	NaN	NaN
YMR253C	NaN	NaN	-0.004	0.867	NaN	NaN
YMR254C	NaN	NaN	-0.321	0.484	NaN	NaN
YMR255W	NaN	NaN	0.288	0.386	NaN	NaN
YMR256C	NaN	NaN	NaN	NaN	NaN	NaN
YMR257C	NaN	NaN	NaN	NaN	0.826	NaN
YMR258C	NaN	NaN	0.892	1.369	NaN	NaN
YMR259C	NaN	NaN	-0.557	-1.351	NaN	NaN
YMR260C	0.986	-0.672	NaN	NaN	NaN	NaN
YMR261C	NaN	NaN	-0.610	-0.559	NaN	NaN
YMR262W	NaN	NaN	-0.149	-0.238	NaN	NaN
YMR263W	NaN	NaN	-0.102	1.753	NaN	NaN
YMR264W	NaN	NaN	0.395	1.604	NaN	NaN
YMR265C	NaN	NaN	-1.236	-0.421	NaN	NaN
YMR266W	NaN	NaN	NaN	NaN	NaN	NaN
YMR267W	NaN	NaN	NaN	NaN	1.753	NaN
YMR268C	0.377	0.356	NaN	NaN	NaN	NaN
YMR269W	NaN	NaN	-0.636	-1.185	NaN	NaN
YMR270C	1.398	0.390	NaN	NaN	NaN	NaN
YMR271C	NaN	NaN	-0.007	-0.848	NaN	NaN
YMR272C	NaN	NaN	0.325	0.583	NaN	NaN
YMR273C	NaN	NaN	-0.261	0.679	NaN	NaN
YMR274C	NaN	NaN	-1.862	-0.793	NaN	NaN
YMR275C	NaN	NaN	-0.512	-0.403	NaN	NaN
YMR276W	NaN	NaN	-0.280	-0.615	NaN	NaN
YMR277W	0.396	1.035	NaN	NaN	NaN	NaN
YMR278W	NaN	NaN	0.461	0.116	NaN	NaN
YMR279C	NaN	NaN	-0.222	0.114	NaN	NaN
YMR280C	NaN	NaN	-1.168	-0.720	NaN	NaN
YMR281W	-0.621	-0.786	NaN	NaN	NaN	NaN
YMR282C	NaN	NaN	2.502	0.342	1.796	NaN
YMR283C	NaN	NaN	-0.059	-0.361	NaN	NaN
YMR284W	NaN	NaN	-0.150	3.314	NaN	NaN
YMR285C	NaN	NaN	0.470	0.958	NaN	NaN
YMR286W	NaN	NaN	NaN	NaN	2.049	NaN
YMR287C	NaN	NaN	6.240	-0.342	2.040	NaN
YMR288W	-0.049	-0.998	NaN	NaN	NaN	NaN
YMR289W	NaN	NaN	NaN	NaN	NaN	NaN
YMR290C	-0.199	0.489	NaN	NaN	NaN	NaN
YMR290W-A	-1.095	-0.271	NaN	NaN	NaN	NaN
YMR291W	NaN	NaN	-0.871	0.232	NaN	NaN
YMR292W	NaN	NaN	0.201	0.351	NaN	NaN
YMR293C	NaN	NaN	2.056	0.713	1.626	NaN
YMR294W	NaN	NaN	0.970	2.575	NaN	NaN
YMR294W-A	NaN	NaN	-0.052	-0.007	NaN	NaN
YMR295C	NaN	NaN	1.323	0.655	NaN	NaN
YMR296C	1.015	-0.189	NaN	NaN	NaN	NaN
YMR297W	NaN	NaN	-0.006	0.374	NaN	NaN
YMR298W	0.203	0.118	NaN	NaN	NaN	NaN
YMR299C	NaN	NaN	0.142	1.069	NaN	NaN
YMR300C	NaN	NaN	0.528	0.858	NaN	NaN
YMR301C	-1.319	-0.579	NaN	NaN	NaN	NaN
YMR302C	NaN	NaN	-0.556	-0.371	NaN	NaN
YMR303C	NaN	NaN	0.609	1.627	NaN	NaN
YMR304C-A	NaN	NaN	-0.452	-0.356	NaN	NaN
YMR304W	NaN	NaN	-2.067	-1.203	0.507	NaN
YMR305C	NaN	NaN	1.501	1.068	NaN	NaN
YMR306C-A	NaN	NaN	-1.119	-0.673	NaN	NaN
YMR306W	NaN	NaN	-0.900	-0.572	NaN	NaN
YMR307W	NaN	NaN	-0.476	-0.344	NaN	NaN
YMR308C	-0.955	-0.556	NaN	NaN	NaN	NaN
YMR309C	NaN	NaN	NaN	NaN	NaN	NaN
YMR310C	NaN	NaN	-0.816	0.868	NaN	NaN
YMR311C	NaN	NaN	2.020	-1.140	NaN	NaN
YMR312W	NaN	NaN	-0.250	-0.740	NaN	NaN
YMR313C	NaN	NaN	0.751	1.276	NaN	NaN
YMR314W	-2.018	1.805	NaN	NaN	NaN	NaN
YMR315W	NaN	NaN	0.691	0.203	NaN	NaN
YMR316C-A	NaN	NaN	0.926	0.345	NaN	NaN
YMR316C-B	NaN	NaN	-0.094	-0.014	NaN	NaN
YMR316W	NaN	NaN	1.140	4.602	NaN	NaN
YMR317W	NaN	NaN	-0.572	-0.361	NaN	NaN
YMR318C	NaN	NaN	0.186	-0.485	NaN	NaN
YMR319C	NaN	NaN	0.720	-0.583	NaN	NaN
YMR320W	NaN	NaN	1.130	2.313	NaN	NaN
YMR322C	NaN	NaN	-0.529	-0.337	NaN	NaN
YMR326C	NaN	NaN	-0.882	-0.642	NaN	NaN
YNL001W	NaN	NaN	-1.800	-2.898	NaN	NaN
YNL002C	-3.051	-1.702	NaN	NaN	NaN	NaN
YNL003C	NaN	NaN	NaN	NaN	0.994	NaN
YNL004W	NaN	NaN	NaN	NaN	NaN	NaN
YNL005C	NaN	NaN	6.209	-0.764	1.409	NaN
YNL006W	0.803	-0.517	NaN	NaN	NaN	NaN
YNL007C	0.726	-0.312	NaN	NaN	NaN	NaN
YNL009W	NaN	NaN	NaN	NaN	NaN	NaN
YNL010W	NaN	NaN	-0.213	0.197	NaN	NaN
YNL011C	NaN	NaN	-1.224	-0.755	NaN	NaN
YNL012W	NaN	NaN	-0.979	-0.388	NaN	NaN
YNL013C	NaN	NaN	-0.580	0.085	NaN	NaN
YNL014W	NaN	NaN	0.821	1.731	NaN	NaN
YNL015W	NaN	NaN	NaN	NaN	NaN	0.690
YNL016W	NaN	NaN	1.373	1.549	NaN	NaN
YNL020C	NaN	NaN	-0.695	-0.133	NaN	NaN
YNL022C	NaN	NaN	0.443	1.050	NaN	NaN
YNL023C	NaN	NaN	-0.420	1.003	NaN	NaN
YNL024C	NaN	NaN	-0.704	-0.397	NaN	NaN
YNL024C-A	0.094	0.765	NaN	NaN	NaN	NaN
YNL025C	NaN	NaN	0.083	-1.929	NaN	NaN
YNL026W	NaN	NaN	NaN	NaN	NaN	NaN
YNL027W	NaN	NaN	-0.207	-1.136	NaN	NaN
YNL031C	NaN	NaN	-1.526	-1.042	NaN	NaN
YNL032W	NaN	NaN	1.220	1.490	NaN	NaN
YNL034W	NaN	NaN	0.087	0.543	NaN	NaN
YNL035C	NaN	NaN	-1.135	-0.209	NaN	NaN
YNL038W	0.390	-0.490	NaN	NaN	NaN	NaN
YNL039W	NaN	NaN	NaN	NaN	NaN	NaN
YNL040W	NaN	NaN	NaN	NaN	NaN	0.738
YNL041C	NaN	NaN	-6.051	-2.450	NaN	NaN
YNL042W	NaN	NaN	-0.065	0.519	NaN	NaN
YNL043C	NaN	NaN	-0.581	-0.674	NaN	NaN
YNL044W	NaN	NaN	-0.556	-0.405	NaN	NaN
YNL045W	NaN	NaN	0.957	0.584	NaN	NaN
YNL046W	NaN	NaN	-1.324	-0.372	NaN	NaN
YNL047C	NaN	NaN	-0.058	0.893	NaN	NaN
YNL049C	NaN	NaN	-1.113	0.738	NaN	NaN
YNL050C	NaN	NaN	-0.296	0.300	NaN	NaN
YNL051W	NaN	NaN	NaN	NaN	NaN	NaN
YNL052W	NaN	NaN	2.247	0.053	NaN	NaN
YNL053W	NaN	NaN	-0.188	0.017	NaN	NaN
YNL054W	NaN	NaN	-0.198	0.229	NaN	NaN
YNL055C	NaN	NaN	0.725	0.377	NaN	NaN
YNL056W	NaN	NaN	0.981	0.995	NaN	NaN
YNL057W	NaN	NaN	0.231	0.210	NaN	NaN
YNL058C	NaN	NaN	-0.328	-0.435	0.561	NaN
YNL059C	NaN	NaN	0.032	0.573	NaN	NaN
YNL061W	-2.357	-0.437	NaN	NaN	NaN	NaN
YNL062C	-0.919	-0.262	NaN	NaN	NaN	NaN
YNL063W	NaN	NaN	-0.238	0.123	NaN	NaN
YNL064C	NaN	NaN	NaN	NaN	NaN	0.548
YNL065W	NaN	NaN	-0.880	-0.365	NaN	NaN
YNL066W	NaN	NaN	-0.169	-0.604	NaN	NaN
YNL067W	NaN	NaN	-0.662	-1.694	NaN	NaN
YNL068C	NaN	NaN	1.268	3.166	NaN	NaN
YNL069C	NaN	NaN	NaN	NaN	NaN	NaN
YNL070W	NaN	NaN	1.597	1.407	NaN	NaN
YNL071W	NaN	NaN	-0.310	0.335	0.759	NaN
YNL072W	NaN	NaN	-0.490	0.255	NaN	NaN
YNL073W	NaN	NaN	2.351	-0.841	1.574	NaN
YNL074C	NaN	NaN	-0.555	0.165	NaN	NaN
YNL075W	2.009	-1.671	NaN	NaN	NaN	NaN
YNL076W	NaN	NaN	-0.454	-0.386	NaN	NaN
YNL077W	NaN	NaN	-0.050	-1.783	NaN	NaN
YNL078W	NaN	NaN	0.200	0.211	NaN	NaN
YNL079C	NaN	NaN	-0.684	1.884	NaN	NaN
YNL080C	NaN	NaN	-0.166	0.782	NaN	NaN
YNL081C	NaN	NaN	NaN	NaN	1.445	NaN
YNL082W	NaN	NaN	-0.206	-0.074	NaN	NaN
YNL083W	NaN	NaN	1.058	1.172	NaN	NaN
YNL084C	NaN	NaN	-0.215	0.857	0.547	NaN
YNL085W	NaN	NaN	-0.233	-0.116	NaN	NaN
YNL086W	NaN	NaN	-1.155	-0.708	NaN	NaN
YNL087W	NaN	NaN	-0.729	-0.581	NaN	NaN
YNL088W	1.132	1.158	NaN	NaN	NaN	NaN
YNL089C	NaN	NaN	-1.492	-0.385	NaN	NaN
YNL090W	NaN	NaN	-0.447	1.019	NaN	NaN
YNL091W	NaN	NaN	1.164	1.007	NaN	NaN
YNL092W	NaN	NaN	-0.211	0.011	NaN	NaN
YNL093W	NaN	NaN	-1.159	-0.801	NaN	NaN
YNL094W	NaN	NaN	0.984	-0.546	NaN	NaN
YNL095C	NaN	NaN	-0.099	0.575	NaN	NaN
YNL096C	NaN	NaN	-2.685	-2.559	NaN	NaN
YNL097C	NaN	NaN	0.539	-0.031	NaN	NaN
YNL098C	NaN	NaN	0.670	0.081	NaN	NaN
YNL099C	NaN	NaN	1.567	1.106	NaN	NaN
YNL100W	NaN	NaN	1.108	0.478	NaN	NaN
YNL101W	NaN	NaN	-1.349	-0.440	0.549	NaN
YNL102W	-0.593	0.258	NaN	NaN	NaN	NaN
YNL103W	0.840	-0.253	NaN	NaN	NaN	NaN
YNL104C	NaN	NaN	-1.145	-0.417	NaN	NaN
YNL105W	NaN	NaN	-0.016	0.143	NaN	NaN
YNL106C	NaN	NaN	-0.149	-0.219	NaN	NaN
YNL107W	NaN	NaN	0.390	0.750	NaN	NaN
YNL108C	NaN	NaN	0.496	0.409	NaN	NaN
YNL109W	NaN	NaN	0.299	-0.161	NaN	NaN
YNL110C	-1.021	-0.570	NaN	NaN	NaN	NaN
YNL111C	NaN	NaN	0.269	0.043	NaN	NaN
YNL112W	1.067	-1.793	NaN	NaN	NaN	NaN
YNL113W	-3.279	-0.631	NaN	NaN	NaN	NaN
YNL114C	0.182	-1.332	NaN	NaN	NaN	NaN
YNL115C	NaN	NaN	-0.369	-1.882	NaN	NaN
YNL116W	NaN	NaN	-0.216	-0.360	NaN	NaN
YNL117W	NaN	NaN	-0.468	-0.305	NaN	NaN
YNL118C	NaN	NaN	NaN	NaN	NaN	NaN
YNL119W	NaN	NaN	0.303	0.333	NaN	NaN
YNL120C	NaN	NaN	-0.316	-0.697	NaN	NaN
YNL121C	NaN	NaN	2.323	-0.596	NaN	NaN
YNL122C	NaN	NaN	0.859	1.013	NaN	NaN
YNL123W	NaN	NaN	-0.736	-0.035	NaN	NaN
YNL124W	NaN	NaN	NaN	NaN	NaN	NaN
YNL125C	NaN	NaN	NaN	NaN	NaN	NaN
YNL126W	-1.615	-0.053	NaN	NaN	NaN	NaN
YNL127W	NaN	NaN	1.870	1.679	NaN	NaN
YNL128W	NaN	NaN	0.007	1.803	NaN	NaN
YNL129W	NaN	NaN	0.570	-0.682	NaN	NaN
YNL130C	NaN	NaN	-0.561	-0.815	NaN	NaN
YNL131W	NaN	NaN	NaN	NaN	NaN	NaN
YNL132W	-2.319	-3.202	NaN	NaN	NaN	NaN
YNL133C	NaN	NaN	NaN	NaN	NaN	NaN
YNL134C	NaN	NaN	-0.785	-0.220	NaN	NaN
YNL135C	NaN	NaN	-0.166	-0.919	NaN	NaN
YNL136W	NaN	NaN	NaN	NaN	NaN	NaN
YNL137C	-0.441	0.055	NaN	NaN	NaN	NaN
YNL138W	NaN	NaN	NaN	NaN	NaN	NaN
YNL138W-A	-0.941	-0.246	NaN	NaN	NaN	NaN
YNL139C	NaN	NaN	NaN	NaN	0.695	NaN
YNL140C	NaN	NaN	NaN	NaN	NaN	NaN
YNL141W	NaN	NaN	-1.173	-0.720	NaN	NaN
YNL142W	NaN	NaN	-0.652	-0.236	NaN	NaN
YNL143C	NaN	NaN	0.054	-0.386	NaN	NaN
YNL144C	NaN	NaN	0.346	-0.102	NaN	NaN
YNL145W	NaN	NaN	-1.295	-1.723	NaN	NaN
YNL146W	NaN	NaN	-1.017	-0.278	NaN	NaN
YNL147W	NaN	NaN	1.348	2.607	NaN	NaN
YNL148C	NaN	NaN	1.610	2.690	NaN	NaN
YNL149C	-0.717	-0.605	NaN	NaN	NaN	NaN
YNL150W	-0.353	-0.444	NaN	NaN	NaN	NaN
YNL151C	-0.356	0.853	NaN	NaN	NaN	NaN
YNL152W	-1.087	0.458	NaN	NaN	NaN	NaN
YNL154C	NaN	NaN	-0.455	0.756	NaN	NaN
YNL155W	NaN	NaN	-0.393	0.105	NaN	NaN
YNL157W	NaN	NaN	0.414	0.927	NaN	NaN
YNL158W	0.517	0.535	NaN	NaN	NaN	NaN
YNL159C	NaN	NaN	-0.006	0.020	NaN	NaN
YNL160W	NaN	NaN	-0.585	0.703	NaN	NaN
YNL161W	NaN	NaN	NaN	NaN	NaN	NaN
YNL163C	NaN	NaN	NaN	NaN	NaN	NaN
YNL166C	NaN	NaN	1.304	3.191	NaN	NaN
YNL167C	-1.984	-0.173	NaN	NaN	NaN	NaN
YNL168C	NaN	NaN	-0.522	-0.018	NaN	NaN
YNL170W	NaN	NaN	1.555	0.284	0.651	NaN
YNL172W	-0.565	-0.619	NaN	NaN	NaN	NaN
YNL173C	NaN	NaN	-0.000	-0.143	NaN	NaN
YNL175C	NaN	NaN	0.575	-0.783	NaN	NaN
YNL176C	NaN	NaN	-0.454	-1.134	NaN	NaN
YNL177C	NaN	NaN	NaN	NaN	1.261	NaN
YNL178W	-5.648	-1.702	NaN	NaN	NaN	NaN
YNL179C	NaN	NaN	-0.866	-2.469	NaN	NaN
YNL180C	NaN	NaN	-0.574	-0.817	NaN	NaN
YNL181W	0.820	1.026	NaN	NaN	NaN	NaN
YNL182C	-0.298	0.079	NaN	NaN	NaN	NaN
YNL183C	NaN	NaN	0.313	-0.617	NaN	NaN
YNL184C	NaN	NaN	-0.149	-0.158	1.998	NaN
YNL187W	NaN	NaN	0.567	0.893	NaN	NaN
YNL188W	-1.416	0.279	NaN	NaN	NaN	NaN
YNL189W	0.452	0.275	NaN	NaN	NaN	NaN
YNL190W	NaN	NaN	0.616	0.112	NaN	NaN
YNL191W	NaN	NaN	0.325	-0.476	NaN	NaN
YNL193W	NaN	NaN	-0.547	-0.661	NaN	NaN
YNL194C	NaN	NaN	-0.057	-0.345	NaN	NaN
YNL195C	NaN	NaN	-0.349	-0.475	NaN	NaN
YNL196C	NaN	NaN	0.446	-2.103	NaN	NaN
YNL197C	NaN	NaN	-0.749	-0.524	NaN	NaN
YNL198C	NaN	NaN	-1.783	0.090	NaN	NaN
YNL199C	NaN	NaN	NaN	NaN	NaN	NaN
YNL200C	NaN	NaN	0.423	-0.243	NaN	NaN
YNL201C	NaN	NaN	-0.555	5.337	NaN	0.717
YNL202W	NaN	NaN	0.308	-0.108	NaN	NaN
YNL203C	NaN	NaN	-0.269	-0.292	NaN	NaN
YNL204C	NaN	NaN	0.814	-1.022	NaN	NaN
YNL205C	NaN	NaN	NaN	NaN	NaN	NaN
YNL206C	NaN	NaN	-0.427	-1.920	NaN	NaN
YNL207W	-0.500	0.148	NaN	NaN	NaN	NaN
YNL211C	NaN	NaN	0.019	-1.206	NaN	NaN
YNL212W	NaN	NaN	-0.320	-0.202	NaN	NaN
YNL213C	NaN	NaN	5.937	1.080	1.248	NaN
YNL214W	NaN	NaN	0.233	-1.012	0.602	NaN
YNL215W	NaN	NaN	-0.363	-0.065	NaN	NaN
YNL216W	-0.157	-0.549	NaN	NaN	NaN	NaN
YNL217W	NaN	NaN	2.863	0.798	NaN	NaN
YNL218W	NaN	NaN	-1.183	0.129	NaN	NaN
YNL219C	NaN	NaN	0.145	-0.402	NaN	NaN
YNL220W	NaN	NaN	0.154	-0.028	0.531	NaN
YNL221C	-0.574	0.064	NaN	NaN	NaN	NaN
YNL222W	-0.747	-0.477	NaN	NaN	NaN	NaN
YNL224C	NaN	NaN	-0.062	0.427	NaN	NaN
YNL225C	NaN	NaN	NaN	NaN	NaN	NaN
YNL226W	NaN	NaN	-1.137	-0.420	NaN	NaN
YNL227C	NaN	NaN	-1.669	-1.704	NaN	NaN
YNL228W	NaN	NaN	-1.388	-0.482	NaN	NaN
YNL229C	NaN	NaN	1.422	1.421	0.632	NaN
YNL230C	NaN	NaN	-0.257	-0.153	NaN	NaN
YNL231C	NaN	NaN	-1.572	-2.274	NaN	NaN
YNL232W	-1.798	-0.879	NaN	NaN	NaN	NaN
YNL233W	NaN	NaN	0.730	0.629	NaN	NaN
YNL235C	NaN	NaN	1.006	1.218	NaN	NaN
YNL236W	NaN	NaN	-0.488	-0.493	NaN	NaN
YNL237W	NaN	NaN	0.831	-0.701	NaN	NaN
YNL238W	-1.037	-0.021	NaN	NaN	NaN	NaN
YNL239W	NaN	NaN	-0.351	-1.082	NaN	NaN
YNL240C	0.310	0.465	NaN	NaN	NaN	NaN
YNL241C	NaN	NaN	2.091	1.256	NaN	NaN
YNL242W	NaN	NaN	-0.384	-0.539	NaN	NaN
YNL243W	NaN	NaN	-0.035	2.047	NaN	NaN
YNL244C	1.756	-0.382	NaN	NaN	NaN	NaN
YNL245C	0.724	0.877	NaN	NaN	NaN	NaN
YNL246W	NaN	NaN	-2.031	0.928	NaN	0.734
YNL247W	-1.556	-1.508	NaN	NaN	NaN	NaN
YNL248C	NaN	NaN	-0.584	-0.129	NaN	NaN
YNL249C	NaN	NaN	-0.842	-0.199	NaN	NaN
YNL250W	NaN	NaN	0.633	3.151	NaN	1.468
YNL251C	-0.374	0.191	NaN	NaN	NaN	NaN
YNL252C	NaN	NaN	7.797	-1.505	NaN	NaN
YNL253W	NaN	NaN	0.473	0.051	NaN	NaN
YNL254C	NaN	NaN	0.242	-0.864	NaN	NaN
YNL255C	NaN	NaN	0.010	0.191	0.714	NaN
YNL256W	0.171	-0.606	NaN	NaN	NaN	NaN
YNL257C	NaN	NaN	-0.629	0.825	NaN	NaN
YNL258C	-1.016	-0.631	NaN	NaN	NaN	NaN
YNL259C	NaN	NaN	-0.542	0.420	NaN	NaN
YNL260C	0.734	0.666	NaN	NaN	NaN	NaN
YNL261W	-1.187	-1.259	NaN	NaN	NaN	NaN
YNL262W	-2.726	-1.915	NaN	NaN	NaN	NaN
YNL263C	-1.627	-1.315	NaN	NaN	NaN	NaN
YNL264C	NaN	NaN	-0.504	0.104	NaN	NaN
YNL265C	NaN	NaN	-0.378	-0.034	NaN	NaN
YNL266W	NaN	NaN	0.498	0.645	NaN	NaN
YNL267W	1.024	0.333	NaN	NaN	NaN	NaN
YNL268W	NaN	NaN	0.334	-0.671	NaN	NaN
YNL269W	NaN	NaN	-0.660	-0.546	NaN	NaN
YNL270C	NaN	NaN	0.860	0.510	NaN	NaN
YNL271C	NaN	NaN	1.935	3.973	NaN	NaN
YNL272C	0.152	-0.518	NaN	NaN	NaN	NaN
YNL273W	NaN	NaN	0.251	1.982	NaN	NaN
YNL274C	NaN	NaN	-0.121	0.157	NaN	NaN
YNL275W	NaN	NaN	-1.320	0.097	NaN	NaN
YNL276C	NaN	NaN	0.064	1.183	NaN	NaN
YNL277W	NaN	NaN	NaN	NaN	NaN	NaN
YNL278W	NaN	NaN	-1.586	-1.234	NaN	NaN
YNL279W	NaN	NaN	0.510	0.309	NaN	NaN
YNL280C	NaN	NaN	NaN	NaN	NaN	NaN
YNL281W	NaN	NaN	0.045	0.460	NaN	NaN
YNL282W	-1.541	0.328	NaN	NaN	NaN	NaN
YNL283C	NaN	NaN	-0.282	3.145	NaN	NaN
YNL284C	NaN	NaN	2.177	-0.308	0.531	NaN
YNL285W	NaN	NaN	0.897	2.013	NaN	NaN
YNL286W	NaN	NaN	-0.510	0.331	NaN	NaN
YNL287W	1.408	0.635	NaN	NaN	NaN	NaN
YNL288W	NaN	NaN	0.740	-0.468	NaN	NaN
YNL289W	NaN	NaN	-0.498	2.096	NaN	NaN
YNL290W	-0.340	1.498	NaN	NaN	NaN	NaN
YNL291C	NaN	NaN	0.399	1.692	NaN	NaN
YNL292W	NaN	NaN	0.279	0.698	NaN	NaN
YNL293W	NaN	NaN	1.491	1.678	NaN	NaN
YNL294C	NaN	NaN	2.583	1.426	NaN	NaN
YNL295W	NaN	NaN	-0.736	-1.070	NaN	NaN
YNL296W	NaN	NaN	NaN	NaN	0.582	NaN
YNL297C	NaN	NaN	NaN	NaN	NaN	NaN
YNL298W	NaN	NaN	1.562	6.391	NaN	NaN
YNL299W	NaN	NaN	-0.988	0.509	NaN	NaN
YNL300W	NaN	NaN	-0.469	-0.842	NaN	NaN
YNL301C	NaN	NaN	0.151	0.298	NaN	NaN
YNL303W	NaN	NaN	0.450	0.176	NaN	NaN
YNL304W	NaN	NaN	-0.375	0.039	NaN	NaN
YNL305C	NaN	NaN	0.553	-0.459	NaN	NaN
YNL306W	-0.679	0.279	NaN	NaN	NaN	NaN
YNL307C	NaN	NaN	4.265	0.479	NaN	NaN
YNL308C	-1.381	-0.008	NaN	NaN	NaN	NaN
YNL310C	-1.868	-2.236	NaN	NaN	NaN	NaN
YNL311C	NaN	NaN	0.863	0.687	NaN	NaN
YNL312W	-1.415	-0.842	NaN	NaN	NaN	NaN
YNL313C	-2.263	-0.144	NaN	NaN	NaN	NaN
YNL314W	NaN	NaN	0.934	1.858	NaN	NaN
YNL315C	NaN	NaN	3.197	0.748	NaN	NaN
YNL316C	NaN	NaN	0.858	1.060	NaN	NaN
YNL317W	NaN	NaN	NaN	NaN	NaN	NaN
YNL318C	NaN	NaN	-0.631	-0.358	NaN	NaN
YNL319W	NaN	NaN	0.622	0.220	NaN	NaN
YNL321W	NaN	NaN	-0.142	-0.198	NaN	NaN
YNL322C	NaN	NaN	-1.357	-1.538	NaN	NaN
YNL323W	NaN	NaN	-0.698	-0.632	NaN	0.538
YNL324W	NaN	NaN	1.681	2.060	NaN	NaN
YNL325C	NaN	NaN	0.884	1.226	NaN	NaN
YNL326C	NaN	NaN	-0.987	-0.983	NaN	NaN
YNL327W	NaN	NaN	-0.273	0.135	NaN	NaN
YNL328C	NaN	NaN	-0.559	1.459	NaN	NaN
YNL329C	NaN	NaN	1.948	0.007	NaN	NaN
YNL332W	NaN	NaN	-0.045	0.532	NaN	NaN
YNL333W	NaN	NaN	0.657	2.023	NaN	NaN
YNL334C	NaN	NaN	-0.794	-0.187	NaN	NaN
YNL335W	NaN	NaN	-0.397	1.008	NaN	NaN
YNL336W	NaN	NaN	-0.452	-0.318	NaN	NaN
YNL338W	NaN	NaN	-0.365	-0.109	NaN	NaN
YNL339C	NaN	NaN	0.837	0.694	NaN	NaN
YNR001C	NaN	NaN	-1.021	0.193	NaN	NaN
YNR002C	NaN	NaN	0.038	-0.414	NaN	NaN
YNR003C	-0.288	-0.155	NaN	NaN	NaN	NaN
YNR004W	NaN	NaN	-0.832	-0.801	NaN	NaN
YNR005C	NaN	NaN	0.477	0.354	NaN	NaN
YNR006W	NaN	NaN	-1.041	-0.855	NaN	NaN
YNR007C	NaN	NaN	-0.651	2.771	NaN	NaN
YNR008W	NaN	NaN	-0.455	-0.312	NaN	NaN
YNR009W	NaN	NaN	-0.664	0.680	NaN	NaN
YNR011C	-0.018	-0.096	NaN	NaN	NaN	NaN
YNR012W	NaN	NaN	0.133	-0.073	NaN	NaN
YNR013C	NaN	NaN	0.418	0.994	NaN	1.368
YNR014W	NaN	NaN	-0.179	0.577	NaN	NaN
YNR015W	NaN	NaN	0.220	-1.161	0.571	NaN
YNR016C	2.059	2.098	NaN	NaN	NaN	NaN
YNR017W	-2.073	-0.618	NaN	NaN	NaN	NaN
YNR018W	NaN	NaN	6.976	0.420	NaN	NaN
YNR019W	NaN	NaN	1.082	0.958	NaN	NaN
YNR020C	NaN	NaN	2.181	-1.367	0.598	NaN
YNR021W	NaN	NaN	0.877	1.060	NaN	NaN
YNR023W	NaN	NaN	NaN	NaN	NaN	NaN
YNR024W	NaN	NaN	-0.702	-0.058	NaN	NaN
YNR025C	NaN	NaN	-1.698	-0.647	NaN	NaN
YNR026C	-0.814	-0.240	NaN	NaN	NaN	NaN
YNR027W	NaN	NaN	-0.797	1.743	NaN	NaN
YNR028W	NaN	NaN	-0.859	-0.009	NaN	NaN
YNR029C	NaN	NaN	-0.397	-1.156	NaN	NaN
