orf	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBR255W	0.814406	3.02563			-0.0	-0.0
YBR258C	0.0694127	0.186626			-0.0	-0.0
YBR259W	-0.656125	0.148442			-0.0	-0.0
YBR260C	-0.463694	-0.51019			-0.0	-0.0
YBR261C	0.422173	0.722582			-0.0	-0.0
YBR262C	0.887586	0.851417			-0.0	-0.0
YBR263W	0.403937	-0.571346			-0.0	-0.0
YBR264C	2.49883	0.7333			-0.0	-0.0
YBR266C						
YBR267W	0.240262	0.202795			-0.0	-0.0
YBR268W	-3.31697	1.89907			-1.3510485684818798	-0.0
YBR269C	0.822254	1.63928			-0.0	-0.0
YBR270C	-0.514495	-2.54019			-0.0	-0.0
YBR271W					-0.0	-0.0
YBR272C					-0.0	-0.0
YBR273C	1.69904	0.738323				
YBR274W					-0.0	-0.0
YBR275C	0.542725	0.27683			-0.0	-0.0
YBR276C	0.060011	0.422291			-0.0	-0.0
YBR277C	1.65905	1.07865				
YBR278W	1.06243	0.1149			-0.0	-0.0
YBR279W	0.14678	0.117018			-0.0	-0.0
YBR280C					-0.0	-0.0
YBR281C	0.159987	1.17054			-0.0	-0.0
YBR282W	-1.53042	0.282096			-1.191480888134566	-0.0
YBR283C	0.0769352	0.803475			-0.0	-0.0
YBR284W	-1.01099	0.903487			-0.0	-0.0
YBR285W	0.466751	0.389027			-0.0	-0.0
YBR286W	-0.770776	2.58674			-0.0	-0.0
YBR287W	0.410082	0.965664			-0.0	-0.0
YBR288C	1.56749	1.23696				
YBR289W					-0.0	-0.0
YBR290W	0.967092	-0.959106			-0.0	-0.0
YBR291C	-0.532732	2.18318			-0.0	-0.0
YBR292C	-0.309134	1.5716				
YBR293W	0.722611	0.22028			-0.0	-0.0
YBR294W	0.464931	-1.57849			-0.0	-0.0
