orf	het | growth (pooled culture, barseq) | pH [4.5], temperature [16 C], chemostat | YPD | Paget CM~Delneri D, 2014	het | growth (pooled culture, barseq) | pH [4.5], temperature [16 C], chemostat | F1 (C-lim) | Paget CM~Delneri D, 2014	het | growth (pooled culture, barseq) | pH [4.5], temperature [16 C], chemostat | F1 (N-lim) | Paget CM~Delneri D, 2014
YBR098W	-0.305869065540056	-0.5546202045	4.038491453011372
YBR099C		-0.428217567	-0.0130770504627337
YBR101C		0.642195004	
YBR102C		1.501157861	
YBR103W	1.38982970375106	-0.853676615	0.479922710299759
YBR104W	-0.564568725547155	-0.451741397	-0.174148691186095
YBR105C	-0.829706472901713	0.684265818	
YBR106W	-1.34883622851857	-0.46726494	-0.247697879551712
YBR107C	-0.588195827070023		1.81074280154101
YBR108W			
YBR109C	0.548782484984506	-0.490374116	
YBR110W		2.072803301	
YBR111C		-1.167511028	1.11046624538117
YBR112C	-1.05702301373113	-0.82627453	-1.23057067229966
YBR113W	-0.080324068636382	-0.113063244	0.397315475680995
YBR114W		0.399920446	-2.13746126806241
YBR115C		-0.390441081	-0.194044796414294
YBR116C	-0.0850804941192206	-1.119494629	1.86253873209294
YBR117C	-0.27535587212457	-0.048002689	0.0933532148984661
YBR118W	-0.333608056567117	-0.236184188	-5.94481618987789
YBR119W		-0.463403764	0.76571435369225
YBR120C		-0.232923246	-0.382780086623592
YBR121C	-1.69582524809273	1.72864516	-3.40971420420267
YBR122C			
YBR123C		-0.445267837	1.25485615471634
YBR124W	-2.05265182593511	-0.462890263	0.694811286287894
YBR125C	1.75074276391622	-1.976714829	-4.5899734724557
YBR126C		1.057232503	
YBR127C		-0.992223725	
YBR128C	-0.0631406277940826		0.0111027414122342
YBR129C	-1.09191961950883		0.00549668596795063
YBR130C	-0.155341218185201	-0.364490778	1.20441641692224
YBR131W			
YBR132C	-0.0171563872888794	-0.894132722	4.929973092333
YBR133C			
YBR134W	-2.06252148725051	-0.225532537	4.21813453926822
YBR135W		-0.864849245	4.31868776705994
YBR136W	-0.153018125522491	-0.534535176	1.03246373349289
YBR137W		-0.64215237	-0.137461267965137
YBR138C	0.257408923576612	-0.701319953	0.0183736873142115
YBR139W		-0.359176942	-0.137461268062413
YBR140C	-1.16348329283248	-0.715085798	-0.739868902841997
YBR141C	-0.593942999222188	0.363745546	-3.29500254522422
YBR142W	-1.91642323889218		-0.340603210423813
YBR143C		-1.461734577	0.0324637333881594
YBR144C	-0.753213908370414	-0.87371338	-0.105983036169776
YBR145W	-0.805253145758066	-0.572280804	-0.0532130914634248
YBR146W	0.00682107560966608	-0.654198745	0.224342846381863
YBR147W		-0.135412575	0.0866405079091361
YBR148W	0.132843992633292	-0.936185482	
YBR149W	-1.26672386352214		1.41712758319211
YBR150C	-2.10143536415205	-0.136305056	-1.18118264576453
YBR151W	-0.800024669684559	-0.754371892	0.934488574156409
YBR152W	-0.82352789690718		0.625623386929252
YBR153W	-1.06614336352354	-0.588650235	-0.588794896764602
YBR154C	0.920589318968838		1.99346960124242
YBR155W	-0.741909741937604	-0.834335423	-0.266081433841927
YBR156C	0.83061596010727	0.287566605	2.32197035093537
YBR157C	-0.901405570263259	-5.75036942	0.0415947457819154
YBR158W	0.406492976634117	2.978314808	2.95000157323666
YBR159W	-0.964824553941367	-0.192842318	-0.20409846102993
YBR160W			-0.874426862115626
YBR161W		-0.144484658	0.981479804873867
YBR162C			-1.13746126749744
YBR162W-A	-0.947165887397193	-0.568493395	-0.576699380621541
YBR163W	-0.733305850293565	-0.756141303	-0.204380860042275
YBR164C			
YBR165W	-0.735164541353787	-0.880229076	0.307323574876176
YBR166C	-0.670626624183453	0.047036736	0.713395292775458
YBR167C	-0.692948648105664	-0.745707425	0.689793211573501
YBR168W	-1.05952492376248	-0.753605753	-0.0626072731569172
YBR169C	-1.06600254193742	0.415023084	1.52929532462223
YBR170C	-0.737763492374064	-1.201934085	0.113299071790455
YBR171W	-0.856354078192007		0.882887377479127
YBR172C	-1.33008576406732	-0.601493707	-0.361470516469156
YBR173C	0.49010224015919	-0.233673547	3.88692289136007
YBR174C	-0.955349175544339	-0.666788988	-0.206638756860396
YBR175W	-0.418726398603483	-0.889938019	-0.0538361128736387
YBR176W	-0.643928451820411	-0.588252107	0.0584077109027878
YBR177C	-0.453925076714126	-1.82262448	0.133779413263721
YBR178W	0.018795145216295	-0.722063079	0.239878341962515
YBR179C	-0.830234318736051	-0.636699093	-0.0105170978261221
YBR180W		0.558130739	0.62227563371784
YBR181C		-0.520076425	1.53496407371411
YBR182C		-0.502920992	1.41675770947948
YBR183W	-1.45053882192955	-0.616816009	0.115070105703372
YBR184W		-0.208128082	-0.355508219205156
YBR185C	0.0632442095405035	0.101949647	0.406859248381997
YBR186W			-0.42335361602375
YBR187W		1.029562884	-0.552498766610574
YBR188C	-0.985248718220396	-0.751119376	-0.162593878284198
YBR189W	-0.25867176621818	2.619869926	-2.39461910765536
YBR190W	-0.581641382677044	-0.14958912	0.620984053800527
YBR191W	-0.9413102748379635	1.674462091	1.1877419590407
YBR192W		-0.561486911	0.415079755380665
YBR193C	-1.65297967413733	-2.953838834	2.01549065501184
YBR194W	-0.628343703098885	-1.150321267	-0.55862486984645
YBR195C	-0.719743099355087	-0.934489192	2.80461875610152
YBR196C		0.265448379	0.599504326103792
YBR197C		-0.207803734	0.638642720228482
YBR198C		0.002413973	
YBR199W	-0.195648573071197	-1.904476622	0.950001573187925
YBR200W		0.529494871	-0.13255135385484
YBR201W		1.029562884	
YBR202W		2.702853692	-1.13746126794942
YBR203W	0.182266169693948	-0.421791201	-1.13746126781187
YBR204C	-1.83421579181592	0.273825845	-1.55172706632979
YBR205W		-1.015359864	0.0421107557673321
YBR206W	-0.123069328599256	-0.282842939	1.58243081288893
YBR207W	-0.43261953046133	0.916684099	0.105992768839805
YBR208C	-0.907012175112493	-0.300058152	0.300275279639967
YBR209W	0.524491198904786	0.135308245	0.0767726302276145
YBR210W	-1.61363142835896		0.821896747503014
YBR211C	-1.00972608972185	-0.69205731	-0.309817423298445
YBR212W			-0.687265996200466
YBR213W	-1.43891619503263	-0.236730584	0.166461038773271
YBR214W	-0.427601723301949	-1.231427711	0.906783635489307
YBR215W		1.642195004	
YBR216C			0.375724030909034
YBR217W	-1.47692380777467	0.96657319	1.54247682334381
YBR218C	-0.392183895152202	-0.661940567	-0.145480716323634
YBR219C	-1.29457965669902	-0.478019631	0.102589819814995
YBR220C	0.682680344649438	-0.965041126	-0.740410730247815
YBR221C		-1.034008921	-2.42696788530875
YBR222C	0.71063730005031	-1.255460873	-0.0633021573560363
YBR223C		-0.627311107	-2.13746126806241
YBR224W	-0.51790946293837	-0.158050698	3.86253873265791
YBR225W			0.386100687994599
YBR226C	-0.160427541866072	-0.625509162	-0.331788397057756
YBR227C		2.035120088	-0.65589191638656
YBR228W	-1.38536801791839	-0.663707667	6.82181623777794
YBR229C	-1.15335498511041	-0.450532281	0.0427543602288995
YBR230C	0.472111246580273	-0.452176739	-0.333212256731191
YBR231C	-0.575377186081723	-1.089744775	1.36667015808384
YBR232C	-0.862272573502889	-0.752326689	-0.864286831594605
YBR233W		-0.343083525	0.827168399086012
YBR233W-A		0.618445845	2.32197035113984
YBR234C	-0.923242608116852	-0.767585762	-0.0610536151022904
YBR235W	-0.0550762070092381	-0.494772567	9.55863690361424
YBR236C	-1.05117994170317	-0.782014141	0.42732335126232
YBR237W	-1.30628061084802	-0.342151732	5.66620860724261
YBR238C		0.811090923	-3.72242376918281
YBR239C	-0.542374226220833	-0.43729559	0.265806454389663
YBR240C		-0.911971159	-0.195892081211211
YBR241C		-0.928811451	0.0597554250349132
YBR242W	0.0521173624993169	-0.839560842	-0.10965815691075
YBR243C	-1.21266377125143	-0.180927234	1.99182174888255
YBR244W	-0.757585336193112	-0.650900409	0.191054487051196
YBR245C	1.34676295323827	-0.568689838	
YBR246W	-0.789404023523058	-0.74681504	-0.563079934894373
YBR247C		-3.681186436	-0.147006954212272
YBR248C			
YBR249C	-0.929209389999268	-0.667170887	-0.385668256007853
YBR250W	0.137349150572022	-0.649425453	0.380957384574448
YBR251W		-0.816549781	-0.274560354531828
YBR252W		-1.664538477	-0.262992149957951
YBR253W	-1.11822329749076	-0.72451395	-0.543692870029348
YBR254C		-1.165159919	0.0849311534623555
YBR255W	0.428591473738869	-1.152714026	-0.149374589221522
YBR256C	-1.01470338840898	-0.621434451	1.32278983104525
YBR257W		-0.694535942	0.0590958800384446
YBR258C	1.15319357686689	-1.815762221	1.89596173343147
YBR259W	-1.54538733504773	-0.609552052	0.0307574115781555
YBR260C	-1.07642734117594		-0.331182984068144
YBR261C	-0.979838777817652	-0.807983475	-0.298003656886084
YBR262C	-1.93222100438732	-0.358156648	-0.0239875953759936
YBR263W	-1.58269636452698		1.93292805994735
YBR264C		0.642195004	
YBR265W	-0.504461165803334	-0.564485039	0.760327120745929
YBR266C	-0.257962621461395	-0.563902076	-0.0560036112525689
YBR267W	-0.0325174842133356	-0.67088605	1.07755162306951
YBR268W	-0.873884445622843	-0.928921949	-0.637519351886408
YBR269C	-0.569695301733863	-0.272489315	4.85122341894462
YBR270C	-0.906313823467437	-0.107537887	0.489038082207836
YBR271W	-1.17140397964791	-0.379195049	0.90295300055187
YBR272C		0.724172799	
YBR273C	0.998359933152575	-3.464256759	-0.808624803462229
YBR274W			
YBR275C	3.27966540525616	2.876883091	-0.54909216582964
YBR276C		-0.718603196	-0.0681402078949524
YBR277C	0.836574819244926	0.566959612	0.848599541476993
YBR278W		1.113500722	0.80259619159254
YBR279W			
YBR280C		2.909304569	2.56297845064364
YBR281C	0.15255002587512	-0.747132377	2.54201883087806
YBR282W		-0.170053222	0.682717694669998
YBR283C		-0.219978448	1.66989365456015
YBR284W		-0.260620432	0.0365681319531006
YBR285W		1.149255361	0.753309662200387
YBR286W	2.14789990985573	2.225514037	-1.04637518826827
YBR287W		-0.277693946	-0.617769124201295
YBR288C		-1.847395536	
YBR289W		0.642195003	
YBR290W		0.642195004	
YBR291C	-1.25151172861586	-0.926032766	0.862538732163566
YBR292C		-0.035876901	
YBR293W		-0.847395536	1.03246373337989
YBR294W	-0.994211632911177	0.364940647	0.0114728366657016
YBR295W		1.642195004	-2.72242376878357
YBR296C		0.384284609	2.29549813951081
YBR297W	1.92555651902509	-6.247804809	-1.20785059598071
YBR298C			
YBR299W			
YBR300C	-0.378486021384291	-0.830190389	-1.74514384514241
YBR301W	-0.455833203231166	-0.196306684	0.0271104989296665
YCL001W	-0.701762046943535	-5.841771865	-0.167331797218961
YCL001W-A	-0.191615007257099	0.447691979	1.14382484239037
YCL002C			
YCL004W	-1.23870597471601	0.4666703015	
YCL005W	-1.23818923579458	-0.164507755	1.32923835115166
YCL007C	-1.11997441437988	-0.666387066	0.4499779630566
YCL008C		-0.997586027	-0.552498766610574
YCL009C	-1.16859681478434	-0.784069751	0.788538151130122
YCL010C	-1.07698485644654	-0.265531695	-0.0375074826622315
YCL011C	-1.48137190647389	0.369669149	1.12751094189454
YCL014W	-2.42477252863547	1.244958331	0.533563577692975
YCL016C	-0.923008732796007	-0.642672899	0.164956003157295
YCL017C	-0.00285537445724855	-0.724355854	0.216969467239215
YCL022C			
YCL023C	-0.742192780448214	-0.355736616	-0.668330046106729
YCL024W	-0.450547987771204	-0.745022965	-0.0852415848671558
