orf	hap alpha | growth (spot assay) | (S)-lactic acid [5.1% w/v], pH [2.7] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | acetic acid [0.5% w/v], pH [4.2] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | hydrogen chloride [0.28% w/v], pH [2.4] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | (S)-lactic acid [3.1% w/v], pH [2.9] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | acetic acid [0.4% w/v], pH [4.3] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | hydrogen chloride [0.24% w/v], pH [2.6] | Kawahata M~Iefuji H, 2006
YHL002W	9.98150463520449	0.0	0.0	0.0	0.0	0.0
YHL009C	0.0	0.0	9.671122594864464	0.0	0.0	0.0
YHL011C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	0.0
YHL025W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	0.0
YHR012W	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YHR025W	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YHR026W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YHR030C	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YHR039C-A	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YHR064C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YHR067W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YHR143W	9.98150463520449	0.0	0.0	0.0	0.0	0.0
YHR183W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YIL018W	0.0	9.38800380190674	0.0	0.0	0.0	0.0
YIL052C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YIL076W	0.0	0.0	0.0	-5.983701822450714	0.0	0.0
YIL110W	0.0	9.38800380190674	0.0	0.0	0.0	0.0
YIL128W	0.0	0.0	0.0	-5.983701822450714	0.0	0.0
YIL146C	0.0	0.0	9.671122594864464	0.0	0.0	0.0
YIR023W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YJL046W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YJL051W	9.98150463520449	0.0	9.671122594864464	0.0	0.0	0.0
YJL053W	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YJL077C	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YJL080C	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
