ORF	hap alpha | cell death | phosphate starvation [unknown] | Gresham D~Botstein D, 2011	hap alpha | cell death | leucine starvation [unknown] | Gresham D~Botstein D, 2011
YDR488C	0.003	0.029
YDR490C	0.002	0.026
YDR491C	0.005	0.036
YDR492W	0.002	0.029
YDR493W	0.005	0.041
YDR495C	0.009	0.049
YDR496C	-0.000	0.020
YDR497C	0.002	0.016
YDR500C	0.003	0.036
YDR501W	0.003	0.029
YDR502C	0.002	0.029
YDR505C	0.002	0.024
YDR506C	-0.000	0.054
YDR508C	0.002	0.029
YDR509W	0.001	0.028
YDR512C	0.005	0.045
YDR513W	0.003	0.037
YDR514C	0.002	0.038
YDR515W	0.001	0.033
YDR516C	0.002	0.029
YDR517W	0.002	0.027
YDR519W	0.003	0.024
YDR520C	0.002	0.031
YDR521W	0.002	0.044
YDR524C	0.004	0.039
YDR525W	0.002	0.025
YDR525W-A	0.005	0.032
YDR528W	0.007	0.033
YDR529C	0.006	0.041
YDR530C	0.002	0.007
YDR532C	0.005	0.022
YDR534C	0.002	0.028
YDR536W	0.003	0.033
YDR537C	0.002	0.030
YDR538W	0.002	0.038
YDR539W	0.002	0.031
YDR540C	0.002	0.035
YDR541C	0.002	0.035
YEL001C	0.002	0.032
YEL003W	0.003	0.045
YEL004W	0.004	0.040
YEL005C	0.004	0.024
YEL006W	0.002	0.029
YEL007W	0.004	0.018
YEL008W	0.003	0.039
YEL009C	0.011	NaN
YEL010W	0.002	0.032
YEL011W	0.002	0.030
YEL012W	0.009	0.031
YEL013W	0.012	0.053
YEL014C	0.003	0.022
YEL015W	0.003	0.022
YEL016C	0.002	0.030
YEL017C-A	0.002	0.031
YEL017W	0.003	0.032
YEL018W	0.007	0.025
YEL020C	0.004	0.033
YEL023C	0.002	0.031
YEL025C	0.002	0.031
YEL027W	0.037	0.038
YEL028W	0.002	0.035
YEL029C	0.004	0.038
YEL030W	0.002	0.032
YEL031W	0.003	0.029
YEL033W	0.011	0.035
YEL036C	0.002	0.058
YEL037C	0.002	0.040
YEL038W	0.004	0.034
YEL039C	0.002	0.026
YEL041W	0.003	0.034
YEL042W	0.002	0.026
YEL043W	0.004	0.030
YEL044W	0.019	0.040
YEL045C	0.004	0.033
YEL046C	0.020	0.053
YEL047C	0.002	0.031
YEL048C	0.002	0.030
YEL049W	0.004	0.029
YEL050C	0.006	0.080
YEL051W	0.024	0.044
YEL052W	0.003	0.029
YEL053C	0.003	0.022
YEL054C	0.002	0.029
YEL056W	0.001	0.029
YEL057C	0.002	0.026
YEL059W	0.006	0.019
YEL060C	0.004	0.033
YEL061C	0.005	0.009
YEL062W	0.002	0.087
YEL063C	0.003	0.033
YEL064C	0.003	0.034
YEL065W	0.000	0.032
YEL066W	0.002	0.032
YEL067C	0.002	0.032
YEL068C	0.002	0.029
YEL071W	0.002	0.032
YEL072W	0.003	0.042
YER001W	0.002	0.030
YER002W	0.002	0.029
YER005W	0.001	0.041
YER007W	0.002	0.030
YER010C	0.002	0.027
YER011W	0.003	0.027
YER017C	0.006	0.108
YER019C-A	0.002	0.031
YER019W	0.004	0.032
YER020W	0.004	0.029
YER024W	0.001	0.026
YER027C	0.000	0.018
YER028C	0.002	0.027
YER030W	0.003	0.033
YER031C	0.002	0.031
YER032W	0.001	0.030
YER033C	0.003	0.029
YER034W	0.002	0.027
YER035W	0.002	0.031
YER037W	0.000	0.012
YER039C	0.002	0.031
YER039C-A	0.002	0.032
YER040W	0.002	0.015
YER041W	0.000	0.046
YER042W	0.003	0.029
YER044C-A	0.002	0.031
YER045C	0.002	0.032
YER046W	0.002	0.029
YER046W-A	0.002	0.027
YER047C	0.002	0.032
YER048C	0.003	0.054
YER049W	0.002	0.032
YER050C	0.006	0.095
YER051W	0.003	0.029
YER053C	0.002	0.030
YER054C	0.002	0.032
YER055C	0.002	0.035
YER056C	0.002	0.032
YER056C-A	0.004	0.036
YER057C	0.003	0.049
YER058W	0.005	0.034
YER059W	0.002	0.030
YER060W	0.001	0.033
YER060W-A	0.003	0.047
YER061C	0.007	0.071
YER062C	0.002	0.032
YER063W	0.002	0.035
YER064C	0.002	0.028
YER065C	0.002	0.030
YER066C-A	0.002	0.031
YER066W	0.002	0.026
YER067C-A	0.002	0.032
YER067W	0.003	0.032
YER068W	0.004	0.034
YER069W	0.010	0.049
YER070W	0.003	NaN
YER071C	0.002	0.034
YER072W	0.002	0.042
YER073W	0.002	0.034
YER074W	0.003	0.032
YER075C	0.002	0.039
YER079W	0.002	0.022
YER080W	0.002	0.032
YER081W	0.003	0.030
YER083C	0.002	0.054
YER084W	0.003	0.042
YER085C	0.003	0.035
YER087C-B	0.002	0.035
YER087W	0.005	0.109
YER088C	0.003	0.026
YER089C	0.002	0.039
YER091C-A	0.003	0.020
YER092W	0.009	0.028
YER093C-A	0.001	0.026
YER095W	0.001	0.025
YER096W	0.002	0.032
YER097W	0.002	0.029
YER098W	0.003	0.031
YER101C	0.002	0.034
YER103W	0.003	0.034
YER106W	0.002	0.031
YER110C	0.006	0.038
YER111C	0.002	0.014
YER113C	0.002	0.026
YER114C	0.004	0.056
YER115C	0.001	0.025
YER117W	0.005	0.006
YER118C	0.002	0.032
YER119C	0.003	0.030
YER120W	0.001	0.042
YER121W	0.002	0.027
YER123W	0.003	0.036
YER124C	0.002	0.028
YER128W	0.002	0.032
YER129W	-0.000	0.038
YER130C	0.002	0.025
YER131W	0.004	0.053
YER132C	0.002	0.023
YER134C	0.002	0.031
YER139C	0.002	0.044
YER140W	0.002	0.029
YER141W	0.004	0.011
YER142C	0.003	0.029
YER143W	0.002	0.025
YER144C	0.003	0.034
YER145C	0.005	0.010
YER149C	0.002	0.026
YER150W	0.002	0.026
YER151C	0.002	0.034
YER152C	0.002	0.026
YER154W	0.005	0.026
YER155C	0.009	0.093
YER156C	0.002	0.034
YER158C	0.002	0.030
YER161C	0.008	0.028
YER162C	0.004	0.022
YER163C	0.002	0.030
YER164W	0.001	0.024
YER166W	0.004	0.035
YER167W	0.002	0.020
YER169W	0.004	0.024
YER170W	0.002	0.032
YER173W	0.003	0.027
YER175C	0.003	0.032
YER176W	0.002	0.031
YER177W	0.002	0.032
YER178W	0.003	0.058
YER179W	0.002	0.034
YER180C	0.002	0.016
YER181C	0.002	0.027
YER182W	0.000	0.032
YER183C	0.003	0.036
YER184C	0.002	0.031
YER185W	0.003	0.029
YER186C	0.002	0.033
YER187W	0.002	0.032
YER188W	0.002	0.028
YFL003C	0.002	0.029
YFL007W	0.003	0.026
YFL010C	0.002	0.027
YFL010W-A	0.002	0.028
YFL011W	0.002	0.029
YFL012W	0.002	0.031
YFL012W-A	0.015	0.046
YFL013C	0.013	0.026
YFL014W	0.002	0.027
YFL015C	0.002	0.026
YFL016C	0.011	0.094
YFL019C	0.002	0.028
YFL020C	0.002	0.027
YFL021W	0.000	0.020
YFL023W	0.002	0.042
YFL025C	0.004	0.007
YFL026W	0.002	0.026
YFL027C	0.002	0.027
YFL028C	0.002	0.019
YFL031W	0.003	0.033
YFL032W	0.002	0.031
YFL033C	0.001	0.073
YFL034C-A	0.002	0.031
YFL034W	0.002	0.029
YFL036W	0.004	NaN
YFL041W	0.003	0.019
YFL042C	0.001	0.026
YFL044C	0.002	0.037
YFL046W	0.002	0.029
YFL047W	0.001	0.031
YFL048C	0.002	0.025
YFL049W	0.001	0.029
YFL050C	0.001	0.032
YFL051C	0.003	0.018
YFL052W	0.002	0.030
YFL053W	0.002	0.029
YFL054C	0.002	0.028
YFL055W	0.002	0.025
YFL063W	0.002	0.028
YFR001W	0.002	NaN
YFR006W	0.002	0.035
YFR007W	0.000	0.043
YFR008W	0.001	0.024
YFR009W	0.002	0.067
YFR011C	0.002	0.033
YFR012W	0.001	0.028
YFR013W	-0.001	0.036
YFR014C	0.002	0.030
YFR017C	0.001	0.024
YFR018C	0.002	0.031
YFR019W	0.016	0.055
YFR021W	0.010	0.045
YFR022W	0.002	0.037
YFR023W	0.003	0.033
YFR024C-A	0.002	0.028
YFR025C	0.003	0.032
YFR026C	0.001	0.031
YFR030W	0.002	0.070
YFR031C-A	0.002	0.030
YFR032C	0.002	0.030
YFR032C-A	0.002	0.028
YFR033C	0.003	0.047
YFR034C	0.013	0.030
YFR035C	0.001	0.032
YFR036W	0.001	0.032
YFR039C	0.001	0.041
YFR040W	0.004	0.036
YFR041C	0.002	0.029
YFR043C	0.002	0.032
YFR044C	0.003	0.022
YFR045W	0.002	0.031
YFR046C	-0.002	0.024
YFR047C	0.002	0.028
YFR048W	0.003	0.034
YFR049W	0.002	0.043
YFR053C	0.002	0.029
YFR054C	0.002	0.032
YFR055W	0.002	0.030
YFR056C	0.002	0.029
YGL002W	0.003	0.032
YGL004C	0.003	0.036
YGL006W	0.003	0.027
YGL007W	0.002	0.031
YGL010W	0.002	0.033
YGL012W	0.004	0.045
YGL013C	-0.001	0.029
YGL014W	0.004	0.033
YGL015C	0.002	0.030
YGL016W	0.001	0.037
YGL017W	0.004	0.086
YGL019W	0.011	0.033
YGL020C	0.003	0.064
YGL021W	0.002	0.029
YGL023C	0.005	0.000
YGL024W	0.008	0.068
YGL025C	0.006	0.064
YGL027C	0.001	0.017
YGL028C	0.002	0.030
YGL029W	0.003	0.039
YGL031C	0.003	0.029
YGL032C	0.002	0.018
YGL033W	0.002	0.032
YGL035C	0.003	0.064
YGL036W	0.002	0.032
YGL037C	0.004	0.027
YGL038C	0.005	0.043
YGL039W	0.002	0.029
YGL042C	0.001	0.040
YGL043W	0.001	0.034
YGL045W	0.001	0.032
YGL049C	0.003	0.025
YGL050W	0.003	0.041
YGL051W	0.002	0.029
YGL053W	0.002	0.024
YGL054C	0.005	0.034
YGL056C	-0.001	0.032
YGL057C	0.002	0.037
YGL058W	0.011	0.038
YGL059W	0.000	0.029
YGL060W	0.002	0.024
YGL062W	0.004	0.041
YGL063W	0.002	0.032
YGL064C	0.001	0.044
YGL066W	0.030	0.042
YGL067W	0.002	0.036
YGL071W	0.010	0.040
YGL072C	0.006	0.012
YGL076C	0.002	0.038
YGL077C	0.005	0.015
YGL078C	0.002	0.027
YGL079W	0.003	0.036
YGL081W	0.002	0.033
YGL082W	0.002	0.030
YGL083W	0.003	0.031
YGL084C	0.005	0.011
YGL085W	0.002	0.029
YGL086W	0.003	0.034
YGL087C	-0.000	0.007
YGL088W	0.003	0.031
YGL089C	-0.002	0.037
YGL090W	0.002	0.040
YGL094C	0.005	0.032
YGL095C	0.005	0.035
YGL096W	0.003	0.029
YGL101W	0.005	0.026
YGL104C	0.011	0.015
YGL108C	0.002	0.029
YGL109W	0.002	0.025
YGL110C	0.002	0.032
YGL114W	0.003	0.031
YGL117W	0.002	0.033
YGL118C	0.003	0.032
YGL121C	0.003	0.026
YGL126W	0.001	0.033
YGL129C	0.005	0.077
YGL131C	0.002	0.025
YGL132W	0.003	0.032
YGL136C	0.007	0.038
YGL138C	0.002	0.031
YGL139W	-0.000	0.029
YGL140C	0.002	0.032
YGL141W	0.002	0.022
YGL143C	0.004	0.159
YGL144C	0.002	0.032
YGL146C	0.002	0.032
YGL147C	0.002	0.030
YGL149W	0.006	0.031
YGL151W	0.004	0.035
YGL152C	0.004	0.017
YGL153W	0.003	0.025
YGL154C	0.002	0.028
YGL156W	0.003	0.034
YGL157W	0.005	0.032
YGL158W	0.002	0.031
YGL159W	0.002	0.030
YGL160W	0.003	0.035
YGL161C	0.003	0.033
YGL162W	0.002	0.028
YGL163C	0.002	0.021
YGL164C	0.002	0.034
YGL165C	0.004	0.009
YGL166W	0.002	0.033
YGL167C	0.006	0.016
YGL168W	0.011	0.030
YGL170C	0.002	0.030
YGL173C	0.049	0.037
YGL174W	0.003	0.048
YGL175C	0.003	0.028
YGL176C	0.002	0.029
YGL177W	0.003	0.024
YGL179C	0.002	0.030
YGL180W	0.008	0.040
YGL181W	0.002	0.003
YGL194C	0.004	0.021
YGL195W	0.010	NaN
YGL196W	0.002	0.029
YGL197W	-0.002	0.056
YGL198W	0.002	0.037
YGL199C	0.003	0.025
YGL202W	0.003	0.030
YGL203C	0.004	0.024
YGL205W	0.002	0.026
YGL209W	0.002	0.027
YGL210W	0.002	0.032
YGL211W	0.002	0.034
YGL212W	0.063	0.034
YGL213C	0.002	0.033
YGL214W	0.001	0.034
YGL215W	0.003	0.033
YGL216W	0.002	0.029
YGL217C	0.002	0.072
YGL218W	0.006	0.040
YGL219C	0.005	0.061
YGL220W	0.001	0.024
YGL221C	0.002	0.030
YGL222C	0.000	0.017
YGL223C	0.003	0.027
YGL224C	0.003	0.034
YGL226C-A	0.004	0.025
YGL226W	0.002	0.027
YGL227W	0.011	0.021
YGL228W	0.001	0.028
YGL229C	0.002	0.028
YGL230C	0.003	0.031
YGL231C	0.002	0.023
YGL232W	-0.001	0.075
YGL234W	0.001	NaN
YGL235W	0.002	0.035
YGL236C	0.003	0.032
YGL237C	0.005	0.032
YGL240W	0.003	0.033
YGL241W	0.002	0.029
YGL242C	0.002	0.019
YGL243W	0.002	0.030
YGL244W	0.010	0.044
YGL246C	0.008	0.021
YGL248W	0.002	0.029
YGL250W	0.004	0.029
YGL251C	0.003	0.016
YGL252C	0.003	0.054
YGL253W	0.002	0.037
YGL254W	0.002	0.026
YGL255W	0.001	0.026
YGL256W	0.002	0.029
YGL257C	0.002	0.028
YGL258W	0.002	0.031
YGL259W	0.002	0.030
YGL260W	0.002	0.030
YGL261C	0.002	0.030
YGL262W	0.002	0.030
YGL263W	0.002	0.029
YGR001C	0.002	0.024
YGR003W	0.004	0.030
YGR004W	0.003	0.030
YGR007W	0.002	0.022
YGR008C	0.002	0.032
YGR010W	0.003	0.031
YGR011W	0.001	0.032
YGR012W	0.003	0.022
YGR014W	0.002	0.029
YGR015C	0.002	0.029
YGR016W	0.002	0.062
YGR017W	0.002	0.019
YGR018C	0.002	0.019
YGR019W	0.002	0.031
YGR020C	0.028	0.066
YGR021W	0.002	0.032
YGR022C	0.002	0.029
YGR023W	0.002	0.030
YGR025W	0.002	0.029
YGR026W	0.003	0.030
YGR027C	0.002	0.035
YGR028W	0.002	0.032
YGR031W	0.003	0.029
YGR032W	0.001	0.052
YGR033C	-0.000	0.014
YGR034W	0.001	0.019
YGR036C	0.009	0.015
YGR037C	0.002	0.029
YGR038W	0.002	0.032
YGR039W	0.002	0.030
YGR041W	-0.000	0.017
YGR042W	0.002	0.028
YGR043C	0.002	0.030
YGR044C	0.002	0.026
YGR045C	0.002	0.029
YGR049W	0.002	0.032
YGR050C	0.001	0.025
YGR051C	0.003	0.028
YGR052W	0.002	0.030
YGR053C	0.002	0.029
YGR054W	0.002	0.036
YGR055W	0.001	0.023
YGR057C	0.001	0.017
YGR058W	0.002	0.029
YGR059W	0.002	0.027
YGR061C	0.001	NaN
YGR063C	0.004	0.035
YGR064W	0.005	0.034
YGR067C	0.002	0.027
YGR068C	0.002	0.025
YGR069W	0.002	0.027
YGR070W	0.002	0.028
YGR072W	0.002	0.016
YGR076C	0.004	0.058
YGR077C	0.004	0.018
YGR078C	0.007	0.044
YGR079W	0.002	0.032
YGR080W	0.002	0.028
YGR081C	0.005	0.024
YGR084C	0.003	0.040
YGR085C	-0.001	0.046
YGR086C	-0.001	0.044
YGR087C	0.002	0.033
YGR088W	0.002	0.035
YGR089W	0.003	0.029
YGR092W	0.005	0.062
YGR093W	0.004	0.034
YGR097W	0.001	0.022
YGR100W	0.003	0.022
YGR104C	0.003	0.054
YGR105W	0.012	0.047
YGR107W	0.002	0.029
YGR108W	0.002	0.031
YGR109C	0.002	0.025
YGR111W	0.001	0.027
YGR112W	0.007	0.081
YGR117C	0.001	0.021
YGR118W	0.002	0.030
YGR121C	0.003	0.028
YGR122C-A	0.002	0.031
YGR122W	0.004	0.023
YGR123C	0.001	0.031
YGR124W	0.002	0.033
YGR125W	0.004	0.043
YGR126W	0.003	0.029
YGR127W	0.002	0.028
YGR129W	0.003	0.033
YGR130C	0.002	0.032
YGR132C	0.002	0.027
YGR133W	0.004	0.015
YGR134W	0.003	0.028
YGR135W	0.011	0.044
YGR136W	0.002	0.030
YGR138C	0.003	0.048
YGR139W	0.002	0.035
YGR141W	0.005	0.033
YGR142W	0.002	0.030
YGR143W	0.002	0.030
YGR144W	0.000	0.022
YGR146C	0.003	0.030
YGR148C	0.002	0.026
YGR149W	0.002	0.030
YGR150C	0.006	0.072
YGR151C	0.003	0.028
YGR152C	0.002	0.047
YGR153W	0.002	0.032
YGR154C	0.002	0.029
YGR155W	0.003	0.049
YGR157W	0.000	0.031
YGR159C	0.003	0.029
YGR161C	0.003	0.040
YGR162W	0.002	0.042
YGR163W	0.004	0.011
YGR164W	0.003	0.030
YGR165W	0.010	NaN
YGR166W	-0.001	0.027
YGR167W	NaN	0.091
YGR168C	0.003	0.030
YGR169C	0.002	0.031
YGR170W	0.004	0.033
YGR171C	0.004	0.060
YGR173W	0.003	0.031
YGR174C	0.005	0.062
YGR176W	0.002	0.031
YGR177C	0.002	0.033
YGR178C	0.001	0.028
YGR180C	NaN	-0.000
YGR181W	0.001	0.026
YGR182C	0.003	0.037
YGR184C	0.003	0.049
YGR187C	0.002	0.023
YGR188C	0.004	0.055
YGR189C	0.002	0.033
YGR192C	0.003	0.026
YGR193C	0.001	0.053
YGR194C	0.002	0.031
YGR196C	0.004	0.046
YGR197C	0.002	0.031
YGR199W	0.002	0.031
YGR200C	0.002	0.025
YGR201C	0.003	0.029
YGR202C	0.001	0.024
YGR203W	0.004	0.030
YGR204W	0.000	NaN
YGR205W	0.004	0.028
YGR206W	0.009	0.015
YGR208W	0.035	NaN
YGR209C	0.003	0.030
YGR210C	0.002	0.030
YGR212W	0.002	0.031
YGR213C	0.002	0.031
YGR214W	0.001	0.036
YGR215W	0.005	0.098
YGR217W	0.001	0.028
YGR220C	0.005	0.108
YGR221C	0.002	0.030
YGR222W	0.003	0.034
YGR223C	0.004	0.059
YGR224W	0.002	0.032
YGR225W	0.002	0.029
YGR226C	0.002	0.039
YGR227W	0.003	0.028
YGR228W	0.002	0.034
YGR229C	0.005	0.020
YGR230W	0.002	0.027
YGR231C	0.002	0.031
YGR232W	0.002	0.031
YGR233C	0.018	0.026
YGR234W	0.002	0.026
YGR235C	0.003	0.032
YGR236C	0.015	0.031
YGR237C	0.003	0.029
YGR238C	0.002	0.031
YGR239C	0.002	0.029
YGR240C	0.019	0.018
YGR241C	0.003	0.032
YGR242W	0.006	0.032
YGR243W	0.005	0.015
YGR244C	0.002	0.024
YGR247W	0.001	0.029
YGR248W	0.002	0.032
YGR249W	0.002	0.030
YGR250C	0.003	0.031
YGR252W	0.010	0.033
YGR254W	0.002	0.031
YGR256W	0.002	0.031
YGR258C	0.004	0.021
YGR259C	0.002	0.039
YGR260W	0.014	0.061
YGR261C	0.004	0.031
YGR262C	0.024	NaN
YGR266W	0.003	0.028
YGR268C	0.002	0.031
YGR269W	0.002	0.032
YGR270W	0.006	0.027
YGR271W	0.002	0.030
YGR273C	0.002	0.029
YGR275W	0.002	0.030
YGR276C	0.002	0.046
YGR279C	0.002	0.026
YGR281W	0.002	0.032
YGR282C	0.003	0.028
YGR283C	0.002	0.031
YGR285C	0.006	0.008
YGR286C	0.002	0.025
YGR287C	0.002	0.032
YGR288W	0.002	0.031
YGR289C	0.002	0.030
YGR290W	0.002	0.032
YGR291C	0.003	0.019
YGR292W	0.002	0.034
YGR295C	0.001	0.020
YHL002W	0.003	0.018
YHL003C	0.003	0.050
YHL005C	0.003	0.064
YHL006C	-0.000	0.006
YHL007C	0.002	0.026
YHL008C	0.001	0.028
YHL009C	0.000	0.019
YHL010C	0.010	0.028
YHL012W	0.002	0.022
YHL013C	0.001	0.041
YHL014C	0.000	0.036
YHL016C	0.000	0.017
YHL017W	0.000	0.039
YHL019C	-0.000	0.017
YHL021C	-0.000	0.022
YHL022C	0.001	0.026
YHL023C	0.002	0.080
YHL024W	0.002	0.029
YHL025W	0.005	0.041
YHL026C	0.002	0.013
YHL027W	0.002	0.019
YHL028W	0.001	0.027
YHL029C	0.001	0.043
YHL030W	0.002	0.048
YHL031C	0.003	0.046
YHL032C	0.000	0.022
YHL033C	0.003	0.042
YHL034C	0.001	0.013
YHL035C	-0.001	0.017
YHL036W	0.002	0.051
YHL037C	-0.001	0.016
YHL038C	0.004	0.126
YHL040C	0.007	0.029
YHL041W	0.002	0.010
YHL042W	0.001	0.024
YHL043W	0.001	0.020
YHL044W	0.006	0.040
YHL046C	0.001	0.028
YHL047C	-0.000	0.018
YHR001W-A	0.002	0.041
YHR003C	0.003	0.021
YHR004C	0.006	0.041
YHR005C	-0.001	0.038
YHR006W	0.005	0.139
YHR008C	0.003	0.027
YHR009C	0.004	0.056
YHR010W	0.006	0.045
YHR011W	0.005	0.086
YHR012W	0.004	0.022
YHR013C	0.023	0.038
YHR014W	0.002	0.030
YHR015W	-0.001	0.036
YHR016C	0.003	0.030
YHR017W	0.002	0.030
YHR021C	0.026	0.046
YHR021W-A	0.002	0.034
YHR022C	0.001	0.024
YHR026W	0.023	NaN
YHR028C	0.002	0.023
YHR029C	0.001	0.005
YHR032W	0.002	0.014
YHR033W	-0.000	0.021
YHR034C	0.003	0.020
YHR035W	0.002	0.026
YHR037W	0.002	0.030
YHR038W	0.004	0.081
YHR041C	0.003	0.066
YHR042W	0.002	0.026
YHR043C	0.002	0.029
YHR044C	0.002	0.030
YHR045W	0.002	0.029
YHR046C	0.002	0.030
YHR047C	0.003	0.028
YHR048W	0.002	0.030
YHR049C-A	0.003	0.042
YHR049W	0.002	0.027
YHR050W	0.002	0.044
YHR051W	0.004	0.049
YHR060W	0.018	NaN
YHR061C	0.005	0.029
YHR064C	NaN	0.009
YHR066W	0.001	0.035
YHR067W	0.004	0.085
YHR073W	0.002	0.026
YHR075C	0.006	0.021
YHR076W	0.002	0.031
YHR077C	0.002	0.018
YHR078W	0.002	0.039
YHR079C	0.003	0.028
YHR080C	-0.000	0.039
YHR081W	0.003	0.019
YHR082C	0.005	0.013
YHR086W	0.000	0.030
YHR087W	-0.001	0.045
YHR091C	0.005	0.085
YHR092C	0.003	0.041
YHR093W	0.002	0.032
YHR094C	0.001	0.019
YHR095W	0.002	0.025
YHR096C	0.003	0.027
YHR097C	0.003	0.033
YHR100C	0.002	0.037
YHR103W	0.003	0.025
YHR104W	0.002	0.032
YHR105W	0.002	0.021
YHR106W	0.003	0.037
YHR108W	0.003	0.023
YHR109W	0.002	0.031
YHR110W	0.001	0.024
YHR111W	0.003	0.042
YHR112C	0.002	0.033
YHR113W	0.002	0.030
YHR114W	0.002	0.032
YHR115C	0.001	0.022
YHR116W	0.004	0.046
YHR117W	-0.000	0.017
YHR120W	0.005	0.023
YHR121W	-0.000	0.019
YHR123W	0.002	0.026
YHR124W	0.000	0.015
YHR125W	-0.001	0.022
YHR126C	-0.001	0.017
YHR127W	0.002	0.028
YHR129C	0.005	0.024
YHR130C	0.002	0.024
YHR131C	0.002	0.008
YHR132C	0.002	0.040
YHR132W-A	-0.001	0.035
YHR133C	0.002	0.027
YHR134W	0.002	0.026
YHR135C	0.003	0.031
YHR136C	0.003	0.031
YHR137W	0.002	0.035
YHR138C	0.002	0.029
YHR139C	0.002	0.029
YHR139C-A	0.002	0.030
YHR142W	0.002	0.042
YHR143W	0.002	0.030
YHR146W	0.002	0.031
YHR147C	0.004	0.078
YHR150W	-0.000	0.037
YHR151C	0.003	0.033
YHR152W	0.002	0.031
YHR153C	0.001	0.025
YHR154W	0.002	0.025
YHR155W	0.002	0.032
YHR156C	0.005	0.030
YHR157W	0.001	0.025
YHR158C	0.003	0.033
YHR159W	0.001	0.031
YHR160C	0.002	0.033
YHR161C	0.001	0.037
YHR162W	0.004	0.030
YHR163W	0.002	0.033
YHR166C	0.000	0.038
YHR167W	0.003	0.022
YHR168W	0.004	0.053
YHR171W	0.010	0.040
YHR176W	0.002	0.026
YHR177W	0.001	0.049
YHR178W	0.003	0.035
YHR179W	0.001	0.019
YHR180W	0.003	0.029
YHR181W	0.002	0.032
YHR183W	0.003	0.059
YHR184W	0.002	0.034
YHR185C	0.002	0.026
YHR188C	0.001	0.048
YHR189W	0.006	0.045
YHR191C	0.004	0.017
YHR193C	0.003	0.033
YHR194W	0.005	0.055
YHR195W	0.002	0.030
YHR198C	0.002	0.027
YHR199C	0.001	0.033
YHR200W	0.003	0.028
YHR202W	0.002	0.023
YHR203C	0.002	0.031
YHR204W	0.002	0.029
YHR206W	0.001	0.035
YHR207C	0.002	0.031
YHR209W	-0.001	0.034
YHR210C	0.001	0.025
YIL001W	0.001	0.036
YIL002C	0.002	0.030
YIL003W	-0.000	0.067
YIL004C	0.005	NaN
YIL005W	0.003	0.029
YIL007C	0.002	0.032
YIL008W	0.002	0.033
YIL009C-A	0.002	0.019
YIL009W	0.001	0.063
YIL010W	0.002	0.027
YIL011W	-0.001	0.069
YIL012W	0.001	0.034
YIL013C	-0.002	0.059
YIL014C-A	0.000	0.067
YIL014W	-0.001	0.039
YIL015W	-0.001	0.034
YIL016W	-0.000	0.015
YIL017C	-0.000	0.037
YIL018W	-0.000	0.059
YIL020C	0.002	0.034
YIL023C	0.002	0.031
YIL024C	-0.003	0.062
YIL025C	0.001	0.028
YIL026C	0.003	NaN
YIL027C	-0.002	0.018
YIL028W	0.002	0.030
YIL029C	0.001	0.020
YIL030C	0.005	0.029
YIL032C	0.000	0.035
YIL034C	0.000	0.059
YIL035C	0.002	0.008
YIL036W	0.000	0.099
YIL037C	0.002	0.028
YIL038C	0.003	0.036
YIL041W	-0.000	0.015
YIL042C	0.003	0.020
YIL043C	0.000	0.052
YIL044C	-0.000	0.044
YIL045W	0.002	0.035
YIL047C	0.002	0.039
YIL049W	-0.001	0.061
YIL050W	0.002	0.023
YIL052C	0.004	0.037
YIL053W	0.002	0.055
YIL054W	0.002	0.030
YIL055C	0.001	0.032
YIL056W	0.003	0.016
YIL057C	0.002	0.029
YIL058W	0.003	0.029
YIL059C	0.002	0.019
YIL060W	0.003	0.033
YIL064W	0.002	0.033
YIL065C	0.001	0.014
YIL066C	0.002	0.031
YIL067C	0.002	0.030
YIL069C	0.002	0.023
YIL070C	0.004	0.041
YIL071C	0.006	0.036
YIL072W	0.002	0.026
YIL073C	0.002	0.027
YIL074C	0.002	0.040
YIL076W	0.009	0.069
YIL077C	0.001	0.027
YIL079C	-0.000	0.042
YIL084C	0.000	0.064
YIL085C	0.002	0.030
YIL086C	-0.001	0.047
YIL087C	-0.000	0.016
YIL088C	0.001	0.027
YIL089W	0.003	0.033
YIL092W	0.002	0.029
YIL093C	-0.000	0.078
YIL094C	0.002	0.033
YIL095W	0.000	0.055
YIL096C	0.002	0.036
YIL097W	0.000	0.072
YIL098C	0.001	0.014
YIL099W	0.003	0.030
YIL100W	0.001	0.037
YIL101C	0.000	0.031
YIL102C	0.002	0.023
YIL103W	0.001	0.040
YIL105C	0.002	0.030
YIL107C	0.002	0.024
YIL108W	0.002	0.035
YIL110W	-0.001	0.017
YIL111W	0.001	0.035
YIL112W	0.003	0.031
YIL113W	0.003	0.033
YIL114C	0.003	0.033
YIL116W	0.002	0.024
YIL117C	0.002	0.035
YIL119C	0.002	0.031
YIL120W	0.002	0.029
YIL121W	-0.000	0.042
YIL122W	-0.008	0.019
YIL123W	0.002	0.024
YIL124W	0.003	0.042
YIL125W	0.009	0.045
YIL128W	0.005	0.005
YIL130W	0.003	0.023
YIL131C	0.002	0.021
YIL132C	0.000	0.002
YIL133C	0.002	0.028
YIL135C	0.002	0.026
YIL137C	0.002	0.036
YIL138C	0.002	0.025
YIL139C	0.002	0.033
YIL140W	0.002	0.030
YIL141W	0.000	0.020
YIL145C	0.002	0.030
YIL146C	0.000	0.012
YIL148W	0.004	0.068
YIL149C	0.005	0.018
YIL152W	0.003	0.029
YIL153W	0.003	0.013
