orf	hap alpha | cell death | phosphate starvation [unknown] | Gresham D~Botstein D, 2011	hap alpha | cell death | leucine starvation [unknown] | Gresham D~Botstein D, 2011
YBR043C	0.00210244768058723	0.0289216252386536
YBR044C	0.00181557369228463	0.0120605463309107
YBR045C	0.0014325751407095126	0.029220517383501052
YBR047W	0.00222771699146595	0.0311204783983394
YBR048W	0.0015995671267861151	0.0274060193653446
YBR050C	0.0004906259911676935	0.0216027332884344
YBR051W	0.0016943265639496252	0.027523125533152448
YBR052C	0.002475590892291905	0.02874085061564435
YBR053C	-1.3359301063286001e-05	0.015507715599603449
YBR054W	0.00217040301650595	0.029581019143413552
YBR056W	0.00180236955823456	0.0315640232898499
YBR058C	0.00336439976780311	0.0699643450779759
YBR059C	-0.00046763994136128845	0.03911114820644325
YBR062C	0.0003834976766130275	0.028094603428926848
YBR063C	-0.000767126522666297	0.0152834292872034
YBR064W	0.0025468279224436	0.0254077635337377
YBR065C	0.003458515754809165	0.0325333077206681
YBR066C	0.0026258465233466198	0.030364331934475
YBR067C	0.00223471006015915	0.0324377509613326
YBR068C	0.00214528821280752	0.042064547230793656
YBR069C	0.0018932560149664299	0.03999263716009635
YBR071W	0.00228514435538574	0.0268308262150773
YBR072W	0.00191368875498138	0.0299722334643805
YBR073W	0.00257948483514238	0.021946699140059398
YBR074W	0.003364944838446805	0.0309573715560501
YBR076W	0.00175995386352103	0.021910185435608652
YBR077C	-4.82431126346303e-05	0.037139300529444044
YBR078W	0.0069738496274994455	0.039935136584548905
YBR081C	0.002541139821260225	0.0839194348787278
YBR084W	0.003814677400173585	0.029716999479580147
YBR085W	0.00263804534957281	0.0244039510753469
YBR089C-A	0.003365545917647735	0.03290963973094295
YBR090C	0.003111102504872585	0.0329940853537996
YBR092C	0.00235942811509943	0.0314138369052889
YBR093C	0.0024947395615121546	0.0262449651726398
YBR094W	0.00235414723088046	0.0280121781186804
YBR095C	0.0006590794882342099	0.02081210315910215
YBR096W	0.00267937786769856	0.0318819047118099
YBR098W	0.002507655346909553	0.026847932766311065
YBR099C	0.00274518070437441	0.0226002623102568
YBR101C	0.00340930862175525	0.034520500777717
YBR103W	0.00422562099412898	0.0332862975354459
YBR104W	0.0024039267546172	0.024291220606288202
YBR105C	0.004406976156034745	0.04193569133690175
YBR106W	0.0035102502001667603	0.01653733534656495
YBR107C	0.00395097410236735	0.0240396519610018
YBR108W	0.00212350505802753	0.0332611723264197
YBR111C	0.00244491728018196	0.0301744771004911
YBR113W	0.00166153942745284	0.04529165509603805
