orf	hap alpha | chronological lifespan | phosphate starvation | phosphate limiting | Gresham D~Botstein D, 2011	hap alpha | chronological lifespan | leucine starvation | leucine limiting | Gresham D~Botstein D, 2011
YBR134W	-0.1099816665129293	-0.3563472471730267
YBR138C	-0.12152258612449822	-0.3563476077269498
YBR139W	-0.10314500439266304	-0.3563475962589978
YBR144C	-0.28057270016123614	-0.3563477010434823
YBR145W	-0.10761488635016592	-0.3563476422580703
YBR146W	-0.13760725820149733	-0.35634765540412505
YBR147W	-0.10509234851134375	-0.35634760434133916
YBR148W	-0.10871133599015356	-0.3563475156821732
YBR149W	-0.11022029216613902	-0.35634758622219787
YBR150C	-0.12327821986697599	-0.35634767859696437
YBR151W	-0.10265807703446085	-0.35634758002979355
YBR156C	-0.13769173477740806	-0.35634758207964323
YBR159W	-0.05631699183576518	-0.3563478221463531
YBR161W	-0.1171134551519448	-0.3563476306160274
YBR162C	-0.1626890140782467	-0.35634764662617363
YBR162W-A	-0.1124779509161302	-0.35634766462019063
YBR163W	-0.07120883004920564	-0.35634770300086416
YBR164C	-0.07882371641510216	-0.3563476608235013
YBR165W	-0.11356676643208685	-0.3563476096814758
YBR168W	-0.1076837921297292	-0.35634733277910247
YBR169C	-0.10645115450892431	-0.3563476740754781
YBR170C	-0.06831650104043877	-0.3563475362293546
YBR171W	-0.1645544304485484	-0.35634781457074416
YBR172C	-0.09501629480321704	-0.3563476557995709
YBR173C	-0.10360546509867918	-0.3563476221951745
YBR174C	-0.026461505008212084	-0.35634738854886394
YBR175W	-0.09349415356322104	-0.35634737738847433
YBR176W	-0.07105502589858985	-0.35634765457349804
YBR177C	-0.10598532534437298	-0.3563476307106629
YBR178W	-0.10783090035884764	-0.3563476488178806
YBR180W	-0.10802402699302917	-0.3563476575631249
YBR181C	-0.11933031141928836	-0.35634758228635766
YBR183W	-0.11084483426495621	-0.35634771940513826
YBR186W	-0.11300344539220111	-0.356347657983129
YBR187W	-0.11135989619874025	-0.3563473226564045
YBR188C	-0.1413666696010695	-0.356347653441334
YBR189W	-0.1515491518046364	-0.35634790214042245
YBR194W	-0.031091440785876442	-0.35634790630185953
YBR195C	-0.0985051524843552	-0.356347255509668
YBR197C	-0.042331809306079944	-0.35634768842776543
YBR199W	-0.1102986514664655	-0.35634773703434086
YBR200W	-0.13817106232528029	-0.35634731601600445
YBR201W	-0.09122646359010957	-0.3563475055538651
YBR204C	-0.10423990831810961	-0.3563476469662668
YBR205W	-0.11432597344021163	-0.35634753884490544
YBR206W	-0.05357248400093257	-0.3563475468806279
YBR207W	-0.1277425699692175	-0.3563471420287286
YBR208C	-0.12017332172761322	-0.3563477342537751
