ORF	het | genome instability (diploid mating) | standard [standard] | Choy JS~Basrai MA, 2013
YOR052C	0.333
YOR367W	0.000
YMR237W	0.833
YNL304W	0.667
YOR053W	0.333
YOR368W	1.000
YMR238W	0.167
YNL303W	0.500
YOR054C	1.500
YOR369C	0.167
YMR239C	0.500
YNL302C	0.500
YOR055W	1.167
YOR370C	0.500
YMR240C	0.500
YNL301C	0.667
YOR058C	0.500
YOR371C	1.000
YMR241W	0.833
YNL299W	0.500
YOR059C	1.000
YOR372C	0.667
YMR242C	0.833
YNL298W	0.250
YOR061W	0.000
YOR373W	0.167
YMR243C	0.333
YNL296W	1.000
YOR062C	0.167
YOR374W	0.167
YMR244W	0.667
YNL297C	0.833
YOR064C	0.500
YOR375C	0.667
YMR245W	0.667
YNL295W	0.333
YOR065W	1.333
YOR376W	0.500
YMR244C-A	0.667
YNL294C	0.667
YOR066W	1.333
YOR377W	0.500
YMR246W	0.667
YNL293W	0.667
YOR067C	1.500
YOR378W	1.000
YMR247C	0.833
YNL292W	0.500
YOR068C	1.167
YOR380W	0.500
YMR250W	0.667
YNL291C	0.167
YOR069W	0.833
YOR381W	0.167
YMR251W	0.167
YNL290W	0.667
YOR070C	1.000
YOR382W	0.000
YMR251W-A	0.000
YNL289W	0.667
YOR071C	1.333
YOR383C	0.667
YMR252C	0.000
YNL288W	0.500
YOR072W	1.167
YOR384W	0.500
YMR253C	0.333
YNL286W	0.500
YOR073W	0.833
YOR385W	0.833
YMR254C	1.000
YNL285W	1.333
YOR076C	1.167
YOL001W	0.833
YOL002C	1.000
YPL258C	0.833
YPL160W	0.333
YBR216C	0.500
YOL003C	1.000
YPL257W	1.333
YPL159C	0.500
YBR217W	0.667
YOL004W	0.833
YPL256C	0.667
YPL157W	0.667
YBR218C	0.167
YOL005C	0.333
YPL255W	0.667
YPL156C	0.500
YBR219C	0.000
YOL006C	1.333
YPL254W	0.667
YPL155C	0.167
YBR220C	0.167
YOL007C	0.667
YPL253C	1.500
YPL154C	0.333
YBR222C	0.833
YOL008W	0.833
YPL251W	1.000
YPL153C	0.667
YBR223C	0.833
YOL009C	0.333
YPL252C	0.833
YPL152W	0.500
YBR224W	0.167
YPL250C	1.500
YPL151C	0.500
YBR225W	0.667
YOL010W	1.333
YPL150W	0.667
YBR226C	0.000
YOL011W	1.167
YPL249C	0.500
YBR227C	0.000
YOL012C	0.333
YPL248C	1.667
YPL149W	0.167
YOL013C	0.167
YPL247C	0.333
YPL147W	0.500
YBR228W	0.333
YOL014W	0.167
YPL246C	1.167
YPL145C	0.500
YBR229C	0.000
YOL015W	0.333
YPL245W	0.333
YPL144W	0.000
YBR230C	0.833
YOL017W	1.000
YPL244C	0.667
YPL143W	1.167
YBR231C	0.500
YOL019W	0.333
YPL243W	0.500
YPL142C	0.833
YBR233W	0.667
YOL020W	0.500
YPL242C	0.167
YPL141C	0.167
YBR234C	0.333
YOL021C	0.167
YPL241C	0.667
YPL140C	0.167
YBR236C	0.667
YOL022C	0.833
YPL240C	0.833
YPL139C	0.500
YBR237W	0.167
YOL023W	0.667
YPL239W	0.500
YPL138C	0.500
YBR238C	0.333
YOL024W	0.667
YPL237W	0.667
YPL136W	1.000
YBR239C	0.667
YOL025W	0.833
YPL238C	1.000
YPL135W	1.000
YBR240C	0.000
YOL026C	0.000
YPL236C	0.333
YPL133C	0.500
YBR241C	0.833
YOL027C	1.167
YPL235W	1.000
YPL130W	0.333
YBR242W	0.167
YOL028C	0.333
YPL234C	0.500
YPL129W	0.167
YBR243C	0.500
YOL029C	0.333
YPL233W	1.000
YPL128C	1.500
YBR244W	0.167
YOL030W	0.833
YPL232W	0.667
YPL127C	0.333
YBR245C	0.833
YOL031C	1.000
YPL231W	0.333
YPL126W	0.333
YBR246W	1.000
YOL032W	0.333
YPL230W	0.333
YPL125W	0.333
YBR247C	0.500
YOL033W	0.667
YPL229W	0.333
YPL124W	0.500
YBR248C	0.500
YOL034W	0.500
YPL228W	0.167
YPL123C	0.333
YBR249C	0.833
YOL035C	0.833
YPL227C	0.333
YPL122C	0.667
YBR250W	0.167
YOL036W	0.500
YPL226W	0.167
YPL121C	0.167
YBR251W	1.167
YOL037C	0.500
YPL225W	1.500
YPL120W	0.333
YBR252W	1.000
YOL038W	1.000
YPL223C	0.333
YPL119C	0.500
YBR253W	1.000
YOL039W	0.500
YPL222W	0.667
YPL118W	0.500
YBR254C	0.500
YOL040C	0.667
YPL221W	0.500
YPL117C	0.500
YBR255W	0.667
YOL041C	0.167
YPL220W	0.500
YPL116W	0.500
YBR256C	0.167
YOL042W	1.167
YPL219W	0.667
YPL115C	0.333
YBR258C	1.167
YOL043C	0.667
YPL218W	0.167
YPL114W	0.833
YBR259W	0.667
YOL044W	1.000
YPL216W	0.167
YPL113C	0.833
YBR261C	0.833
YOL045W	1.500
YPL215W	0.667
YPL112C	0.667
YBR262C	1.167
YOL046C	1.167
YPL214C	0.500
YPL111W	0.667
YBR263W	1.500
YOL047C	0.667
YPL213W	0.167
YPL110C	0.167
YBR264C	0.667
YOL048C	1.083
YPL212C	0.500
YPL109C	0.833
YBR265W	0.333
YOL049W	1.333
YPL211W	0.667
YPL108W	0.667
YBR266C	1.500
YOL050C	0.000
YPL210C	0.333
YPL107W	0.500
YBR267W	1.833
YOL051W	0.167
YPL209C	1.500
YPL106C	0.833
YDR049W	0.167
YOL052C	0.833
YPL208W	0.500
YPL105C	0.667
YDR050C	0.333
YOL052C-A	0.333
YPL207W	1.000
YPL104W	0.167
YDR051C	0.667
YOL053W	0.333
YPL206C	0.333
YPL103C	0.500
YDR052C	0.000
YOL054W	1.167
YPL205C	0.667
YPL101W	0.833
YDR053W	0.667
YOL055C	1.000
YPL204W	1.000
YPL102C	0.500
YDR054C	0.833
YOL056W	0.667
YPL203W	0.500
YPL100W	0.833
YDR055W	1.500
YOL057W	1.333
YPL202C	1.333
YPL099C	1.000
YDR057W	0.833
YOL058W	1.167
YPL201C	1.500
YPL098C	0.500
YDR059C	0.833
YOL059W	1.167
YPL200W	0.833
YPL097W	0.500
YDR060W	0.500
YOL060C	0.500
YPL199C	0.667
YPL096W	0.833
YDR061W	0.833
YOL061W	1.167
YPL198W	1.333
YPL095C	0.833
YDR062W	0.500
YOL062C	0.500
YPL197C	0.167
YPL094C	1.000
YDR063W	1.667
YOL063C	0.833
YPL196W	0.667
YPL093W	0.500
YDR064W	0.833
YOL064C	0.333
YPL195W	0.667
YPL092W	0.667
YDR065W	0.667
YOL065C	1.167
YPL194W	1.333
YBR173C	0.833
YDR066C	1.333
YOL066C	1.000
YPL193W	0.833
YBR177C	0.333
YDR067C	0.833
YOL067C	1.167
YPL192C	0.833
YBR180W	0.833
YDR068W	0.333
YOL068C	0.167
YPL191C	0.833
YBR181C	0.333
YDR069C	1.167
YOL069W	1.167
YPL190C	0.833
YBR182C	0.667
YDR070C	0.000
YOL070C	0.333
YPL189W	0.667
YBR183W	0.667
YDR072C	0.333
YOL071W	1.333
YPL188W	0.000
YBR184W	0.500
YDR073W	1.333
YOL072W	0.333
YPL187W	2.167
YBR185C	0.500
YDR075W	0.500
YOL075C	0.833
YPL185W	0.333
YBR187W	0.833
YDR076W	1.000
YOL076W	1.000
YPL186C	1.667
YBR192W	0.167
YDR078C	0.500
YOL077C	0.167
YPL184C	0.000
YBR193C	0.833
YDR079W	1.167
YOL079W	0.833
YPL181W	1.500
YBR194W	0.500
YDR080W	0.500
YOL080C	0.167
YPL182C	0.833
YBR195C	0.333
YDR081C	0.333
YOL081W	0.500
YPL180W	0.667
YBR196C	0.167
YDR082W	0.333
YOL082W	0.667
YPL179W	0.833
YBR197C	0.667
YDR083W	0.500
YOL083W	1.167
YPL178W	0.167
YBR198C	0.833
YDR084C	0.833
YOL084W	0.000
YPL177C	0.833
YBR199W	0.667
YDR085C	0.333
YOL085C	0.833
YPL175W	0.667
YBR200W	0.333
YDR086C	0.500
YPL274W	0.000
YPL174C	0.833
YBR201W	0.667
YDR087C	0.333
YPL273W	1.333
YPL173W	0.667
YBR202W	1.500
YDR088C	0.500
YPL271W	1.500
YPL172C	0.833
YBR203W	1.000
YDR089W	0.500
YPL270W	0.500
YPL171C	0.667
YBR204C	0.833
YDR090C	0.500
YPL269W	0.833
YPL170W	0.667
YBR205W	1.000
YDR091C	0.500
YPL267W	1.000
YPL169C	0.333
YBR206W	1.167
YDR092W	0.583
YPL266W	0.667
YPL168W	0.500
YBR207W	1.000
YDR093W	1.333
YPL265W	1.500
YPL167C	0.500
YBR208C	0.667
YDR094W	0.833
YPL264C	0.667
YPL166W	1.333
YBR210W	0.333
YDR095C	1.000
YPL263C	0.333
YPL165C	0.917
YBR211C	0.333
YDR096W	0.667
YPL262W	0.667
YPL164C	0.500
YBR212W	0.833
YDR097C	1.333
YPL260W	0.333
YPL163C	0.500
YBR213W	1.000
YDR098C	0.833
YPL261C	0.333
YPL162C	1.333
YBR214W	0.500
YDR099W	0.667
YPL259C	1.000
YPL161C	1.500
YBR215W	1.000
YDR100W	1.333
YDR101C	1.000
YDR393W	1.000
YEL066W	0.333
YGR133W	0.333
YDR102C	1.000
YDR394W	0.167
YEL067C	1.000
YGR135W	0.333
YDR103W	0.333
YDR395W	0.000
YEL068C	0.667
YGR136W	0.833
YDR104C	1.333
YDR396W	0.833
YEL071W	0.167
YGR137W	0.000
YDR105C	0.500
YDR397C	0.833
YER002W	0.500
YGR138C	0.167
YDR107C	0.167
YDR398W	1.000
YER003C	0.667
YGR139W	0.167
YDR108W	0.167
YDR399W	1.333
YER004W	0.333
YGR140W	0.833
YDR109C	0.833
YDR400W	1.000
YER005W	0.333
YGR141W	0.833
YDR110W	0.500
YDR402C	1.000
YER006W	0.500
YGR142W	0.833
YDR111C	0.667
YDR403W	0.833
YER007C-A	0.500
YGR143W	0.833
YDR112W	0.833
YDR404C	0.167
YER008C	0.000
YGR144W	0.833
YDR113C	0.333
YDR405W	1.000
YER009W	0.333
YGR146C	0.167
YDR406W	0.000
YER010C	0.167
YGR147C	0.500
YDR114C	0.500
YER011W	0.167
YGR148C	1.167
YDR115W	0.333
YDR407C	0.000
YGR149W	0.333
YDR116C	1.500
YDR408C	1.000
YER012W	0.500
YDR117C	0.167
YDR409W	0.333
YER013W	0.667
YGR150C	1.000
YDR118W	0.167
YDR410C	0.333
YER014C-A	0.500
YGR151C	0.500
YDR119W	0.500
YDR411C	0.500
YER016W	0.250
YGR152C	0.000
YDR120C	0.167
YDR412W	0.500
YER017C	0.667
YGR153W	0.333
YDR121W	0.333
YDR413C	0.333
YER018C	1.667
YGR154C	0.667
YDR122W	0.167
YDR414C	0.333
YER019C-A	0.500
YGR155W	0.583
YDR123C	0.333
YDR415C	0.333
YER020W	0.333
YGR156W	1.500
YDR124W	0.667
YDR416W	0.500
YER021W	0.000
YGR157W	0.667
YDR125C	0.833
YDR418W	0.167
YER022W	0.500
YGR158C	0.500
YDR126W	1.000
YDR419W	0.167
YER023W	0.500
YGR159C	0.833
YDR127W	0.167
YDR420W	0.333
YER024W	0.500
YGR160W	0.667
YDR128W	0.333
YDR421W	0.500
YER025W	0.500
YGR161C	0.167
YDR129C	0.833
YDR422C	0.333
YER027C	0.833
YGR163W	0.167
YDR130C	0.333
YDR425W	0.833
YER030W	0.667
YGR164W	1.000
YDR131C	0.333
YDR426C	0.500
YER032W	0.667
YGR165W	0.500
YDR132C	0.500
YDR427W	1.000
YER033C	0.667
YGR166W	0.167
YDR133C	0.500
YDR428C	1.167
YER035W	1.500
YGR167W	0.667
YDR134C	0.500
YDR429C	0.667
YER036C	0.667
YGR168C	0.500
YDR135C	0.500
YDR430C	0.167
YER037W	0.417
YGR169C	0.667
YDR136C	0.833
YDR431W	0.833
YER038C	1.000
YGR170W	0.500
YDR137W	1.167
YDR432W	0.667
YER038W-A	0.667
YGR171C	0.000
YDR138W	1.000
YDR433W	0.333
YER039C	0.333
YGR172C	0.167
YDR139C	0.500
YDR434W	0.333
YER040W	1.000
YGR173W	0.500
YDR140W	0.500
YDR435C	1.000
YER041W	0.500
YGR174C	0.833
YDR141C	0.667
YEL001C	0.500
YER042W	0.500
YGR175C	0.500
YDR142C	0.500
YEL002C	0.833
YER043C	1.167
YGR176W	0.167
YDR143C	1.333
YEL003W	1.000
YER044C	0.667
YGR177C	1.167
YDR144C	0.833
YEL004W	0.333
YER044C-A	1.167
YGR178C	1.167
YDR145W	0.833
YEL005C	1.167
YER045C	0.167
YGR179C	0.333
YDR146C	0.667
YEL006W	0.667
YER046W-A	0.833
YGR180C	0.417
YDR338C	0.500
YEL007W	0.500
YER047C	0.667
YGR181W	0.667
YDR339C	0.500
YEL008W	0.500
YER048C	1.000
YGR182C	0.500
YDR340W	0.833
YEL009C	0.333
YER049W	0.500
YGR183C	0.667
YDR341C	0.167
YEL010W	1.000
YER050C	0.167
YGR184C	0.833
YDR344C	0.500
YEL013W	0.500
YER051W	0.333
YGR185C	0.833
YDR345C	0.500
YEL014C	0.333
YER052C	0.333
YGR187C	0.333
YDR346C	0.500
YEL015W	0.500
YER053C	0.500
YGR189C	0.500
YDR348C	0.833
YEL016C	1.000
YER054C	0.667
YGR190C	0.667
YDR349C	0.333
YEL017C-A	0.500
YER055C	1.167
YGR191W	0.667
YDR350C	1.167
YEL017W	1.500
YER056C	1.000
YGR192C	1.500
YDR351W	0.667
YEL018W	0.833
YER056C-A	1.667
YGR193C	0.667
YDR352W	1.167
YEL019C	0.833
YER057C	0.500
YGR194C	0.167
YDR353W	0.667
YEL020C	0.833
YER059W	0.667
YGR195W	0.833
YDR354W	0.833
YEL023C	0.500
YER060W	0.833
YGR196C	0.500
YDR355C	0.333
YEL024W	0.833
YER060W-A	0.500
YGR197C	0.333
YDR356W	0.333
YEL025C	0.667
YER061C	1.500
YGR200C	1.000
YDR357C	0.667
YEL026W	0.500
YER062C	0.667
YGR202C	0.500
YDR358W	0.167
YEL027W	0.167
YER065C	0.667
YGR203W	0.667
YDR359C	0.833
YEL028W	0.167
YER066C-A	0.333
YGR205W	0.500
YDR360W	0.500
YEL029C	0.500
YER067W	1.333
YGR207C	0.333
YDR361C	0.500
YEL030W	0.833
YER067C-A	0.667
YGR208W	0.500
