ORF	Growth, colony size;Manganese;12 mM	Growth, colony size;Manganese;25 mM
YDR316W	0.721	0.220
YDR317W	0.701	0.226
YDR318W	0.623	0.183
YDR319C	0.603	0.236
YDR320C	0.207	0.067
YDR321W	0.671	0.242
YDR322W	0.733	0.250
YDR323C	0.675	0.245
YDR326C	0.611	0.232
YDR329C	0.721	0.215
YDR330W	0.790	0.239
YDR332W	0.696	0.207
YDR333C	0.681	0.209
YDR334W	0.192	0.091
YDR335W	0.942	0.362
YDR336W	0.619	0.192
YDR337W	0.733	0.258
YDR338C	0.683	0.282
YDR340W	0.680	0.257
YDR344C	0.683	0.247
YDR345C	0.683	0.274
YDR346C	0.722	0.288
YDR347W	0.735	0.260
YDR348C	0.503	0.185
YDR349C	0.691	0.234
YDR350C	0.930	0.378
YDR351W	0.682	0.264
YDR352W	0.683	0.245
YDR354W	0.591	0.189
YDR357C	0.679	0.240
YDR358W	0.636	0.225
YDR359C	0.632	0.222
YDR360W	0.510	0.147
YDR363W	0.598	0.189
YDR363W-A	0.631	0.186
YDR364C	NaN	NaN
YDR368W	0.606	0.190
YDR369C	0.481	0.169
YDR370C	0.772	0.329
YDR371W	0.654	0.236
YDR372C	0.696	0.141
YDR374C	0.663	0.223
YDR375C	0.786	0.234
YDR377W	0.805	0.244
YDR378C	0.864	0.303
YDR379W	0.695	0.216
YDR380W	0.622	0.206
YDR382W	0.750	0.371
YDR383C	0.641	0.211
YDR384C	0.659	0.254
YDR385W	0.700	0.278
YDR386W	0.663	0.250
YDR387C	0.703	0.291
YDR388W	0.507	0.138
YDR389W	0.621	0.214
YDR391C	0.592	0.156
YDR392W	0.505	0.062
YDR393W	0.739	0.249
YDR395W	0.671	0.157
YDR399W	0.690	0.284
YDR400W	0.666	0.265
YDR401W	0.695	0.281
YDR402C	0.700	0.301
YDR403W	0.691	0.293
YDR405W	0.871	0.322
YDR406W	0.695	0.242
YDR408C	0.817	0.362
YDR409W	0.686	0.213
YDR410C	0.690	0.151
YDR411C	0.669	0.196
YDR414C	0.872	0.530
YDR415C	0.732	0.277
YDR417C	0.628	0.247
YDR418W	0.677	0.308
YDR419W	0.667	0.299
YDR420W	0.682	0.329
YDR421W	0.660	0.287
YDR422C	0.700	0.300
YDR423C	0.686	0.247
YDR424C	0.598	0.167
YDR425W	0.675	0.234
YDR426C	0.695	0.239
YDR428C	0.600	0.142
YDR430C	0.657	0.215
YDR431W	0.726	0.227
YDR432W	0.259	0.101
YDR433W	0.679	0.269
YDR435C	0.781	0.851
YDR436W	0.684	0.250
YDR438W	0.628	0.238
YDR439W	0.621	0.199
YDR440W	0.594	0.167
YDR441C	0.719	0.246
YDR442W	0.716	0.287
YDR443C	0.575	0.203
YDR444W	0.626	0.245
YDR445C	0.495	0.128
YDR446W	0.650	0.209
YDR447C	0.600	0.192
YDR448W	0.585	0.316
YDR450W	0.638	0.255
YDR451C	0.689	0.272
YDR452W	0.609	0.255
YDR453C	0.653	0.251
YDR455C	0.607	0.212
YDR456W	0.625	0.210
YDR457W	0.803	0.338
YDR458C	0.642	0.179
YDR459C	0.611	0.184
YDR461W	0.960	0.426
YDR462W	0.845	0.313
YDR463W	0.596	0.225
YDR465C	0.676	0.246
YDR466W	0.754	0.394
YDR467C	0.738	0.396
YDR469W	0.647	0.193
YDR470C	0.982	0.306
YDR471W	0.722	0.247
YDR474C	0.644	0.166
YDR475C	0.695	0.178
YDR476C	0.597	0.130
YDR477W	0.462	0.172
YDR479C	0.640	0.191
YDR480W	0.608	0.198
YDR481C	0.638	0.196
YDR482C	0.640	0.227
YDR483W	0.632	0.197
YDR484W	0.147	0.103
YDR485C	0.194	0.113
YDR486C	0.357	0.108
YDR488C	0.673	0.238
YDR490C	0.687	0.264
YDR491C	0.699	0.198
YDR492W	0.710	0.197
YDR493W	0.645	0.220
YDR494W	0.618	0.201
YDR495C	0.736	0.269
YDR496C	0.570	0.194
YDR497C	0.499	0.176
YDR500C	0.719	0.202
YDR501W	0.697	0.271
YDR502C	0.637	0.181
YDR503C	0.262	0.190
YDR504C	0.668	0.240
YDR505C	0.433	0.136
YDR506C	0.744	0.277
YDR507C	0.927	0.274
YDR508C	0.579	0.153
YDR509W	0.564	0.179
YDR511W	0.628	0.161
YDR512C	0.734	0.225
YDR513W	0.726	0.381
YDR514C	0.763	0.331
YDR515W	0.685	0.211
YDR516C	0.698	0.338
YDR517W	0.444	0.213
YDR518W	0.911	0.365
YDR519W	0.698	0.236
YDR520C	0.696	0.216
YDR521W	0.517	0.093
YDR522C	0.756	0.254
YDR523C	0.817	0.273
YDR524C	0.607	0.159
YDR525W	0.683	0.216
YDR525W-A	0.574	0.176
YDR528W	0.592	0.169
YDR529C	0.801	0.211
YDR530C	0.559	0.222
YDR532C	0.938	0.634
YDR533C	0.674	0.273
YDR534C	0.713	0.293
YDR535C	0.690	0.300
YDR536W	0.604	0.250
YDR537C	0.558	0.182
YDR538W	0.701	0.282
YDR539W	0.613	0.246
YDR540C	0.704	0.294
YDR541C	0.706	0.272
YEL001C	0.650	0.275
YEL003W	0.673	0.233
YEL004W	0.671	0.314
YEL005C	0.701	0.207
YEL006W	0.670	0.219
YEL007W	0.641	0.202
YEL008W	0.597	0.218
YEL009C	0.663	0.205
YEL010W	0.702	0.228
YEL011W	0.616	0.160
YEL012W	0.644	0.228
YEL013W	0.423	0.132
YEL014C	0.689	0.280
YEL015W	0.687	0.270
YEL016C	0.658	0.282
YEL017C-A	0.670	0.264
YEL017W	0.657	0.243
YEL020C	0.728	0.238
YEL023C	0.680	0.182
YEL024W	0.765	0.235
YEL025C	0.724	0.210
YEL027W	0.473	0.261
YEL028W	0.677	0.244
YEL029C	0.495	0.201
YEL030W	0.684	0.259
YEL031W	NaN	NaN
YEL033W	0.573	0.156
YEL036C	0.754	0.182
YEL037C	0.662	0.200
YEL038W	0.680	0.261
YEL039C	0.680	0.241
YEL040W	0.689	0.213
YEL041W	0.602	0.188
YEL042W	0.591	0.121
YEL043W	0.362	0.223
YEL044W	0.777	0.329
YEL045C	0.561	0.261
YEL046C	0.602	0.271
YEL047C	0.684	0.266
YEL048C	0.720	0.363
YEL049W	0.643	0.249
YEL050C	0.684	0.216
YEL051W	0.428	0.228
YEL052W	0.723	0.250
YEL053C	0.687	0.260
YEL054C	0.684	0.210
YEL056W	0.627	0.210
YEL057C	0.814	0.672
YEL059W	0.661	0.332
YEL060C	0.521	0.247
YEL061C	0.705	0.228
YEL062W	0.750	0.304
YEL063C	0.663	0.186
YEL064C	0.685	0.211
YEL065W	0.699	0.223
YEL066W	0.672	0.203
YEL067C	0.589	0.189
YEL068C	0.610	0.215
YEL071W	0.654	0.233
YEL072W	0.689	0.233
YER001W	0.746	0.311
YER002W	0.814	0.287
YER004W	0.705	0.232
YER005W	0.664	0.128
YER007C-A	0.751	0.227
YER007W	0.689	0.179
YER010C	0.716	0.210
YER011W	0.710	0.210
YER014C-A	NaN	NaN
YER014W	0.617	0.213
YER016W	0.386	0.160
YER017C	0.691	0.280
YER019C-A	0.654	0.316
YER019W	0.818	0.279
YER020W	0.610	0.192
YER024W	0.712	0.301
YER027C	0.532	0.178
YER028C	0.642	0.254
YER030W	0.683	0.299
YER031C	0.723	0.322
YER032W	0.698	0.254
YER033C	0.748	0.217
YER034W	0.739	0.242
YER035W	0.710	0.236
YER037W	0.803	0.207
YER038W-A	0.618	0.203
YER039C	0.663	0.241
YER039C-A	0.656	0.213
YER040W	0.164	0.116
YER041W	0.666	0.266
YER042W	0.681	0.265
YER044C	NaN	NaN
YER044C-A	0.711	0.297
YER045C	0.712	0.316
YER046W	0.660	0.264
YER046W-A	0.649	0.278
YER047C	0.705	0.254
YER048C	0.776	0.269
YER049W	0.750	0.256
YER050C	0.862	0.263
YER051W	0.624	0.205
YER052C	0.652	0.238
YER053C	0.649	0.252
YER054C	0.681	0.275
YER055C	0.571	0.238
YER056C	0.753	0.349
YER056C-A	0.552	0.189
YER057C	0.700	0.431
YER058W	0.881	0.353
YER059W	0.929	0.510
YER060W	0.662	0.268
YER060W-A	0.724	0.308
YER061C	0.734	0.220
YER062C	0.617	0.214
YER063W	0.677	0.265
YER064C	0.733	0.248
YER065C	0.659	0.237
YER066C-A	0.665	0.235
YER066W	0.677	0.215
YER067C-A	0.695	0.272
YER067W	0.657	0.251
YER068C-A	0.691	0.284
YER068W	0.579	0.253
YER069W	0.682	0.268
YER070W	0.327	0.091
YER071C	0.703	0.258
YER072W	1.329	1.652
YER073W	0.720	0.214
YER074W	0.600	0.136
YER075C	0.699	0.261
YER077C	0.661	0.251
YER078C	0.649	0.271
YER079W	0.711	0.269
YER080W	0.675	0.249
YER081W	0.781	0.315
YER083C	0.432	0.244
YER084W	0.630	0.205
YER085C	0.694	0.266
YER086W	1.221	0.472
YER087C-A	0.743	0.274
YER087W	1.005	0.303
YER088C	0.675	0.276
YER089C	0.615	0.106
YER090W	0.578	0.191
YER091C	0.552	0.200
YER091C-A	0.655	0.231
YER092W	0.667	0.334
YER093C-A	0.723	0.242
YER095W	0.525	0.138
YER096W	0.665	0.177
YER097W	0.634	0.191
YER098W	0.698	0.195
YER101C	0.651	0.258
YER103W	0.638	0.244
YER106W	0.715	0.367
YER108C	0.674	0.171
YER109C	0.609	0.178
YER110C	0.690	0.208
YER111C	0.594	0.170
YER113C	0.596	0.189
YER114C	0.627	0.234
YER115C	0.600	0.252
YER116C	0.667	0.259
YER117W	0.638	0.245
YER118C	0.562	0.230
YER119C	0.651	0.239
YER119C-A	0.550	0.141
YER120W	0.639	0.158
YER121W	0.573	0.134
YER122C	0.607	0.306
YER123W	0.606	0.172
YER124C	0.598	0.155
YER128W	0.456	0.148
YER129W	0.492	0.152
YER130C	0.631	0.254
YER131W	0.666	0.256
YER132C	0.636	0.294
YER134C	0.577	0.202
YER135C	0.550	0.182
YER137C	0.641	0.174
YER139C	0.577	0.139
YER140W	0.714	0.199
YER141W	0.585	0.137
YER142C	0.631	0.179
YER143W	0.612	0.194
YER144C	0.332	0.109
YER145C	0.483	0.132
YER149C	0.655	0.293
YER150W	0.653	0.266
YER151C	0.576	0.162
YER152C	0.778	0.155
YER153C	0.678	0.160
YER154W	0.666	0.143
YER155C	0.832	0.295
YER156C	0.767	0.204
YER158C	0.543	0.111
YER161C	0.567	0.171
YER162C	0.521	0.116
YER163C	0.607	0.244
YER164W	0.603	0.228
YER166W	0.678	0.302
YER167W	0.668	0.267
YER169W	0.700	0.284
YER170W	0.602	0.126
YER173W	0.667	0.301
YER174C	0.382	0.099
YER175C	0.545	0.185
YER176W	0.575	0.219
YER177W	0.379	0.136
YER178W	0.573	0.162
YER179W	0.642	0.225
YER180C	0.657	0.219
YER181C	0.655	0.197
YER182W	0.619	0.185
YER183C	0.597	0.157
YER184C	0.560	0.138
YER185W	0.582	0.154
YER186C	0.561	0.150
YER187W	0.572	0.195
YER188W	0.671	0.197
YFL001W	0.311	0.100
YFL003C	0.602	0.187
YFL004W	0.615	0.300
YFL006W	0.888	0.478
YFL007W	0.845	0.478
YFL010C	0.872	0.426
YFL010W-A	0.668	0.285
YFL011W	0.698	0.267
YFL012W	0.670	0.252
YFL013C	0.736	0.301
YFL013W-A	0.709	0.351
YFL014W	0.654	0.277
YFL015C	0.631	0.226
YFL016C	0.601	0.104
YFL018C	0.447	0.156
YFL019C	0.710	0.280
YFL020C	0.700	0.256
YFL021W	0.649	0.246
YFL023W	0.670	0.214
YFL025C	0.531	0.232
YFL026W	0.682	0.213
YFL027C	0.671	0.219
YFL028C	0.694	0.209
YFL030W	0.704	0.221
YFL031W	0.652	0.255
YFL032W	0.643	0.249
YFL033C	0.608	0.106
YFL034C-A	0.720	0.263
YFL034W	0.797	0.320
YFL035C-B	0.650	0.227
YFL036W	0.869	0.296
YFL040W	0.661	0.253
YFL041W	0.640	0.213
YFL042C	0.673	0.235
YFL043C	0.633	0.220
YFL044C	0.669	0.204
YFL046W	0.669	0.223
YFL047W	0.670	0.223
YFL048C	0.686	0.223
YFL049W	0.603	0.152
YFL050C	0.716	0.258
YFL051C	0.754	0.285
YFL052W	0.634	0.220
YFL053W	0.731	0.288
YFL054C	0.636	0.259
YFL055W	0.633	0.224
YFL056C	0.622	0.225
YFR001W	0.905	0.366
YFR006W	0.681	0.209
YFR007W	0.699	0.226
YFR008W	0.669	0.282
YFR009W	0.742	0.234
YFR010W	0.703	0.234
YFR011C	0.624	0.164
YFR012W	0.481	0.113
YFR013W	0.613	0.148
YFR014C	0.538	0.159
YFR015C	0.600	0.184
YFR016C	0.621	0.209
YFR017C	0.604	0.234
YFR018C	0.592	0.230
YFR019W	0.452	0.112
YFR020W	0.632	0.233
YFR021W	0.612	0.249
YFR022W	0.705	0.245
YFR023W	0.744	0.258
YFR024C	0.680	0.212
YFR024C-A	0.790	0.302
YFR025C	0.596	0.208
YFR026C	0.741	0.273
YFR030W	0.614	0.174
YFR031C-A	0.700	0.237
YFR032C	0.654	0.252
YFR032C-A	0.703	0.242
YFR033C	0.793	0.393
YFR034C	0.745	0.348
YFR035C	0.721	0.311
YFR036W	0.378	0.187
YFR038W	0.836	0.313
YFR039C	0.689	0.193
YFR040W	0.792	0.384
YFR041C	0.709	0.228
YFR043C	0.677	0.173
YFR044C	0.620	0.212
YFR045W	0.449	0.156
YFR046C	0.826	0.333
YFR047C	0.822	0.478
YFR048W	0.661	0.279
YFR049W	0.765	0.514
YFR053C	0.796	0.460
YFR054C	0.701	0.262
YFR055W	0.455	0.187
YFR056C	0.552	0.168
YFR057W	0.757	0.249
YGL002W	0.691	0.196
YGL003C	0.725	0.240
YGL004C	0.688	0.239
YGL005C	0.595	0.211
YGL006W	0.634	0.195
YGL007W	0.726	0.285
YGL010W	0.765	0.259
YGL012W	0.743	0.243
YGL013C	0.813	0.281
YGL014W	0.745	0.262
YGL015C	0.514	0.175
YGL016W	0.501	0.137
YGL017W	0.547	0.157
YGL019W	0.749	0.178
YGL020C	0.550	0.376
YGL021W	0.633	0.198
YGL023C	0.566	0.159
YGL024W	0.724	0.258
YGL025C	0.681	0.231
YGL026C	0.704	0.256
YGL027C	0.764	0.256
YGL028C	0.689	0.331
YGL029W	0.673	0.172
YGL031C	0.641	0.232
YGL032C	0.613	0.219
YGL033W	0.673	0.400
YGL034C	0.633	0.389
YGL035C	0.672	0.235
YGL036W	0.630	0.207
YGL037C	0.726	0.308
YGL038C	NaN	NaN
YGL039W	0.691	0.221
YGL041C	0.714	0.223
YGL042C	0.494	0.199
YGL043W	0.612	0.164
YGL045W	0.637	0.195
YGL046W	0.678	0.238
YGL049C	0.628	0.231
YGL050W	0.664	0.261
YGL051W	0.705	0.281
YGL053W	0.713	0.301
YGL054C	0.660	0.295
YGL056C	0.681	0.282
YGL057C	0.681	0.234
YGL058W	0.654	0.223
YGL059W	0.696	0.246
YGL060W	0.690	0.188
YGL062W	0.623	0.192
YGL063W	0.562	0.172
YGL064C	0.646	0.198
YGL066W	0.531	0.236
YGL067W	0.706	0.291
YGL070C	0.230	0.144
YGL071W	0.591	0.281
YGL072C	1.223	0.586
YGL076C	0.656	0.258
YGL077C	0.625	0.195
YGL078C	0.676	0.202
YGL079W	0.690	0.196
YGL080W	0.624	0.187
YGL081W	0.419	0.125
YGL082W	0.647	0.222
YGL083W	0.698	0.283
YGL084C	0.774	0.424
YGL085W	0.702	0.322
YGL086W	0.642	0.309
YGL087C	0.670	0.344
YGL088W	0.634	0.222
YGL089C	0.730	0.274
YGL090W	0.698	0.227
YGL094C	0.735	0.220
YGL095C	0.315	0.165
YGL096W	0.670	0.203
YGL101W	0.672	0.254
YGL104C	0.626	0.188
YGL105W	0.675	0.197
YGL107C	0.892	0.293
YGL108C	0.700	0.199
YGL109W	0.580	0.159
YGL110C	0.609	0.157
YGL114W	0.615	0.169
YGL115W	0.550	0.188
YGL117W	0.630	0.221
YGL118C	0.634	0.214
YGL121C	0.676	0.262
YGL124C	0.646	0.119
YGL125W	0.576	0.208
YGL126W	0.610	0.197
YGL127C	0.630	0.202
YGL129C	0.776	0.444
YGL131C	0.595	0.167
YGL132W	0.617	0.235
YGL133W	0.634	0.223
YGL135W	0.629	0.205
YGL136C	0.650	0.225
YGL138C	0.635	0.202
YGL139W	0.639	0.198
YGL140C	0.613	0.148
YGL141W	0.620	0.152
YGL143C	0.591	0.169
YGL144C	0.469	0.117
YGL146C	0.557	0.183
YGL147C	0.521	0.184
YGL148W	0.611	0.222
YGL149W	0.689	0.253
YGL151W	0.836	0.357
YGL152C	0.666	0.242
YGL153W	0.704	0.301
YGL154C	0.276	0.018
YGL156W	0.679	0.218
YGL157W	0.631	0.198
YGL158W	0.787	0.201
YGL159W	0.696	0.227
YGL160W	0.596	0.165
YGL161C	0.568	0.156
YGL162W	0.602	0.216
YGL163C	0.614	0.226
YGL164C	0.614	0.297
YGL165C	0.625	0.223
YGL166W	0.661	0.241
YGL167C	0.658	0.226
YGL168W	0.657	0.232
YGL170C	0.619	0.198
YGL173C	0.599	0.195
YGL174W	0.635	0.154
YGL175C	0.592	0.162
YGL176C	0.464	0.074
YGL177W	0.638	0.206
YGL179C	0.618	0.201
YGL180W	0.672	0.262
YGL181W	0.630	0.239
YGL194C	0.702	0.202
YGL195W	0.574	0.149
YGL196W	0.619	0.161
YGL197W	0.402	0.085
YGL198W	0.695	0.237
YGL199C	0.641	0.215
YGL200C	NaN	NaN
YGL202W	0.663	0.243
YGL203C	0.744	0.399
YGL205W	0.684	0.275
YGL206C	0.012	0.000
YGL208W	0.697	0.272
YGL209W	0.581	0.224
YGL210W	0.730	0.259
YGL211W	0.379	0.143
YGL212W	0.549	0.096
YGL213C	0.727	0.181
YGL214W	0.665	0.208
YGL215W	0.600	0.202
YGL216W	0.655	0.209
YGL217C	0.663	0.186
YGL218W	0.515	0.237
YGL219C	0.487	0.211
YGL220W	1.036	0.529
YGL221C	0.671	0.271
YGL222C	0.657	0.269
YGL223C	NaN	NaN
YGL224C	0.615	0.210
YGL226C-A	0.722	0.237
YGL226W	0.699	0.201
YGL227W	0.614	0.131
YGL228W	0.635	0.199
YGL229C	0.661	0.213
YGL230C	0.674	0.234
YGL231C	0.691	0.271
YGL232W	0.549	0.170
YGL234W	0.839	0.565
YGL235W	0.669	0.215
YGL236C	0.672	0.238
YGL237C	0.792	0.322
YGL240W	0.877	0.363
YGL241W	0.685	0.210
YGL242C	0.647	0.177
YGL243W	0.620	0.181
YGL244W	0.589	0.119
YGL246C	0.826	0.219
YGL248W	0.666	0.219
YGL249W	0.637	0.198
YGL250W	0.677	0.279
YGL251C	0.688	0.273
YGL252C	0.750	0.573
YGL253W	0.769	0.394
YGL254W	0.668	0.230
YGL255W	0.678	0.208
YGL256W	0.678	0.191
YGL257C	0.631	0.167
YGL258W	0.681	0.182
YGL259W	0.711	0.219
YGL260W	0.638	0.209
YGL261C	0.660	0.250
YGL262W	0.691	0.272
YGL263W	0.691	0.260
YGR001C	0.687	0.316
YGR003W	0.684	0.276
YGR004W	0.884	0.255
YGR006W	0.518	0.314
YGR007W	0.734	0.190
YGR008C	0.714	0.187
YGR010W	0.697	0.159
YGR011W	0.733	0.235
YGR012W	0.672	0.223
YGR014W	0.671	0.246
YGR015C	0.732	0.276
YGR016W	0.797	0.353
YGR017W	0.757	0.399
YGR018C	0.729	0.318
YGR019W	0.876	0.319
YGR020C	0.430	0.209
YGR021W	0.740	0.217
YGR022C	0.672	0.175
YGR023W	0.619	0.164
YGR025W	0.689	0.204
YGR026W	0.658	0.188
YGR027C	0.631	0.250
YGR028W	0.536	0.140
YGR031W	0.654	0.274
YGR032W	0.570	0.172
YGR033C	0.683	0.278
YGR034W	0.615	0.257
YGR035C	0.716	0.264
YGR036C	0.743	0.366
YGR037C	0.978	0.479
YGR038W	0.525	0.167
YGR039W	0.609	0.214
YGR040W	0.506	0.191
YGR041W	0.644	0.255
YGR042W	0.658	0.282
YGR043C	0.529	0.259
YGR044C	0.679	0.300
YGR045C	0.485	0.252
YGR049W	0.641	0.288
YGR050C	0.451	0.208
YGR051C	0.600	0.246
YGR052W	0.647	0.240
YGR053C	0.693	0.253
YGR054W	0.648	0.199
YGR055W	0.539	0.228
YGR056W	0.464	0.232
YGR057C	0.385	0.138
YGR058W	0.604	0.220
YGR059W	0.671	0.320
YGR061C	0.769	0.475
YGR062C	0.853	0.344
YGR063C	0.949	0.226
YGR064W	0.711	0.406
YGR066C	0.630	0.268
YGR067C	0.620	0.267
YGR068C	0.593	0.218
YGR069W	0.734	0.276
YGR070W	0.713	0.276
YGR071C	0.484	0.200
YGR072W	0.496	0.156
YGR076C	0.621	0.227
YGR077C	0.640	0.289
YGR078C	0.416	0.121
YGR079W	0.628	0.332
YGR080W	0.611	0.321
YGR081C	0.622	0.249
YGR084C	0.658	0.228
YGR085C	0.643	0.199
YGR086C	0.508	0.140
YGR087C	0.689	0.260
YGR088W	0.733	0.277
YGR089W	0.283	0.176
YGR092W	0.487	0.104
YGR093W	0.601	0.159
YGR096W	0.619	0.223
YGR097W	0.636	0.239
YGR100W	0.559	0.242
YGR101W	0.717	0.304
YGR102C	0.906	0.670
YGR104C	0.700	0.488
YGR105W	0.196	0.067
YGR106C	0.527	0.133
YGR107W	0.648	0.336
YGR108W	0.651	0.253
YGR109C	0.590	0.209
YGR110W	0.536	0.172
YGR111W	0.480	0.211
YGR112W	0.855	0.269
YGR117C	0.605	0.185
YGR118W	0.614	0.202
YGR121C	0.560	0.182
YGR122C-A	0.646	0.169
YGR122W	0.815	0.373
YGR123C	0.726	0.282
YGR124W	0.728	0.252
YGR125W	0.639	0.217
YGR126W	0.719	0.224
YGR127W	0.641	0.223
YGR129W	0.310	0.099
YGR130C	0.679	0.281
YGR131W	0.701	0.280
YGR132C	0.707	0.292
YGR133W	0.735	0.263
YGR134W	0.708	0.266
YGR135W	0.609	0.142
YGR136W	0.689	0.245
YGR137W	0.746	0.279
YGR138C	0.571	0.144
YGR139W	0.615	0.224
YGR141W	0.554	0.142
YGR142W	0.669	0.216
YGR143W	0.622	0.141
YGR144W	0.644	0.230
YGR146C	0.683	0.286
YGR148C	0.658	0.262
YGR149W	0.637	0.234
YGR150C	0.858	0.295
YGR151C	0.750	0.269
YGR152C	0.730	0.248
YGR153W	0.610	0.212
YGR154C	0.636	0.230
YGR155W	0.652	0.690
YGR157W	0.540	0.219
YGR159C	0.733	0.237
YGR160W	0.666	0.206
YGR161C	0.683	0.199
YGR162W	0.425	0.178
YGR163W	0.699	0.197
YGR164W	0.673	0.202
YGR165W	0.868	0.247
YGR166W	0.755	0.285
YGR167W	0.054	0.030
YGR168C	0.706	0.229
YGR169C	0.657	0.211
YGR170W	0.450	0.144
YGR171C	0.831	0.274
YGR173W	0.705	0.293
YGR174C	0.729	0.297
YGR176W	0.587	0.231
YGR177C	0.674	0.238
YGR178C	0.873	0.235
YGR180C	0.364	0.085
YGR181W	0.719	0.224
YGR182C	0.682	0.182
YGR183C	0.720	0.283
YGR184C	0.749	0.323
YGR187C	0.714	0.269
YGR188C	0.391	0.101
YGR189C	0.668	0.262
YGR192C	0.721	0.253
YGR193C	0.570	0.247
YGR194C	0.691	0.297
YGR196C	0.689	0.275
YGR197C	0.702	0.331
YGR199W	0.695	0.225
YGR200C	0.516	0.205
YGR201C	0.691	0.198
YGR202C	0.594	0.146
YGR203W	0.614	0.213
YGR204W	0.753	0.437
YGR205W	0.687	0.435
YGR206W	0.480	0.138
YGR207C	0.683	0.272
YGR208W	0.852	0.565
YGR209C	0.771	0.344
YGR210C	0.668	0.227
YGR212W	0.631	0.265
YGR213C	0.676	0.301
YGR214W	0.626	0.199
YGR215W	0.913	0.230
YGR217W	0.705	0.216
YGR219W	0.787	0.231
YGR220C	0.628	0.123
YGR221C	0.825	0.359
YGR222W	0.762	0.219
YGR223C	0.691	0.213
YGR224W	0.494	0.177
YGR225W	0.482	0.206
YGR226C	0.627	0.229
YGR227W	0.824	0.559
YGR228W	0.703	0.292
YGR229C	0.717	0.214
YGR230W	0.766	0.421
YGR231C	0.816	0.266
YGR232W	0.563	0.228
YGR233C	0.465	0.194
YGR234W	0.538	0.191
YGR235C	0.577	0.161
YGR236C	0.728	0.312
YGR237C	0.643	0.198
YGR238C	0.513	0.164
YGR239C	0.684	0.250
YGR240C	0.875	0.355
YGR241C	0.483	0.198
YGR242W	0.594	0.203
YGR243W	0.706	0.240
YGR244C	0.525	0.195
YGR247W	0.538	0.207
YGR248W	0.598	0.213
YGR249W	0.733	0.258
YGR250C	0.580	0.227
YGR252W	0.455	0.181
YGR254W	0.591	0.142
YGR255C	0.698	0.149
YGR256W	0.557	0.179
YGR257C	0.844	0.234
YGR258C	0.607	0.139
YGR259C	0.512	0.125
YGR260W	0.533	0.164
YGR261C	0.732	0.205
YGR262C	0.133	0.070
YGR263C	0.644	0.245
YGR266W	0.643	0.242
YGR268C	0.691	0.340
YGR269W	0.682	0.267
YGR270W	0.655	0.274
YGR271W	0.531	0.165
YGR272C	0.319	0.041
YGR273C	0.592	0.221
YGR275W	0.669	0.271
YGR276C	0.570	0.222
YGR279C	0.754	0.331
YGR281W	0.651	0.257
YGR282C	0.662	0.298
YGR283C	0.601	0.263
YGR284C	0.605	0.434
YGR285C	0.659	0.443
YGR286C	0.711	0.276
YGR287C	0.675	0.232
YGR288W	0.713	0.283
YGR289C	0.656	0.212
YGR290W	0.707	0.239
YGR291C	0.626	0.178
YGR292W	0.718	0.222
YGR295C	0.691	0.286
YHL002W	0.528	0.104
YHL003C	0.466	0.202
YHL005C	0.831	0.424
YHL006C	0.481	0.212
YHL007C	0.489	0.210
YHL008C	0.524	0.197
YHL009C	0.574	0.228
YHL010C	0.617	0.269
YHL011C	0.694	0.320
YHL012W	0.556	0.255
YHL013C	0.565	0.250
YHL014C	0.611	0.208
YHL016C	0.503	0.193
YHL017W	0.534	0.177
YHL019C	0.531	0.189
YHL020C	0.395	0.114
YHL021C	0.555	0.193
YHL022C	0.440	0.171
YHL023C	0.629	0.279
YHL024W	0.629	0.247
YHL025W	0.260	0.103
YHL026C	0.579	0.178
YHL027W	0.903	0.428
YHL028W	0.567	0.256
YHL029C	0.597	0.249
YHL030W	0.589	0.274
YHL031C	0.176	0.123
YHL032C	0.571	0.191
YHL033C	0.556	0.117
YHL034C	0.327	0.147
YHL035C	0.617	0.178
YHL036W	0.518	0.291
YHL037C	0.481	0.218
YHL038C	0.930	0.432
YHL039W	0.661	0.229
YHL040C	0.557	0.244
YHL041W	0.507	0.223
YHL042W	0.538	0.240
YHL043W	0.529	0.233
YHL044W	0.475	0.204
YHL045W	0.521	0.210
YHL046C	0.469	0.176
YHL047C	0.558	0.169
YHR001W-A	0.571	0.163
YHR003C	0.624	0.235
YHR004C	0.798	0.492
YHR005C	0.634	0.214
YHR006W	0.670	0.271
YHR008C	0.600	0.189
YHR009C	0.607	0.248
YHR010W	0.764	0.257
YHR011W	0.831	0.254
YHR012W	0.456	0.131
YHR013C	0.525	0.067
YHR014W	0.560	0.176
YHR015W	0.527	0.189
YHR016C	0.708	0.277
YHR017W	0.734	0.247
YHR018C	0.678	0.227
YHR021C	0.406	0.074
YHR021W-A	0.696	0.257
YHR022C	0.566	0.173
YHR025W	0.719	0.219
YHR026W	0.412	0.157
YHR028C	0.571	0.201
YHR029C	0.655	0.197
YHR030C	0.276	0.081
YHR031C	0.375	0.105
YHR032W	0.678	0.243
YHR033W	0.556	0.159
YHR034C	0.352	0.105
YHR035W	0.593	0.191
YHR037W	0.595	0.193
YHR038W	0.674	0.245
YHR039C	0.623	0.211
YHR039C-B	0.407	0.198
YHR041C	0.822	0.305
YHR043C	0.643	0.208
YHR044C	0.592	0.177
YHR045W	0.752	0.251
YHR046C	0.594	0.210
YHR047C	0.526	0.123
YHR048W	0.631	0.164
YHR049C-A	0.646	0.208
