ORF      	strain background 	Gene Names                        	Cell Shape Morphologies                         
YBR126C  	homozygous diploid	TPS1, BYP1, CIF1, FDP1, GGS1      	ND                                              
YBR127C  	homozygous diploid	VMA2, ATPVS, VAT2                 	ND                                              
YBR128C  	homozygous diploid	APG14                             	ND                                              
YBR129C  	homozygous diploid	OPY1                              	ND                                              
YBR130C  	homozygous diploid	SHE3                              	ND                                              
YBR131W  	homozygous diploid	CCZ1                              	WT                                              
YBR133C  	homozygous diploid	HSL7                              	ND                                              
YBR134W  	homozygous diploid	                                  	ND                                              
YBR137W  	homozygous diploid	                                  	ND                                              
YBR138C  	homozygous diploid	HDR1                              	ND                                              
YBR139W  	homozygous diploid	                                  	ND                                              
YBR141C  	homozygous diploid	                                  	ND                                              
YBR144C  	homozygous diploid	                                  	ND                                              
YBR145W  	homozygous diploid	ADH5                              	ND                                              
YBR146W  	homozygous diploid	MRPS9                             	ND                                              
YBR147W  	homozygous diploid	                                  	ND                                              
YBR148W  	homozygous diploid	YSW1                              	ND                                              
YBR149W  	homozygous diploid	ARA1                              	ND                                              
YBR150C  	homozygous diploid	TBS1                              	WT                                              
YBR151W  	homozygous diploid	APD1                              	ND                                              
YBR156C  	homozygous diploid	SLI15                             	ND                                              
YBR157C  	homozygous diploid	ICS2                              	ND                                              
YBR158W  	homozygous diploid	CST13, ICS4                       	ND                                              
YBR159W  	homozygous diploid	                                  	ND                                              
YBR161W  	homozygous diploid	                                  	ND                                              
YBR162C  	homozygous diploid	TOS1                              	ND                                              
YBR162W-A	homozygous diploid	YSY6                              	ND                                              
YBR163W  	homozygous diploid	DEM1                              	ND                                              
YBR164C  	homozygous diploid	ARL1                              	ND                                              
YBR165W  	homozygous diploid	UBS1                              	ND                                              
YBR168W  	homozygous diploid	                                  	WT                                              
YBR169C  	homozygous diploid	SSE2                              	WT                                              
YBR170C  	homozygous diploid	NPL4                              	ND                                              
YBR171W  	homozygous diploid	SEC66, HSS1, SEC71                	Large 3;  Round 4                                
YBR172C  	homozygous diploid	SMY2                              	ND                                              
YBR173C  	homozygous diploid	UMP1                              	Elongate 2                                      
YBR174C  	homozygous diploid	                                  	WT                                              
YBR175W  	homozygous diploid	                                  	WT                                              
YBR176W  	homozygous diploid	ECM31                             	WT                                              
YBR177C  	homozygous diploid	EHT1                              	WT                                              
YBR178W  	homozygous diploid	                                  	WT                                              
YBR179C  	homozygous diploid	FZO1                              	WT                                              
YBR180W  	homozygous diploid	DTR1                              	WT                                              
YBR181C  	homozygous diploid	RPS6B, LPG18, RPS101, RPS102      	WT                                              
YBR182C  	homozygous diploid	SMP1                              	WT                                              
YBR183W  	homozygous diploid	YPC1                              	WT                                              
YBR184W  	homozygous diploid	                                  	WT                                              
YBR185C  	homozygous diploid	MBA1                              	WT                                              
YBR186W  	homozygous diploid	PCH2                              	WT                                              
YBR187W  	homozygous diploid	                                  	WT                                              
YBR188C  	homozygous diploid	NTC20                             	WT                                              
YBR189W  	homozygous diploid	RPS9B, RPS13A, SUP46              	WT                                              
YBR191W  	homozygous diploid	RPL21A, URP1                      	Small 3;  Round 3                                
YBR194W  	homozygous diploid	                                  	Elongate 3                                      
YBR195C  	homozygous diploid	MSI1, CAC3                        	Football 2                                      
YBR197C  	homozygous diploid	                                  	WT                                              
YBR199W  	homozygous diploid	KTR4                              	WT                                              
YBR200W  	homozygous diploid	BEM1, SRO1                        	Large 3                                         
YBR201W  	homozygous diploid	DER1                              	WT                                              
YBR203W  	homozygous diploid	                                  	WT                                              
YBR204C  	homozygous diploid	                                  	WT                                              
YBR205W  	homozygous diploid	KTR3                              	WT                                              
YBR206W  	homozygous diploid	                                  	WT                                              
YBR207W  	homozygous diploid	FTH1                              	WT                                              
YBR208C  	homozygous diploid	DUR1, 2, DUR80                    	WT                                              
YBR210W  	homozygous diploid	                                  	WT                                              
YBR212W  	homozygous diploid	NGR1                              	WT                                              
YBR213W  	homozygous diploid	MET8                              	WT                                              
YBR214W  	homozygous diploid	SDS24                             	WT                                              
YBR215W  	homozygous diploid	HPC2                              	Small 2                                         
YBR216C  	homozygous diploid	                                  	WT                                              
YBR217W  	homozygous diploid	APG12                             	WT                                              
YBR218C  	homozygous diploid	PYC2                              	Small 2                                         
YBR219C  	homozygous diploid	                                  	WT                                              
YBR220C  	homozygous diploid	                                  	WT                                              
YBR221C  	homozygous diploid	PDB1                              	WT                                              
YBR222C  	homozygous diploid	FAT2                              	WT                                              
YBR223C  	homozygous diploid	                                  	WT                                              
YBR224W  	homozygous diploid	                                  	WT                                              
YBR225W  	homozygous diploid	                                  	WT                                              
YBR226C  	homozygous diploid	                                  	WT                                              
YBR227C  	homozygous diploid	MCX1                              	WT                                              
YBR228W  	homozygous diploid	SLX1                              	WT                                              
YBR229C  	homozygous diploid	ROT2, GLS2                        	Round 3                                         
YBR230C  	homozygous diploid	                                  	WT                                              
YBR231C  	homozygous diploid	AOR1                              	Elongate 2                                      
YBR232C  	homozygous diploid	                                  	WT                                              
