ORF      	strain background 	Gene Names                        	Cell Shape Morphologies                         
YMR132C  	homozygous diploid	                                  	WT                                              
YMR133W  	homozygous diploid	REC114                            	WT                                              
YMR135C  	homozygous diploid	                                  	WT                                              
YMR135W-A	homozygous diploid	                                  	Round 2                                         
YMR136W  	homozygous diploid	GAT2                              	WT                                              
YMR137C  	homozygous diploid	PSO2                              	WT                                              
YMR138W  	homozygous diploid	CIN4, GTP1, UGX1                  	Small 3                                         
YMR139W  	homozygous diploid	RIM11, GSK3, MDS1                 	WT                                              
YMR140W  	homozygous diploid	                                  	WT                                              
YMR141C  	homozygous diploid	                                  	WT                                              
YMR142C  	homozygous diploid	RPL13B                            	Elongate 2                                      
YMR143W  	homozygous diploid	RPS16A                            	WT                                              
YMR144W  	homozygous diploid	                                  	WT                                              
YMR145C  	homozygous diploid	                                  	WT                                              
YMR147W  	homozygous diploid	                                  	WT                                              
YMR148W  	homozygous diploid	                                  	WT                                              
YMR150C  	homozygous diploid	IMP1, PET-TS2858                  	WT                                              
YMR151W  	homozygous diploid	YIM2                              	WT                                              
YMR152W  	homozygous diploid	YIM1                              	Large 3                                         
YMR153C-A	homozygous diploid	                                  	WT                                              
YMR153W  	homozygous diploid	NUP53                             	WT                                              
YMR154C  	homozygous diploid	RIM13, CPL1                       	WT                                              
YMR155W  	homozygous diploid	                                  	WT                                              
YMR156C  	homozygous diploid	TPP1                              	WT                                              
YMR157C  	homozygous diploid	                                  	WT                                              
YMR158C-B	homozygous diploid	                                  	WT                                              
YMR158W  	homozygous diploid	                                  	WT                                              
YMR158W-A	homozygous diploid	                                  	WT                                              
YMR159C  	homozygous diploid	APG16, SAP18                      	WT                                              
YMR160W  	homozygous diploid	                                  	WT                                              
YMR161W  	homozygous diploid	HLJ1                              	WT                                              
YMR162C  	homozygous diploid	                                  	ND                                              
YMR163C  	homozygous diploid	                                  	WT                                              
YMR164C  	homozygous diploid	MSS11                             	WT                                              
YMR165C  	homozygous diploid	SMP2                              	ND                                              
YMR166C  	homozygous diploid	                                  	WT                                              
YMR167W  	homozygous diploid	MLH1, PMS2                        	WT                                              
YMR169C  	homozygous diploid	ALD3                              	WT                                              
YMR170C  	homozygous diploid	ALD2                              	WT                                              
YMR171C  	homozygous diploid	                                  	WT                                              
YMR172C-A	homozygous diploid	                                  	WT                                              
YMR172W  	homozygous diploid	HOT1                              	WT                                              
YMR173W  	homozygous diploid	DDR48, FSP                        	WT                                              
YMR173W-A	homozygous diploid	                                  	WT                                              
YMR174C  	homozygous diploid	PAI3                              	WT                                              
YMR175W  	homozygous diploid	SIP18                             	WT                                              
YMR176W  	homozygous diploid	ECM5                              	WT                                              
YMR177W  	homozygous diploid	MMT1                              	WT                                              
YMR178W  	homozygous diploid	                                  	WT                                              
YMR179W  	homozygous diploid	SPT21                             	Elongate 3                                      
YMR180C  	homozygous diploid	CTL1                              	WT                                              
YMR181C  	homozygous diploid	                                  	WT                                              
YMR182C  	homozygous diploid	RGM1                              	WT                                              
YMR183C  	homozygous diploid	SSO2                              	WT                                              
YMR184W  	homozygous diploid	                                  	WT                                              
YMR186W  	homozygous diploid	HSC82                             	Football 2                                      
YMR187C  	homozygous diploid	                                  	WT                                              
YMR188C  	homozygous diploid	                                  	Small 2;  Round 2                                
YMR189W  	homozygous diploid	GCV2, GSD2                        	WT                                              
YMR190C  	homozygous diploid	SGS1                              	Large 2                                         
YMR191W  	homozygous diploid	                                  	WT                                              
YMR192W  	homozygous diploid	                                  	WT                                              
YMR193C-A	homozygous diploid	                                  	Small 3                                         
YMR193W  	homozygous diploid	MRPL24, YML14, YML24              	Small 3                                         
YMR194C-A	homozygous diploid	                                  	WT                                              
YMR194W  	homozygous diploid	RPL36A, RPL39B                    	WT                                              
YMR195W  	homozygous diploid	ICY1                              	WT                                              
YMR196W  	homozygous diploid	                                  	WT                                              
YMR198W  	homozygous diploid	CIK1                              	Large 2                                         
YMR199W  	homozygous diploid	CLN1                              	WT                                              
YMR201C  	homozygous diploid	RAD14                             	WT                                              
YMR202W  	homozygous diploid	ERG2                              	WT                                              
YMR204C  	homozygous diploid	                                  	WT                                              
YMR205C  	homozygous diploid	PFK2                              	WT                                              
YMR206W  	homozygous diploid	                                  	WT                                              
YMR207C  	homozygous diploid	HFA1                              	Football 2                                      
YMR209C  	homozygous diploid	                                  	WT                                              
YMR210W  	homozygous diploid	                                  	WT                                              
YMR214W  	homozygous diploid	SCJ1                              	WT                                              
YMR215W  	homozygous diploid	                                  	WT                                              
YMR216C  	homozygous diploid	SKY1                              	WT                                              
YMR217W  	homozygous diploid	GUA1                              	ND                                              
YMR219W  	homozygous diploid	ESC1                              	Large 3;  Elongate 2                             
YMR221C  	homozygous diploid	                                  	WT                                              
YMR222C  	homozygous diploid	                                  	WT                                              
YMR223W  	homozygous diploid	UBP8                              	WT                                              
YMR224C  	homozygous diploid	MRE11, RAD58, XRS4                	WT                                              
YMR225C  	homozygous diploid	MRPL44, YMR44                     	WT                                              
YMR226C  	homozygous diploid	                                  	WT                                              
YMR228W  	homozygous diploid	MTF1                              	WT                                              
YMR230W  	homozygous diploid	RPS10B                            	WT                                              
YMR232W  	homozygous diploid	FUS2                              	WT                                              
YMR233W  	homozygous diploid	                                  	WT                                              
YMR234W  	homozygous diploid	RNH1                              	WT                                              
YMR237W  	homozygous diploid	                                  	WT                                              
YMR238W  	homozygous diploid	DFG5                              	WT                                              
YMR241W  	homozygous diploid	YHM2                              	ND                                              
YMR242C  	homozygous diploid	RPL20A, RPL18A2                   	WT                                              
YMR243C  	homozygous diploid	ZRC1, OSR1                        	Large 2                                         
YMR244C-A	homozygous diploid	                                  	WT                                              
YMR244W  	homozygous diploid	                                  	WT                                              
YMR245W  	homozygous diploid	                                  	WT                                              
YMR246W  	homozygous diploid	FAA4                              	WT                                              
YMR247C  	homozygous diploid	                                  	WT                                              
YMR250W  	homozygous diploid	GAD1                              	WT                                              
YMR251W  	homozygous diploid	                                  	WT                                              
YMR251W-A	homozygous diploid	HOR7                              	WT                                              
YMR252C  	homozygous diploid	                                  	WT                                              
YMR253C  	homozygous diploid	                                  	WT                                              
YMR254C  	homozygous diploid	                                  	WT                                              
YMR255W  	homozygous diploid	GFD1                              	WT                                              
YMR256C  	homozygous diploid	COX7                              	WT                                              
YMR257C  	homozygous diploid	PET111                            	WT                                              
YMR258C  	homozygous diploid	                                  	WT                                              
YMR259C  	homozygous diploid	                                  	WT                                              
YMR261C  	homozygous diploid	TPS3                              	WT                                              
YMR262W  	homozygous diploid	                                  	WT                                              
YMR263W  	homozygous diploid	SAP30                             	WT                                              
YMR264W  	homozygous diploid	CUE1                              	Large 3                                         
YMR265C  	homozygous diploid	                                  	WT                                              
YMR266W  	homozygous diploid	RSN1                              	WT                                              
YMR267W  	homozygous diploid	PPA2, IPP2                        	Small 3;  Round 3                                
YMR269W  	homozygous diploid	                                  	Small 3                                         
YMR271C  	homozygous diploid	URA10                             	WT                                              
YMR272C  	homozygous diploid	SCS7, FAH1                        	Small 2                                         
YMR273C  	homozygous diploid	ZDS1, CES1, CKM1, NRC1            	WT                                              
YMR274C  	homozygous diploid	RCE1                              	WT                                              
YMR275C  	homozygous diploid	BUL1, DAG1, RDS1                  	WT                                              
YMR276W  	homozygous diploid	DSK2                              	WT                                              
YMR278W  	homozygous diploid	                                  	WT                                              
YMR279C  	homozygous diploid	                                  	WT                                              
YMR280C  	homozygous diploid	CAT8, DIL1, MSP8                  	WT                                              
YMR282C  	homozygous diploid	AEP2, ATP13                       	WT                                              
YMR283C  	homozygous diploid	RIT1                              	WT                                              
YMR284W  	homozygous diploid	YKU70, HDF1, NES24                	WT                                              
YMR285C  	homozygous diploid	NGL2                              	WT                                              
YMR286W  	homozygous diploid	MRPL33, YML33                     	Small 4                                         
YMR287C  	homozygous diploid	MSU1, DSS1                        	Small 3                                         
YMR289W  	homozygous diploid	                                  	WT                                              
YMR291W  	homozygous diploid	                                  	WT                                              
YMR292W  	homozygous diploid	GOT1                              	WT                                              
YMR293C  	homozygous diploid	                                  	Round 2; Small 2                                
YMR294W  	homozygous diploid	JNM1, INS1, PAC3                  	Elongate 2;  Large 2                             
YMR294W-A	homozygous diploid	                                  	WT                                              
YMR295C  	homozygous diploid	                                  	WT                                              
YMR297W  	homozygous diploid	PRC1, LBC1                        	WT                                              
YMR299C  	homozygous diploid	                                  	WT                                              
YMR300C  	homozygous diploid	ADE4                              	WT                                              
YMR302C  	homozygous diploid	PRP12, RNA12, YME2                	WT                                              
YMR303C  	homozygous diploid	ADH2, ADR2                        	WT                                              
YMR304C-A	homozygous diploid	                                  	WT                                              
YMR304W  	homozygous diploid	UBP15                             	Football 2                                      
YMR305C  	homozygous diploid	SCW10                             	WT                                              
YMR306C-A	homozygous diploid	                                  	WT                                              
YMR306W  	homozygous diploid	FKS3                              	WT                                              
YMR307W  	homozygous diploid	GAS1, CWH52, GGP1                 	Round 3;  Clumpy 3                               
YMR310C  	homozygous diploid	                                  	WT                                              
YMR311C  	homozygous diploid	GLC8                              	WT                                              
YMR312W  	homozygous diploid	                                  	Elongate 2                                      
YMR313C  	homozygous diploid	                                  	WT                                              
YMR315W  	homozygous diploid	                                  	WT                                              
YMR316C-A	homozygous diploid	                                  	WT                                              
YMR316C-B	homozygous diploid	                                  	WT                                              
YMR316W  	homozygous diploid	DIA1                              	WT                                              
YMR317W  	homozygous diploid	                                  	WT                                              
YMR318C  	homozygous diploid	                                  	WT                                              
YMR319C  	homozygous diploid	FET4                              	WT                                              
YMR320W  	homozygous diploid	                                  	WT                                              
YMR322C  	homozygous diploid	                                  	WT                                              
YMR326C  	homozygous diploid	                                  	WT                                              
YMR41W  	homozygous diploid	                                  	WT                                              
YNL001W  	homozygous diploid	DOM34                             	Football 3                                      
YNL003C  	homozygous diploid	PET8                              	Round 2                                         
YNL004W  	homozygous diploid	HRB1, TOM34                       	WT                                              
YNL005C  	homozygous diploid	MRP7                              	Small 3                                         
YNL009W  	homozygous diploid	IDP3                              	WT                                              
YNL010W  	homozygous diploid	                                  	WT                                              
YNL011C  	homozygous diploid	                                  	WT                                              
YNL012W  	homozygous diploid	SPO1                              	WT                                              
YNL013C  	homozygous diploid	                                  	Elongate 2                                      
YNL014W  	homozygous diploid	HEF3                              	WT                                              
YNL016W  	homozygous diploid	PUB1                              	WT                                              
YNL020C  	homozygous diploid	ARK1                              	WT                                              
YNL022C  	homozygous diploid	                                  	Large 3                                         
YNL023C  	homozygous diploid	FAP1                              	Football 2                                      
YNL024C  	homozygous diploid	                                  	WT                                              
YNL025C  	homozygous diploid	SSN8, GIG3, NUT9, SRB11, UME3     	Large 4                                         
YNL027W  	homozygous diploid	CRZ1, HAL8, TCN1                  	WT                                              
YNL031C  	homozygous diploid	HHT2                              	WT                                              
YNL032W  	homozygous diploid	SIW14                             	WT                                              
YNL034W  	homozygous diploid	                                  	WT                                              
YNL035C  	homozygous diploid	                                  	WT                                              
YNL041C  	homozygous diploid	                                  	WT                                              
YNL042W  	homozygous diploid	BOP3                              	ND                                              
YNL043C  	homozygous diploid	                                  	WT                                              
YNL044W  	homozygous diploid	YIP3                              	WT                                              
YNL045W  	homozygous diploid	                                  	WT                                              
YNL046W  	homozygous diploid	                                  	WT                                              
YNL047C  	homozygous diploid	                                  	WT                                              
YNL049C  	homozygous diploid	SFB2                              	Round 2                                         
YNL050C  	homozygous diploid	                                  	ND                                              
YNL051W  	homozygous diploid	                                  	WT                                              
YNL052W  	homozygous diploid	COX5A                             	WT                                              
YNL053W  	homozygous diploid	MSG5                              	WT                                              
YNL054W  	homozygous diploid	VAC7                              	WT                                              
YNL055C  	homozygous diploid	POR1, OMP2                        	WT                                              
YNL056W  	homozygous diploid	                                  	WT                                              
YNL057W  	homozygous diploid	                                  	WT                                              
YNL058C  	homozygous diploid	                                  	WT                                              
YNL059C  	homozygous diploid	ARP5                              	Elongate 4                                      
YNL063W  	homozygous diploid	                                  	WT                                              
YNL064C  	homozygous diploid	YDJ1, MAS5                        	WT                                              
YNL065W  	homozygous diploid	BZR1                              	WT                                              
YNL066W  	homozygous diploid	SUN4                              	WT                                              
YNL067W  	homozygous diploid	RPL9B                             	Small 2                                         
YNL068C  	homozygous diploid	FKH2                              	WT                                              
YNL069C  	homozygous diploid	RPL16B, RP23                      	WT                                              
YNL070W  	homozygous diploid	TOM7, MOM7, YOK22                 	Large 3                                         
YNL071W  	homozygous diploid	LAT1, ODP2, PDA2                  	WT                                              
YNL072W  	homozygous diploid	RNH35                             	WT                                              
YNL073W  	homozygous diploid	MSK1                              	WT                                              
YNL074C  	homozygous diploid	MLF3, YMK1                        	WT                                              
YNL076W  	homozygous diploid	MKS1                              	Small 2                                         
YNL077W  	homozygous diploid	                                  	WT                                              
YNL078W  	homozygous diploid	                                  	WT                                              
YNL079C  	homozygous diploid	TPM1                              	WT                                              
YNL080C  	homozygous diploid	                                  	WT                                              
YNL081C  	homozygous diploid	                                  	Small 3                                         
YNL082W  	homozygous diploid	PMS1                              	WT                                              
YNL083W  	homozygous diploid	                                  	WT                                              
YNL084C  	homozygous diploid	END3                              	Round 4                                         
YNL085W  	homozygous diploid	MKT1                              	WT                                              
YNL086W  	homozygous diploid	                                  	WT                                              
YNL087W  	homozygous diploid	                                  	Round 2                                         
YNL089C  	homozygous diploid	                                  	WT                                              
YNL090W  	homozygous diploid	RHO2                              	Clumpy 2;  Round 2                               
YNL091W  	homozygous diploid	                                  	WT                                              
YNL092W  	homozygous diploid	                                  	WT                                              
YNL093W  	homozygous diploid	YPT53                             	WT                                              
YNL094W  	homozygous diploid	                                  	WT                                              
YNL095C  	homozygous diploid	                                  	WT                                              
YNL096C  	homozygous diploid	RPS7B                             	WT                                              
YNL097C  	homozygous diploid	PHO23                             	Round 2                                         
YNL098C  	homozygous diploid	RAS2, CTN5, CYR3, GLC5            	WT                                              
YNL099C  	homozygous diploid	                                  	WT                                              
YNL100W  	homozygous diploid	                                  	WT                                              
YNL101W  	homozygous diploid	                                  	Round 2                                         
YNL104C  	homozygous diploid	LEU4                              	WT                                              
YNL105W  	homozygous diploid	                                  	WT                                              
YNL106C  	homozygous diploid	INP52, SJL2                       	WT                                              
YNL107W  	homozygous diploid	YAF9                              	Elongate 3                                      
YNL108C  	homozygous diploid	                                  	WT                                              
YNL109W  	homozygous diploid	                                  	Small 2                                         
YNL111C  	homozygous diploid	CYB5                              	WT                                              
YNL115C  	homozygous diploid	                                  	WT                                              
YNL116W  	homozygous diploid	                                  	WT                                              
YNL117W  	homozygous diploid	MLS1                              	WT                                              
YNL119W  	homozygous diploid	                                  	Large 2;  Elongate 3                             
YNL120C  	homozygous diploid	                                  	Football 3                                      
YNL121C  	homozygous diploid	TOM70, MAS70, MOM72, OMP1         	WT                                              
YNL122C  	homozygous diploid	                                  	WT                                              
YNL123W  	homozygous diploid	                                  	WT                                              
YNL125C  	homozygous diploid	ESBP6                             	WT                                              
YNL127W  	homozygous diploid	                                  	WT                                              
YNL128W  	homozygous diploid	TEP1                              	WT                                              
YNL129W  	homozygous diploid	                                  	WT                                              
YNL130C  	homozygous diploid	CPT1                              	WT                                              
YNL133C  	homozygous diploid	FYV6                              	WT                                              
YNL134C  	homozygous diploid	                                  	WT                                              
YNL135C  	homozygous diploid	FPR1, FKB1, RBP1                  	Elongate 2                                      
YNL136W  	homozygous diploid	                                  	WT                                              
YNL138W  	homozygous diploid	SRV2, CAP                         	WT                                              
YNL139C  	homozygous diploid	RLR1, THO2                        	Elongate 2                                      
YNL140C  	homozygous diploid	                                  	WT                                              
YNL141W  	homozygous diploid	AAH1                              	Football 2                                      
YNL142W  	homozygous diploid	MEP2                              	WT                                              
YNL143C  	homozygous diploid	                                  	WT                                              
YNL144C  	homozygous diploid	                                  	Small 2                                         
YNL145W  	homozygous diploid	MFA2                              	WT                                              
YNL146W  	homozygous diploid	                                  	WT                                              
YNL147W  	homozygous diploid	LSM7                              	Elongate 3; Round 3; Clumpy 2                    
YNL148C  	homozygous diploid	ALF1                              	Football 2                                      
YNL154C  	homozygous diploid	YCK2                              	WT                                              
YNL155W  	homozygous diploid	                                  	WT                                              
YNL157W  	homozygous diploid	                                  	WT                                              
YNL159C  	homozygous diploid	                                  	WT                                              
YNL160W  	homozygous diploid	YGP1                              	WT                                              
YNL166C  	homozygous diploid	BNI5                              	ND                                              
YNL168C  	homozygous diploid	                                  	WT                                              
YNL170W  	homozygous diploid	                                  	WT                                              
YNL173C  	homozygous diploid	MDG1                              	WT                                              
YNL175C  	homozygous diploid	NOP13                             	WT                                              
YNL176C  	homozygous diploid	                                  	WT                                              
YNL177C  	homozygous diploid	                                  	WT                                              
YNL179C  	homozygous diploid	                                  	WT                                              
YNL180C  	homozygous diploid	RHO5                              	ND                                              
YNL183C  	homozygous diploid	NPR1                              	WT                                              
YNL184C  	homozygous diploid	                                  	WT                                              
YNL187W  	homozygous diploid	                                  	WT                                              
YNL190W  	homozygous diploid	                                  	WT                                              
YNL191W  	homozygous diploid	                                  	WT                                              
YNL193W  	homozygous diploid	                                  	WT                                              
YNL194C  	homozygous diploid	                                  	WT                                              
YNL195C  	homozygous diploid	                                  	WT                                              
YNL196C  	homozygous diploid	SLZ1                              	WT                                              
YNL197C  	homozygous diploid	WHI3                              	WT                                              
YNL198C  	homozygous diploid	                                  	WT                                              
YNL199C  	homozygous diploid	GCR2                              	WT                                              
YNL200C  	homozygous diploid	                                  	WT                                              
YNL201C  	homozygous diploid	                                  	WT                                              
YNL202W  	homozygous diploid	SPS19, SPX19                      	WT                                              
YNL203C  	homozygous diploid	                                  	WT                                              
YNL204C  	homozygous diploid	SPS18, SPX18                      	WT                                              
YNL205C  	homozygous diploid	                                  	WT                                              
YNL206C  	homozygous diploid	RTT106                            	Elongate 2                                      
YNL211C  	homozygous diploid	                                  	WT                                              
YNL212W  	homozygous diploid	VID27                             	WT                                              
YNL213C  	homozygous diploid	                                  	ND                                              
YNL214W  	homozygous diploid	PEX17, PAS9                       	WT                                              
YNL215W  	homozygous diploid	IES2                              	WT                                              
YNL217W  	homozygous diploid	                                  	WT                                              
YNL218W  	homozygous diploid	                                  	ND                                              
YNL219C  	homozygous diploid	ALG9                              	WT                                              
YNL220W  	homozygous diploid	ADE12, BRA9                       	Round 3                                         
YNL224C  	homozygous diploid	                                  	WT                                              
YNL225C  	homozygous diploid	CNM67                             	Large 3                                         
YNL226W  	homozygous diploid	                                  	WT                                              
YNL227C  	homozygous diploid	                                  	WT                                              
YNL228W  	homozygous diploid	                                  	WT                                              
YNL229C  	homozygous diploid	URE2                              	WT                                              
YNL230C  	homozygous diploid	ELA1                              	WT                                              
YNL231C  	homozygous diploid	PDR16                             	WT                                              
YNL233W  	homozygous diploid	BNI4                              	WT                                              
YNL235C  	homozygous diploid	                                  	WT                                              
YNL236W  	homozygous diploid	SIN4, BEL2, GAL22, SDI3, SSF5     	Clumpy 4                                        
YNL237W  	homozygous diploid	YTP1                              	Large 2                                         
YNL239W  	homozygous diploid	LAP3, BLH1, GAL6, YCP1            	WT                                              
YNL241C  	homozygous diploid	ZWF1, MET19, POS10                	ND                                              
YNL242W  	homozygous diploid	SPO72                             	WT                                              
YNL243W  	homozygous diploid	SLA2, END4, MOP2                  	ND                                              
YNL246W  	homozygous diploid	                                  	Large 2; Football 3                              
YNL248C  	homozygous diploid	RPA49                             	WT                                              
YNL249C  	homozygous diploid	MPA43                             	WT                                              
YNL250W  	homozygous diploid	RAD50                             	Large 3;  Elongate 2                             
YNL252C  	homozygous diploid	MRPL17, YML30                     	WT                                              
YNL253W  	homozygous diploid	                                  	WT                                              
YNL254C  	homozygous diploid	                                  	WT                                              
YNL255C  	homozygous diploid	GIS2                              	WT                                              
YNL257C  	homozygous diploid	SIP3                              	WT                                              
YNL259C  	homozygous diploid	ATX1                              	WT                                              
YNL264C  	homozygous diploid	PDR17, ISS1                       	WT                                              
YNL265C  	homozygous diploid	IST1                              	WT                                              
YNL266W  	homozygous diploid	                                  	WT                                              
YNL268W  	homozygous diploid	LYP1                              	WT                                              
YNL269W  	homozygous diploid	                                  	WT                                              
YNL270C  	homozygous diploid	ALP1                              	WT                                              
YNL271C  	homozygous diploid	BNI1, PPF3                        	Round 3;  Clumpy 2                               
YNL273W  	homozygous diploid	TOF1                              	WT                                              
YNL274C  	homozygous diploid	                                  	WT                                              
YNL275W  	homozygous diploid	                                  	WT                                              
YNL276C  	homozygous diploid	                                  	ND                                              
YNL277W  	homozygous diploid	MET2                              	ND                                              
YNL278W  	homozygous diploid	CAF120                            	Round 2                                         
YNL279W  	homozygous diploid	PRM1                              	WT                                              
YNL280C  	homozygous diploid	ERG24                             	Round 3                                         
YNL281W  	homozygous diploid	HCH1                              	WT                                              
YNL283C  	homozygous diploid	WSC2                              	Large 3                                         
YNL284C  	homozygous diploid	MRPL10                            	Small 2                                         
YNL285W  	homozygous diploid	                                  	WT                                              
YNL286W  	homozygous diploid	CUS2                              	WT                                              
YNL288W  	homozygous diploid	CAF40                             	WT                                              
YNL289W  	homozygous diploid	PCL1, HCS26                       	WT                                              
YNL291C  	homozygous diploid	MID1                              	WT                                              
YNL292W  	homozygous diploid	PUS4                              	WT                                              
YNL293W  	homozygous diploid	MSB3, GYP3                        	WT                                              
YNL294C  	homozygous diploid	                                  	WT                                              
YNL295W  	homozygous diploid	                                  	WT                                              
YNL296W  	homozygous diploid	KRE25                             	WT                                              
YNL297C  	homozygous diploid	MON2                              	Elongate 3                                      
YNL298W  	homozygous diploid	CLA4, ERC10                       	ND                                              
YNL299W  	homozygous diploid	TRF5                              	WT                                              
YNL300W  	homozygous diploid	TOS6                              	WT                                              
YNL301C  	homozygous diploid	RPL18B, RP28B                     	WT                                              
YNL303W  	homozygous diploid	                                  	WT                                              
YNL304W  	homozygous diploid	YPT11                             	WT                                              
YNL305C  	homozygous diploid	                                  	WT                                              
YNL307C  	homozygous diploid	MCK1                              	Small 3                                         
YNL311C  	homozygous diploid	                                  	WT                                              
YNL314W  	homozygous diploid	DAL82                             	Large 3                                         
YNL315C  	homozygous diploid	ATP11                             	WT                                              
YNL316C  	homozygous diploid	PHA2                              	WT                                              
YNL318C  	homozygous diploid	HXT14                             	WT                                              
YNL319W  	homozygous diploid	                                  	WT                                              
YNL321W  	homozygous diploid	                                  	WT                                              
YNL322C  	homozygous diploid	KRE1                              	Round 2                                         
