orf	het | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002
YLR143W	-0.02497000000000016	0.004029999999999978	-0.01436000000000015	-0.007250000000000201	-0.016780000000000017	0.025949999999999918	0.013879999999999892	0.08105499999999988	-0.01541999999999999	0.048699999999999743	-0.020970000000000155	0.05235999999999996	-0.011970000000000036	0.06309999999999993	0.010809999999999986	0.05970999999999993
YLR144C	-0.0003900000000001125	0.010430000000000161	-0.0030200000000000227	-0.008460000000000023	-0.010149999999999881	-0.01497499999999985	0.03665000000000007	-0.014270000000000005	0.04763000000000006	0.010539999999999994	0.03861000000000003	0.017940000000000067	0.02849999999999997	-0.011094999999999855	0.03313999999999995	-0.01900999999999997
YLR145W	0.00688500000000003		0.009425000000000017		-0.016855000000000064		-0.04933500000000002		-0.007655000000000078		0.013535000000000075		0.0015649999999999276		-0.04540500000000014	
YLR146C	-0.002809999999999979	0.0021700000000000053	-0.018859999999999877	-0.016300000000000203	0.0049799999999999844	0.013044999999999973	0.04398000000000013	0.021504999999999885	-0.002429999999999932	0.0036299999999998	-0.02984999999999982	0.008469999999999978	-0.007344999999999935	0.017509999999999915	0.013170000000000126	0.010654999999999859
YLR147C	0.013800000000000034		-0.01937		-0.007959999999999967		-0.03471999999999997		-0.0018899999999998363		0.006369999999999987		0.0020450000000000745		-0.036270000000000024	
YLR148W	0.017095000000000082	0.0272150000000001	-0.003394999999999815	-0.1026649999999999	-0.010934999999999917	-0.15693500000000005	-0.016064999999999996	-0.21753	-0.008075000000000054	-0.28910500000000006	-0.014544999999999919	-0.266065	-0.005170000000000119	-0.15315500000000004	0.0009749999999999481	-0.15054
YLR149C	-0.009154999999999802	-0.00025999999999992696	-0.010234999999999772	-0.013289999999999913	-0.012744999999999784	-0.08643500000000004	-0.005514999999999937	-0.13195999999999997	-0.026764999999999928	-0.07078999999999991	-0.0061549999999999105	-0.18103999999999998	-0.009719999999999729	-0.11248999999999998	-0.0014849999999997365	-0.08506999999999998
YLR150W	0.010275000000000034	0.004110000000000058	0.01126499999999997	-0.009020000000000139	-0.01672499999999999	-0.03311500000000012	-0.02892499999999998	-0.060530000000000084	0.009034999999999904	-0.034700000000000064	-0.007284999999999986	-0.021460000000000035	0.008014999999999994	-0.03613999999999995	-0.008685000000000054	-0.02734000000000003
YLR151C	0.012739999999999974	0.017434999999999867	-0.005509999999999904	-0.011735000000000051	-0.03295999999999999	-0.015205000000000135	-0.023849999999999927	-0.008895000000000097	0.00495000000000001	0.0037650000000000183	-0.0027800000000000047	0.014915000000000012	0.0018200000000001548	-0.002035000000000009	-0.019849999999999923	-0.00580500000000006
YLR152C	-0.004395000000000149	0.01721000000000017	-0.02128500000000022	-0.01401999999999981	-0.025715000000000154	0.016900000000000137	-0.009645000000000126	0.030535000000000423	-0.012105000000000032	0.011210000000000164	-0.015355000000000119	0.01949000000000023	-0.00688500000000003	0.0228900000000003	-0.011435000000000084	0.0214850000000002
