ORF	hom | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002
YAR030C	0.011	0.025	0.025	0.032	0.037	0.002	0.014	0.026	-0.016	-0.001	0.034	0.048	0.002	-0.001	0.009	0.021
YAR031W	0.021	0.037	0.022	0.031	0.036	0.018	0.030	0.031	-0.009	0.005	0.034	0.047	0.005	0.012	0.011	0.029
YAR035W	0.011	0.011	0.018	0.026	0.036	0.002	0.023	0.021	-0.005	-0.001	0.036	0.035	0.002	0.001	0.004	0.019
YAR037W	0.003	0.015	0.025	0.034	0.033	-0.005	0.018	0.032	-0.004	0.007	0.032	0.064	-0.001	0.008	-0.004	0.043
YAR040C	0.011	0.008	0.008	-0.005	0.021	-0.003	0.018	0.001	0.010	0.011	0.014	-0.006	0.012	0.012	0.019	-0.023
YAR042W	0.025	0.029	0.006	-0.006	0.024	0.019	0.026	0.002	0.020	0.021	-0.003	-0.047	0.018	0.022	0.036	-0.055
YAR043C	-0.017	-0.015	0.031	0.061	0.056	0.010	0.047	0.059	0.021	-0.006	0.004	-0.027	0.006	0.011	-0.005	-0.034
YAR044W	0.009	-0.018	0.002	-0.024	0.009	-0.001	0.022	-0.007	0.033	0.024	-0.008	-0.073	0.016	0.024	0.035	-0.061
YAR047C	-0.006	-0.008	0.017	0.010	0.015	-0.006	0.009	0.016	0.018	-0.003	-0.012	0.018	0.023	0.010	-0.000	0.026
YAR050W	-0.007	0.000	0.016	0.034	0.012	0.001	-0.009	0.024	-0.009	-0.004	0.001	0.042	0.009	0.005	-0.003	0.056
YBL001C	-0.001	-0.005	-0.001	0.001	0.007	-0.002	0.006	-0.002	-0.022	-0.032	-0.137	-0.264	-0.177	-0.250	-0.372	-0.212
YBL002W	-0.006	0.008	0.018	0.048	0.021	0.020	0.028	0.034	0.002	-0.080	-0.052	-0.339	-0.308	-0.561	-0.639	-0.293
YBL003C	-0.005	-0.008	-0.002	0.001	0.002	0.006	0.014	0.005	0.013	-0.114	-0.038	-0.172	-0.174	-0.370	-0.440	-0.139
YBL004W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.011	-0.003	0.013	0.042	-0.008	-0.011	-0.010	0.054
YBL005W	-0.006	-0.002	0.005	0.017	0.009	0.008	0.015	0.012	-0.037	-0.040	-0.042	-0.165	-0.170	-0.273	-0.325	-0.153
YBL006C	-0.004	0.004	-0.004	-0.034	0.040	0.055	0.048	0.060	-0.019	0.027	0.014	0.040	-0.021	-0.007	0.006	0.047
YBL007C	0.029	-0.050	-0.109	-0.277	-0.252	-0.378	-0.385	-0.235	0.019	0.035	-0.014	0.007	0.040	0.051	0.021	0.051
YBL008W	0.007	0.001	0.007	0.002	-0.019	-0.015	-0.006	0.014	-0.000	0.019	0.005	0.032	-0.026	-0.007	-0.005	0.036
YBL009W	-0.001	-0.015	-0.006	-0.013	-0.009	0.001	0.011	-0.014	0.006	-0.008	-0.019	-0.015	-0.014	-0.002	-0.019	-0.008
