ORF	hom | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002
YOR231W	0.013	0.006	0.019	0.023	0.006	0.015	0.035	0.024	-0.004	-0.039	0.031	0.054	-0.005	-0.014	-0.044	0.050
YOR232W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.013	-0.028	-0.013	-0.009	-0.012	-0.024	-0.020	-0.021
YOR233W	-0.005	-0.017	0.009	0.006	0.009	0.005	0.007	-0.000	-0.009	-0.006	0.007	0.027	-0.007	-0.021	-0.022	0.013
YOR234C	0.024	0.017	0.046	0.098	0.073	0.092	0.089	0.096	0.035	-0.001	-0.033	-0.019	-0.007	0.014	-0.002	-0.010
YOR235W	-0.004	-0.038	-0.012	0.005	0.018	-0.015	-0.027	0.012	0.034	-0.009	0.003	0.006	-0.009	0.002	-0.039	0.038
YOR236W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.025	-0.010	0.020	0.060	-0.002	-0.010	-0.030	0.052
YOR237W	-0.016	-0.013	0.018	0.030	0.002	0.002	0.011	0.030	-0.034	0.001	0.031	0.140	0.002	-0.004	-0.047	0.124
YOR238W	0.007	0.001	0.032	0.021	0.020	-0.001	0.014	0.008	-0.003	-0.044	0.027	0.029	-0.004	-0.029	-0.054	0.022
YOR239W	-0.009	-0.006	0.032	0.053	0.024	0.011	0.018	0.039	-0.035	-0.024	0.017	0.066	0.001	-0.019	-0.037	0.079
YOR240W	-0.011	-0.026	0.015	0.017	0.010	-0.001	0.001	0.010	-0.005	-0.020	0.019	0.029	-0.004	-0.027	-0.043	0.024
YOR241W	-0.177	-0.071	-0.003	-0.256	-0.153	-0.224	-0.284	-0.227	-0.042	-0.024	0.039	0.114	0.017	0.028	0.012	0.125
YOR242C	-0.004	-0.011	0.013	0.018	0.004	0.005	0.003	0.016	-0.022	0.003	0.021	0.040	-0.014	-0.021	-0.014	0.033
YOR243C	-0.014	-0.012	0.021	0.036	0.012	0.001	0.011	0.019	-0.022	-0.007	0.032	0.076	0.000	-0.001	-0.016	0.066
YOR244W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002	0.002	0.011	0.002	0.007	-0.003	0.010	-0.000
YOR245C	-0.014	-0.016	0.018	0.039	0.004	0.000	0.012	0.027	-0.013	-0.005	0.036	0.085	-0.002	0.006	-0.025	0.078
YOR246C	-0.006	-0.011	0.017	0.026	-0.016	0.002	0.007	-0.009	-0.001	0.000	0.030	0.062	-0.009	-0.006	-0.030	0.043
YOR247W	0.002	-0.007	0.017	0.040	-0.010	0.004	0.014	0.002	-0.010	-0.012	0.011	0.048	-0.036	-0.018	-0.030	0.038
YOR248W	-0.001	-0.002	0.015	0.032	0.000	0.002	0.010	0.016	0.005	-0.024	0.021	0.017	-0.019	-0.007	-0.049	0.008
YOR249C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.036	0.005	0.064	0.128	0.009	0.005	-0.027	0.118
YOR250C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.051	-0.002	0.064	0.139	0.031	0.020	0.001	0.129
YOR251C	0.006	0.001	0.011	0.042	0.008	-0.002	-0.003	0.034	0.018	0.008	0.014	0.032	-0.003	0.015	0.005	0.022
YOR252W	-0.005	-0.018	0.026	0.040	0.022	0.021	0.020	0.033	-0.025	-0.017	0.036	0.083	-0.009	-0.004	-0.020	0.065
YOR253W	-0.009	0.001	0.036	0.069	0.034	0.013	0.020	0.037	0.005	-0.008	0.058	0.102	0.019	0.021	-0.027	0.098
YOR254C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.011	-0.009	0.030	0.025	0.006	0.029	-0.011	0.023
YOR255W	-0.005	-0.011	0.029	0.030	0.020	0.011	0.018	0.021	-0.026	0.005	0.041	0.094	0.012	0.049	0.019	0.089
YOR256C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.022	-0.016	0.026	0.041	-0.006	-0.007	-0.026	0.041
YOR257W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.027	-0.021	0.049	0.076	0.010	0.005	-0.015	0.081
YOR258W	-0.004	-0.003	0.045	0.076	0.066	0.079	0.076	0.089	-0.022	0.066	NaN	NaN	0.011	0.127	0.056	NaN
YOR259C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.012	0.001	0.033	0.033	0.002	0.002	-0.019	0.040
YOR260W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.038	-0.004	0.049	0.114	0.008	0.016	-0.010	0.102
YOR261C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.021	-0.036	0.019	0.039	0.001	0.002	-0.017	0.037
YOR262W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.017	-0.022	0.049	0.086	-0.010	-0.006	-0.031	0.091
YOR263C	-0.002	-0.009	0.019	0.024	0.002	0.002	-0.001	0.011	-0.032	-0.000	0.043	0.105	0.023	0.038	0.014	0.091
YOR264W	-0.005	0.007	0.019	0.033	0.014	0.011	0.014	0.014	-0.027	-0.018	0.043	0.082	-0.009	0.020	-0.023	0.058
YOR265W	-0.009	-0.025	0.021	0.022	0.044	0.014	0.025	0.020	0.000	-0.019	0.028	0.126	0.035	0.062	0.005	0.097
YOR266W	-0.000	-0.004	0.009	0.003	0.014	-0.013	-0.014	-0.006	0.015	-0.014	0.036	0.041	0.009	0.015	-0.002	0.040
YOR267C	-0.011	-0.002	0.021	0.037	0.015	0.010	0.011	0.032	-0.015	0.002	0.043	0.094	-0.008	0.021	-0.004	0.092
YOR268C	-0.001	0.007	0.009	0.007	0.017	0.019	0.021	0.007	0.005	-0.006	0.011	0.010	0.002	0.003	-0.004	0.017
YOR269W	-0.011	0.004	0.020	0.032	0.017	0.005	0.009	0.027	-0.014	0.001	0.019	0.074	0.002	0.039	0.036	0.060
YOR270C	0.009	-0.005	-0.099	-0.100	-0.084	-0.115	-0.087	0.028	-0.041	-0.019	0.067	0.134	0.013	-0.000	-0.037	0.135
YOR271C	-0.002	0.008	0.015	0.023	0.019	0.010	0.010	0.022	0.002	-0.003	0.021	0.028	0.002	0.013	0.002	0.037
YOR272W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.012	-0.001	0.034	0.062	0.006	0.011	-0.001	0.074
YOR273C	-0.016	-0.008	0.012	0.033	0.014	0.003	0.004	0.030	0.000	-0.024	0.027	0.061	0.008	0.006	-0.017	0.070
YOR274W	-0.009	-0.013	0.010	-0.010	-0.018	-0.034	-0.034	-0.012	0.006	-0.020	0.008	-0.000	0.008	-0.006	-0.014	0.010
YOR275C	-0.016	-0.011	-0.008	-0.016	-0.012	-0.035	-0.040	0.010	0.001	-0.019	0.002	-0.014	-0.004	-0.014	-0.015	-0.014
YOR276W	-0.005	-0.017	0.001	-0.017	0.001	-0.011	-0.012	-0.022	-0.000	-0.019	0.012	-0.012	-0.001	-0.023	-0.009	0.004
YOR277C	-0.008	-0.020	0.003	-0.014	-0.010	-0.033	-0.032	-0.017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YOR278W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.006	-0.047	-0.013	-0.074	0.046	0.042	0.005	0.063
YOR279C	-0.014	-0.028	0.013	0.026	0.022	-0.022	-0.020	0.011	-0.027	0.005	0.041	0.074	-0.004	0.004	-0.022	0.075
YOR280C	-0.023	-0.006	0.012	0.043	0.019	0.009	0.017	0.031	0.015	0.007	-0.005	0.024	-0.018	0.011	-0.019	0.021
YOR282W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.006	-0.020	0.013	-0.013	-0.004	-0.019	-0.026	-0.002
YOR283W	-0.030	-0.024	0.023	0.036	0.021	-0.012	-0.005	0.025	-0.018	-0.008	0.044	0.078	-0.002	0.006	-0.033	0.095
YOR284W	-0.017	-0.020	0.019	0.025	0.015	0.003	0.004	0.029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YOR285W	-0.004	0.001	0.027	0.057	0.022	0.004	0.003	0.034	-0.028	-0.031	0.036	0.063	-0.000	-0.006	-0.024	0.053
YOR286W	0.009	-0.008	-0.008	-0.030	-0.005	-0.042	-0.036	-0.018	-0.033	-0.015	0.024	0.049	-0.004	-0.012	-0.027	0.038
YOR287C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.002	0.008	0.044	0.061	0.034	0.045	0.014	-0.068
YOR288C	0.004	-0.028	-0.007	-0.006	0.002	-0.007	-0.010	-0.004	-0.011	-0.036	0.012	0.029	-0.009	-0.015	-0.054	0.020
YOR289W	0.000	0.024	0.019	0.034	0.025	0.012	0.015	0.031	-0.013	-0.010	0.035	0.071	-0.000	-0.004	-0.004	0.057
YOR290C	0.011	-0.050	-0.192	-0.263	-0.279	-0.241	-0.354	-0.085	0.001	0.013	0.017	0.012	0.006	0.010	0.011	0.006
YOR291W	0.008	-0.010	0.000	-0.025	-0.002	0.003	0.009	-0.013	0.023	0.009	-0.005	-0.029	0.012	0.014	0.018	-0.030
YOR292C	0.002	-0.013	-0.002	-0.030	-0.000	0.014	0.029	-0.013	0.043	-0.015	-0.005	0.092	0.053	0.053	0.033	0.021
YOR293W	0.025	-0.020	0.075	0.215	0.219	0.182	0.200	0.215	0.003	-0.071	0.060	0.139	0.102	0.112	0.042	0.137
YOR294W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.042	-0.014	0.032	0.082	0.052	0.045	0.027	0.060
YOR295W	0.005	0.006	0.092	0.246	0.256	0.254	0.257	0.269	0.006	0.002	0.010	-0.016	0.004	-0.002	0.006	-0.022
YOR296W	-0.001	-0.001	0.020	0.032	0.020	-0.001	0.010	0.025	-0.005	-0.007	0.028	0.056	0.003	0.012	-0.010	0.054
YOR297C	0.017	0.034	0.010	0.009	0.026	0.017	0.018	0.017	-0.009	0.002	0.029	0.023	0.004	-0.003	0.007	0.018
YOR298C-A	-0.012	-0.002	-0.016	-0.006	-0.021	0.007	-0.012	-0.016	-0.005	0.007	-0.034	-0.014	-0.008	-0.002	0.015	-0.003
YOR298W	0.006	0.005	0.021	0.024	0.027	0.010	0.020	0.021	-0.009	-0.030	0.046	0.083	0.001	0.010	-0.026	0.065
YOR299W	-0.003	-0.007	0.016	0.008	0.018	-0.002	0.009	0.014	-0.002	-0.009	0.032	0.044	-0.000	0.004	-0.018	0.040
YOR300W	-0.024	-0.002	0.033	0.051	0.024	-0.019	0.001	0.037	-0.046	0.008	0.056	0.101	-0.011	-0.000	-0.020	0.099
YOR301W	-0.004	0.002	0.023	0.041	0.034	0.020	0.027	0.035	-0.020	0.006	0.043	0.057	-0.004	0.000	-0.008	0.047
YOR302W	0.005	0.007	-0.016	-0.022	-0.025	-0.007	-0.011	-0.030	0.006	0.001	-0.023	-0.052	-0.010	-0.016	0.008	-0.050
YOR303W	-0.014	0.001	-0.037	-0.039	-0.040	0.015	-0.012	-0.035	0.013	0.002	-0.014	-0.025	-0.009	-0.010	0.001	-0.016
YOR304C-A	0.016	0.008	0.005	-0.012	0.001	0.004	0.014	-0.008	0.016	-0.004	0.009	-0.029	-0.007	-0.003	-0.001	-0.020
YOR304W	0.009	0.000	0.006	-0.025	0.001	-0.016	-0.013	0.010	0.007	-0.017	0.017	0.017	0.002	0.006	-0.015	0.021
YOR305W	0.051	0.004	-0.090	-0.316	-0.277	-0.304	-0.360	-0.283	-0.019	-0.013	0.036	0.019	0.005	-0.013	-0.020	0.045
YOR306C	0.014	0.023	0.005	0.004	0.017	0.019	0.019	0.005	0.013	0.009	0.028	-0.030	0.000	0.007	-0.001	-0.028
YOR307C	0.013	0.013	0.011	-0.003	0.012	0.015	0.023	0.006	0.016	-0.003	0.009	-0.011	0.006	0.008	0.001	0.000
YOR308C	-0.004	0.009	0.089	0.107	0.074	0.076	0.087	0.090	0.012	-0.005	0.021	0.025	0.000	0.022	-0.001	0.031
YOR309C	-0.013	-0.004	0.088	0.131	0.107	0.097	0.115	0.132	-0.016	-0.012	0.037	0.034	-0.016	0.000	-0.021	0.039
YOR310C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.017	-0.006	0.008	-0.007	0.011	0.030	0.013	0.003
YOR311C	-0.001	-0.004	0.002	-0.010	-0.007	-0.006	0.004	0.004	0.019	-0.010	0.013	-0.011	-0.007	0.004	-0.021	0.000
YOR312C	-0.003	-0.037	0.017	0.087	0.091	0.083	0.093	0.120	-0.036	-0.012	0.038	0.111	0.068	0.056	0.049	0.138
YOR313C	0.003	-0.009	-0.010	-0.031	-0.011	-0.013	-0.008	-0.021	0.007	-0.014	0.000	-0.035	-0.011	-0.016	-0.014	-0.040
YOR314W	0.006	-0.006	0.011	0.006	0.014	0.004	0.020	0.017	0.003	0.006	0.007	-0.050	0.005	-0.013	0.004	-0.022
YOR315W	0.000	-0.002	0.006	-0.004	0.003	-0.005	0.010	-0.001	0.010	-0.006	0.026	0.016	-0.004	-0.002	-0.017	0.032
YOR316C	0.018	0.015	0.002	0.003	0.000	0.012	0.024	0.005	-0.000	0.005	0.021	-0.001	-0.001	-0.005	0.008	0.014
YOR317W	0.011	0.010	0.002	-0.006	0.002	0.004	0.010	0.002	0.006	-0.018	0.017	-0.027	-0.003	0.007	-0.015	-0.003
YOR318C	0.002	-0.006	0.011	0.017	0.002	0.001	0.013	0.022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YOR319W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.004	0.008	0.022	0.026	-0.000	0.011	-0.002	0.034
YOR320C	0.005	0.006	-0.006	-0.025	0.001	0.008	0.011	-0.012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YOR321W	0.001	0.005	0.014	0.013	0.014	0.003	0.011	0.021	-0.009	0.017	0.037	0.105	0.015	0.062	0.026	0.105
YOR322C	0.007	0.004	-0.017	-0.038	-0.011	-0.020	-0.010	-0.041	0.006	0.007	0.006	-0.025	-0.006	0.005	0.004	-0.016
YOR323C	-0.008	-0.000	0.000	0.022	0.022	-0.014	0.002	0.018	-0.021	-0.006	0.031	0.026	-0.005	-0.022	-0.005	0.032
YOR324C	0.008	0.015	0.013	0.005	0.019	0.015	0.026	0.012	-0.001	-0.000	0.016	-0.008	-0.005	0.004	-0.009	0.001
YOR325W	0.004	0.009	0.011	-0.001	-0.001	-0.003	0.010	0.014	0.004	-0.003	0.029	0.004	-0.005	0.009	-0.013	0.025
YOR326W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.007	0.000	0.015	0.019	-0.003	-0.001	0.004	0.017
YOR327C	0.008	0.025	0.037	0.031	0.052	0.047	0.052	0.037	0.016	-0.008	-0.008	-0.086	0.007	-0.004	0.010	-0.059
YOR328W	-0.006	-0.005	0.016	0.016	0.018	-0.003	0.008	0.019	-0.011	-0.010	0.029	0.037	-0.005	0.005	-0.012	0.041
YOR329C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	0.000	0.024	0.030	-0.006	0.013	0.000	0.033
YOR330C	0.027	-0.019	-0.073	-0.486	-0.407	-0.492	-0.509	-0.396	0.020	0.001	0.003	-0.031	0.004	0.011	0.005	-0.027
YOR331C	-0.074	-0.166	-0.058	-0.203	-0.115	-0.137	-0.208	-0.146	0.017	-0.005	0.020	0.007	-0.021	0.015	-0.028	0.022
YOR332W	0.012	-0.029	-0.029	-0.293	-0.251	-0.362	-0.467	-0.239	-0.011	-0.024	0.035	0.030	-0.001	0.001	-0.016	0.029
YOR333C	0.015	0.008	-0.009	-0.293	-0.274	-0.448	-0.441	-0.270	-0.012	-0.014	0.020	0.017	-0.001	0.002	-0.005	0.014
YOR334W	0.000	0.010	0.023	-0.259	-0.174	-0.377	-0.381	-0.168	-0.024	-0.001	0.038	0.062	-0.005	0.007	-0.015	0.049
YOR335C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.012	-0.020	0.030	0.032	0.001	0.005	-0.011	0.032
YOR336W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.001	-0.008	0.041	0.067	0.016	0.025	-0.011	0.053
YOR337W	-0.004	-0.024	0.013	0.022	0.024	-0.008	0.003	0.023	-0.036	-0.040	0.060	0.117	0.019	0.011	-0.045	0.120
YOR338W	0.024	-0.004	0.007	-0.021	-0.005	0.006	0.018	-0.007	0.024	0.028	0.001	-0.071	0.018	0.019	0.040	-0.058
YOR339C	-0.003	-0.012	-0.066	-0.180	-0.108	-0.111	-0.170	-0.119	-0.002	-0.002	0.015	-0.012	0.004	-0.005	0.008	-0.021
YOR340C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000	0.012	0.013	0.009	0.002	0.008	0.011	0.000
YOR341W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.038	-0.022	0.049	0.089	-0.009	-0.018	-0.034	0.071
YOR342C	-0.011	-0.044	0.033	0.021	0.014	-0.037	-0.010	0.009	0.002	-0.054	0.032	0.034	0.004	-0.020	-0.043	0.037
YOR343C	0.007	0.016	0.025	0.033	0.032	0.008	0.011	0.028	-0.024	-0.008	0.025	0.032	-0.005	-0.014	-0.014	0.027
YOR344C	-0.005	0.003	0.009	0.040	0.015	-0.000	0.018	0.023	-0.007	-0.004	0.022	0.026	0.004	0.001	0.007	0.009
YOR345C	0.001	0.009	0.024	0.031	0.017	-0.003	0.004	0.023	-0.023	-0.011	0.038	0.053	-0.009	-0.007	-0.024	0.041
YOR346W	0.011	0.010	0.017	0.027	0.023	0.005	0.009	0.018	-0.016	-0.001	0.026	0.051	0.000	-0.007	-0.001	0.031
YOR347C	0.010	0.016	0.021	0.031	0.031	0.010	0.018	0.020	0.058	-0.014	0.010	0.058	0.015	0.049	-0.027	0.031
YOR348C	0.002	-0.005	0.008	0.012	0.015	-0.004	0.008	0.002	0.020	-0.013	0.023	0.015	0.012	0.003	-0.002	-0.007
YOR349W	0.014	-0.009	0.028	0.027	0.094	0.087	0.094	0.077	0.017	-0.009	0.009	-0.006	0.010	-0.001	-0.014	-0.012
YOR350C	0.019	0.017	-0.036	-0.360	-0.313	-0.416	-0.465	-0.311	0.007	-0.007	0.018	0.040	0.000	-0.004	-0.004	0.021
YOR351C	0.003	-0.011	0.001	-0.017	0.007	-0.008	-0.000	-0.015	0.010	-0.006	0.007	0.002	-0.009	-0.004	-0.010	-0.018
YOR352W	-0.011	-0.010	0.032	0.053	0.040	-0.000	0.006	0.038	0.017	0.013	0.000	-0.034	-0.004	-0.001	0.005	-0.029
YOR353C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.033	0.104	-0.030	-0.026	0.067	0.156	0.080	-0.054
YOR354C	0.008	-0.006	-0.008	-0.114	-0.103	-0.191	-0.187	-0.136	-0.022	-0.025	0.057	0.096	-0.009	0.000	-0.059	0.091
YOR355W	-0.001	0.001	0.016	0.030	0.024	-0.010	-0.003	0.026	0.007	0.006	0.015	0.013	0.006	-0.000	-0.005	0.009
YOR356W	0.006	0.006	0.019	0.027	0.019	-0.002	0.011	0.026	-0.008	-0.021	0.029	0.052	0.006	0.002	-0.011	0.032
YOR357C	0.012	0.009	0.019	0.043	0.026	0.006	0.015	0.033	-0.023	-0.002	0.031	0.081	0.009	0.008	-0.001	0.050
YOR358W	0.017	-0.002	-0.031	-0.198	-0.192	-0.229	-0.229	-0.174	0.003	-0.030	0.009	0.021	-0.002	-0.005	-0.029	0.007
YOR359W	-0.002	-0.009	0.010	0.024	0.041	0.041	0.046	0.033	0.008	-0.017	0.002	-0.018	0.005	0.005	-0.000	-0.040
YOR360C	0.026	0.009	-0.027	-0.246	-0.060	-0.086	-0.139	-0.064	-0.014	-0.023	0.019	0.023	-0.013	0.015	-0.032	0.036
YOR361C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.007	-0.052	0.038	0.050	-0.008	0.019	-0.056	0.029
YOR362C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.007	0.003	0.015	0.064	0.034	0.062	0.021	0.064
YOR363C	0.005	-0.015	0.011	0.005	0.001	-0.007	0.009	0.013	-0.016	-0.026	0.040	0.079	0.001	-0.004	-0.039	0.070
YOR364W	0.011	0.002	0.005	0.000	0.007	-0.020	-0.014	-0.005	0.016	-0.012	-0.014	-0.019	0.016	0.012	0.022	-0.021
YOR365C	0.008	0.005	0.016	0.018	0.017	0.007	0.015	0.015	-0.001	0.009	0.016	-0.002	-0.003	-0.004	0.005	0.007
YOR366W	0.005	-0.038	-0.009	-0.033	-0.029	-0.047	-0.022	-0.019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YOR367W	0.009	-0.002	0.009	0.016	0.011	0.008	0.020	0.017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YOR368W	-0.003	-0.006	0.010	0.015	0.018	-0.006	0.018	0.013	-0.012	-0.003	0.036	0.030	-0.004	-0.010	-0.015	0.036
YOR369C	0.021	-0.006	0.014	0.058	0.053	0.056	0.062	0.055	0.015	-0.006	0.014	0.065	0.046	0.054	0.047	0.054
YOR370C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.009	-0.013	0.022	0.023	0.000	-0.002	-0.019	0.015
YOR371C	0.022	0.005	-0.015	-0.063	0.004	-0.028	0.005	-0.035	0.028	0.004	-0.010	-0.024	-0.001	0.002	-0.007	-0.029
YOR372C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.007	-0.031	0.027	0.055	-0.005	0.004	-0.029	0.050
YOR373W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.008	-0.031	0.025	0.071	-0.003	0.015	-0.035	0.055
YOR374W	0.008	0.015	-0.002	-0.005	-0.004	-0.050	-0.047	-0.019	0.029	0.014	-0.021	-0.085	-0.009	-0.022	-0.004	-0.075
YOR375C	0.021	0.007	0.010	-0.000	0.008	0.000	0.008	0.002	-0.008	0.001	0.004	-0.003	-0.018	-0.007	-0.008	0.005
YOR376W	0.017	0.000	0.012	0.001	0.018	0.001	0.021	0.005	0.022	-0.010	-0.004	-0.003	0.005	0.015	-0.021	-0.012
YOR377W	0.011	0.025	0.017	0.023	0.011	0.010	0.015	0.025	-0.030	-0.018	0.044	0.066	-0.031	-0.012	-0.038	0.064
YOR378W	0.014	0.015	0.024	0.037	0.028	0.015	0.018	0.030	-0.027	-0.017	0.048	0.159	0.036	0.059	-0.002	0.088
YOR379C	0.023	0.019	0.017	0.009	-0.006	-0.006	0.017	0.019	0.026	-0.025	0.000	0.005	-0.013	-0.004	-0.035	-0.003
YOR380W	0.017	0.005	-0.003	-0.015	0.004	0.010	0.015	-0.009	0.016	0.005	-0.006	-0.033	0.002	0.011	0.005	-0.047
YOR381W	0.002	0.005	0.017	0.019	0.019	0.003	0.016	0.014	-0.017	-0.046	0.026	0.055	-0.008	-0.010	-0.035	0.033
YOR382W	0.026	0.047	0.021	0.027	0.032	0.023	0.023	0.030	0.009	-0.012	-0.002	-0.011	0.007	0.007	0.003	-0.023
YOR383C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.008	-0.017	0.034	0.058	0.001	0.008	-0.010	0.035
YOR384W	-0.009	0.003	0.033	0.057	0.036	0.004	0.013	0.041	-0.041	-0.010	0.036	0.073	0.003	0.027	-0.023	0.080
YOR385W	0.003	-0.001	0.014	0.017	0.021	0.002	0.005	0.019	-0.006	-0.014	0.024	0.026	0.004	-0.010	-0.019	0.026
YOR386W	-0.003	-0.002	0.006	-0.002	0.001	0.013	0.019	-0.006	-0.006	-0.022	0.017	-0.001	0.017	0.017	-0.010	0.022
YPL001W	0.005	-0.018	0.006	0.005	0.006	-0.004	0.012	0.010	0.001	-0.029	-0.002	0.022	-0.013	-0.016	-0.031	0.016
YPL002C	0.029	-0.021	-0.086	-0.203	-0.171	-0.241	-0.219	-0.042	-0.002	-0.024	-0.010	-0.009	-0.007	-0.013	-0.025	-0.025
YPL003W	0.031	-0.014	-0.004	-0.019	-0.004	0.012	0.015	-0.001	0.022	-0.009	-0.030	-0.045	-0.002	-0.003	-0.002	-0.051
YPL004C	0.009	0.008	0.026	0.052	0.039	0.021	0.035	0.033	-0.033	-0.034	0.038	0.081	0.019	0.033	0.001	0.073
YPL005W	0.021	-0.048	-0.125	-0.306	-0.251	-0.331	-0.374	-0.272	-0.001	-0.022	0.008	0.046	0.039	0.035	0.040	0.027
YPL006W	0.008	0.002	0.011	0.028	0.017	0.016	0.023	0.033	0.003	-0.004	-0.001	0.037	0.008	0.024	0.001	0.028
YPL007C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.001	-0.063	0.028	0.071	0.039	0.047	-0.003	0.063
YPL008W	-0.006	-0.033	0.028	0.078	0.130	0.114	0.109	0.088	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YPL009C	0.003	-0.016	0.002	-0.005	0.012	0.009	0.011	-0.011	0.014	-0.018	-0.012	-0.044	-0.007	-0.002	-0.029	-0.041
YPL010W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.016	-0.016	-0.021	-0.022	-0.002	0.011	-0.011	-0.028
YPL011C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.019	-0.018	-0.009	-0.024	0.011	0.012	0.003	-0.039
YPL012W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.018	-0.019	-0.015	-0.044	-0.000	-0.007	-0.010	-0.051
YPL013C	0.005	-0.059	-0.109	-0.554	-0.447	-0.641	-0.703	-0.437	0.028	0.003	-0.024	-0.071	0.002	-0.009	-0.012	-0.082
